"AverageDistanceofBirdieputtsmade_RANKTHISWEEK_2007","AverageDistanceofBirdieputtsmade_RANKLASTWEEK_2007","AverageDistanceofBirdieputtsmade_PLAYERNAME_2007","AverageDistanceofBirdieputtsmade_ROUNDS_2007","AverageDistanceofBirdieputtsmade_AVG_2007","AverageDistanceofBirdieputtsmade_TOTDISTFT_2007","AverageDistanceofBirdieputtsmade_TOTBIRDIEPUTTSMADE_2007","AverageDistanceofBirdieputtsmade_LONGESTMADEFT_2007","AverageDistanceofBirdieputtsmade_SHORTESTMADEFT_2007","stat_name","year"
1,1,"Jesper Parnevik",88,NA,3236.083,284,48,NA,"AverageDistanceofBirdieputtsmade",2007
2,2,"Tim Clark",66,NA,2114.167,188,58,NA,"AverageDistanceofBirdieputtsmade",2007
2,2,"Justin Leonard",95,NA,2901.833,258,50,NA,"AverageDistanceofBirdieputtsmade",2007
2,2,"Dicky Pride",71,NA,2052.167,183,62,NA,"AverageDistanceofBirdieputtsmade",2007
2,2,"Henrik Stenson",52,NA,1296.75,115,62,NA,"AverageDistanceofBirdieputtsmade",2007
6,6,"Michael Boyd",61,NA,1635.5,147,57,NA,"AverageDistanceofBirdieputtsmade",2007
7,7,"Ryan Armour",107,NA,3413.833,307,55,NA,"AverageDistanceofBirdieputtsmade",2007
7,7,"Corey Pavin",81,NA,2163.083,195,57,NA,"AverageDistanceofBirdieputtsmade",2007
9,9,"Glen Day",85,NA,2506.083,227,60,NA,"AverageDistanceofBirdieputtsmade",2007
9,9,"Zach Johnson",76,NA,2137.667,195,50,NA,"AverageDistanceofBirdieputtsmade",2007
11,11,"Paul Goydos",60,NA,1675.917,153,58,NA,"AverageDistanceofBirdieputtsmade",2007
11,11,"Parker McLachlin",83,NA,2415.583,222,66,NA,"AverageDistanceofBirdieputtsmade",2007
11,11,"Tag Ridings",52,NA,1726.5,158,50,NA,"AverageDistanceofBirdieputtsmade",2007
14,14,"Frank Lickliter II",95,NA,3269.333,301,77,NA,"AverageDistanceofBirdieputtsmade",2007
15,15,"Shigeki Maruyama",84,NA,2645.833,247,68,NA,"AverageDistanceofBirdieputtsmade",2007
15,15,"Shaun Micheel",91,NA,2367.25,220,42,NA,"AverageDistanceofBirdieputtsmade",2007
15,15,"Michael Sim",52,NA,1700.75,158,48,NA,"AverageDistanceofBirdieputtsmade",2007
18,18,"Jason Dufner",100,NA,2858.083,267,55,NA,"AverageDistanceofBirdieputtsmade",2007
18,18,"Craig Kanada",109,NA,3065,287,57,NA,"AverageDistanceofBirdieputtsmade",2007
18,18,"Jeff Quinney",95,NA,3080,288,53,NA,"AverageDistanceofBirdieputtsmade",2007
18,18,"Dean Wilson",92,NA,2634.417,247,46,NA,"AverageDistanceofBirdieputtsmade",2007
22,22,"Tommy Armour III",81,NA,2385.667,226,42,NA,"AverageDistanceofBirdieputtsmade",2007
22,22,"Joey Sindelar",75,NA,2181.083,206,53,NA,"AverageDistanceofBirdieputtsmade",2007
24,24,"Chad Campbell",96,NA,2449.833,233,45,NA,"AverageDistanceofBirdieputtsmade",2007
24,24,"Luke Donald",69,NA,1873.5,178,69,NA,"AverageDistanceofBirdieputtsmade",2007
24,24,"Sergio Garcia",68,NA,2032.833,194,76,NA,"AverageDistanceofBirdieputtsmade",2007
24,24,"Stephen Leaney",82,NA,2371.417,226,72,NA,"AverageDistanceofBirdieputtsmade",2007
24,24,"Charlie Wi",90,NA,2870.917,274,53,NA,"AverageDistanceofBirdieputtsmade",2007
29,29,"Gavin Coles",87,NA,2323.833,223,40,NA,"AverageDistanceofBirdieputtsmade",2007
29,29,"Ben Curtis",80,NA,1807.333,173,100,NA,"AverageDistanceofBirdieputtsmade",2007
29,29,"Brian Gay",107,NA,3267.333,314,61,NA,"AverageDistanceofBirdieputtsmade",2007
29,29,"Lee Janzen",66,NA,1562.333,150,72,NA,"AverageDistanceofBirdieputtsmade",2007
29,29,"Richard Johnson",93,NA,2405.25,230,57,NA,"AverageDistanceofBirdieputtsmade",2007
29,29,"Jeff Maggert",79,NA,2623.667,251,54,NA,"AverageDistanceofBirdieputtsmade",2007
29,29,"John Mallinger",96,NA,2844.417,272,54,NA,"AverageDistanceofBirdieputtsmade",2007
29,29,"David Toms",80,NA,2199.917,211,59,NA,"AverageDistanceofBirdieputtsmade",2007
37,37,"Michael Allen",74,NA,2163.417,210,54,NA,"AverageDistanceofBirdieputtsmade",2007
37,37,"Rich Barcelo",80,NA,2368.083,230,71,NA,"AverageDistanceofBirdieputtsmade",2007
37,37,"Mark Brooks",53,NA,1109,107,47,NA,"AverageDistanceofBirdieputtsmade",2007
37,37,"Bart Bryant",87,NA,2553.25,248,65,NA,"AverageDistanceofBirdieputtsmade",2007
37,37,"Brian Davis",101,NA,3070.167,297,52,NA,"AverageDistanceofBirdieputtsmade",2007
37,37,"Craig Lile",77,NA,2263.167,219,54,NA,"AverageDistanceofBirdieputtsmade",2007
37,37,"Rod Pampling",92,NA,2446.167,236,70,NA,"AverageDistanceofBirdieputtsmade",2007
44,44,"Jonathan Byrd",73,NA,2406.167,235,45,NA,"AverageDistanceofBirdieputtsmade",2007
44,44,"Tom Byrum",50,NA,1178.833,115,43,NA,"AverageDistanceofBirdieputtsmade",2007
44,44,"Steve Elkington",87,NA,2348.083,229,75,NA,"AverageDistanceofBirdieputtsmade",2007
44,44,"Steve Flesch",100,NA,2843.917,278,58,NA,"AverageDistanceofBirdieputtsmade",2007
44,44,"Fred Funk",65,NA,1597.833,156,60,NA,"AverageDistanceofBirdieputtsmade",2007
44,44,"Robert Garrigus",95,NA,3083.333,300,65,NA,"AverageDistanceofBirdieputtsmade",2007
44,44,"Bob Heintz",85,NA,2541.583,248,59,NA,"AverageDistanceofBirdieputtsmade",2007
44,44,"Tim Herron",98,NA,2717.417,266,55,NA,"AverageDistanceofBirdieputtsmade",2007
44,44,"Ryan Moore",92,NA,2647.5,258,56,NA,"AverageDistanceofBirdieputtsmade",2007
44,44,"Greg Owen",81,NA,2170.083,212,47,NA,"AverageDistanceofBirdieputtsmade",2007
44,44,"Tim Petrovic",106,NA,3351.833,326,58,NA,"AverageDistanceofBirdieputtsmade",2007
44,44,"Chris Riley",59,NA,1752.083,171,45,NA,"AverageDistanceofBirdieputtsmade",2007
