"AverageDistanceofEagleputtsmade_RANKTHISWEEK_2013","AverageDistanceofEagleputtsmade_RANKLASTWEEK_2013","AverageDistanceofEagleputtsmade_PLAYERNAME_2013","AverageDistanceofEagleputtsmade_ROUNDS_2013","AverageDistanceofEagleputtsmade_AVG_2013","AverageDistanceofEagleputtsmade_TOTDISTFT_2013","AverageDistanceofEagleputtsmade_TOTEAGLESPUTTSMADE_2013","AverageDistanceofEagleputtsmade_LONGESTMADEFT_2013","AverageDistanceofEagleputtsmade_SHORTESTMADEFT_2013","stat_name","year"
1,1,"Fabian Gomez",65,NA,52.5,1,53,53,"AverageDistanceofEagleputtsmade",2013
2,2,"Michael Thompson",66,NA,120.083,3,56,15,"AverageDistanceofEagleputtsmade",2013
3,3,"Nicolas Colsaerts",50,NA,78.583,2,64,15,"AverageDistanceofEagleputtsmade",2013
4,4,"Robert Karlsson",56,NA,75.083,2,63,12,"AverageDistanceofEagleputtsmade",2013
5,5,"YE Yang",56,NA,36.917,1,37,37,"AverageDistanceofEagleputtsmade",2013
6,6,"Robert Allenby",58,NA,34.75,1,35,35,"AverageDistanceofEagleputtsmade",2013
7,7,"Darron Stiles",51,NA,65.5,2,42,24,"AverageDistanceofEagleputtsmade",2013
8,8,"DH Lee",65,NA,62,2,36,26,"AverageDistanceofEagleputtsmade",2013
9,9,"Nick Watney",88,NA,122.25,4,68,12,"AverageDistanceofEagleputtsmade",2013
10,10,"Steven Bowditch",67,NA,60.583,2,45,16,"AverageDistanceofEagleputtsmade",2013
11,11,"Zach Johnson",84,NA,90.833,3,60,15,"AverageDistanceofEagleputtsmade",2013
12,12,"John Senden",79,NA,59.333,2,46,13,"AverageDistanceofEagleputtsmade",2013
13,13,"Chez Reavie",72,NA,88.5,3,50,15,"AverageDistanceofEagleputtsmade",2013
14,14,"Chad Campbell",78,NA,116.5,4,40,17,"AverageDistanceofEagleputtsmade",2013
15,15,"Justin Rose",62,NA,57.75,2,48,10,"AverageDistanceofEagleputtsmade",2013
16,16,"Chris Stroud",88,NA,55,2,36,19,"AverageDistanceofEagleputtsmade",2013
17,17,"David Lynn",70,NA,80.333,3,33,18,"AverageDistanceofEagleputtsmade",2013
18,18,"Roberto Castro",97,NA,185.917,7,61,3,"AverageDistanceofEagleputtsmade",2013
19,19,"Will Claxton",67,NA,52.75,2,50,3,"AverageDistanceofEagleputtsmade",2013
20,20,"Morgan Hoffmann",64,NA,77.583,3,55,8,"AverageDistanceofEagleputtsmade",2013
21,21,"Charl Schwartzel",69,NA,25.75,1,26,26,"AverageDistanceofEagleputtsmade",2013
22,22,"Tommy Gainey",84,NA,25.5,1,26,26,"AverageDistanceofEagleputtsmade",2013
23,23,"Colt Knost",69,NA,50.583,2,47,4,"AverageDistanceofEagleputtsmade",2013
24,24,"Scott Langley",79,NA,97.833,4,56,6,"AverageDistanceofEagleputtsmade",2013
25,25,"Jimmy Walker",84,NA,120.25,5,53,5,"AverageDistanceofEagleputtsmade",2013
26,26,"Henrik Stenson",65,NA,143.833,6,45,9,"AverageDistanceofEagleputtsmade",2013
27,27,"Gary Woodland",94,NA,142.75,6,42,8,"AverageDistanceofEagleputtsmade",2013
28,28,"Erik Compton",74,NA,70.917,3,33,11,"AverageDistanceofEagleputtsmade",2013
28,28,"Carl Pettersson",82,NA,71,3,44,8,"AverageDistanceofEagleputtsmade",2013
30,30,"Jason Day",86,NA,140.083,6,39,5,"AverageDistanceofEagleputtsmade",2013
30,30,"Sergio Garcia",65,NA,139.75,6,46,2,"AverageDistanceofEagleputtsmade",2013
32,32,"Jason Kokrak",78,NA,114.75,5,36,8,"AverageDistanceofEagleputtsmade",2013
33,33,"Andrew Svoboda",46,NA,45.333,2,32,14,"AverageDistanceofEagleputtsmade",2013
34,34,"Nicholas Thompson",99,NA,89,4,72,2,"AverageDistanceofEagleputtsmade",2013
35,35,"Keegan Bradley",88,NA,154.333,7,42,6,"AverageDistanceofEagleputtsmade",2013
35,35,"Rory Sabbatini",86,NA,110.5,5,50,5,"AverageDistanceofEagleputtsmade",2013
37,37,"Jason Dufner",78,NA,21.75,1,22,22,"AverageDistanceofEagleputtsmade",2013
38,38,"Stewart Cink",71,NA,43.333,2,22,22,"AverageDistanceofEagleputtsmade",2013
39,39,"Jonas Blixt",76,NA,64.417,3,25,16,"AverageDistanceofEagleputtsmade",2013
40,40,"Brian Stuard",78,NA,41.917,2,33,9,"AverageDistanceofEagleputtsmade",2013
41,41,"Aaron Baddeley",68,NA,104.25,5,29,6,"AverageDistanceofEagleputtsmade",2013
42,42,"Harris English",95,NA,103.417,5,33,4,"AverageDistanceofEagleputtsmade",2013
42,42,"Brandt Jobe",62,NA,82.583,4,34,7,"AverageDistanceofEagleputtsmade",2013
