"MissedFairwayPercentOther_RANKTHISWEEK_2016","MissedFairwayPercentOther_RANKLASTWEEK_2016","MissedFairwayPercentOther_PLAYERNAME_2016","MissedFairwayPercentOther_ROUNDS_2016","MissedFairwayPercentOther_Pct_2016","MissedFairwayPercentOther_TOTALMISSED_2016","MissedFairwayPercentOther_TOTALFWYS_2016","MissedFairwayPercentOther_RELATIVETOPAR_2016","stat_name","year"
1,1,"Danny Lee",53,1.2,6,502,0.67,"MissedFairwayPercentOther",2016
2,4,"Abraham Ancer",26,1.35,3,223,1.33,"MissedFairwayPercentOther",2016
3,5,"Rory Sabbatini",40,1.46,5,343,0.6,"MissedFairwayPercentOther",2016
4,6,"Cameron Percy",22,1.53,3,196,0.67,"MissedFairwayPercentOther",2016
5,7,"Miguel Angel Carballo",24,1.55,3,193,2,"MissedFairwayPercentOther",2016
5,7,"Jerry Kelly",44,1.55,6,386,0.33,"MissedFairwayPercentOther",2016
7,10,"Whee Kim",54,1.59,9,567,0.67,"MissedFairwayPercentOther",2016
7,12,"Brian Stuard",24,1.59,4,252,0.75,"MissedFairwayPercentOther",2016
9,3,"Hideki Matsuyama",40,1.65,6,363,0,"MissedFairwayPercentOther",2016
10,13,"Andy Sullivan",25,1.81,4,221,0.75,"MissedFairwayPercentOther",2016
11,14,"Shane Bertsch",30,1.88,5,266,0.4,"MissedFairwayPercentOther",2016
12,15,"David Lingmerth",54,1.97,10,507,0.4,"MissedFairwayPercentOther",2016
13,16,"Steve Stricker",25,2.09,6,287,0.83,"MissedFairwayPercentOther",2016
14,20,"Ben Martin",48,2.15,12,559,0.75,"MissedFairwayPercentOther",2016
15,9,"Tim Wilkinson",40,2.21,8,362,0.75,"MissedFairwayPercentOther",2016
16,17,"Zac Blair",56,2.23,13,584,0.15,"MissedFairwayPercentOther",2016
16,19,"Darron Stiles",28,2.23,5,224,0.6,"MissedFairwayPercentOther",2016
18,25,"Jim Herman",55,2.27,12,529,0.83,"MissedFairwayPercentOther",2016
19,27,"Chad Campbell",54,2.34,14,599,0.64,"MissedFairwayPercentOther",2016
20,27,"Colt Knost",56,2.39,14,586,0.57,"MissedFairwayPercentOther",2016
21,25,"Brice Garnett",29,2.4,5,208,0.2,"MissedFairwayPercentOther",2016
22,22,"Jason Gore",51,2.41,12,497,1,"MissedFairwayPercentOther",2016
22,32,"David Hearn",55,2.41,14,582,0.64,"MissedFairwayPercentOther",2016
22,23,"Justin Hicks",26,2.41,8,332,1,"MissedFairwayPercentOther",2016
25,29,"Graeme McDowell",33,2.48,8,322,1.25,"MissedFairwayPercentOther",2016
26,24,"JJ Henry",44,2.49,14,563,0.93,"MissedFairwayPercentOther",2016
27,31,"Chez Reavie",56,2.5,16,639,0.5,"MissedFairwayPercentOther",2016
28,17,"Thomas Aiken",42,2.51,9,359,0.22,"MissedFairwayPercentOther",2016
28,43,"Shane Lowry",35,2.51,7,279,0.43,"MissedFairwayPercentOther",2016
30,33,"Billy Hurley III",22,2.55,6,235,1,"MissedFairwayPercentOther",2016
31,11,"Justin Rose",35,2.58,9,349,0.22,"MissedFairwayPercentOther",2016
32,38,"Brett Stegmaier",57,2.62,17,648,0.53,"MissedFairwayPercentOther",2016
33,34,"John Huh",51,2.63,16,609,0.88,"MissedFairwayPercentOther",2016
33,34,"Justin Leonard",28,2.63,8,304,0.75,"MissedFairwayPercentOther",2016
35,30,"Mark Hubbard",73,2.69,22,819,0.5,"MissedFairwayPercentOther",2016
36,43,"Kyle Reifers",63,2.7,18,666,0.61,"MissedFairwayPercentOther",2016
36,45,"John Senden",48,2.7,15,555,0.4,"MissedFairwayPercentOther",2016
38,41,"Bryce Molder",50,2.77,15,542,0.6,"MissedFairwayPercentOther",2016
39,37,"Scott Pinckney",53,2.78,15,540,0.4,"MissedFairwayPercentOther",2016
40,39,"Kevin Kisner",49,2.8,13,465,0.46,"MissedFairwayPercentOther",2016
41,46,"Dicky Pride",33,2.82,9,319,0.44,"MissedFairwayPercentOther",2016
41,57,"Henrik Stenson",30,2.82,7,248,0.29,"MissedFairwayPercentOther",2016
43,36,"Spencer Levin",62,2.84,19,670,0.53,"MissedFairwayPercentOther",2016
44,2,"Derek Ernst",36,2.94,9,306,0.11,"MissedFairwayPercentOther",2016
44,47,"Ryan Moore",40,2.94,11,374,0.09,"MissedFairwayPercentOther",2016
46,48,"Jason Bohn",37,2.96,12,406,0.08,"MissedFairwayPercentOther",2016
46,50,"Russell Knox",48,2.96,12,405,0.58,"MissedFairwayPercentOther",2016
48,51,"Freddie Jacobson",54,2.97,16,538,0.63,"MissedFairwayPercentOther",2016
49,55,"Alex Cejka",47,2.99,13,435,0.69,"MissedFairwayPercentOther",2016
49,41,"William McGirt",54,2.99,20,669,0.25,"MissedFairwayPercentOther",2016
51,20,"Jhonattan Vegas",49,3.01,15,499,0.13,"MissedFairwayPercentOther",2016
52,55,"Marc Leishman",41,3.17,11,347,0.27,"MissedFairwayPercentOther",2016
53,72,"Steve Marino",40,3.22,12,373,0.42,"MissedFairwayPercentOther",2016
54,40,"Michael Kim",62,3.25,23,707,0.43,"MissedFairwayPercentOther",2016
54,58,"Will Ma Kenzie",54,3.25,18,553,0.44,"MissedFairwayPercentOther",2016
56,61,"KJ Choi",47,3.26,18,552,0.72,"MissedFairwayPercentOther",2016
56,61,"Ken Duke",26,3.26,9,276,0.67,"MissedFairwayPercentOther",2016
58,58,"Francesco Molinari",36,3.28,15,457,0.67,"MissedFairwayPercentOther",2016
58,63,"Kevin Na",52,3.28,15,457,0.07,"MissedFairwayPercentOther",2016
60,67,"Sergio Garcia",28,3.33,6,180,0.5,"MissedFairwayPercentOther",2016
61,77,"Webb Simpson",34,3.34,13,389,1,"MissedFairwayPercentOther",2016
62,67,"David Toms",38,3.36,15,446,0.33,"MissedFairwayPercentOther",2016
63,48,"Padraig Harrington",38,3.4,15,441,0.33,"MissedFairwayPercentOther",2016
64,52,"Blayne Barber",44,3.41,18,528,0.78,"MissedFairwayPercentOther",2016
64,70,"Rob Oppenheim",37,3.41,13,381,0.54,"MissedFairwayPercentOther",2016
66,87,"Roberto Castro",55,3.43,22,642,0.41,"MissedFairwayPercentOther",2016
67,73,"Chris Kirk",51,3.49,19,544,0.63,"MissedFairwayPercentOther",2016
68,81,"Ben Crane",48,3.5,18,514,0.61,"MissedFairwayPercentOther",2016
69,76,"Dustin Johnson",37,3.56,10,281,0.5,"MissedFairwayPercentOther",2016
70,71,"Emiliano Grillo",47,3.65,18,493,0.83,"MissedFairwayPercentOther",2016
71,80,"Rhein Gibson",36,3.66,13,355,1,"MissedFairwayPercentOther",2016
71,75,"Lucas Glover",53,3.66,24,655,0.5,"MissedFairwayPercentOther",2016
73,83,"Brendon de Jonge",55,3.7,20,540,0.75,"MissedFairwayPercentOther",2016
73,81,"Smylie Kaufman",57,3.7,21,567,0.33,"MissedFairwayPercentOther",2016
75,53,"Paul Casey",39,3.74,12,321,0.42,"MissedFairwayPercentOther",2016
75,85,"Peter Malnati",53,3.74,22,589,0.36,"MissedFairwayPercentOther",2016
77,66,"Rickie Fowler",42,3.79,17,449,0.53,"MissedFairwayPercentOther",2016
77,104,"Cameron Tringale",47,3.79,21,554,0.62,"MissedFairwayPercentOther",2016
79,108,"Stuart Appleby",39,3.82,19,497,0.16,"MissedFairwayPercentOther",2016
80,88,"Charlie Beljan",26,3.83,9,235,0.44,"MissedFairwayPercentOther",2016
81,60,"Byeong Hun An",23,3.85,7,182,1.14,"MissedFairwayPercentOther",2016
81,74,"Boo Weekley",53,3.85,22,571,0.5,"MissedFairwayPercentOther",2016
83,94,"Tyler Aldridge",53,3.87,22,568,0.64,"MissedFairwayPercentOther",2016
84,91,"Lucas Lee",22,3.88,8,206,0.75,"MissedFairwayPercentOther",2016
84,63,"Henrik Norlander",41,3.88,14,361,0.43,"MissedFairwayPercentOther",2016
86,79,"Rory McIlroy",37,3.93,12,305,0.17,"MissedFairwayPercentOther",2016
87,85,"Jonas Blixt",46,3.94,20,508,1.25,"MissedFairwayPercentOther",2016
87,100,"Tom Hoge",47,3.94,19,482,0.68,"MissedFairwayPercentOther",2016
87,84,"Scott Langley",41,3.94,17,431,0.06,"MissedFairwayPercentOther",2016
90,100,"Kevin Streelman",46,3.95,17,430,0.47,"MissedFairwayPercentOther",2016
91,98,"Troy Merritt",41,3.96,16,404,0.75,"MissedFairwayPercentOther",2016
92,100,"Matt Kuchar",46,3.98,17,427,0.53,"MissedFairwayPercentOther",2016
93,69,"Adam Hadwin",53,3.99,26,652,0.54,"MissedFairwayPercentOther",2016
94,122,"Fabian Gomez",49,4.05,24,592,0.54,"MissedFairwayPercentOther",2016
95,109,"Hudson Swafford",52,4.08,22,539,0.68,"MissedFairwayPercentOther",2016
96,110,"Zach Johnson",42,4.09,19,464,0.84,"MissedFairwayPercentOther",2016
97,111,"Russell Henley",42,4.1,21,512,0.67,"MissedFairwayPercentOther",2016
98,91,"Bill Haas",42,4.11,16,389,0.38,"MissedFairwayPercentOther",2016
99,103,"Brian Harman",60,4.12,27,656,0.52,"MissedFairwayPercentOther",2016
100,112,"DH Lee",35,4.17,14,336,0.86,"MissedFairwayPercentOther",2016
101,121,"Daniel Summerhays",55,4.19,25,596,0.4,"MissedFairwayPercentOther",2016
102,112,"Billy Horschel",45,4.22,20,474,-0.05,"MissedFairwayPercentOther",2016
103,114,"Pat Perez",28,4.24,10,236,0.2,"MissedFairwayPercentOther",2016
104,117,"Chris Stroud",52,4.25,24,565,0.67,"MissedFairwayPercentOther",2016
105,130,"Angel Cabrera",42,4.26,19,446,0.68,"MissedFairwayPercentOther",2016
105,77,"Jeff Overton",51,4.26,26,611,0.23,"MissedFairwayPercentOther",2016
105,95,"Ollie Schniederjans",23,4.26,11,258,0.09,"MissedFairwayPercentOther",2016
108,90,"Patrick Reed",53,4.28,19,444,0.42,"MissedFairwayPercentOther",2016
108,118,"Harold Varner III",58,4.28,29,677,0.62,"MissedFairwayPercentOther",2016
110,107,"Si Woo Kim",63,4.29,31,723,0.61,"MissedFairwayPercentOther",2016
111,140,"Kelly Kraft",35,4.32,12,278,0.67,"MissedFairwayPercentOther",2016
112,91,"Matt Jones",45,4.37,17,389,0.71,"MissedFairwayPercentOther",2016
113,119,"Brandt Snedeker",47,4.39,21,478,0.24,"MissedFairwayPercentOther",2016
113,115,"Kyle Stanley",57,4.39,28,638,0.43,"MissedFairwayPercentOther",2016
115,125,"Daniel Berger",52,4.42,22,498,0.36,"MissedFairwayPercentOther",2016
115,120,"Brian Gay",22,4.42,11,249,1,"MissedFairwayPercentOther",2016
117,88,"Johnson Wagner",44,4.44,21,473,0.57,"MissedFairwayPercentOther",2016
118,122,"Jon Curran",55,4.48,25,558,0.8,"MissedFairwayPercentOther",2016
118,96,"Adam Scott",39,4.48,15,335,0.47,"MissedFairwayPercentOther",2016
120,126,"Scott Brown",59,4.51,25,554,0.24,"MissedFairwayPercentOther",2016
121,99,"Vijay Singh",42,4.52,23,509,0.65,"MissedFairwayPercentOther",2016
122,104,"Brendan Steele",48,4.53,24,530,0.38,"MissedFairwayPercentOther",2016
123,97,"Mark Wilson",42,4.55,22,484,0.5,"MissedFairwayPercentOther",2016
124,129,"Scott Piercy",45,4.58,18,393,0.44,"MissedFairwayPercentOther",2016
125,106,"Graham DeLaet",50,4.66,27,579,0.41,"MissedFairwayPercentOther",2016
126,116,"Hiroshi Iwata",51,4.69,22,469,0.82,"MissedFairwayPercentOther",2016
126,131,"Sean OHair",45,4.69,26,554,0.62,"MissedFairwayPercentOther",2016
126,142,"DA Points",32,4.69,13,277,0.62,"MissedFairwayPercentOther",2016
129,143,"Anirban Lahiri",44,4.7,17,362,0.41,"MissedFairwayPercentOther",2016
130,63,"Martin Piller",37,4.72,17,360,0.47,"MissedFairwayPercentOther",2016
131,131,"Nick Taylor",57,4.74,29,612,0.45,"MissedFairwayPercentOther",2016
132,135,"Jason Dufner",53,4.75,23,484,0.61,"MissedFairwayPercentOther",2016
133,136,"Andrew Landry",24,4.76,8,168,0.88,"MissedFairwayPercentOther",2016
133,136,"Bernd Wiesberger",23,4.76,8,168,0.5,"MissedFairwayPercentOther",2016
135,139,"Wes Roach",33,4.78,14,293,0.43,"MissedFairwayPercentOther",2016
136,141,"Keegan Bradley",40,4.81,18,374,0.67,"MissedFairwayPercentOther",2016
137,160,"Retief Goosen",37,4.82,21,436,0.76,"MissedFairwayPercentOther",2016
138,124,"Patrick Rodgers",49,4.83,26,538,0.42,"MissedFairwayPercentOther",2016
