"Front9ScoringAverage_RANKTHISWEEK_2014","Front9ScoringAverage_RANKLASTWEEK_2014","Front9ScoringAverage_PLAYERNAME_2014","Front9ScoringAverage_ROUNDS_2014","Front9ScoringAverage_AVG_2014","Front9ScoringAverage_TOTALSTROKES_2014","Front9ScoringAverage_TOTALHOLES_2014","stat_name","year"
1,1,"Charl Schwartzel",64,34.5,2139,62,"Front9ScoringAverage",2014
2,2,"Adam Scott",68,34.51,2347,68,"Front9ScoringAverage",2014
3,3,"Sergio Garcia",61,34.53,2003,58,"Front9ScoringAverage",2014
4,4,"Dustin Johnson",58,34.63,1974,57,"Front9ScoringAverage",2014
5,5,"Charles Howell III",106,34.65,3673,106,"Front9ScoringAverage",2014
5,5,"Jimmy Walker",98,34.65,3326,96,"Front9ScoringAverage",2014
7,7,"Justin Rose",70,34.66,2357,68,"Front9ScoringAverage",2014
8,8,"Jason Day",54,34.69,1665,48,"Front9ScoringAverage",2014
9,9,"Chris Stroud",88,34.7,3054,88,"Front9ScoringAverage",2014
10,10,"Jim Furyk",84,34.73,2778,80,"Front9ScoringAverage",2014
10,10,"Kevin Na",94,34.73,3265,94,"Front9ScoringAverage",2014
12,12,"Keegan Bradley",89,34.75,3058,88,"Front9ScoringAverage",2014
12,12,"Rory McIlroy",66,34.75,2224,64,"Front9ScoringAverage",2014
12,12,"George McNeill",79,34.75,2745,79,"Front9ScoringAverage",2014
15,15,"Ryan Moore",86,34.77,2921,84,"Front9ScoringAverage",2014
16,16,"Ryan Palmer",85,34.78,2956,85,"Front9ScoringAverage",2014
17,17,"Bud Cauley",56,34.79,1948,56,"Front9ScoringAverage",2014
17,17,"Daniel Summerhays",98,34.79,3409,98,"Front9ScoringAverage",2014
19,19,"Jordan Spieth",102,34.81,3411,98,"Front9ScoringAverage",2014
19,19,"Bubba Watson",76,34.81,2541,73,"Front9ScoringAverage",2014
21,21,"Graham DeLaet",80,34.85,2753,79,"Front9ScoringAverage",2014
21,21,"Jason Kokrak",65,34.85,2265,65,"Front9ScoringAverage",2014
21,21,"Matt Kuchar",91,34.85,3067,88,"Front9ScoringAverage",2014
24,24,"Robert Streb",75,34.9,2478,71,"Front9ScoringAverage",2014
25,25,"Russell Knox",92,34.91,3212,92,"Front9ScoringAverage",2014
