"ApproachPuttPerformance_RANKTHISWEEK_2016","ApproachPuttPerformance_RANKLASTWEEK_2016","ApproachPuttPerformance_PLAYERNAME_2016","ApproachPuttPerformance_ROUNDS_2016","ApproachPuttPerformance_VALUE_2016","ApproachPuttPerformance_ATTEMPTS_2016","ApproachPuttPerformance_TOTALDISTANCEFEET_2016","stat_name","year"
1,1,"Matt Jones",45,NA,312,577.75,"ApproachPuttPerformance",2016
1,2,"DJ Trahan",23,NA,111,199.167,"ApproachPuttPerformance",2016
3,3,"KJ Choi",47,NA,413,797.75,"ApproachPuttPerformance",2016
4,5,"Ricky Barnes",57,NA,448,882.25,"ApproachPuttPerformance",2016
4,5,"Alex Cejka",47,NA,332,664.333,"ApproachPuttPerformance",2016
4,5,"Brian Gay",22,NA,161,322.75,"ApproachPuttPerformance",2016
4,3,"Lucas Glover",53,NA,533,1056.417,"ApproachPuttPerformance",2016
4,5,"Lucas Lee",22,NA,162,329.917,"ApproachPuttPerformance",2016
4,5,"DA Points",32,NA,217,442.667,"ApproachPuttPerformance",2016
4,5,"Dicky Pride",33,NA,233,462.917,"ApproachPuttPerformance",2016
4,5,"Kevin Streelman",46,NA,352,717.333,"ApproachPuttPerformance",2016
12,17,"Abraham Ancer",26,NA,176,362,"ApproachPuttPerformance",2016
12,5,"Jason Bohn",37,NA,314,648.75,"ApproachPuttPerformance",2016
12,17,"Scott Brown",59,NA,424,894.583,"ApproachPuttPerformance",2016
12,5,"Chad Campbell",54,NA,477,979.75,"ApproachPuttPerformance",2016
12,17,"Stewart Cink",45,NA,385,805.667,"ApproachPuttPerformance",2016
12,17,"Jon Curran",55,NA,412,849.833,"ApproachPuttPerformance",2016
12,17,"Jason Day",36,NA,216,454.167,"ApproachPuttPerformance",2016
12,17,"Luke Donald",49,NA,353,749.583,"ApproachPuttPerformance",2016
12,17,"Jason Dufner",53,NA,381,807.167,"ApproachPuttPerformance",2016
12,17,"Ken Duke",26,NA,220,458.833,"ApproachPuttPerformance",2016
12,17,"Brice Garnett",29,NA,163,340.25,"ApproachPuttPerformance",2016
12,17,"Branden Grace",31,NA,192,392.083,"ApproachPuttPerformance",2016
12,17,"Jerry Kelly",44,NA,301,616.333,"ApproachPuttPerformance",2016
12,17,"Russell Knox",48,NA,326,679.25,"ApproachPuttPerformance",2016
12,17,"Marc Leishman",41,NA,255,529.083,"ApproachPuttPerformance",2016
12,17,"Justin Leonard",28,NA,224,469.5,"ApproachPuttPerformance",2016
12,17,"Spencer Levin",62,NA,529,1087.75,"ApproachPuttPerformance",2016
12,5,"Shane Lowry",35,NA,213,443.083,"ApproachPuttPerformance",2016
12,5,"William McGirt",54,NA,503,1040.333,"ApproachPuttPerformance",2016
12,17,"Kevin Na",52,NA,348,725.583,"ApproachPuttPerformance",2016
12,17,"Cameron Percy",22,NA,171,354.75,"ApproachPuttPerformance",2016
12,17,"Carl Pettersson",31,NA,283,589.5,"ApproachPuttPerformance",2016
12,17,"Charl Schwartzel",29,NA,204,429.083,"ApproachPuttPerformance",2016
12,17,"Brandt Snedeker",47,NA,336,701.833,"ApproachPuttPerformance",2016
12,17,"Jordan Spieth",34,NA,193,398.5,"ApproachPuttPerformance",2016
12,17,"Brett Stegmaier",57,NA,520,1072.5,"ApproachPuttPerformance",2016
12,17,"Steve Stricker",25,NA,200,413.417,"ApproachPuttPerformance",2016
12,17,"Daniel Summerhays",55,NA,445,927.25,"ApproachPuttPerformance",2016
12,17,"Bubba Watson",30,NA,196,407.167,"ApproachPuttPerformance",2016
12,17,"Tim Wilkinson",40,NA,253,523.917,"ApproachPuttPerformance",2016
42,51,"Daniel Berger",52,NA,397,866.833,"ApproachPuttPerformance",2016
42,51,"Shane Bertsch",30,NA,206,444.167,"ApproachPuttPerformance",2016
42,51,"Chad Collins",45,NA,368,798.833,"ApproachPuttPerformance",2016
42,17,"Rickie Fowler",42,NA,340,729.917,"ApproachPuttPerformance",2016
42,51,"Sergio Garcia",28,NA,150,321.167,"ApproachPuttPerformance",2016
42,51,"Retief Goosen",37,NA,328,723.083,"ApproachPuttPerformance",2016
42,51,"Bill Haas",42,NA,317,694.75,"ApproachPuttPerformance",2016
42,51,"Brian Harman",60,NA,471,1038.417,"ApproachPuttPerformance",2016
42,51,"JJ Henry",44,NA,474,1019.583,"ApproachPuttPerformance",2016
42,51,"Jim Herman",55,NA,428,926.5,"ApproachPuttPerformance",2016
42,51,"Billy Horschel",45,NA,358,769.167,"ApproachPuttPerformance",2016
42,51,"Charles Howell III",63,NA,541,1179.833,"ApproachPuttPerformance",2016
42,51,"Billy Hurley III",22,NA,172,371.333,"ApproachPuttPerformance",2016
42,51,"Hiroshi Iwata",51,NA,350,759.917,"ApproachPuttPerformance",2016
42,51,"Zach Johnson",42,NA,348,754,"ApproachPuttPerformance",2016
42,51,"Dustin Johnson",37,NA,202,439.167,"ApproachPuttPerformance",2016
42,51,"Smylie Kaufman",57,NA,439,936.75,"ApproachPuttPerformance",2016
42,51,"Davis Love III",40,NA,371,794.167,"ApproachPuttPerformance",2016
42,17,"Will Ma Kenzie",54,NA,455,970.25,"ApproachPuttPerformance",2016
42,51,"George McNeill",33,NA,295,645.167,"ApproachPuttPerformance",2016
42,51,"Bryce Molder",50,NA,392,844.417,"ApproachPuttPerformance",2016
42,51,"Francesco Molinari",36,NA,349,759.583,"ApproachPuttPerformance",2016
42,51,"Ryan Moore",40,NA,275,598.417,"ApproachPuttPerformance",2016
42,17,"Ian Poulter",37,NA,234,507.167,"ApproachPuttPerformance",2016
42,51,"Chez Reavie",56,NA,473,1016.167,"ApproachPuttPerformance",2016
42,17,"Patrick Reed",53,NA,315,693,"ApproachPuttPerformance",2016
42,51,"Wes Roach",33,NA,229,498,"ApproachPuttPerformance",2016
42,51,"Justin Rose",35,NA,269,579.167,"ApproachPuttPerformance",2016
42,51,"Kyle Stanley",57,NA,495,1076.917,"ApproachPuttPerformance",2016
42,51,"Shawn Stefani",45,NA,397,873.917,"ApproachPuttPerformance",2016
42,17,"Henrik Stenson",30,NA,197,428.667,"ApproachPuttPerformance",2016
42,51,"Darron Stiles",28,NA,184,399.917,"ApproachPuttPerformance",2016
42,51,"Vaughn Taylor",30,NA,265,579.917,"ApproachPuttPerformance",2016
42,17,"Michael Thompson",46,NA,348,749.75,"ApproachPuttPerformance",2016
42,51,"Dawie van der Walt",48,NA,381,837.167,"ApproachPuttPerformance",2016
