"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2016","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2016","TenthTeeEarlyScoringAverage_PLAYERNAME_2016","TenthTeeEarlyScoringAverage_ROUNDS_2016","TenthTeeEarlyScoringAverage_AVG_2016","TenthTeeEarlyScoringAverage_TOTALSTROKES_2016","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2016","stat_name","year"
1,1,"Daniel Summerhays",55,67.43,472,7,"TenthTeeEarlyScoringAverage",2016
2,2,"Bubba Watson",30,67.67,406,6,"TenthTeeEarlyScoringAverage",2016
3,4,"Charles Howell III",63,68.25,819,12,"TenthTeeEarlyScoringAverage",2016
4,5,"Dustin Johnson",37,68.4,342,5,"TenthTeeEarlyScoringAverage",2016
5,3,"Johnson Wagner",44,68.5,411,6,"TenthTeeEarlyScoringAverage",2016
6,7,"Phil Mickelson",37,68.9,689,10,"TenthTeeEarlyScoringAverage",2016
7,9,"Marc Leishman",41,68.91,758,11,"TenthTeeEarlyScoringAverage",2016
8,10,"Kevin Na",52,69,552,8,"TenthTeeEarlyScoringAverage",2016
9,10,"Adam Scott",39,69.1,691,10,"TenthTeeEarlyScoringAverage",2016
10,14,"KJ Choi",47,69.13,553,8,"TenthTeeEarlyScoringAverage",2016
11,15,"David Hearn",55,69.17,830,12,"TenthTeeEarlyScoringAverage",2016
12,10,"Emiliano Grillo",47,69.29,485,7,"TenthTeeEarlyScoringAverage",2016
12,6,"Hideki Matsuyama",40,69.29,485,7,"TenthTeeEarlyScoringAverage",2016
14,16,"Adam Hadwin",53,69.33,832,12,"TenthTeeEarlyScoringAverage",2016
15,21,"Billy Horschel",45,69.42,833,12,"TenthTeeEarlyScoringAverage",2016
16,22,"Jason Day",36,69.43,486,7,"TenthTeeEarlyScoringAverage",2016
17,18,"David Lingmerth",54,69.45,764,11,"TenthTeeEarlyScoringAverage",2016
17,23,"Chez Reavie",56,69.45,764,11,"TenthTeeEarlyScoringAverage",2016
19,24,"Paul Casey",39,69.5,139,2,"TenthTeeEarlyScoringAverage",2016
19,17,"Rickie Fowler",42,69.5,556,8,"TenthTeeEarlyScoringAverage",2016
21,27,"Keegan Bradley",40,69.6,696,10,"TenthTeeEarlyScoringAverage",2016
21,27,"Russell Knox",48,69.6,696,10,"TenthTeeEarlyScoringAverage",2016
23,31,"Patton Kizzire",57,69.62,905,13,"TenthTeeEarlyScoringAverage",2016
24,29,"Padraig Harrington",38,69.63,557,8,"TenthTeeEarlyScoringAverage",2016
24,8,"Henrik Stenson",30,69.63,557,8,"TenthTeeEarlyScoringAverage",2016
24,29,"Jimmy Walker",43,69.63,557,8,"TenthTeeEarlyScoringAverage",2016
27,32,"Ricky Barnes",57,69.69,1115,16,"TenthTeeEarlyScoringAverage",2016
28,19,"Ben Martin",48,69.75,837,12,"TenthTeeEarlyScoringAverage",2016
29,34,"Martin Laird",46,69.77,907,13,"TenthTeeEarlyScoringAverage",2016
30,35,"Ben Crane",48,69.78,628,9,"TenthTeeEarlyScoringAverage",2016
30,24,"Gary Woodland",45,69.78,628,9,"TenthTeeEarlyScoringAverage",2016
32,36,"Stuart Appleby",39,69.8,349,5,"TenthTeeEarlyScoringAverage",2016
33,37,"Michael Thompson",46,69.83,838,12,"TenthTeeEarlyScoringAverage",2016
34,38,"Sung Kang",51,69.85,908,13,"TenthTeeEarlyScoringAverage",2016
35,39,"Brendan Steele",48,69.88,559,8,"TenthTeeEarlyScoringAverage",2016
36,40,"Peter Malnati",53,69.92,909,13,"TenthTeeEarlyScoringAverage",2016
37,41,"Scott Brown",59,69.93,979,14,"TenthTeeEarlyScoringAverage",2016
38,42,"Chad Campbell",54,70,980,14,"TenthTeeEarlyScoringAverage",2016
38,42,"Fabian Gomez",49,70,490,7,"TenthTeeEarlyScoringAverage",2016
38,42,"Freddie Jacobson",54,70,980,14,"TenthTeeEarlyScoringAverage",2016
38,42,"Matt Jones",45,70,630,9,"TenthTeeEarlyScoringAverage",2016
38,42,"Graeme McDowell",33,70,490,7,"TenthTeeEarlyScoringAverage",2016
38,42,"Ryan Moore",40,70,490,7,"TenthTeeEarlyScoringAverage",2016
38,42,"Scott Piercy",45,70,420,6,"TenthTeeEarlyScoringAverage",2016
38,42,"John Senden",48,70,630,9,"TenthTeeEarlyScoringAverage",2016
46,33,"Jamie Lovemark",57,70.08,911,13,"TenthTeeEarlyScoringAverage",2016
46,52,"Greg Owen",56,70.08,841,12,"TenthTeeEarlyScoringAverage",2016
48,53,"Jason Gore",51,70.09,771,11,"TenthTeeEarlyScoringAverage",2016
48,20,"Spencer Levin",62,70.09,771,11,"TenthTeeEarlyScoringAverage",2016
50,55,"Nick Taylor",57,70.17,842,12,"TenthTeeEarlyScoringAverage",2016
51,56,"Anirban Lahiri",44,70.2,702,10,"TenthTeeEarlyScoringAverage",2016
51,56,"David Toms",38,70.2,351,5,"TenthTeeEarlyScoringAverage",2016
51,56,"Tim Wilkinson",40,70.2,1053,15,"TenthTeeEarlyScoringAverage",2016
54,61,"Robert Streb",51,70.22,632,9,"TenthTeeEarlyScoringAverage",2016
55,10,"Byeong Hun An",23,70.25,281,4,"TenthTeeEarlyScoringAverage",2016
55,61,"George McNeill",33,70.25,562,8,"TenthTeeEarlyScoringAverage",2016
55,61,"Louis Oosthuizen",25,70.25,281,4,"TenthTeeEarlyScoringAverage",2016
55,61,"Patrick Rodgers",49,70.25,562,8,"TenthTeeEarlyScoringAverage",2016
55,66,"Justin Rose",35,70.25,562,8,"TenthTeeEarlyScoringAverage",2016
60,66,"Chesson Hadley",51,70.29,492,7,"TenthTeeEarlyScoringAverage",2016
60,66,"Tyrone Van Aswegen",67,70.29,984,14,"TenthTeeEarlyScoringAverage",2016
62,70,"Brian Harman",60,70.3,703,10,"TenthTeeEarlyScoringAverage",2016
63,65,"Lucas Glover",53,70.33,844,12,"TenthTeeEarlyScoringAverage",2016
63,70,"Zach Johnson",42,70.33,633,9,"TenthTeeEarlyScoringAverage",2016
63,54,"Jhonattan Vegas",49,70.33,1055,15,"TenthTeeEarlyScoringAverage",2016
66,60,"Kevin Kisner",49,70.4,704,10,"TenthTeeEarlyScoringAverage",2016
66,70,"Jeff Overton",51,70.4,704,10,"TenthTeeEarlyScoringAverage",2016
66,73,"Charl Schwartzel",29,70.4,352,5,"TenthTeeEarlyScoringAverage",2016
69,74,"Luke Donald",49,70.43,493,7,"TenthTeeEarlyScoringAverage",2016
69,42,"Rory McIlroy",37,70.43,493,7,"TenthTeeEarlyScoringAverage",2016
71,75,"Alex Cejka",47,70.44,634,9,"TenthTeeEarlyScoringAverage",2016
72,76,"Aaron Baddeley",51,70.5,1128,16,"TenthTeeEarlyScoringAverage",2016
72,76,"Jordan Spieth",34,70.5,423,6,"TenthTeeEarlyScoringAverage",2016
72,76,"Scott Stallings",46,70.5,282,4,"TenthTeeEarlyScoringAverage",2016
72,42,"Brian Stuard",24,70.5,423,6,"TenthTeeEarlyScoringAverage",2016
76,81,"Luke List",51,70.53,1058,15,"TenthTeeEarlyScoringAverage",2016
77,83,"Bryce Molder",50,70.57,494,7,"TenthTeeEarlyScoringAverage",2016
78,76,"Kyle Reifers",63,70.59,1200,17,"TenthTeeEarlyScoringAverage",2016
79,85,"Sergio Garcia",28,70.6,353,5,"TenthTeeEarlyScoringAverage",2016
80,86,"Sean OHair",45,70.63,565,8,"TenthTeeEarlyScoringAverage",2016
80,86,"Vaughn Taylor",30,70.63,565,8,"TenthTeeEarlyScoringAverage",2016
82,89,"Roberto Castro",55,70.67,848,12,"TenthTeeEarlyScoringAverage",2016
82,89,"Jason Dufner",53,70.67,848,12,"TenthTeeEarlyScoringAverage",2016
82,88,"Harris English",51,70.67,848,12,"TenthTeeEarlyScoringAverage",2016
82,89,"Jerry Kelly",44,70.67,424,6,"TenthTeeEarlyScoringAverage",2016
82,84,"Jason Kokrak",52,70.67,1272,18,"TenthTeeEarlyScoringAverage",2016
82,89,"Steve Stricker",25,70.67,636,9,"TenthTeeEarlyScoringAverage",2016
88,95,"Jon Curran",55,70.69,1131,16,"TenthTeeEarlyScoringAverage",2016
88,76,"Justin Thomas",53,70.69,919,13,"TenthTeeEarlyScoringAverage",2016
90,96,"Bronson Burgoon",53,70.7,707,10,"TenthTeeEarlyScoringAverage",2016
90,96,"Graham DeLaet",50,70.7,707,10,"TenthTeeEarlyScoringAverage",2016
92,98,"Matt Kuchar",46,70.71,990,14,"TenthTeeEarlyScoringAverage",2016
92,24,"Steve Marino",40,70.71,495,7,"TenthTeeEarlyScoringAverage",2016
94,82,"Tom Hoge",47,70.75,849,12,"TenthTeeEarlyScoringAverage",2016
94,99,"Chris Kirk",51,70.75,566,8,"TenthTeeEarlyScoringAverage",2016
94,66,"Ollie Schniederjans",23,70.75,566,8,"TenthTeeEarlyScoringAverage",2016
97,100,"Brendon de Jonge",55,70.78,1274,18,"TenthTeeEarlyScoringAverage",2016
97,100,"Rob Oppenheim",37,70.78,637,9,"TenthTeeEarlyScoringAverage",2016
99,106,"Scott Langley",41,70.82,779,11,"TenthTeeEarlyScoringAverage",2016
99,103,"William McGirt",54,70.82,779,11,"TenthTeeEarlyScoringAverage",2016
101,56,"Jamie Donaldson",28,70.83,425,6,"TenthTeeEarlyScoringAverage",2016
102,105,"Brandt Snedeker",47,70.86,992,14,"TenthTeeEarlyScoringAverage",2016
103,108,"Jonas Blixt",46,70.92,922,13,"TenthTeeEarlyScoringAverage",2016
103,107,"Mark Wilson",42,70.92,851,12,"TenthTeeEarlyScoringAverage",2016
105,109,"Shane Bertsch",30,71,781,11,"TenthTeeEarlyScoringAverage",2016
105,89,"Tony Finau",49,71,710,10,"TenthTeeEarlyScoringAverage",2016
105,102,"JB Holmes",39,71,426,6,"TenthTeeEarlyScoringAverage",2016
105,109,"Danny Lee",53,71,568,8,"TenthTeeEarlyScoringAverage",2016
105,109,"Lucas Lee",22,71,213,3,"TenthTeeEarlyScoringAverage",2016
105,109,"Cameron Percy",22,71,213,3,"TenthTeeEarlyScoringAverage",2016
105,89,"Vijay Singh",42,71,497,7,"TenthTeeEarlyScoringAverage",2016
105,109,"Kevin Streelman",46,71,497,7,"TenthTeeEarlyScoringAverage",2016
113,116,"Brett Stegmaier",57,71.07,995,14,"TenthTeeEarlyScoringAverage",2016
114,118,"Hiroshi Iwata",51,71.09,782,11,"TenthTeeEarlyScoringAverage",2016
115,120,"John Huh",51,71.11,640,9,"TenthTeeEarlyScoringAverage",2016
116,121,"Zac Blair",56,71.13,1138,16,"TenthTeeEarlyScoringAverage",2016
117,123,"DJ Trahan",23,71.17,427,6,"TenthTeeEarlyScoringAverage",2016
118,124,"Francesco Molinari",36,71.2,712,10,"TenthTeeEarlyScoringAverage",2016
118,109,"Shawn Stefani",45,71.2,712,10,"TenthTeeEarlyScoringAverage",2016
120,140,"Colt Knost",56,71.22,641,9,"TenthTeeEarlyScoringAverage",2016
121,125,"Kyle Stanley",57,71.23,926,13,"TenthTeeEarlyScoringAverage",2016
122,126,"Michael Kim",62,71.24,1211,17,"TenthTeeEarlyScoringAverage",2016
123,127,"Miguel Angel Carballo",24,71.25,570,8,"TenthTeeEarlyScoringAverage",2016
124,119,"Boo Weekley",53,71.27,784,11,"TenthTeeEarlyScoringAverage",2016
125,129,"Mark Hubbard",73,71.3,1426,20,"TenthTeeEarlyScoringAverage",2016
126,116,"Morgan Hoffmann",43,71.31,1141,16,"TenthTeeEarlyScoringAverage",2016
127,103,"Dawie van der Walt",48,71.33,856,12,"TenthTeeEarlyScoringAverage",2016
128,130,"Carlos Ortiz",47,71.36,999,14,"TenthTeeEarlyScoringAverage",2016
129,133,"Erik Compton",45,71.38,928,13,"TenthTeeEarlyScoringAverage",2016
130,131,"Pat Perez",28,71.43,500,7,"TenthTeeEarlyScoringAverage",2016
130,109,"Webb Simpson",34,71.43,500,7,"TenthTeeEarlyScoringAverage",2016
132,132,"Whee Kim",54,71.47,1215,17,"TenthTeeEarlyScoringAverage",2016
133,122,"Kevin Chappell",49,71.5,572,8,"TenthTeeEarlyScoringAverage",2016
133,150,"Ian Poulter",37,71.5,572,8,"TenthTeeEarlyScoringAverage",2016
135,135,"Will Ma Kenzie",54,71.54,930,13,"TenthTeeEarlyScoringAverage",2016
136,136,"Stewart Cink",45,71.55,787,11,"TenthTeeEarlyScoringAverage",2016
137,133,"Harold Varner III",58,71.56,644,9,"TenthTeeEarlyScoringAverage",2016
138,137,"Carl Pettersson",31,71.57,501,7,"TenthTeeEarlyScoringAverage",2016
139,137,"Chad Collins",45,71.6,1074,15,"TenthTeeEarlyScoringAverage",2016
139,142,"Si Woo Kim",63,71.6,716,10,"TenthTeeEarlyScoringAverage",2016
139,139,"Dicky Pride",33,71.6,358,5,"TenthTeeEarlyScoringAverage",2016
