"PuttingAverage_RANKTHISWEEK_2009","PuttingAverage_RANKLASTWEEK_2009","PuttingAverage_PLAYERNAME_2009","PuttingAverage_ROUNDS_2009","PuttingAverage_AVG_2009","PuttingAverage_GIRPUTTS_2009","PuttingAverage_GREENSHIT_2009","PuttingAverage_BIRDIECONVERSION_2009","PuttingAverage_GIRRANK_2009","stat_name","year"
1,1,"Steve Stricker",81,1.726,1636,948,32.17,57,"PuttingAverage",2009
2,2,"Harrison Frazar",93,1.727,1817,1052,32.89,87,"PuttingAverage",2009
2,2,"Anthony Kim",76,1.727,1442,835,35.77,164,"PuttingAverage",2009
4,4,"Luke Donald",79,1.729,1490,862,31.13,157,"PuttingAverage",2009
4,4,"Charlie Wi",92,1.729,1853,1072,31.21,120,"PuttingAverage",2009
6,6,"Joe Ogilvie",85,1.731,1612,931,32.8,171,"PuttingAverage",2009
7,7,"Justin Leonard",95,1.732,1902,1098,31.27,45,"PuttingAverage",2009
8,8,"Aaron Baddeley",66,1.733,1208,697,32.66,181,"PuttingAverage",2009
9,9,"Greg Chalmers",85,1.736,1576,908,31.64,100,"PuttingAverage",2009
9,9,"Tim Clark",81,1.736,1632,940,31.88,48,"PuttingAverage",2009
9,9,"Bob Heintz",59,1.736,1111,640,30.16,121,"PuttingAverage",2009
12,12,"Stephen Ames",77,1.737,1588,914,32.89,30,"PuttingAverage",2009
13,13,"Daniel Chopra",89,1.738,1757,1011,33.53,152,"PuttingAverage",2009
13,13,"Vaughn Taylor",88,1.738,1707,982,30.88,110,"PuttingAverage",2009
13,13,"Dean Wilson",81,1.738,1566,901,31.18,109,"PuttingAverage",2009
16,16,"Kevin Na",91,1.739,1749,1006,31.27,131,"PuttingAverage",2009
17,17,"Chris Riley",77,1.74,1441,828,29.81,115,"PuttingAverage",2009
18,18,"Brian Gay",96,1.741,1800,1034,29.88,168,"PuttingAverage",2009
18,18,"Corey Pavin",73,1.741,1283,737,28.38,158,"PuttingAverage",2009
18,18,"Scott Verplank",88,1.741,1764,1013,29.7,47,"PuttingAverage",2009
21,21,"Brian Davis",103,1.742,2007,1152,32.09,121,"PuttingAverage",2009
21,21,"Jim Furyk",86,1.742,1705,979,30.05,98,"PuttingAverage",2009
23,23,"Jason Day",61,1.743,1077,618,33.12,117,"PuttingAverage",2009
23,23,"Tiger Woods",64,1.743,1332,764,33.25,16,"PuttingAverage",2009
25,25,"Webb Simpson",94,1.744,1847,1059,31.37,166,"PuttingAverage",2009
25,25,"Bo Van Pelt",100,1.744,1927,1105,32.28,54,"PuttingAverage",2009
27,27,"Ben Crane",93,1.747,1897,1086,30.21,113,"PuttingAverage",2009
27,27,"Pat Perez",74,1.747,1429,818,31.13,151,"PuttingAverage",2009
29,29,"Dustin Johnson",85,1.748,1746,999,32.8,80,"PuttingAverage",2009
29,29,"Jerry Kelly",90,1.748,1668,954,31.2,124,"PuttingAverage",2009
29,29,"Matt Kuchar",82,1.748,1657,948,31.47,132,"PuttingAverage",2009
29,29,"Geoff Ogilvy",78,1.748,1456,833,31.69,128,"PuttingAverage",2009
33,33,"Mike Weir",85,1.749,1667,953,30.88,156,"PuttingAverage",2009
34,34,"Zach Johnson",94,1.75,1965,1123,30.03,28,"PuttingAverage",2009
35,35,"Charley Hoffman",97,1.753,2044,1166,31.73,53,"PuttingAverage",2009
35,35,"Phil Mickelson",66,1.753,1278,729,32.74,127,"PuttingAverage",2009
35,35,"Brandt Snedeker",81,1.753,1553,886,29.67,138,"PuttingAverage",2009
38,38,"David Duval",56,1.754,1077,614,29.58,179,"PuttingAverage",2009
38,38,"Ryuji Imada",85,1.754,1649,940,29.61,172,"PuttingAverage",2009
40,40,"Paul Goydos",79,1.755,1543,879,29.83,145,"PuttingAverage",2009
40,40,"David Toms",98,1.755,2029,1156,29.14,20,"PuttingAverage",2009
42,42,"Kris Blanks",60,1.756,1131,644,31.73,70,"PuttingAverage",2009
42,42,"Jonathan Byrd",89,1.756,1896,1080,31.82,2,"PuttingAverage",2009
42,42,"Jeff Quinney",78,1.756,1563,890,29.73,146,"PuttingAverage",2009
45,45,"George McNeill",82,1.757,1611,917,30.9,142,"PuttingAverage",2009
46,46,"Bob Estes",78,1.758,1586,902,28.54,129,"PuttingAverage",2009
46,46,"Hunter Mahan",94,1.758,1990,1132,32.42,19,"PuttingAverage",2009
46,46,"John Mallinger",90,1.758,1763,1003,28.8,115,"PuttingAverage",2009
46,46,"Bryce Molder",69,1.758,1296,737,29.35,40,"PuttingAverage",2009
46,46,"James Nitties",86,1.758,1644,935,30.23,147,"PuttingAverage",2009
51,51,"Lucas Glover",93,1.759,1933,1099,31.69,88,"PuttingAverage",2009
52,52,"Matt Weibring",65,1.76,1227,697,31.89,90,"PuttingAverage",2009
53,53,"Freddie Jacobson",83,1.761,1625,923,29.69,148,"PuttingAverage",2009
54,54,"Fred Couples",54,1.762,1149,652,32,42,"PuttingAverage",2009
54,54,"Bubba Watson",73,1.762,1487,844,31.5,132,"PuttingAverage",2009
56,56,"Brad Faxon",59,1.763,980,556,27.88,184,"PuttingAverage",2009
56,56,"Retief Goosen",74,1.763,1444,819,29.38,170,"PuttingAverage",2009
58,58,"Steve Marino",98,1.765,2038,1155,29.37,21,"PuttingAverage",2009
58,58,"Scott McCarron",91,1.765,1890,1071,29.07,104,"PuttingAverage",2009
58,58,"Parker McLachlin",71,1.765,1317,746,30.97,182,"PuttingAverage",2009
61,61,"Martin Laird",72,1.766,1476,836,32.1,67,"PuttingAverage",2009
