"TotalMoneyOfficialandUnofficial_RANKTHISWEEK_2009","TotalMoneyOfficialandUnofficial_RANKLASTWEEK_2009","TotalMoneyOfficialandUnofficial_PLAYERNAME_2009","TotalMoneyOfficialandUnofficial_EVENTS_2009","TotalMoneyOfficialandUnofficial_MONEY_2009","stat_name","year"
1,1,"Tiger Woods",20,10748163,"TotalMoneyOfficialandUnofficial",2009
2,3,"Steve Stricker",25,6897636,"TotalMoneyOfficialandUnofficial",2009
3,2,"Phil Mickelson",20,6532755,"TotalMoneyOfficialandUnofficial",2009
4,4,"Jim Furyk",25,5296515,"TotalMoneyOfficialandUnofficial",2009
5,6,"Zach Johnson",30,5101063,"TotalMoneyOfficialandUnofficial",2009
6,5,"Sean OHair",27,5092993,"TotalMoneyOfficialandUnofficial",2009
7,7,"Kenny Perry",28,4885229,"TotalMoneyOfficialandUnofficial",2009
8,8,"Lucas Glover",29,4467580,"TotalMoneyOfficialandUnofficial",2009
9,9,"YE Yang",28,3999516,"TotalMoneyOfficialandUnofficial",2009
10,10,"Geoff Ogilvy",22,3965841,"TotalMoneyOfficialandUnofficial",2009
11,11,"Nick Watney",27,3605421,"TotalMoneyOfficialandUnofficial",2009
12,12,"Stewart Cink",27,3442780,"TotalMoneyOfficialandUnofficial",2009
13,13,"Retief Goosen",23,3432221,"TotalMoneyOfficialandUnofficial",2009
14,15,"Brian Gay",29,3340128,"TotalMoneyOfficialandUnofficial",2009
15,14,"Hunter Mahan",28,3311349,"TotalMoneyOfficialandUnofficial",2009
16,16,"Anthony Kim",26,3234227,"TotalMoneyOfficialandUnofficial",2009
17,17,"Henrik Stenson",13,3205310,"TotalMoneyOfficialandUnofficial",2009
18,18,"David Toms",28,3197198,"TotalMoneyOfficialandUnofficial",2009
19,19,"Padraig Harrington",22,3139710,"TotalMoneyOfficialandUnofficial",2009
20,20,"Dustin Johnson",26,3069151,"TotalMoneyOfficialandUnofficial",2009
21,21,"Ian Poulter",22,3060334,"TotalMoneyOfficialandUnofficial",2009
22,29,"Jerry Kelly",28,2974148,"TotalMoneyOfficialandUnofficial",2009
23,22,"Angel Cabrera",19,2925472,"TotalMoneyOfficialandUnofficial",2009
24,23,"Ernie Els",22,2922157,"TotalMoneyOfficialandUnofficial",2009
25,24,"Rory Sabbatini",27,2856624,"TotalMoneyOfficialandUnofficial",2009
26,25,"Paul Casey",14,2764681,"TotalMoneyOfficialandUnofficial",2009
27,27,"Matt Kuchar",27,2738693,"TotalMoneyOfficialandUnofficial",2009
28,26,"Kevin Na",26,2724825,"TotalMoneyOfficialandUnofficial",2009
29,28,"Ryan Moore",28,2652871,"TotalMoneyOfficialandUnofficial",2009
30,31,"Justin Leonard",29,2544044,"TotalMoneyOfficialandUnofficial",2009
31,30,"Mike Weir",26,2541922,"TotalMoneyOfficialandUnofficial",2009
32,35,"Tim Clark",25,2396772,"TotalMoneyOfficialandUnofficial",2009
33,32,"John Senden",29,2305492,"TotalMoneyOfficialandUnofficial",2009
34,33,"John Rollins",27,2269475,"TotalMoneyOfficialandUnofficial",2009
35,42,"Scott Verplank",25,2253780,"TotalMoneyOfficialandUnofficial",2009
36,34,"Jason Dufner",27,2235792,"TotalMoneyOfficialandUnofficial",2009
37,36,"Camilo Villegas",25,2228814,"TotalMoneyOfficialandUnofficial",2009
38,37,"Steve Marino",30,2196539,"TotalMoneyOfficialandUnofficial",2009
39,38,"Heath Slocum",30,2195565,"TotalMoneyOfficialandUnofficial",2009
40,39,"Luke Donald",21,2174947,"TotalMoneyOfficialandUnofficial",2009
41,40,"Stephen Ames",23,2131538,"TotalMoneyOfficialandUnofficial",2009
42,43,"Graeme McDowell",15,2120141,"TotalMoneyOfficialandUnofficial",2009
