"RyderCupEuroPoints_RANKTHISWEEK_2014","RyderCupEuroPoints_RANKLASTWEEK_2014","RyderCupEuroPoints_PLAYERNAME_2014","RyderCupEuroPoints__2014","RyderCupEuroPoints_POINTS_2014","stat_name","year"
1,1,"Rory McIlroy",NA,5537075.35,"RyderCupEuroPoints",2014
2,2,"Henrik Stenson",NA,2893568.55,"RyderCupEuroPoints",2014
3,3,"Victor Dubuisson",NA,2880182.84,"RyderCupEuroPoints",2014
4,4,"Jamie Donaldson",NA,2676347.42,"RyderCupEuroPoints",2014
5,5,"Sergio Garcia",NA,2539593,"RyderCupEuroPoints",2014
6,6,"Thomas Bjorn",NA,2489768.8,"RyderCupEuroPoints",2014
7,7,"Justin Rose",NA,2138323.13,"RyderCupEuroPoints",2014
8,8,"Martin Kaymer",NA,2006411.16,"RyderCupEuroPoints",2014
9,9,"Ian Poulter",NA,1962706.58,"RyderCupEuroPoints",2014
10,10,"Joost Luiten",NA,1734717.38,"RyderCupEuroPoints",2014
11,11,"Stephen Gallacher",NA,1698110.27,"RyderCupEuroPoints",2014
12,12,"Graeme McDowell",NA,1668114.17,"RyderCupEuroPoints",2014
13,13,"Miguel Angel Jimenez",NA,1579636.6,"RyderCupEuroPoints",2014
14,14,"Francesco Molinari",NA,1461393.9,"RyderCupEuroPoints",2014
15,15,"Gonzalo Fdez Castano",NA,1316359.98,"RyderCupEuroPoints",2014
16,16,"Mikko Ilonen",NA,1254682.98,"RyderCupEuroPoints",2014
17,17,"Shane Lowry",NA,1248904.89,"RyderCupEuroPoints",2014
18,18,"David Howell",NA,1198954.51,"RyderCupEuroPoints",2014
19,19,"Lee Westwood",NA,1167563.39,"RyderCupEuroPoints",2014
20,20,"Pablo Larrazabal",NA,1112458.64,"RyderCupEuroPoints",2014
21,21,"Ross Fisher",NA,1082897.93,"RyderCupEuroPoints",2014
22,22,"Jonas Blixt",NA,1040440.37,"RyderCupEuroPoints",2014
23,23,"Marc Warren",NA,1001894.22,"RyderCupEuroPoints",2014
24,24,"Bernd Wiesberger",NA,1001568.57,"RyderCupEuroPoints",2014
25,25,"Tommy Fleetwood",NA,975011.96,"RyderCupEuroPoints",2014
26,26,"Rafa Cabrera Bello",NA,950532.5,"RyderCupEuroPoints",2014
27,27,"Gregory Bourdy",NA,886232.12,"RyderCupEuroPoints",2014
28,28,"Luke Donald",NA,866608.51,"RyderCupEuroPoints",2014
29,29,"Julien Quesne",NA,803799.1,"RyderCupEuroPoints",2014
30,30,"Alejandro Canizares",NA,793872.97,"RyderCupEuroPoints",2014
31,31,"Alexander Levy",NA,764970.73,"RyderCupEuroPoints",2014
32,32,"Kristoffer Broberg",NA,758184.5,"RyderCupEuroPoints",2014
33,33,"Simon Dyson",NA,727285.29,"RyderCupEuroPoints",2014
34,34,"Matteo Manassero",NA,712099.58,"RyderCupEuroPoints",2014
35,35,"Danny Willett",NA,694354.64,"RyderCupEuroPoints",2014
36,36,"Chris Wood",NA,673328.69,"RyderCupEuroPoints",2014
37,37,"Edoardo Molinari",NA,646196.7,"RyderCupEuroPoints",2014
38,38,"David Horsey",NA,638771.3,"RyderCupEuroPoints",2014
39,39,"David Lynn",NA,627012.66,"RyderCupEuroPoints",2014
40,40,"Craig Lee",NA,597009.52,"RyderCupEuroPoints",2014
41,41,"Matthew Baldwin",NA,575087.03,"RyderCupEuroPoints",2014
42,42,"Marcel Siem",NA,571555.15,"RyderCupEuroPoints",2014
43,43,"Robert Karlsson",NA,569153.71,"RyderCupEuroPoints",2014
44,44,"Scott Jamieson",NA,565379.28,"RyderCupEuroPoints",2014
45,45,"Michael Hoey",NA,550809.71,"RyderCupEuroPoints",2014
46,46,"Paul Casey",NA,548373.84,"RyderCupEuroPoints",2014
47,47,"Romain Wattel",NA,541509.51,"RyderCupEuroPoints",2014
48,48,"Raphael Jacquelin",NA,525098.67,"RyderCupEuroPoints",2014
49,49,"Thorbjorn Olesen",NA,518155.56,"RyderCupEuroPoints",2014
50,50,"Soren Kjeldsen",NA,502293.06,"RyderCupEuroPoints",2014
51,51,"Morten Orum Madsen",NA,495260.38,"RyderCupEuroPoints",2014
52,52,"Oliver Fisher",NA,493589.57,"RyderCupEuroPoints",2014
53,53,"Andy Sullivan",NA,484658.95,"RyderCupEuroPoints",2014
54,54,"Tom Lewis",NA,465676.74,"RyderCupEuroPoints",2014
55,55,"Gregory Havret",NA,454611.12,"RyderCupEuroPoints",2014
56,56,"Peter Hanson",NA,449604.75,"RyderCupEuroPoints",2014
57,57,"Paul Waring",NA,433225.92,"RyderCupEuroPoints",2014
58,58,"Damian McGrane",NA,428207.68,"RyderCupEuroPoints",2014
59,59,"Alvaro Quiros",NA,426119.46,"RyderCupEuroPoints",2014
60,60,"Tyrrell Hatton",NA,413886.19,"RyderCupEuroPoints",2014
61,61,"Eduardo De La Riva",NA,392602.51,"RyderCupEuroPoints",2014
62,62,"Maximilian Kieffer",NA,391371.42,"RyderCupEuroPoints",2014
63,63,"Magnus Carlsson",NA,387149.14,"RyderCupEuroPoints",2014
64,64,"Richie Ramsay",NA,375263.17,"RyderCupEuroPoints",2014
65,65,"Robert Jan Derksen",NA,365807.01,"RyderCupEuroPoints",2014
66,66,"Seve Benson",NA,364989.91,"RyderCupEuroPoints",2014
67,67,"Steve Webster",NA,356434.57,"RyderCupEuroPoints",2014
68,68,"Jorge Campillo",NA,343191.22,"RyderCupEuroPoints",2014
69,69,"Anders Hansen",NA,340102.18,"RyderCupEuroPoints",2014
70,70,"Nicolas Colsaerts",NA,338152.13,"RyderCupEuroPoints",2014
71,71,"Richard Finch",NA,337600.18,"RyderCupEuroPoints",2014
72,72,"Eddie Pepperell",NA,328442.23,"RyderCupEuroPoints",2014
73,73,"Bradley Dredge",NA,318333.21,"RyderCupEuroPoints",2014
74,74,"Padraig Harrington",NA,297531.82,"RyderCupEuroPoints",2014
75,75,"Chris Doak",NA,293736.43,"RyderCupEuroPoints",2014
76,76,"Rich Bland",NA,283128.35,"RyderCupEuroPoints",2014
77,77,"Thomas Pieters",NA,271615.27,"RyderCupEuroPoints",2014
78,78,"Paul Lawrie",NA,266619.56,"RyderCupEuroPoints",2014
79,79,"Mikael Lundberg",NA,263940.5,"RyderCupEuroPoints",2014
80,80,"Soren Hansen",NA,258759.42,"RyderCupEuroPoints",2014
81,81,"Robert Rock",NA,256508.77,"RyderCupEuroPoints",2014
82,82,"David Drysdale",NA,253217.82,"RyderCupEuroPoints",2014
83,83,"Anthony Wall",NA,236702.52,"RyderCupEuroPoints",2014
84,84,"Ricardo Santos",NA,228546.78,"RyderCupEuroPoints",2014
85,85,"Mikko Korhonen",NA,225576.33,"RyderCupEuroPoints",2014
86,86,"Gary Stal",NA,219354.26,"RyderCupEuroPoints",2014
87,87,"Rikard Karlberg",NA,212557.15,"RyderCupEuroPoints",2014
88,88,"Marco Crespi",NA,211169.47,"RyderCupEuroPoints",2014
89,89,"Darren Clarke",NA,210078.89,"RyderCupEuroPoints",2014
90,90,"James Morrison",NA,208497.72,"RyderCupEuroPoints",2014
91,91,"Carlos Del Moral",NA,207902.14,"RyderCupEuroPoints",2014
92,92,"Mark Foster",NA,202567.91,"RyderCupEuroPoints",2014
93,93,"David Higgins",NA,200624.6,"RyderCupEuroPoints",2014
94,94,"Simon Wakefield",NA,193939.39,"RyderCupEuroPoints",2014
95,95,"Lee Slattery",NA,187247.22,"RyderCupEuroPoints",2014
96,96,"Graeme Storm",NA,186708.68,"RyderCupEuroPoints",2014
97,97,"Johan Carlsson",NA,181640.18,"RyderCupEuroPoints",2014
98,98,"Simon Thornton",NA,177359.43,"RyderCupEuroPoints",2014
99,99,"Gareth Maybin",NA,176219.25,"RyderCupEuroPoints",2014
100,100,"Lucas Bjerregaard",NA,173503.02,"RyderCupEuroPoints",2014
101,101,"Stuart Manley",NA,170454.56,"RyderCupEuroPoints",2014
102,102,"Bernhard Langer",NA,169453.48,"RyderCupEuroPoints",2014
103,103,"Roope Kakko",NA,160048.84,"RyderCupEuroPoints",2014
104,104,"Joachim B Hansen",NA,159157.65,"RyderCupEuroPoints",2014
105,105,"Fredrik Andersson Hed",NA,154606.94,"RyderCupEuroPoints",2014
106,106,"Adrien Saddier",NA,136224.35,"RyderCupEuroPoints",2014
107,107,"Victor Riu",NA,134672.34,"RyderCupEuroPoints",2014
108,108,"Simon Khan",NA,133692.88,"RyderCupEuroPoints",2014
109,109,"Daniel Brooks",NA,132491.09,"RyderCupEuroPoints",2014
110,110,"Daan Huizing",NA,130723.5,"RyderCupEuroPoints",2014
111,111,"Nacho Elvira",NA,125624.22,"RyderCupEuroPoints",2014
112,112,"Thomas Levet",NA,124870.84,"RyderCupEuroPoints",2014
113,113,"Philip Archer",NA,119349.11,"RyderCupEuroPoints",2014
114,114,"John Parry",NA,118902.24,"RyderCupEuroPoints",2014
115,115,"Andrea Pavan",NA,118174.55,"RyderCupEuroPoints",2014
116,116,"Kevin Phelan",NA,104845,"RyderCupEuroPoints",2014
117,117,"Adam Gee",NA,104251.29,"RyderCupEuroPoints",2014
118,118,"Jose Maria Olazabal",NA,102960,"RyderCupEuroPoints",2014
119,119,"Chris Paisley",NA,102238.88,"RyderCupEuroPoints",2014
120,120,"Scott Henry",NA,101826.24,"RyderCupEuroPoints",2014
121,121,"James Heath",NA,91486.67,"RyderCupEuroPoints",2014
122,122,"Sam Walker",NA,89405,"RyderCupEuroPoints",2014
123,123,"Alexandre Kaleka",NA,88079.17,"RyderCupEuroPoints",2014
124,124,"Jens Dantorp",NA,85407.5,"RyderCupEuroPoints",2014
125,125,"Peter Hedblom",NA,85030.08,"RyderCupEuroPoints",2014
126,126,"Peter Whiteford",NA,83935.53,"RyderCupEuroPoints",2014
127,127,"Espen Kofstad",NA,83771.44,"RyderCupEuroPoints",2014
128,128,"Joel Sjoholm",NA,83023.46,"RyderCupEuroPoints",2014
129,129,"Colin Montgomerie",NA,81151.14,"RyderCupEuroPoints",2014
130,130,"Jordi Garcia Pinto",NA,79635,"RyderCupEuroPoints",2014
131,131,"Alastair Forsyth",NA,78070.47,"RyderCupEuroPoints",2014
132,132,"Jose Filipe Lima",NA,74490.57,"RyderCupEuroPoints",2014
133,133,"Francois Calmels",NA,64116.55,"RyderCupEuroPoints",2014
134,134,"Niclas Fasth",NA,60940.62,"RyderCupEuroPoints",2014
135,135,"Stephen Dodd",NA,60708.33,"RyderCupEuroPoints",2014
136,136,"Jose Manuel Lara",NA,60596.02,"RyderCupEuroPoints",2014
137,137,"Peter Lawrie",NA,58992.68,"RyderCupEuroPoints",2014
138,138,"Alex Cejka",NA,58390.02,"RyderCupEuroPoints",2014
139,139,"Lasse Jensen",NA,58387.5,"RyderCupEuroPoints",2014
140,140,"Johan Edfors",NA,57436.28,"RyderCupEuroPoints",2014
141,141,"Alessandro Tadini",NA,55961.87,"RyderCupEuroPoints",2014
142,142,"Sam Hutsby",NA,52070,"RyderCupEuroPoints",2014
143,143,"Alexander Noren",NA,51544.61,"RyderCupEuroPoints",2014
144,144,"Rhys Davies",NA,46988,"RyderCupEuroPoints",2014
145,145,"Jamie McLeary",NA,46709.6,"RyderCupEuroPoints",2014
146,146,"Michael Jonzon",NA,46573.88,"RyderCupEuroPoints",2014
147,147,"Robert Dinwiddie",NA,45732.75,"RyderCupEuroPoints",2014
148,148,"Richard McEvoy",NA,45150.54,"RyderCupEuroPoints",2014
149,149,"Robert Coles",NA,44965.54,"RyderCupEuroPoints",2014
150,150,"Edouard Dubois",NA,40606.28,"RyderCupEuroPoints",2014
151,151,"Andrew Marshall",NA,40102.09,"RyderCupEuroPoints",2014
152,152,"Patrik Sjoland",NA,39861.5,"RyderCupEuroPoints",2014
153,153,"Bjorn Akesson",NA,39782.23,"RyderCupEuroPoints",2014
154,154,"Jack Doherty",NA,37421,"RyderCupEuroPoints",2014
155,155,"Garrick Porteous",NA,35328.33,"RyderCupEuroPoints",2014
156,156,"Andrew McCarthy",NA,34725,"RyderCupEuroPoints",2014
157,157,"Julien Guerrier",NA,33215,"RyderCupEuroPoints",2014
158,158,"Oscar Floren",NA,29906.96,"RyderCupEuroPoints",2014
159,159,"Kenneth Ferrie",NA,29633.33,"RyderCupEuroPoints",2014
160,160,"Gary Lockerbie",NA,29328.36,"RyderCupEuroPoints",2014
161,161,"Florian Fritsch",NA,25000,"RyderCupEuroPoints",2014
162,162,"Alvaro Velasco",NA,24300,"RyderCupEuroPoints",2014
163,163,"Javier Colomo",NA,23633.33,"RyderCupEuroPoints",2014
164,164,"Sandy Lyle",NA,23518.74,"RyderCupEuroPoints",2014
165,165,"Martin Laird",NA,21820.3,"RyderCupEuroPoints",2014
166,166,"Matt Ford",NA,21064.77,"RyderCupEuroPoints",2014
167,167,"Carlos Pigem",NA,20691.24,"RyderCupEuroPoints",2014
168,168,"Andrew Johnston",NA,20585,"RyderCupEuroPoints",2014
169,169,"Michael Lorenzo Vera",NA,20460,"RyderCupEuroPoints",2014
