"BogeyAvoidance_RANKTHISWEEK_2012","BogeyAvoidance_RANKLASTWEEK_2012","BogeyAvoidance_PLAYERNAME_2012","BogeyAvoidance_ROUNDS_2012","BogeyAvoidance_PctMAKESBOGEY_2012","BogeyAvoidance_BOGEYS_2012","BogeyAvoidance_HOLESPLAYED_2012","stat_name","year"
1,1,"Jim Furyk",85,12.96,196,1512,"BogeyAvoidance",2012
2,2,"Jason Dufner",83,14.02,207,1476,"BogeyAvoidance",2012
3,3,"Tiger Woods",69,14.18,171,1206,"BogeyAvoidance",2012
4,4,"Justin Rose",69,14.22,174,1224,"BogeyAvoidance",2012
5,5,"Steve Stricker",73,14.44,182,1260,"BogeyAvoidance",2012
6,6,"Ben Curtis",62,14.52,162,1116,"BogeyAvoidance",2012
7,7,"Luke Donald",63,14.61,163,1116,"BogeyAvoidance",2012
8,8,"Brian Gay",91,14.62,229,1566,"BogeyAvoidance",2012
9,9,"Matt Kuchar",86,14.77,218,1476,"BogeyAvoidance",2012
10,10,"Russell Knox",72,15.03,184,1224,"BogeyAvoidance",2012
11,11,"Bubba Watson",68,15.07,179,1188,"BogeyAvoidance",2012
12,12,"Bud Cauley",99,15.1,269,1782,"BogeyAvoidance",2012
13,13,"Billy Horschel",63,15.16,161,1062,"BogeyAvoidance",2012
14,14,"Brendon de Jonge",115,15.22,315,2070,"BogeyAvoidance",2012
15,15,"Bryce Molder",83,15.47,220,1422,"BogeyAvoidance",2012
16,16,"Webb Simpson",77,15.57,213,1368,"BogeyAvoidance",2012
16,16,"Kevin Stadler",85,15.57,227,1458,"BogeyAvoidance",2012
18,18,"Jonas Blixt",72,15.66,203,1296,"BogeyAvoidance",2012
18,18,"Will Claxton",99,15.66,279,1782,"BogeyAvoidance",2012
20,20,"David Hearn",95,15.67,268,1710,"BogeyAvoidance",2012
20,20,"JJ Henry",93,15.67,251,1602,"BogeyAvoidance",2012
20,20,"Dustin Johnson",70,15.67,189,1206,"BogeyAvoidance",2012
20,20,"John Senden",81,15.67,220,1404,"BogeyAvoidance",2012
20,20,"Brandt Snedeker",81,15.67,220,1404,"BogeyAvoidance",2012
25,25,"Roberto Castro",92,15.68,254,1620,"BogeyAvoidance",2012
26,26,"Jeff Overton",101,15.73,286,1818,"BogeyAvoidance",2012
27,27,"Ernie Els",80,15.74,221,1404,"BogeyAvoidance",2012
27,27,"Rory McIlroy",60,15.74,153,972,"BogeyAvoidance",2012
29,29,"Pat Perez",81,15.75,224,1422,"BogeyAvoidance",2012
30,30,"Seung Yul Noh",105,15.79,287,1818,"BogeyAvoidance",2012
31,31,"Rocco Mediate",70,15.85,194,1224,"BogeyAvoidance",2012
32,32,"Ian Poulter",57,15.87,160,1008,"BogeyAvoidance",2012
33,33,"Carl Pettersson",92,15.88,263,1656,"BogeyAvoidance",2012
34,34,"Chris Stroud",86,15.89,246,1548,"BogeyAvoidance",2012
35,35,"Zach Johnson",95,15.9,269,1692,"BogeyAvoidance",2012
35,35,"David Toms",60,15.9,166,1044,"BogeyAvoidance",2012
37,37,"Phil Mickelson",79,15.96,227,1422,"BogeyAvoidance",2012
38,38,"Heath Slocum",93,15.98,256,1602,"BogeyAvoidance",2012
39,39,"Bill Haas",79,16.03,225,1404,"BogeyAvoidance",2012
39,39,"William McGirt",96,16.03,277,1728,"BogeyAvoidance",2012
41,41,"Stuart Appleby",75,16.04,205,1278,"BogeyAvoidance",2012
42,42,"Kevin Na",80,16.1,229,1422,"BogeyAvoidance",2012
43,43,"Geoff Ogilvy",73,16.13,209,1296,"BogeyAvoidance",2012
44,44,"Sergio Garcia",57,16.17,163,1008,"BogeyAvoidance",2012
45,45,"Daniel Summerhays",81,16.19,236,1458,"BogeyAvoidance",2012
46,46,"Scott Piercy",95,16.2,277,1710,"BogeyAvoidance",2012
