"FirstTeeEarlyScoringAverage_RANKTHISWEEK_2016","FirstTeeEarlyScoringAverage_RANKLASTWEEK_2016","FirstTeeEarlyScoringAverage_PLAYERNAME_2016","FirstTeeEarlyScoringAverage_ROUNDS_2016","FirstTeeEarlyScoringAverage_AVG_2016","FirstTeeEarlyScoringAverage_TOTALSTROKES_2016","FirstTeeEarlyScoringAverage_TOTEARLYRDS1STTEE_2016","stat_name","year"
1,1,"Jordan Spieth",34,67.4,337,5,"FirstTeeEarlyScoringAverage",2016
2,2,"Zach Johnson",42,68.67,618,9,"FirstTeeEarlyScoringAverage",2016
3,3,"Tim Wilkinson",40,68.75,550,8,"FirstTeeEarlyScoringAverage",2016
4,3,"Rory McIlroy",37,68.86,482,7,"FirstTeeEarlyScoringAverage",2016
5,7,"Jimmy Walker",43,69.13,553,8,"FirstTeeEarlyScoringAverage",2016
6,5,"Jamie Lovemark",57,69.23,900,13,"FirstTeeEarlyScoringAverage",2016
7,8,"Jason Day",36,69.29,485,7,"FirstTeeEarlyScoringAverage",2016
8,9,"Andrew Loupe",50,69.33,1040,15,"FirstTeeEarlyScoringAverage",2016
8,9,"Phil Mickelson",37,69.33,416,6,"FirstTeeEarlyScoringAverage",2016
8,9,"Justin Rose",35,69.33,416,6,"FirstTeeEarlyScoringAverage",2016
8,9,"Brandt Snedeker",47,69.33,416,6,"FirstTeeEarlyScoringAverage",2016
12,9,"Paul Casey",39,69.38,902,13,"FirstTeeEarlyScoringAverage",2016
13,15,"John Huh",51,69.4,1041,15,"FirstTeeEarlyScoringAverage",2016
13,15,"Marc Leishman",41,69.4,694,10,"FirstTeeEarlyScoringAverage",2016
15,9,"Charles Howell III",63,69.47,1320,19,"FirstTeeEarlyScoringAverage",2016
16,5,"Alex Cejka",47,69.69,1115,16,"FirstTeeEarlyScoringAverage",2016
17,17,"Brian Stuard",24,69.71,488,7,"FirstTeeEarlyScoringAverage",2016
18,18,"Stewart Cink",45,69.73,1046,15,"FirstTeeEarlyScoringAverage",2016
19,19,"Russell Henley",42,69.77,907,13,"FirstTeeEarlyScoringAverage",2016
