"TotalMoneyOfficialandUnofficial_RANKTHISWEEK_2016","TotalMoneyOfficialandUnofficial_RANKLASTWEEK_2016","TotalMoneyOfficialandUnofficial_PLAYERNAME_2016","TotalMoneyOfficialandUnofficial_EVENTS_2016","TotalMoneyOfficialandUnofficial_MONEY_2016","stat_name","year"
1,1,"Adam Scott",11,4575224,"TotalMoneyOfficialandUnofficial",2016
2,2,"Bubba Watson",9,3708050,"TotalMoneyOfficialandUnofficial",2016
3,3,"Jason Day",9,3671729,"TotalMoneyOfficialandUnofficial",2016
4,4,"Brandt Snedeker",15,3166611,"TotalMoneyOfficialandUnofficial",2016
5,5,"Patrick Reed",16,3078991,"TotalMoneyOfficialandUnofficial",2016
6,6,"Jordan Spieth",10,2947927,"TotalMoneyOfficialandUnofficial",2016
7,7,"Russell Knox",14,2851401,"TotalMoneyOfficialandUnofficial",2016
8,8,"Danny Willett",5,2832959,"TotalMoneyOfficialandUnofficial",2016
9,10,"Hideki Matsuyama",13,2624010,"TotalMoneyOfficialandUnofficial",2016
10,9,"Kevin Kisner",14,2578280,"TotalMoneyOfficialandUnofficial",2016
11,11,"Justin Thomas",15,2370087,"TotalMoneyOfficialandUnofficial",2016
12,12,"Kevin Na",14,2366916,"TotalMoneyOfficialandUnofficial",2016
13,16,"Rickie Fowler",13,2354654,"TotalMoneyOfficialandUnofficial",2016
14,13,"Dustin Johnson",10,2245399,"TotalMoneyOfficialandUnofficial",2016
15,14,"Jason Dufner",16,2082599,"TotalMoneyOfficialandUnofficial",2016
16,21,"Phil Mickelson",11,2078038,"TotalMoneyOfficialandUnofficial",2016
17,15,"Smylie Kaufman",16,2075938,"TotalMoneyOfficialandUnofficial",2016
18,17,"Graeme McDowell",12,2041529,"TotalMoneyOfficialandUnofficial",2016
19,18,"Charley Hoffman",15,1954883,"TotalMoneyOfficialandUnofficial",2016
20,20,"Kevin Chappell",14,1826977,"TotalMoneyOfficialandUnofficial",2016
21,19,"Branden Grace",9,1811831,"TotalMoneyOfficialandUnofficial",2016
22,32,"Rory McIlroy",9,1797505,"TotalMoneyOfficialandUnofficial",2016
23,116,"James Hahn",15,1785362,"TotalMoneyOfficialandUnofficial",2016
24,30,"Fabian Gomez",15,1764526,"TotalMoneyOfficialandUnofficial",2016
25,22,"Jim Herman",17,1725924,"TotalMoneyOfficialandUnofficial",2016
26,44,"Justin Rose",11,1725067,"TotalMoneyOfficialandUnofficial",2016
27,23,"Jamie Lovemark",17,1724685,"TotalMoneyOfficialandUnofficial",2016
28,24,"Charl Schwartzel",8,1691136,"TotalMoneyOfficialandUnofficial",2016
29,25,"Bill Haas",13,1678380,"TotalMoneyOfficialandUnofficial",2016
30,26,"Emiliano Grillo",13,1672678,"TotalMoneyOfficialandUnofficial",2016
31,27,"JB Holmes",12,1647982,"TotalMoneyOfficialandUnofficial",2016
32,28,"Charles Howell III",18,1619944,"TotalMoneyOfficialandUnofficial",2016
33,29,"Louis Oosthuizen",6,1565988,"TotalMoneyOfficialandUnofficial",2016
34,31,"Henrik Stenson",8,1523333,"TotalMoneyOfficialandUnofficial",2016
35,33,"Ryan Moore",11,1366724,"TotalMoneyOfficialandUnofficial",2016
36,103,"Roberto Castro",16,1358048,"TotalMoneyOfficialandUnofficial",2016
37,36,"Vaughn Taylor",11,1349030,"TotalMoneyOfficialandUnofficial",2016
38,34,"Brian Stuard",8,1330095,"TotalMoneyOfficialandUnofficial",2016
39,41,"Patton Kizzire",16,1330013,"TotalMoneyOfficialandUnofficial",2016
40,35,"Matt Kuchar",14,1318535,"TotalMoneyOfficialandUnofficial",2016
41,37,"Brooks Koepka",12,1306516,"TotalMoneyOfficialandUnofficial",2016
42,38,"Jimmy Walker",13,1303946,"TotalMoneyOfficialandUnofficial",2016
43,39,"Jason Bohn",11,1285105,"TotalMoneyOfficialandUnofficial",2016
44,46,"Daniel Berger",16,1279014,"TotalMoneyOfficialandUnofficial",2016
45,40,"Rafa Cabrera Bello",4,1276400,"TotalMoneyOfficialandUnofficial",2016
46,42,"Billy Horschel",14,1262109,"TotalMoneyOfficialandUnofficial",2016
47,49,"William McGirt",15,1259554,"TotalMoneyOfficialandUnofficial",2016
48,50,"David Lingmerth",15,1258057,"TotalMoneyOfficialandUnofficial",2016
49,43,"Peter Malnati",19,1230590,"TotalMoneyOfficialandUnofficial",2016
50,45,"Paul Casey",12,1228700,"TotalMoneyOfficialandUnofficial",2016
51,53,"Harris English",16,1211385,"TotalMoneyOfficialandUnofficial",2016
52,47,"Chris Kirk",16,1178865,"TotalMoneyOfficialandUnofficial",2016
53,48,"Jason Kokrak",17,1168114,"TotalMoneyOfficialandUnofficial",2016
54,51,"KJ Choi",14,1140315,"TotalMoneyOfficialandUnofficial",2016
55,52,"Sergio Garcia",8,1132023,"TotalMoneyOfficialandUnofficial",2016
56,60,"Danny Lee",17,1119496,"TotalMoneyOfficialandUnofficial",2016
57,54,"Freddie Jacobson",16,1104533,"TotalMoneyOfficialandUnofficial",2016
58,55,"Zach Johnson",14,1078286,"TotalMoneyOfficialandUnofficial",2016
59,57,"Tony Finau",15,1043893,"TotalMoneyOfficialandUnofficial",2016
60,56,"Si Woo Kim",19,1017263,"TotalMoneyOfficialandUnofficial",2016
61,82,"Andrew Loupe",16,992901,"TotalMoneyOfficialandUnofficial",2016
62,58,"Lee Westwood",4,992000,"TotalMoneyOfficialandUnofficial",2016
63,67,"Brendan Steele",14,984592,"TotalMoneyOfficialandUnofficial",2016
64,59,"Byeong Hun An",7,937245,"TotalMoneyOfficialandUnofficial",2016
65,62,"Alex Cejka",15,914371,"TotalMoneyOfficialandUnofficial",2016
66,64,"Luke Donald",13,907334,"TotalMoneyOfficialandUnofficial",2016
67,61,"Kevin Streelman",15,899110,"TotalMoneyOfficialandUnofficial",2016
68,63,"Scott Brown",17,896768,"TotalMoneyOfficialandUnofficial",2016
69,65,"Bryce Molder",16,884844,"TotalMoneyOfficialandUnofficial",2016
70,66,"Jonas Blixt",16,875587,"TotalMoneyOfficialandUnofficial",2016
71,71,"Harold Varner III",18,870095,"TotalMoneyOfficialandUnofficial",2016
72,68,"Scott Piercy",12,848118,"TotalMoneyOfficialandUnofficial",2016
73,72,"Cameron Tringale",15,822178,"TotalMoneyOfficialandUnofficial",2016
74,69,"Patrick Rodgers",17,812966,"TotalMoneyOfficialandUnofficial",2016
75,70,"Chez Reavie",16,810601,"TotalMoneyOfficialandUnofficial",2016
76,73,"Jhonattan Vegas",14,807702,"TotalMoneyOfficialandUnofficial",2016
77,102,"Lucas Glover",16,800390,"TotalMoneyOfficialandUnofficial",2016
78,74,"Marc Leishman",12,778588,"TotalMoneyOfficialandUnofficial",2016
79,75,"John Huh",16,770169,"TotalMoneyOfficialandUnofficial",2016
80,76,"Graham DeLaet",14,769742,"TotalMoneyOfficialandUnofficial",2016
81,77,"Zac Blair",18,737894,"TotalMoneyOfficialandUnofficial",2016
82,95,"Daniel Summerhays",15,735262,"TotalMoneyOfficialandUnofficial",2016
83,78,"Russell Henley",14,734960,"TotalMoneyOfficialandUnofficial",2016
84,79,"Aaron Baddeley",15,729235,"TotalMoneyOfficialandUnofficial",2016
85,80,"Troy Merritt",14,728190,"TotalMoneyOfficialandUnofficial",2016
86,81,"Jon Curran",18,726534,"TotalMoneyOfficialandUnofficial",2016
87,83,"Kyle Reifers",19,706458,"TotalMoneyOfficialandUnofficial",2016
88,87,"Brian Harman",18,676818,"TotalMoneyOfficialandUnofficial",2016
89,85,"Brett Stegmaier",19,674874,"TotalMoneyOfficialandUnofficial",2016
90,84,"Matthew Fitzpatrick",7,662851,"TotalMoneyOfficialandUnofficial",2016
91,86,"Ryan Palmer",12,654946,"TotalMoneyOfficialandUnofficial",2016
92,88,"Will Wilcox",16,631017,"TotalMoneyOfficialandUnofficial",2016
93,89,"Ricky Barnes",18,623466,"TotalMoneyOfficialandUnofficial",2016
94,98,"Sean OHair",15,622001,"TotalMoneyOfficialandUnofficial",2016
95,90,"Chad Campbell",18,618706,"TotalMoneyOfficialandUnofficial",2016
96,105,"Gary Woodland",13,614592,"TotalMoneyOfficialandUnofficial",2016
97,91,"Derek Fathauer",18,613459,"TotalMoneyOfficialandUnofficial",2016
98,92,"Tyrone Van Aswegen",20,612557,"TotalMoneyOfficialandUnofficial",2016
99,93,"Spencer Levin",19,610268,"TotalMoneyOfficialandUnofficial",2016
100,94,"Kiradech Aphibarnrat",5,604950,"TotalMoneyOfficialandUnofficial",2016
101,99,"David Toms",11,598003,"TotalMoneyOfficialandUnofficial",2016
102,96,"Luke List",17,597349,"TotalMoneyOfficialandUnofficial",2016
103,97,"Sung Kang",16,590922,"TotalMoneyOfficialandUnofficial",2016
104,107,"Boo Weekley",17,581988,"TotalMoneyOfficialandUnofficial",2016
105,100,"Chad Collins",16,581430,"TotalMoneyOfficialandUnofficial",2016
106,101,"Shane Lowry",10,578506,"TotalMoneyOfficialandUnofficial",2016
107,104,"Adam Hadwin",16,571953,"TotalMoneyOfficialandUnofficial",2016
108,106,"Anirban Lahiri",14,571621,"TotalMoneyOfficialandUnofficial",2016
109,108,"Scott Stallings",17,558714,"TotalMoneyOfficialandUnofficial",2016
110,109,"David Hearn",18,532220,"TotalMoneyOfficialandUnofficial",2016
111,123,"John Senden",15,521639,"TotalMoneyOfficialandUnofficial",2016
112,110,"Hiroshi Iwata",18,511383,"TotalMoneyOfficialandUnofficial",2016
113,115,"Mark Hubbard",20,510916,"TotalMoneyOfficialandUnofficial",2016
114,114,"Colt Knost",15,503944,"TotalMoneyOfficialandUnofficial",2016
115,119,"Johnson Wagner",14,500144,"TotalMoneyOfficialandUnofficial",2016
116,111,"Hudson Swafford",17,498524,"TotalMoneyOfficialandUnofficial",2016
117,112,"Soren Kjeldsen",5,495096,"TotalMoneyOfficialandUnofficial",2016
118,113,"Ross Fisher",2,488500,"TotalMoneyOfficialandUnofficial",2016
119,146,"Retief Goosen",11,474737,"TotalMoneyOfficialandUnofficial",2016
120,118,"Martin Laird",13,468158,"TotalMoneyOfficialandUnofficial",2016
121,126,"Robert Streb",16,464830,"TotalMoneyOfficialandUnofficial",2016
122,117,"Blayne Barber",16,461615,"TotalMoneyOfficialandUnofficial",2016
123,127,"Camilo Villegas",17,460000,"TotalMoneyOfficialandUnofficial",2016
124,120,"Nick Taylor",17,451871,"TotalMoneyOfficialandUnofficial",2016
125,121,"Steve Stricker",9,449158,"TotalMoneyOfficialandUnofficial",2016
126,122,"Steve Marino",14,446393,"TotalMoneyOfficialandUnofficial",2016
127,124,"Padraig Harrington",11,425874,"TotalMoneyOfficialandUnofficial",2016
128,125,"Jamie Donaldson",8,425638,"TotalMoneyOfficialandUnofficial",2016
129,128,"Greg Owen",18,405654,"TotalMoneyOfficialandUnofficial",2016
130,129,"Tyler Aldridge",18,399928,"TotalMoneyOfficialandUnofficial",2016
131,130,"Ben Martin",14,392851,"TotalMoneyOfficialandUnofficial",2016
132,131,"Seung Yul Noh",17,392332,"TotalMoneyOfficialandUnofficial",2016
133,169,"Chesson Hadley",16,392010,"TotalMoneyOfficialandUnofficial",2016
134,136,"Tom Hoge",15,391152,"TotalMoneyOfficialandUnofficial",2016
135,140,"Jason Gore",15,387316,"TotalMoneyOfficialandUnofficial",2016
136,132,"Webb Simpson",10,377838,"TotalMoneyOfficialandUnofficial",2016
137,133,"Bronson Burgoon",17,377549,"TotalMoneyOfficialandUnofficial",2016
138,141,"Jeff Overton",17,375253,"TotalMoneyOfficialandUnofficial",2016
139,148,"Chris Stroud",17,374124,"TotalMoneyOfficialandUnofficial",2016
140,134,"Matt Jones",15,373505,"TotalMoneyOfficialandUnofficial",2016
141,160,"Francesco Molinari",10,371814,"TotalMoneyOfficialandUnofficial",2016
142,135,"Brice Garnett",9,369365,"TotalMoneyOfficialandUnofficial",2016
143,142,"Michael Kim",18,367523,"TotalMoneyOfficialandUnofficial",2016
144,137,"Kyle Stanley",17,366964,"TotalMoneyOfficialandUnofficial",2016
145,138,"Cameron Smith",14,365703,"TotalMoneyOfficialandUnofficial",2016
146,139,"Bernd Wiesberger",7,364760,"TotalMoneyOfficialandUnofficial",2016
147,152,"Martin Piller",12,353827,"TotalMoneyOfficialandUnofficial",2016
148,184,"Tim Wilkinson",11,348319,"TotalMoneyOfficialandUnofficial",2016
149,143,"Jerry Kelly",12,348160,"TotalMoneyOfficialandUnofficial",2016
150,151,"Ian Poulter",10,347156,"TotalMoneyOfficialandUnofficial",2016
151,144,"Bobby Wyatt",3,346488,"TotalMoneyOfficialandUnofficial",2016
152,145,"Stuart Appleby",13,344669,"TotalMoneyOfficialandUnofficial",2016
153,147,"Morgan Hoffmann",15,339169,"TotalMoneyOfficialandUnofficial",2016
154,149,"Keegan Bradley",14,335952,"TotalMoneyOfficialandUnofficial",2016
155,154,"Hunter Mahan",15,332626,"TotalMoneyOfficialandUnofficial",2016
156,150,"Andy Sullivan",7,331735,"TotalMoneyOfficialandUnofficial",2016
157,153,"Whee Kim",18,320554,"TotalMoneyOfficialandUnofficial",2016
158,157,"Vijay Singh",13,317007,"TotalMoneyOfficialandUnofficial",2016
159,155,"Stewart Cink",14,314799,"TotalMoneyOfficialandUnofficial",2016
160,156,"Steven Bowditch",14,312160,"TotalMoneyOfficialandUnofficial",2016
161,158,"Ben Crane",17,293395,"TotalMoneyOfficialandUnofficial",2016
162,159,"Brendon de Jonge",19,282113,"TotalMoneyOfficialandUnofficial",2016
163,165,"Martin Kaymer",6,275009,"TotalMoneyOfficialandUnofficial",2016
164,161,"Justin Leonard",8,274044,"TotalMoneyOfficialandUnofficial",2016
165,162,"Will Ma Kenzie",17,268289,"TotalMoneyOfficialandUnofficial",2016
166,163,"Chris Wood",5,265450,"TotalMoneyOfficialandUnofficial",2016
167,164,"Bryson DeChambeau",5,259600,"TotalMoneyOfficialandUnofficial",2016
168,178,"Scott Langley",13,257169,"TotalMoneyOfficialandUnofficial",2016
169,174,"Dawie van der Walt",16,250279,"TotalMoneyOfficialandUnofficial",2016
170,166,"Thomas Aiken",13,246391,"TotalMoneyOfficialandUnofficial",2016
171,167,"Thongchai Jaidee",6,240387,"TotalMoneyOfficialandUnofficial",2016
172,168,"Luke Guthrie",11,230508,"TotalMoneyOfficialandUnofficial",2016
173,170,"Davis Love III",11,222422,"TotalMoneyOfficialandUnofficial",2016
174,172,"Scott Pinckney",18,221367,"TotalMoneyOfficialandUnofficial",2016
175,175,"Ernie Els",10,213944,"TotalMoneyOfficialandUnofficial",2016
176,171,"DJ Trahan",7,209353,"TotalMoneyOfficialandUnofficial",2016
177,180,"Angel Cabrera",13,206678,"TotalMoneyOfficialandUnofficial",2016
178,173,"Sam Saunders",15,204119,"TotalMoneyOfficialandUnofficial",2016
179,176,"JJ Henry",14,197603,"TotalMoneyOfficialandUnofficial",2016
180,177,"Rory Sabbatini",15,195464,"TotalMoneyOfficialandUnofficial",2016
181,187,"Erik Compton",16,194408,"TotalMoneyOfficialandUnofficial",2016
182,185,"Rob Oppenheim",11,194269,"TotalMoneyOfficialandUnofficial",2016
183,179,"Michael Thompson",14,191023,"TotalMoneyOfficialandUnofficial",2016
184,181,"Nick Watney",5,189880,"TotalMoneyOfficialandUnofficial",2016
185,182,"Rodolfo Cazaubon",3,185904,"TotalMoneyOfficialandUnofficial",2016
186,183,"Scott Hend",3,184850,"TotalMoneyOfficialandUnofficial",2016
