"LongestHoleOutsinyards_RANKTHISWEEK_2016","LongestHoleOutsinyards_RANKLASTWEEK_2016","LongestHoleOutsinyards_PLAYERNAME_2016","LongestHoleOutsinyards_ROUNDS_2016","LongestHoleOutsinyards_DISTANCE_2016","LongestHoleOutsinyards_TOURNAMENT_2016","LongestHoleOutsinyards_ROUNDCOURSE_2016","LongestHoleOutsinyards_HOLE_2016","stat_name","year"
1,1,"Jason Gore",51,250,NA,3,18,"LongestHoleOutsinyards",2016
2,2,"Tony Finau",49,236,NA,2,13,"LongestHoleOutsinyards",2016
3,42,"Roberto Castro",55,221,NA,2,18,"LongestHoleOutsinyards",2016
4,3,"Alex Cejka",47,212,NA,3,17,"LongestHoleOutsinyards",2016
5,4,"Matt Every",34,209,NA,3,2,"LongestHoleOutsinyards",2016
6,5,"Jack Maguire",4,207,NA,2,12,"LongestHoleOutsinyards",2016
7,6,"Nick Taylor",57,206,NA,2,6,"LongestHoleOutsinyards",2016
8,7,"Ricky Barnes",57,204,NA,2,3,"LongestHoleOutsinyards",2016
9,8,"Jin Park",3,203,NA,2,3,"LongestHoleOutsinyards",2016
10,9,"Scott Stallings",46,200,NA,2,13,"LongestHoleOutsinyards",2016
11,10,"Ben Crane",48,198,NA,3,15,"LongestHoleOutsinyards",2016
12,11,"Chad Campbell",54,194,NA,2,7,"LongestHoleOutsinyards",2016
13,97,"William McGirt",54,188,NA,4,2,"LongestHoleOutsinyards",2016
14,12,"Freddie Jacobson",54,184,NA,3,15,"LongestHoleOutsinyards",2016
15,13,"Tyler Aldridge",53,180,NA,2,4,"LongestHoleOutsinyards",2016
17,15,"Padraig Harrington",38,166,NA,2,5,"LongestHoleOutsinyards",2016
18,16,"Ryan Moore",40,164,NA,4,16,"LongestHoleOutsinyards",2016
19,17,"Ryo Ishikawa",17,160,NA,1,6,"LongestHoleOutsinyards",2016
19,18,"Rob Oppenheim",37,160,NA,2,1,"LongestHoleOutsinyards",2016
21,19,"Tyrone Van Aswegen",67,150,NA,3,16,"LongestHoleOutsinyards",2016
21,20,"Steve Stricker",25,150,NA,2,10,"LongestHoleOutsinyards",2016
23,21,"DA Points",32,149,NA,4,11,"LongestHoleOutsinyards",2016
24,22,"Sergio Garcia",28,148,NA,1,2,"LongestHoleOutsinyards",2016
24,23,"Blayne Barber",44,148,NA,1,12,"LongestHoleOutsinyards",2016
26,24,"Kyle Reifers",63,146,NA,1,15,"LongestHoleOutsinyards",2016
26,25,"Patton Kizzire",57,146,NA,3,14,"LongestHoleOutsinyards",2016
28,26,"Greg Owen",56,144,NA,1,12,"LongestHoleOutsinyards",2016
29,27,"Chesson Hadley",51,142,NA,2,18,"LongestHoleOutsinyards",2016
30,29,"DH Lee",35,141,NA,1,14,"LongestHoleOutsinyards",2016
32,30,"Brendon Todd",43,136,NA,1,16,"LongestHoleOutsinyards",2016
32,31,"Keegan Bradley",40,136,NA,2,4,"LongestHoleOutsinyards",2016
34,798,"Carlos Ortiz",47,135,NA,3,17,"LongestHoleOutsinyards",2016
34,32,"Brian Stuard",24,135,NA,1,14,"LongestHoleOutsinyards",2016
