"ProximitytoHolefrom_RANKTHISWEEK_2015","ProximitytoHolefrom_RANKLASTWEEK_2015","ProximitytoHolefrom_PLAYERNAME_2015","ProximitytoHolefrom_ROUNDS_2015","ProximitytoHolefrom_AVGDTP_2015","ProximitytoHolefrom_TOTALDISTANCEFEET_2015","ProximitytoHolefrom_OFSHOTS_2015","ProximitytoHolefrom_SCRAMBLINGRANK_2015","stat_name","year"
1,1,"Ricky Barnes",82,NA,240.833,95,69,"ProximitytoHolefrom",2015
2,2,"David Toms",62,NA,233.833,92,12,"ProximitytoHolefrom",2015
3,3,"Jerry Kelly",79,NA,282.167,107,7,"ProximitytoHolefrom",2015
4,4,"Rory Sabbatini",81,NA,327.167,120,17,"ProximitytoHolefrom",2015
4,4,"Bo Van Pelt",81,NA,227.667,84,154,"ProximitytoHolefrom",2015
6,6,"Steven Alker",62,NA,235.833,83,39,"ProximitytoHolefrom",2015
6,6,"Jason Day",75,NA,245.917,88,2,"ProximitytoHolefrom",2015
6,6,"Bill Haas",89,NA,313.25,112,31,"ProximitytoHolefrom",2015
6,6,"Padraig Harrington",60,NA,248.667,87,137,"ProximitytoHolefrom",2015
10,10,"Robert Allenby",63,NA,271,93,180,"ProximitytoHolefrom",2015
10,10,"Jonathan Byrd",69,NA,221.833,75,5,"ProximitytoHolefrom",2015
10,10,"Luke Donald",71,NA,214.5,73,46,"ProximitytoHolefrom",2015
10,10,"Sergio Garcia",59,NA,200.917,69,109,"ProximitytoHolefrom",2015
10,10,"Brice Garnett",81,NA,238.667,83,156,"ProximitytoHolefrom",2015
10,10,"David Hearn",97,NA,384.167,132,131,"ProximitytoHolefrom",2015
10,10,"Louis Oosthuizen",68,NA,221.083,75,41,"ProximitytoHolefrom",2015
10,10,"Scott Stallings",60,NA,262.5,90,171,"ProximitytoHolefrom",2015
10,10,"Nick Watney",91,NA,387.333,131,103,"ProximitytoHolefrom",2015
19,19,"Aaron Baddeley",76,NA,266.417,89,48,"ProximitytoHolefrom",2015
19,19,"KJ Choi",66,NA,245.25,82,16,"ProximitytoHolefrom",2015
19,19,"Jim Furyk",71,NA,240.833,80,18,"ProximitytoHolefrom",2015
19,19,"JB Holmes",89,NA,342.417,113,85,"ProximitytoHolefrom",2015
19,19,"Andres Romero",69,NA,349.583,115,140,"ProximitytoHolefrom",2015
19,19,"Webb Simpson",81,NA,356.917,118,9,"ProximitytoHolefrom",2015
19,19,"Cameron Tringale",96,NA,390.083,130,27,"ProximitytoHolefrom",2015
19,19,"Tyrone Van Aswegen",58,NA,172.5,58,116,"ProximitytoHolefrom",2015
19,19,"Boo Weekley",79,NA,358.833,119,73,"ProximitytoHolefrom",2015
28,28,"Steven Bowditch",103,NA,485,158,3,"ProximitytoHolefrom",2015
28,28,"Rickie Fowler",76,NA,309.167,100,47,"ProximitytoHolefrom",2015
28,28,"Ryo Ishikawa",90,NA,363.25,118,159,"ProximitytoHolefrom",2015
28,28,"Matt Jones",89,NA,349,113,42,"ProximitytoHolefrom",2015
28,28,"Ian Poulter",68,NA,261,84,54,"ProximitytoHolefrom",2015
28,28,"Chez Reavie",56,NA,291.333,95,152,"ProximitytoHolefrom",2015
28,28,"Jordan Spieth",91,NA,397.75,128,4,"ProximitytoHolefrom",2015
28,28,"Justin Thomas",106,NA,483.667,158,37,"ProximitytoHolefrom",2015
36,36,"Chad Campbell",97,NA,449.75,143,88,"ProximitytoHolefrom",2015
36,36,"Greg Chalmers",58,NA,215.417,68,132,"ProximitytoHolefrom",2015
36,36,"Brian Davis",86,NA,366.333,116,56,"ProximitytoHolefrom",2015
36,36,"Jamie Donaldson",50,NA,126.25,40,81,"ProximitytoHolefrom",2015
36,36,"Whee Kim",71,NA,266,85,123,"ProximitytoHolefrom",2015
36,36,"John Peterson",84,NA,425,136,14,"ProximitytoHolefrom",2015
36,36,"DA Points",72,NA,279.917,88,75,"ProximitytoHolefrom",2015
36,36,"Byron Smith",59,NA,206,65,172,"ProximitytoHolefrom",2015
36,36,"Jhonattan Vegas",90,NA,358.333,113,89,"ProximitytoHolefrom",2015
45,45,"Eric Axley",57,NA,237.5,73,56,"ProximitytoHolefrom",2015
45,45,"Gonzalo Fdez Castano",81,NA,416.583,129,120,"ProximitytoHolefrom",2015
45,45,"Morgan Hoffmann",85,NA,422.25,129,92,"ProximitytoHolefrom",2015
45,45,"Billy Hurley III",83,NA,354.25,109,10,"ProximitytoHolefrom",2015
45,45,"Zach Johnson",90,NA,348,106,49,"ProximitytoHolefrom",2015
45,45,"Chris Kirk",76,NA,326.25,100,64,"ProximitytoHolefrom",2015
45,45,"Troy Merritt",91,NA,549.333,167,33,"ProximitytoHolefrom",2015
45,45,"Sean OHair",86,NA,480.25,149,83,"ProximitytoHolefrom",2015
45,45,"Adam Scott",51,NA,170,52,173,"ProximitytoHolefrom",2015
45,45,"Heath Slocum",57,NA,188.667,58,138,"ProximitytoHolefrom",2015
45,45,"Brandt Snedeker",98,NA,417.333,128,15,"ProximitytoHolefrom",2015
45,45,"Brendan Steele",88,NA,433.333,132,68,"ProximitytoHolefrom",2015
45,45,"Henrik Stenson",63,NA,197.417,60,25,"ProximitytoHolefrom",2015
45,45,"Camilo Villegas",83,NA,446.25,137,96,"ProximitytoHolefrom",2015
59,59,"Jason Bohn",95,NA,520.917,155,51,"ProximitytoHolefrom",2015
59,59,"Scott Brown",97,NA,544,163,55,"ProximitytoHolefrom",2015
59,59,"Ben Crane",62,NA,264.833,80,29,"ProximitytoHolefrom",2015
59,59,"Graham DeLaet",65,NA,290.5,88,133,"ProximitytoHolefrom",2015
59,59,"Harris English",105,NA,518.417,156,36,"ProximitytoHolefrom",2015
59,59,"Retief Goosen",81,NA,366.75,111,85,"ProximitytoHolefrom",2015
59,59,"George McNeill",93,NA,498.833,148,44,"ProximitytoHolefrom",2015
59,59,"Carl Pettersson",106,NA,578,175,26,"ProximitytoHolefrom",2015
59,59,"Patrick Reed",103,NA,450.25,136,28,"ProximitytoHolefrom",2015
59,59,"Kyle Reifers",96,NA,373.5,111,40,"ProximitytoHolefrom",2015
59,59,"Tim Wilkinson",73,NA,325,98,111,"ProximitytoHolefrom",2015
70,70,"Jonas Blixt",78,NA,240.917,71,107,"ProximitytoHolefrom",2015
70,70,"Alex Cejka",94,NA,479.5,142,62,"ProximitytoHolefrom",2015
70,70,"Derek Ernst",75,NA,355.917,104,135,"ProximitytoHolefrom",2015
70,70,"Lucas Glover",79,NA,384.25,113,164,"ProximitytoHolefrom",2015
70,70,"James Hahn",94,NA,427,125,108,"ProximitytoHolefrom",2015
70,70,"Jason Kokrak",88,NA,473.5,137,114,"ProximitytoHolefrom",2015
70,70,"Jeff Overton",94,NA,434.333,128,98,"ProximitytoHolefrom",2015
70,70,"Ryan Palmer",80,NA,345.083,102,60,"ProximitytoHolefrom",2015
70,70,"SJ Park",79,NA,369.083,109,8,"ProximitytoHolefrom",2015
70,70,"Vijay Singh",78,NA,465.667,136,50,"ProximitytoHolefrom",2015
70,70,"Chris Stroud",84,NA,393.25,115,71,"ProximitytoHolefrom",2015
70,70,"Brendon Todd",96,NA,466,137,22,"ProximitytoHolefrom",2015
70,70,"Mark Wilson",89,NA,328.333,95,63,"ProximitytoHolefrom",2015
83,83,"Charlie Beljan",76,NA,397,113,184,"ProximitytoHolefrom",2015
83,83,"Brendon de Jonge",106,NA,540.333,154,91,"ProximitytoHolefrom",2015
83,83,"Martin Flores",95,NA,386.667,111,99,"ProximitytoHolefrom",2015
83,83,"Robert Garrigus",70,NA,395.75,114,176,"ProximitytoHolefrom",2015
83,83,"Adam Hadwin",95,NA,431,124,110,"ProximitytoHolefrom",2015
83,83,"Scott Langley",94,NA,459.167,130,93,"ProximitytoHolefrom",2015
83,83,"Francesco Molinari",56,NA,228.333,66,111,"ProximitytoHolefrom",2015
83,83,"Scott Piercy",90,NA,485,139,105,"ProximitytoHolefrom",2015
