"ScramblingfromtheSand_RANKTHISWEEK_2013","ScramblingfromtheSand_RANKLASTWEEK_2013","ScramblingfromtheSand_PLAYERNAME_2013","ScramblingfromtheSand_ROUNDS_2013","ScramblingfromtheSand_Pct_2013","ScramblingfromtheSand_SUCCESSES_2013","ScramblingfromtheSand_ATTEMPTS_2013","stat_name","year"
1,1,"Matt Kuchar",93,72.09,62,86,"ScramblingfromtheSand",2013
2,2,"Justin Rose",62,72,36,50,"ScramblingfromtheSand",2013
3,3,"Steven Bowditch",67,70.51,55,78,"ScramblingfromtheSand",2013
4,4,"KJ Choi",85,69.77,60,86,"ScramblingfromtheSand",2013
5,5,"Stuart Appleby",88,67.35,66,98,"ScramblingfromtheSand",2013
6,6,"Brandt Snedeker",79,67.11,51,76,"ScramblingfromtheSand",2013
7,7,"Lee Williams",62,67.09,53,79,"ScramblingfromtheSand",2013
8,8,"Kevin Chappell",80,66.27,55,83,"ScramblingfromtheSand",2013
9,9,"Shawn Stefani",63,65.43,53,81,"ScramblingfromtheSand",2013
10,10,"Casey Wittenberg",72,65.38,51,78,"ScramblingfromtheSand",2013
11,11,"Jason Day",86,64.38,47,73,"ScramblingfromtheSand",2013
12,12,"Peter Hanson",45,64.29,18,28,"ScramblingfromtheSand",2013
13,13,"Ben Crane",62,63.86,53,83,"ScramblingfromtheSand",2013
14,14,"Michael Thompson",66,62.86,44,70,"ScramblingfromtheSand",2013
15,15,"Padraig Harrington",52,62.5,25,40,"ScramblingfromtheSand",2013
16,16,"Cameron Tringale",80,62.03,49,79,"ScramblingfromtheSand",2013
17,17,"David Toms",49,61.76,21,34,"ScramblingfromtheSand",2013
18,18,"Robert Karlsson",56,61.67,37,60,"ScramblingfromtheSand",2013
18,18,"David Lynn",70,61.67,37,60,"ScramblingfromtheSand",2013
20,20,"Webb Simpson",92,61.64,45,73,"ScramblingfromtheSand",2013
21,21,"Freddie Jacobson",63,61.54,40,65,"ScramblingfromtheSand",2013
22,22,"Brian Gay",79,61.39,62,101,"ScramblingfromtheSand",2013
23,23,"Tom Gillis",69,61.05,58,95,"ScramblingfromtheSand",2013
24,24,"Bob Estes",66,60.92,53,87,"ScramblingfromtheSand",2013
25,25,"Tiger Woods",61,60.78,31,51,"ScramblingfromtheSand",2013
26,26,"Darron Stiles",51,60.66,37,61,"ScramblingfromtheSand",2013
27,27,"Patrick Reed",83,60.58,63,104,"ScramblingfromtheSand",2013
28,28,"Hunter Mahan",91,60.53,46,76,"ScramblingfromtheSand",2013
29,29,"Andres Romero",63,60.22,56,93,"ScramblingfromtheSand",2013
30,30,"Luke List",65,59.74,46,77,"ScramblingfromtheSand",2013
30,30,"Cameron Percy",68,59.74,46,77,"ScramblingfromtheSand",2013
32,32,"Jin Park",52,59.68,37,62,"ScramblingfromtheSand",2013
33,33,"Jim Furyk",80,59.3,51,86,"ScramblingfromtheSand",2013
34,34,"Luke Donald",60,58.93,33,56,"ScramblingfromtheSand",2013
35,35,"John Huh",88,58.89,53,90,"ScramblingfromtheSand",2013
36,36,"Greg Chalmers",77,58.76,57,97,"ScramblingfromtheSand",2013
37,37,"Jordan Spieth",82,58.67,44,75,"ScramblingfromtheSand",2013
38,38,"Brian Davis",91,58.65,78,133,"ScramblingfromtheSand",2013
39,39,"Erik Compton",74,58.42,59,101,"ScramblingfromtheSand",2013
40,40,"Stewart Cink",71,58.33,42,72,"ScramblingfromtheSand",2013
41,41,"Keegan Bradley",88,58.23,46,79,"ScramblingfromtheSand",2013
42,42,"Jason Dufner",78,57.89,33,57,"ScramblingfromtheSand",2013
43,43,"Camilo Villegas",79,57.75,41,71,"ScramblingfromtheSand",2013
44,44,"Tim Clark",64,57.58,38,66,"ScramblingfromtheSand",2013
45,45,"Matt Jones",83,57.45,54,94,"ScramblingfromtheSand",2013
46,46,"Mike Weir",60,57.3,51,89,"ScramblingfromtheSand",2013
47,47,"Doug LaBelle II",72,57.28,59,103,"ScramblingfromtheSand",2013
48,48,"Rickie Fowler",75,57.14,36,63,"ScramblingfromtheSand",2013
49,49,"Matt Every",89,57,57,100,"ScramblingfromtheSand",2013
50,50,"Brad Fritsch",81,56.84,54,95,"ScramblingfromtheSand",2013
51,51,"Ian Poulter",59,56.82,25,44,"ScramblingfromtheSand",2013
52,52,"Jonas Blixt",76,56.7,55,97,"ScramblingfromtheSand",2013
53,53,"Steve Stricker",51,56.67,17,30,"ScramblingfromtheSand",2013
54,54,"Charl Schwartzel",69,56.63,47,83,"ScramblingfromtheSand",2013
55,55,"William McGirt",75,56.57,56,99,"ScramblingfromtheSand",2013
56,56,"Charlie Wi",75,56.41,66,117,"ScramblingfromtheSand",2013
57,57,"Vijay Singh",61,56.34,40,71,"ScramblingfromtheSand",2013
58,58,"Jason Bohn",70,56.32,49,87,"ScramblingfromtheSand",2013
59,59,"Martin Flores",83,56.25,54,96,"ScramblingfromtheSand",2013
60,60,"Jerry Kelly",75,56.18,50,89,"ScramblingfromtheSand",2013
60,60,"John Rollins",77,56.18,50,89,"ScramblingfromtheSand",2013
62,62,"Alistair Presnell",59,56.16,41,73,"ScramblingfromtheSand",2013
63,63,"Nicholas Thompson",99,56,56,100,"ScramblingfromtheSand",2013
64,64,"Henrik Stenson",65,55.77,29,52,"ScramblingfromtheSand",2013
65,65,"Dicky Pride",71,55.43,51,92,"ScramblingfromtheSand",2013
66,66,"Aaron Baddeley",68,55.32,52,94,"ScramblingfromtheSand",2013
67,67,"Tag Ridings",69,55.26,42,76,"ScramblingfromtheSand",2013
68,68,"Morgan Hoffmann",64,54.93,39,71,"ScramblingfromtheSand",2013
69,69,"Phil Mickelson",78,54.67,41,75,"ScramblingfromtheSand",2013
70,70,"Brendan Steele",86,54.64,53,97,"ScramblingfromtheSand",2013
71,71,"Colt Knost",69,54.43,43,79,"ScramblingfromtheSand",2013
72,72,"Troy Matteson",68,54.41,37,68,"ScramblingfromtheSand",2013
73,73,"Harris English",95,54.35,50,92,"ScramblingfromtheSand",2013
74,74,"Brendon de Jonge",110,54.31,63,116,"ScramblingfromtheSand",2013
75,75,"Chris Stroud",88,54.21,58,107,"ScramblingfromtheSand",2013
76,76,"Kevin Stadler",83,54.17,39,72,"ScramblingfromtheSand",2013
77,77,"David Lingmerth",68,54.05,40,74,"ScramblingfromtheSand",2013
77,77,"Graeme McDowell",53,54.05,20,37,"ScramblingfromtheSand",2013
79,79,"Roberto Castro",97,53.92,55,102,"ScramblingfromtheSand",2013
80,80,"Robert Allenby",58,53.85,42,78,"ScramblingfromtheSand",2013
80,80,"James Driscoll",76,53.85,56,104,"ScramblingfromtheSand",2013
80,80,"Charles Howell III",87,53.85,49,91,"ScramblingfromtheSand",2013
83,83,"George McNeill",68,53.66,44,82,"ScramblingfromtheSand",2013
84,84,"Russell Henley",80,53.33,48,90,"ScramblingfromtheSand",2013
84,84,"Richard Lee",81,53.33,56,105,"ScramblingfromtheSand",2013
86,86,"Ryo Ishikawa",72,53.09,43,81,"ScramblingfromtheSand",2013
86,86,"Johnson Wagner",64,53.09,43,81,"ScramblingfromtheSand",2013
88,88,"Justin Leonard",86,52.94,54,102,"ScramblingfromtheSand",2013
89,89,"Bryce Molder",82,52.89,64,121,"ScramblingfromtheSand",2013
90,90,"Lee Westwood",70,52.83,28,53,"ScramblingfromtheSand",2013
91,91,"Martin Laird",68,52.78,38,72,"ScramblingfromtheSand",2013
92,92,"Bill Haas",85,52.7,39,74,"ScramblingfromtheSand",2013
93,93,"Eric Meierdierks",48,52.63,30,57,"ScramblingfromtheSand",2013
94,94,"DA Points",87,52.58,51,97,"ScramblingfromtheSand",2013
95,95,"Henrik Norlander",70,52.38,44,84,"ScramblingfromtheSand",2013
95,95,"Brian Stuard",78,52.38,44,84,"ScramblingfromtheSand",2013
97,97,"Chris Kirk",89,52.22,47,90,"ScramblingfromtheSand",2013
97,97,"Greg Owen",73,52.22,47,90,"ScramblingfromtheSand",2013
99,99,"Jimmy Walker",84,52.17,48,92,"ScramblingfromtheSand",2013
100,100,"Chez Reavie",72,51.96,53,102,"ScramblingfromtheSand",2013
101,101,"Fabian Gomez",65,51.76,44,85,"ScramblingfromtheSand",2013
102,102,"Tim Herron",45,51.56,33,64,"ScramblingfromtheSand",2013
103,103,"Trevor Immelman",73,51.43,36,70,"ScramblingfromtheSand",2013
104,104,"Brandt Jobe",62,51.32,39,76,"ScramblingfromtheSand",2013
105,105,"Graham DeLaet",94,51.22,42,82,"ScramblingfromtheSand",2013
106,106,"Charley Hoffman",84,51.09,47,92,"ScramblingfromtheSand",2013
107,107,"Sangmoon Bae",83,51.04,49,96,"ScramblingfromtheSand",2013
108,108,"Rory McIlroy",56,51.02,25,49,"ScramblingfromtheSand",2013
109,109,"Vaughn Taylor",50,50.94,27,53,"ScramblingfromtheSand",2013
110,110,"Marc Leishman",77,50.77,33,65,"ScramblingfromtheSand",2013
110,110,"Jeff Maggert",63,50.77,33,65,"ScramblingfromtheSand",2013
112,112,"Bobby Gates",49,50.75,34,67,"ScramblingfromtheSand",2013
112,112,"Mark Wilson",56,50.75,34,67,"ScramblingfromtheSand",2013
114,114,"Stephen Ames",49,50.72,35,69,"ScramblingfromtheSand",2013
115,115,"Boo Weekley",100,50.55,46,91,"ScramblingfromtheSand",2013
116,116,"Tommy Gainey",84,50.48,53,105,"ScramblingfromtheSand",2013
117,117,"Daniel Summerhays",83,50.46,55,109,"ScramblingfromtheSand",2013
118,118,"Billy Horschel",96,50.42,60,119,"ScramblingfromtheSand",2013
119,119,"Justin Bolli",59,50,40,80,"ScramblingfromtheSand",2013
119,119,"Rod Pampling",46,50,23,46,"ScramblingfromtheSand",2013
119,119,"Adam Scott",61,50,22,44,"ScramblingfromtheSand",2013
119,119,"Josh Teater",86,50,39,78,"ScramblingfromtheSand",2013
123,123,"Jason Kokrak",78,49.45,45,91,"ScramblingfromtheSand",2013
124,124,"Scott Stallings",79,49.41,42,85,"ScramblingfromtheSand",2013
125,125,"Nick Watney",88,49.37,39,79,"ScramblingfromtheSand",2013
126,126,"Aaron Watkins",46,49.15,29,59,"ScramblingfromtheSand",2013
127,127,"Lucas Glover",65,49.06,26,53,"ScramblingfromtheSand",2013
128,128,"DH Lee",65,48.78,40,82,"ScramblingfromtheSand",2013
129,129,"Ryan Moore",72,48.57,34,70,"ScramblingfromtheSand",2013
130,130,"Kevin Streelman",86,48.42,46,95,"ScramblingfromtheSand",2013
131,131,"Ben Curtis",59,48.28,28,58,"ScramblingfromtheSand",2013
131,131,"Ernie Els",63,48.28,28,58,"ScramblingfromtheSand",2013
131,131,"Zach Johnson",84,48.28,28,58,"ScramblingfromtheSand",2013
134,134,"Luke Guthrie",82,47.83,44,92,"ScramblingfromtheSand",2013
135,135,"Scott Gardiner",61,47.78,43,90,"ScramblingfromtheSand",2013
136,136,"Brian Harman",89,47.66,51,107,"ScramblingfromtheSand",2013
137,137,"Chad Campbell",78,47.5,38,80,"ScramblingfromtheSand",2013
