"TotalHoleOuts_RANKTHISWEEK_2005","TotalHoleOuts_RANKLASTWEEK_2005","TotalHoleOuts_PLAYERNAME_2005","TotalHoleOuts_ROUNDS_2005","TotalHoleOuts_HOLEOUTS_2005","stat_name","year"
1,1,"Frank Lickliter II",100,18,"TotalHoleOuts",2005
1,1,"Andrew Magee",82,18,"TotalHoleOuts",2005
3,3,"Shigeki Maruyama",99,17,"TotalHoleOuts",2005
4,4,"Daniel Chopra",108,15,"TotalHoleOuts",2005
4,4,"Jose Coceres",56,15,"TotalHoleOuts",2005
4,4,"Gavin Coles",70,15,"TotalHoleOuts",2005
4,4,"Ted Purdy",122,15,"TotalHoleOuts",2005
4,4,"Justin Rose",99,15,"TotalHoleOuts",2005
4,4,"Patrick Sheehan",114,15,"TotalHoleOuts",2005
10,10,"Steve Allan",102,14,"TotalHoleOuts",2005
10,10,"Woody Austin",100,14,"TotalHoleOuts",2005
10,10,"Aaron Baddeley",84,14,"TotalHoleOuts",2005
10,10,"Justin Bolli",65,14,"TotalHoleOuts",2005
10,10,"Alex Cejka",84,14,"TotalHoleOuts",2005
10,10,"Zach Johnson",96,14,"TotalHoleOuts",2005
10,10,"Michael Long",72,14,"TotalHoleOuts",2005
17,17,"John Daly",78,13,"TotalHoleOuts",2005
17,17,"Lucas Glover",88,13,"TotalHoleOuts",2005
17,17,"Billy Mayfair",114,13,"TotalHoleOuts",2005
17,17,"Tom Pernice Jr",111,13,"TotalHoleOuts",2005
17,17,"Tag Ridings",93,13,"TotalHoleOuts",2005
17,17,"Darron Stiles",78,13,"TotalHoleOuts",2005
23,23,"Michael Allen",90,12,"TotalHoleOuts",2005
23,23,"Jason Allred",75,12,"TotalHoleOuts",2005
23,23,"Jason Bohn",91,12,"TotalHoleOuts",2005
23,23,"Mark Brooks",72,12,"TotalHoleOuts",2005
23,23,"Ben Crane",78,12,"TotalHoleOuts",2005
23,23,"Marco Dawson",82,12,"TotalHoleOuts",2005
23,23,"Paul Gow",78,12,"TotalHoleOuts",2005
23,23,"Hunter Haas",83,12,"TotalHoleOuts",2005
23,23,"Neal Lancaster",95,12,"TotalHoleOuts",2005
23,23,"Kevin Na",88,12,"TotalHoleOuts",2005
23,23,"Rory Sabbatini",81,12,"TotalHoleOuts",2005
23,23,"Hideto Tanihara",50,12,"TotalHoleOuts",2005
35,35,"Cameron Beckman",96,11,"TotalHoleOuts",2005
35,35,"Olin Browne",99,11,"TotalHoleOuts",2005
35,35,"Chris DiMarco",83,11,"TotalHoleOuts",2005
35,35,"Scott Gutschewski",86,11,"TotalHoleOuts",2005
35,35,"Jonathan Kaye",77,11,"TotalHoleOuts",2005
35,35,"Matt Kuchar",60,11,"TotalHoleOuts",2005
35,35,"Davis Love III",80,11,"TotalHoleOuts",2005
35,35,"Rod Pampling",89,11,"TotalHoleOuts",2005
35,35,"Jesper Parnevik",84,11,"TotalHoleOuts",2005
35,35,"Tim Petrovic",97,11,"TotalHoleOuts",2005
35,35,"Carl Pettersson",109,11,"TotalHoleOuts",2005
35,35,"Heath Slocum",103,11,"TotalHoleOuts",2005
35,35,"Kevin Sutherland",89,11,"TotalHoleOuts",2005
35,35,"Roland Thatcher",75,11,"TotalHoleOuts",2005
35,35,"David Toms",87,11,"TotalHoleOuts",2005
35,35,"DJ Trahan",81,11,"TotalHoleOuts",2005
51,51,"Paul Claxton",79,10,"TotalHoleOuts",2005
51,51,"Robert Damron",89,10,"TotalHoleOuts",2005
51,51,"Todd Fischer",99,10,"TotalHoleOuts",2005
51,51,"Padraig Harrington",50,10,"TotalHoleOuts",2005
51,51,"Brendan Jones",81,10,"TotalHoleOuts",2005
51,51,"JL Lewis",98,10,"TotalHoleOuts",2005
51,51,"Scott McCarron",78,10,"TotalHoleOuts",2005
51,51,"Nick Watney",91,10,"TotalHoleOuts",2005
59,59,"Billy Andrade",83,9,"TotalHoleOuts",2005
59,59,"Tommy Armour III",103,9,"TotalHoleOuts",2005
59,59,"Arjun Atwal",65,9,"TotalHoleOuts",2005
59,59,"Rich Beem",66,9,"TotalHoleOuts",2005
59,59,"DJ Brigman",76,9,"TotalHoleOuts",2005
59,59,"Glen Day",80,9,"TotalHoleOuts",2005
59,59,"Fred Funk",102,9,"TotalHoleOuts",2005
59,59,"Robert Gamez",91,9,"TotalHoleOuts",2005
59,59,"Tom Gillis",77,9,"TotalHoleOuts",2005
59,59,"Bill Glasson",54,9,"TotalHoleOuts",2005
59,59,"Jeff Hart",63,9,"TotalHoleOuts",2005
59,59,"Brandt Jobe",96,9,"TotalHoleOuts",2005
59,59,"Skip Kendall",80,9,"TotalHoleOuts",2005
59,59,"Franklin Langham",91,9,"TotalHoleOuts",2005
59,59,"Tom Lehman",69,9,"TotalHoleOuts",2005
59,59,"Steve Lowery",100,9,"TotalHoleOuts",2005
59,59,"Geoff Ogilvy",97,9,"TotalHoleOuts",2005
59,59,"Corey Pavin",77,9,"TotalHoleOuts",2005
59,59,"DA Points",94,9,"TotalHoleOuts",2005
59,59,"John Rollins",97,9,"TotalHoleOuts",2005
59,59,"Jeff Sluman",94,9,"TotalHoleOuts",2005
59,59,"Steve Stricker",62,9,"TotalHoleOuts",2005
59,59,"Scott Verplank",87,9,"TotalHoleOuts",2005
59,59,"Dean Wilson",86,9,"TotalHoleOuts",2005
83,83,"Robert Allenby",95,8,"TotalHoleOuts",2005
83,83,"Stuart Appleby",84,8,"TotalHoleOuts",2005
83,83,"Chad Campbell",95,8,"TotalHoleOuts",2005
83,83,"KJ Choi",78,8,"TotalHoleOuts",2005
83,83,"Tim Clark",92,8,"TotalHoleOuts",2005
83,83,"Brian Davis",75,8,"TotalHoleOuts",2005
83,83,"James Driscoll",73,8,"TotalHoleOuts",2005
83,83,"Brad Faxon",75,8,"TotalHoleOuts",2005
83,83,"Steve Flesch",90,8,"TotalHoleOuts",2005
83,83,"Carlos Franco",78,8,"TotalHoleOuts",2005
83,83,"Jim Furyk",94,8,"TotalHoleOuts",2005
83,83,"Matt Gogel",78,8,"TotalHoleOuts",2005
83,83,"Mathias Gronberg",60,8,"TotalHoleOuts",2005
83,83,"Todd Hamilton",94,8,"TotalHoleOuts",2005
83,83,"Tim Herron",100,8,"TotalHoleOuts",2005
83,83,"Bradley Hughes",52,8,"TotalHoleOuts",2005
83,83,"Ryuji Imada",78,8,"TotalHoleOuts",2005
83,83,"Kent Jones",99,8,"TotalHoleOuts",2005
83,83,"Stephen Leaney",89,8,"TotalHoleOuts",2005
83,83,"Rocco Mediate",73,8,"TotalHoleOuts",2005
83,83,"Joe Ogilvie",103,8,"TotalHoleOuts",2005
83,83,"Brenden Pappas",51,8,"TotalHoleOuts",2005
83,83,"Rob Rashell",65,8,"TotalHoleOuts",2005
83,83,"Chris Riley",67,8,"TotalHoleOuts",2005
83,83,"Joey Sindelar",104,8,"TotalHoleOuts",2005
83,83,"Vijay Singh",111,8,"TotalHoleOuts",2005
83,83,"Joey Snyder III",102,8,"TotalHoleOuts",2005
83,83,"Kevin Stadler",96,8,"TotalHoleOuts",2005
83,83,"Hidemichi Tanaka",106,8,"TotalHoleOuts",2005
83,83,"Vaughn Taylor",99,8,"TotalHoleOuts",2005
83,83,"Bo Van Pelt",112,8,"TotalHoleOuts",2005
83,83,"Duffy Waldorf",86,8,"TotalHoleOuts",2005
83,83,"Mark Wilson",74,8,"TotalHoleOuts",2005
116,116,"Paul Azinger",66,7,"TotalHoleOuts",2005
116,116,"Doug Barron",70,7,"TotalHoleOuts",2005
116,116,"Brian Bateman",98,7,"TotalHoleOuts",2005
116,116,"Tom Byrum",83,7,"TotalHoleOuts",2005
116,116,"Mark Calcavecchia",92,7,"TotalHoleOuts",2005
116,116,"Jim Carter",62,7,"TotalHoleOuts",2005
116,116,"Joe Durant",81,7,"TotalHoleOuts",2005
116,116,"Steve Elkington",67,7,"TotalHoleOuts",2005
116,116,"Harrison Frazar",105,7,"TotalHoleOuts",2005
116,116,"Sergio Garcia",73,7,"TotalHoleOuts",2005
116,116,"Bob Heintz",67,7,"TotalHoleOuts",2005
116,116,"Scott Hend",75,7,"TotalHoleOuts",2005
116,116,"Lee Janzen",75,7,"TotalHoleOuts",2005
116,116,"Richard Johnson",50,7,"TotalHoleOuts",2005
116,116,"Thomas Levet",54,7,"TotalHoleOuts",2005
116,116,"Peter Lonard",85,7,"TotalHoleOuts",2005
116,116,"Arron Oberholser",65,7,"TotalHoleOuts",2005
116,116,"Mario Tiziani",67,7,"TotalHoleOuts",2005
116,116,"Omar Uresti",84,7,"TotalHoleOuts",2005
135,135,"Stephen Ames",82,6,"TotalHoleOuts",2005
135,135,"Briny Baird",98,6,"TotalHoleOuts",2005
135,135,"Craig Barlow",81,6,"TotalHoleOuts",2005
135,135,"Jonathan Byrd",103,6,"TotalHoleOuts",2005
135,135,"Matt Davidson",53,6,"TotalHoleOuts",2005
135,135,"John Elliott",58,6,"TotalHoleOuts",2005
135,135,"Bob Estes",92,6,"TotalHoleOuts",2005
135,135,"David Hearn",68,6,"TotalHoleOuts",2005
135,135,"JJ Henry",102,6,"TotalHoleOuts",2005
135,135,"Freddie Jacobson",72,6,"TotalHoleOuts",2005
135,135,"Jerry Kelly",101,6,"TotalHoleOuts",2005
135,135,"Hank Kuehne",84,6,"TotalHoleOuts",2005
135,135,"Bernhard Langer",67,6,"TotalHoleOuts",2005
135,135,"Justin Leonard",78,6,"TotalHoleOuts",2005
135,135,"Len Mattiace",86,6,"TotalHoleOuts",2005
135,135,"Jose Maria Olazabal",55,6,"TotalHoleOuts",2005
135,135,"Ryan Palmer",101,6,"TotalHoleOuts",2005
135,135,"Dennis Paulson",63,6,"TotalHoleOuts",2005
135,135,"Pat Perez",89,6,"TotalHoleOuts",2005
