"3PuttAvoidanceRound3_RANKTHISWEEK_2012","3PuttAvoidanceRound3_RANKLASTWEEK_2012","3PuttAvoidanceRound3_PLAYERNAME_2012","3PuttAvoidanceRound3__2012","3PuttAvoidanceRound3_Pct_2012","3PuttAvoidanceRound3_TOTAL3PUTTS_2012","3PuttAvoidanceRound3_TOTALHOLES_2012","stat_name","year"
1,1,"Stuart Appleby",NA,0.85,2,234,"3PuttAvoidanceRound3",2012
2,2,"William McGirt",NA,0.88,3,342,"3PuttAvoidanceRound3",2012
3,3,"Brian Gay",NA,0.98,3,306,"3PuttAvoidanceRound3",2012
4,4,"Greg Chalmers",NA,1.11,4,360,"3PuttAvoidanceRound3",2012
4,4,"James Driscoll",NA,1.11,3,270,"3PuttAvoidanceRound3",2012
6,6,"Angel Cabrera",NA,1.23,2,162,"3PuttAvoidanceRound3",2012
6,6,"Billy Hurley III",NA,1.23,2,162,"3PuttAvoidanceRound3",2012
8,8,"Jerry Kelly",NA,1.31,4,306,"3PuttAvoidanceRound3",2012
8,8,"Webb Simpson",NA,1.31,4,306,"3PuttAvoidanceRound3",2012
10,10,"Jonas Blixt",NA,1.39,4,288,"3PuttAvoidanceRound3",2012
10,10,"Richard Lee",NA,1.39,3,216,"3PuttAvoidanceRound3",2012
10,10,"Edward Loar",NA,1.39,2,144,"3PuttAvoidanceRound3",2012
10,10,"Graeme McDowell",NA,1.39,3,216,"3PuttAvoidanceRound3",2012
10,10,"Tom Pernice Jr",NA,1.39,2,144,"3PuttAvoidanceRound3",2012
10,10,"Vaughn Taylor",NA,1.39,4,288,"3PuttAvoidanceRound3",2012
16,16,"Martin Flores",NA,1.54,5,324,"3PuttAvoidanceRound3",2012
17,17,"Daniel Chopra",NA,1.59,2,126,"3PuttAvoidanceRound3",2012
17,17,"Freddie Jacobson",NA,1.59,4,252,"3PuttAvoidanceRound3",2012
17,17,"Louis Oosthuizen",NA,1.59,4,252,"3PuttAvoidanceRound3",2012
20,20,"Matt Bettencourt",NA,1.67,3,180,"3PuttAvoidanceRound3",2012
20,20,"Kevin Kisner",NA,1.67,3,180,"3PuttAvoidanceRound3",2012
22,22,"Sangmoon Bae",NA,1.74,5,288,"3PuttAvoidanceRound3",2012
23,23,"Chris Couch",NA,1.85,4,216,"3PuttAvoidanceRound3",2012
23,23,"John Daly",NA,1.85,3,162,"3PuttAvoidanceRound3",2012
23,23,"Brian Davis",NA,1.85,6,324,"3PuttAvoidanceRound3",2012
23,23,"Marco Dawson",NA,1.85,3,162,"3PuttAvoidanceRound3",2012
23,23,"Ernie Els",NA,1.85,6,324,"3PuttAvoidanceRound3",2012
23,23,"Tim Herron",NA,1.85,6,324,"3PuttAvoidanceRound3",2012
23,23,"Matt Jones",NA,1.85,3,162,"3PuttAvoidanceRound3",2012
23,23,"Ryan Moore",NA,1.85,7,378,"3PuttAvoidanceRound3",2012
23,23,"Daniel Summerhays",NA,1.85,5,270,"3PuttAvoidanceRound3",2012
23,23,"Michael Thompson",NA,1.85,5,270,"3PuttAvoidanceRound3",2012
33,33,"Bryce Molder",NA,1.96,6,306,"3PuttAvoidanceRound3",2012
33,33,"Kevin Na",NA,1.96,6,306,"3PuttAvoidanceRound3",2012
33,33,"Steve Stricker",NA,1.96,6,306,"3PuttAvoidanceRound3",2012
36,36,"Gavin Coles",NA,1.98,5,252,"3PuttAvoidanceRound3",2012
36,36,"Ben Crane",NA,1.98,5,252,"3PuttAvoidanceRound3",2012
36,36,"Ian Poulter",NA,1.98,5,252,"3PuttAvoidanceRound3",2012
39,39,"Tim Clark",NA,2.02,4,198,"3PuttAvoidanceRound3",2012
39,39,"Dicky Pride",NA,2.02,4,198,"3PuttAvoidanceRound3",2012
41,41,"Jim Furyk",NA,2.05,7,342,"3PuttAvoidanceRound3",2012
42,42,"Sung Kang",NA,2.08,3,144,"3PuttAvoidanceRound3",2012
43,43,"Mark Anderson",NA,2.14,5,234,"3PuttAvoidanceRound3",2012
43,43,"Arjun Atwal",NA,2.14,5,234,"3PuttAvoidanceRound3",2012
45,45,"Phil Mickelson",NA,2.16,7,324,"3PuttAvoidanceRound3",2012
45,45,"Brandt Snedeker",NA,2.16,7,324,"3PuttAvoidanceRound3",2012
47,47,"Zach Johnson",NA,2.17,9,414,"3PuttAvoidanceRound3",2012
48,48,"Rickie Fowler",NA,2.22,8,360,"3PuttAvoidanceRound3",2012
49,49,"Bud Cauley",NA,2.27,9,396,"3PuttAvoidanceRound3",2012
50,50,"Geoff Ogilvy",NA,2.29,7,306,"3PuttAvoidanceRound3",2012
50,50,"Ryan Palmer",NA,2.29,7,306,"3PuttAvoidanceRound3",2012
52,52,"Ben Curtis",NA,2.31,5,216,"3PuttAvoidanceRound3",2012
52,52,"YE Yang",NA,2.31,5,216,"3PuttAvoidanceRound3",2012
54,54,"JJ Henry",NA,2.34,8,342,"3PuttAvoidanceRound3",2012
55,55,"Stephen Ames",NA,2.38,3,126,"3PuttAvoidanceRound3",2012
55,55,"Brian Harman",NA,2.38,9,378,"3PuttAvoidanceRound3",2012
55,55,"David Mathis",NA,2.38,6,252,"3PuttAvoidanceRound3",2012
55,55,"Steve Wheatcroft",NA,2.38,3,126,"3PuttAvoidanceRound3",2012
59,59,"Dustin Johnson",NA,2.43,7,288,"3PuttAvoidanceRound3",2012
59,59,"Spencer Levin",NA,2.43,7,288,"3PuttAvoidanceRound3",2012
61,61,"Charlie Beljan",NA,2.47,4,162,"3PuttAvoidanceRound3",2012
62,62,"Ken Duke",NA,2.53,10,396,"3PuttAvoidanceRound3",2012
62,62,"Mathew Goggin",NA,2.53,5,198,"3PuttAvoidanceRound3",2012
62,62,"Brandt Jobe",NA,2.53,5,198,"3PuttAvoidanceRound3",2012
62,62,"Jeff Overton",NA,2.53,10,396,"3PuttAvoidanceRound3",2012
62,62,"DJ Trahan",NA,2.53,5,198,"3PuttAvoidanceRound3",2012
67,67,"Ryuji Imada",NA,2.56,6,234,"3PuttAvoidanceRound3",2012
67,67,"Davis Love III",NA,2.56,6,234,"3PuttAvoidanceRound3",2012
67,67,"Nick OHern",NA,2.56,6,234,"3PuttAvoidanceRound3",2012
70,70,"KJ Choi",NA,2.59,7,270,"3PuttAvoidanceRound3",2012
70,70,"Luke Donald",NA,2.59,7,270,"3PuttAvoidanceRound3",2012
70,70,"Bubba Watson",NA,2.59,7,270,"3PuttAvoidanceRound3",2012
73,73,"Bill Haas",NA,2.61,8,306,"3PuttAvoidanceRound3",2012
74,74,"Robert Garrigus",NA,2.63,9,342,"3PuttAvoidanceRound3",2012
74,74,"Hunter Mahan",NA,2.63,9,342,"3PuttAvoidanceRound3",2012
74,74,"George McNeill",NA,2.63,9,342,"3PuttAvoidanceRound3",2012
77,77,"Michael Bradley",NA,2.78,5,180,"3PuttAvoidanceRound3",2012
77,77,"Chris DiMarco",NA,2.78,7,252,"3PuttAvoidanceRound3",2012
77,77,"Tom Gillis",NA,2.78,8,288,"3PuttAvoidanceRound3",2012
77,77,"JJ Killeen",NA,2.78,9,324,"3PuttAvoidanceRound3",2012
77,77,"Colt Knost",NA,2.78,6,216,"3PuttAvoidanceRound3",2012
77,77,"Derek Lamely",NA,2.78,4,144,"3PuttAvoidanceRound3",2012
77,77,"John Mallinger",NA,2.78,6,216,"3PuttAvoidanceRound3",2012
77,77,"Kyle Reifers",NA,2.78,8,288,"3PuttAvoidanceRound3",2012
77,77,"Rory Sabbatini",NA,2.78,7,252,"3PuttAvoidanceRound3",2012
77,77,"Adam Scott",NA,2.78,7,252,"3PuttAvoidanceRound3",2012
77,77,"Brendan Steele",NA,2.78,7,252,"3PuttAvoidanceRound3",2012
88,88,"Kevin Streelman",NA,2.92,10,342,"3PuttAvoidanceRound3",2012
89,89,"Kevin Chappell",NA,2.94,9,306,"3PuttAvoidanceRound3",2012
89,89,"Kevin Stadler",NA,2.94,9,306,"3PuttAvoidanceRound3",2012
91,91,"Padraig Harrington",NA,2.96,8,270,"3PuttAvoidanceRound3",2012
91,91,"Mark Wilson",NA,2.96,8,270,"3PuttAvoidanceRound3",2012
93,93,"Russell Knox",NA,2.99,7,234,"3PuttAvoidanceRound3",2012
94,94,"Tommy Biershenk",NA,3.03,6,198,"3PuttAvoidanceRound3",2012
94,94,"Garth Mulroy",NA,3.03,6,198,"3PuttAvoidanceRound3",2012
94,94,"Alexandre Rocha",NA,3.03,6,198,"3PuttAvoidanceRound3",2012
97,97,"Tommy Gainey",NA,3.06,11,360,"3PuttAvoidanceRound3",2012
97,97,"David Hearn",NA,3.06,11,360,"3PuttAvoidanceRound3",2012
97,97,"Matt Kuchar",NA,3.06,11,360,"3PuttAvoidanceRound3",2012
97,97,"Carl Pettersson",NA,3.06,11,360,"3PuttAvoidanceRound3",2012
101,101,"Ryo Ishikawa",NA,3.09,5,162,"3PuttAvoidanceRound3",2012
101,101,"Greg Owen",NA,3.09,10,324,"3PuttAvoidanceRound3",2012
101,101,"Pat Perez",NA,3.09,10,324,"3PuttAvoidanceRound3",2012
104,104,"Chez Reavie",NA,3.13,9,288,"3PuttAvoidanceRound3",2012
104,104,"Tiger Woods",NA,3.13,9,288,"3PuttAvoidanceRound3",2012
106,106,"Stephen Gangluff",NA,3.17,4,126,"3PuttAvoidanceRound3",2012
106,106,"Nathan Green",NA,3.17,8,252,"3PuttAvoidanceRound3",2012
106,106,"Justin Leonard",NA,3.17,8,252,"3PuttAvoidanceRound3",2012
106,106,"Roland Thatcher",NA,3.17,4,126,"3PuttAvoidanceRound3",2012
106,106,"Jhonattan Vegas",NA,3.17,8,252,"3PuttAvoidanceRound3",2012
111,111,"Charley Hoffman",NA,3.22,11,342,"3PuttAvoidanceRound3",2012
111,111,"Sean OHair",NA,3.22,11,342,"3PuttAvoidanceRound3",2012
113,113,"Kris Blanks",NA,3.24,7,216,"3PuttAvoidanceRound3",2012
113,113,"Charl Schwartzel",NA,3.24,7,216,"3PuttAvoidanceRound3",2012
115,115,"Bill Lunde",NA,3.27,10,306,"3PuttAvoidanceRound3",2012
115,115,"Billy Mayfair",NA,3.27,10,306,"3PuttAvoidanceRound3",2012
115,115,"Johnson Wagner",NA,3.27,10,306,"3PuttAvoidanceRound3",2012
118,118,"Brendon de Jonge",NA,3.29,16,486,"3PuttAvoidanceRound3",2012
119,119,"Aaron Baddeley",NA,3.33,9,270,"3PuttAvoidanceRound3",2012
119,119,"Jason Dufner",NA,3.33,12,360,"3PuttAvoidanceRound3",2012
