"EaglesHolesper_RANKTHISWEEK_2005","EaglesHolesper_RANKLASTWEEK_2005","EaglesHolesper_PLAYERNAME_2005","EaglesHolesper_ROUNDS_2005","EaglesHolesper_FREQUENCY_2005","EaglesHolesper_OFHOLES_2005","EaglesHolesper_OFEAGLES_2005","stat_name","year"
1,1,"Brenden Pappas",51,70.6,918,13,"EaglesHolesper",2005
2,2,"DJ Trahan",81,77,1386,18,"EaglesHolesper",2005
3,3,"Mathias Gronberg",60,87,1044,12,"EaglesHolesper",2005
4,4,"Kevin Stadler",96,87.2,1656,19,"EaglesHolesper",2005
5,5,"Brian Davis",75,96.4,1350,14,"EaglesHolesper",2005
6,6,"Michael Long",72,105,1260,12,"EaglesHolesper",2005
7,7,"Joey Snyder III",102,110.3,1764,16,"EaglesHolesper",2005
8,8,"James Driscoll",73,116.2,1278,11,"EaglesHolesper",2005
9,9,"Ben Crane",78,121.1,1332,11,"EaglesHolesper",2005
10,10,"Harrison Frazar",105,121.2,1818,15,"EaglesHolesper",2005
11,11,"Mark Hensby",70,122.4,1224,10,"EaglesHolesper",2005
12,12,"Scott Gutschewski",86,123,1476,12,"EaglesHolesper",2005
13,13,"Steve Lowery",100,123.4,1728,14,"EaglesHolesper",2005
14,14,"Billy Mayfair",114,132,1980,15,"EaglesHolesper",2005
15,15,"Brent Geiberger",61,132.8,1062,8,"EaglesHolesper",2005
16,16,"Tiger Woods",76,133.2,1332,10,"EaglesHolesper",2005
17,17,"Aaron Baddeley",84,134.2,1476,11,"EaglesHolesper",2005
17,17,"Jesper Parnevik",84,134.2,1476,11,"EaglesHolesper",2005
19,19,"Charles Howell III",95,135,1620,12,"EaglesHolesper",2005
19,19,"Davis Love III",80,135,1350,10,"EaglesHolesper",2005
21,21,"Fred Couples",72,136,1224,9,"EaglesHolesper",2005
22,22,"Jay Williamson",53,136.3,954,7,"EaglesHolesper",2005
23,23,"Jason Bohn",91,136.5,1638,12,"EaglesHolesper",2005
24,24,"Craig Barlow",81,138.6,1386,10,"EaglesHolesper",2005
25,25,"Lucas Glover",88,140.7,1548,11,"EaglesHolesper",2005
26,26,"Brian Bateman",98,141,1692,12,"EaglesHolesper",2005
27,27,"Hunter Haas",83,142.2,1422,10,"EaglesHolesper",2005
28,28,"John Rollins",97,142.5,1710,12,"EaglesHolesper",2005
29,29,"Padraig Harrington",50,144,864,6,"EaglesHolesper",2005
29,29,"Hideto Tanihara",50,144,864,6,"EaglesHolesper",2005
31,31,"Arjun Atwal",65,146.3,1170,8,"EaglesHolesper",2005
32,32,"DA Points",94,147.3,1620,11,"EaglesHolesper",2005
33,33,"Tag Ridings",93,148.9,1638,11,"EaglesHolesper",2005
34,34,"Bernhard Langer",67,150.8,1206,8,"EaglesHolesper",2005
35,35,"Vijay Singh",111,150.9,1962,13,"EaglesHolesper",2005
36,36,"Carlos Franco",78,152,1368,9,"EaglesHolesper",2005
37,37,"David Hearn",68,153,1224,8,"EaglesHolesper",2005
38,38,"David Toms",87,154,1386,9,"EaglesHolesper",2005
39,39,"Chris Anderson",66,159.4,1116,7,"EaglesHolesper",2005
40,40,"Robert Allenby",95,160.2,1602,10,"EaglesHolesper",2005
41,41,"Steve Allan",102,160.4,1764,11,"EaglesHolesper",2005
41,41,"Shigeki Maruyama",99,160.4,1764,11,"EaglesHolesper",2005
43,43,"Jonathan Byrd",103,162,1782,11,"EaglesHolesper",2005
43,43,"Sean OHair",103,162,1782,11,"EaglesHolesper",2005
43,43,"Joe Ogilvie",103,162,1782,11,"EaglesHolesper",2005
46,46,"Woody Austin",100,163.6,1800,11,"EaglesHolesper",2005
47,47,"Scott Hend",75,164.3,1314,8,"EaglesHolesper",2005
48,48,"Brett Wetterich",76,166.5,1332,8,"EaglesHolesper",2005
49,49,"Charlie Wi",67,167.1,1170,7,"EaglesHolesper",2005
50,50,"Lee Westwood",50,172.8,864,5,"EaglesHolesper",2005
51,51,"Sergio Garcia",73,174.9,1224,7,"EaglesHolesper",2005
52,52,"Andrew Magee",82,175.5,1404,8,"EaglesHolesper",2005
53,53,"Nick Watney",91,178,1602,9,"EaglesHolesper",2005
54,54,"Bart Bryant",91,182,1638,9,"EaglesHolesper",2005
55,55,"Retief Goosen",71,183,1098,6,"EaglesHolesper",2005
56,56,"Bo Van Pelt",112,183.3,2016,11,"EaglesHolesper",2005
57,57,"Bill Glasson",54,187.2,936,5,"EaglesHolesper",2005
58,58,"Jason Allred",75,187.7,1314,7,"EaglesHolesper",2005
58,58,"Rocco Mediate",73,187.7,1314,7,"EaglesHolesper",2005
60,60,"Dudley Hart",84,189,1512,8,"EaglesHolesper",2005
60,60,"Peter Lonard",85,189,1512,8,"EaglesHolesper",2005
62,62,"Scott McCarron",78,190.3,1332,7,"EaglesHolesper",2005
63,63,"Thomas Levet",54,190.8,954,5,"EaglesHolesper",2005
64,64,"Briny Baird",98,192,1728,9,"EaglesHolesper",2005
65,65,"Chris DiMarco",83,192.9,1350,7,"EaglesHolesper",2005
66,66,"John Daly",78,195.4,1368,7,"EaglesHolesper",2005
67,67,"Tim Clark",92,195.8,1566,8,"EaglesHolesper",2005
68,68,"John Senden",101,198,1782,9,"EaglesHolesper",2005
69,69,"Rory Sabbatini",81,200.6,1404,7,"EaglesHolesper",2005
70,70,"Bob Heintz",67,201,1206,6,"EaglesHolesper",2005
71,71,"Ian Poulter",62,201.6,1008,5,"EaglesHolesper",2005
72,72,"Michael Allen",90,202.5,1620,8,"EaglesHolesper",2005
72,72,"Mark Calcavecchia",92,202.5,1620,8,"EaglesHolesper",2005
74,74,"Brendan Jones",81,203.1,1422,7,"EaglesHolesper",2005
74,74,"Shaun Micheel",81,203.1,1422,7,"EaglesHolesper",2005
76,76,"Adam Scott",72,204,1224,6,"EaglesHolesper",2005
77,77,"Kenny Perry",82,205.7,1440,7,"EaglesHolesper",2005
78,78,"Bob Estes",92,207,1656,8,"EaglesHolesper",2005
78,78,"Brandt Jobe",96,207,1656,8,"EaglesHolesper",2005
80,80,"Geoff Ogilvy",97,209.3,1674,8,"EaglesHolesper",2005
80,80,"Tim Petrovic",97,209.3,1674,8,"EaglesHolesper",2005
80,80,"Chris Smith",93,209.3,1674,8,"EaglesHolesper",2005
83,83,"Freddie Jacobson",72,213,1278,6,"EaglesHolesper",2005
84,84,"Tom Pernice Jr",111,214,1926,9,"EaglesHolesper",2005
85,85,"Luke Donald",67,216,1080,5,"EaglesHolesper",2005
85,85,"Frank Lickliter II",100,216,1728,8,"EaglesHolesper",2005
87,87,"Kevin Na",88,221.1,1548,7,"EaglesHolesper",2005
88,88,"Vaughn Taylor",99,222.8,1782,8,"EaglesHolesper",2005
89,89,"Arron Oberholser",65,226.8,1134,5,"EaglesHolesper",2005
89,89,"Dennis Paulson",63,226.8,1134,5,"EaglesHolesper",2005
91,91,"Ben Curtis",65,234,1170,5,"EaglesHolesper",2005
91,91,"Mario Tiziani",67,234,1170,5,"EaglesHolesper",2005
93,93,"Jim Furyk",94,239.1,1674,7,"EaglesHolesper",2005
94,94,"Hank Kuehne",84,240,1440,6,"EaglesHolesper",2005
94,94,"Greg Owen",84,240,1440,6,"EaglesHolesper",2005
96,96,"Tom Lehman",69,241.2,1206,5,"EaglesHolesper",2005
97,97,"Jeff Sluman",94,241.7,1692,7,"EaglesHolesper",2005
98,98,"Steve Jones",56,243,972,4,"EaglesHolesper",2005
99,99,"Marco Dawson",82,246,1476,6,"EaglesHolesper",2005
100,100,"Billy Andrade",83,249,1494,6,"EaglesHolesper",2005
101,101,"Gavin Coles",70,252,1260,5,"EaglesHolesper",2005
102,102,"Steve Flesch",90,255,1530,6,"EaglesHolesper",2005
103,103,"Brad Faxon",75,255.6,1278,5,"EaglesHolesper",2005
104,104,"JJ Henry",102,257.1,1800,7,"EaglesHolesper",2005
105,105,"John Huston",90,258,1548,6,"EaglesHolesper",2005
105,105,"Dean Wilson",86,258,1548,6,"EaglesHolesper",2005
107,107,"Charles Warren",89,261,1566,6,"EaglesHolesper",2005
108,108,"KJ Choi",78,262.8,1314,5,"EaglesHolesper",2005
108,108,"Roland Thatcher",75,262.8,1314,5,"EaglesHolesper",2005
110,110,"Tommy Armour III",103,264.9,1854,7,"EaglesHolesper",2005
111,111,"Jonathan Kaye",77,266.4,1332,5,"EaglesHolesper",2005
112,112,"Daniel Chopra",108,267.4,1872,7,"EaglesHolesper",2005
113,113,"Matt Gogel",78,273.6,1368,5,"EaglesHolesper",2005
113,113,"Darron Stiles",78,273.6,1368,5,"EaglesHolesper",2005
115,115,"Cameron Beckman",96,276,1656,6,"EaglesHolesper",2005
116,116,"Rich Beem",66,279,1116,4,"EaglesHolesper",2005
116,116,"Steve Stricker",62,279,1116,4,"EaglesHolesper",2005
118,118,"Glen Day",80,280.8,1404,5,"EaglesHolesper",2005
118,118,"Ryuji Imada",78,280.8,1404,5,"EaglesHolesper",2005
120,120,"JP Hayes",63,283.5,1134,4,"EaglesHolesper",2005
121,121,"Neal Lancaster",95,285,1710,6,"EaglesHolesper",2005
121,121,"Justin Rose",99,285,1710,6,"EaglesHolesper",2005
123,123,"Ryan Palmer",101,291,1746,6,"EaglesHolesper",2005
124,124,"Craig Perks",67,292.5,1170,4,"EaglesHolesper",2005
124,124,"Rob Rashell",65,292.5,1170,4,"EaglesHolesper",2005
126,126,"JL Lewis",98,294,1764,6,"EaglesHolesper",2005
127,127,"Jerry Kelly",101,297,1782,6,"EaglesHolesper",2005
128,128,"Dan Forsman",52,300,900,3,"EaglesHolesper",2005
129,129,"Jeff Brehaut",71,301.5,1206,4,"EaglesHolesper",2005
130,130,"Omar Uresti",84,302.4,1512,5,"EaglesHolesper",2005
131,131,"Hidemichi Tanaka",106,306,1836,6,"EaglesHolesper",2005
132,132,"Ted Purdy",122,313.7,2196,7,"EaglesHolesper",2005
133,133,"Mark Wilson",74,315,1260,4,"EaglesHolesper",2005
134,134,"Matt Davidson",53,318,954,3,"EaglesHolesper",2005
134,134,"Jose Maria Olazabal",55,318,954,3,"EaglesHolesper",2005
136,136,"Robert Damron",89,320.4,1602,5,"EaglesHolesper",2005
137,137,"DJ Brigman",76,324,1296,4,"EaglesHolesper",2005
137,137,"Stewart Cink",98,324,1620,5,"EaglesHolesper",2005
137,137,"Jose Coceres",56,324,972,3,"EaglesHolesper",2005
140,140,"Todd Hamilton",94,327.6,1638,5,"EaglesHolesper",2005
141,141,"Lee Janzen",75,328.5,1314,4,"EaglesHolesper",2005
141,141,"Corey Pavin",77,328.5,1314,4,"EaglesHolesper",2005
141,141,"Phillip Price",77,328.5,1314,4,"EaglesHolesper",2005
144,144,"Phil Mickelson",81,333,1332,4,"EaglesHolesper",2005
145,145,"Tom Gillis",77,337.5,1350,4,"EaglesHolesper",2005
146,146,"Paul Claxton",79,355.5,1422,4,"EaglesHolesper",2005
147,147,"Heath Slocum",103,356.4,1782,5,"EaglesHolesper",2005
148,148,"Stuart Appleby",84,360,1440,4,"EaglesHolesper",2005
149,149,"Hunter Mahan",103,363.6,1818,5,"EaglesHolesper",2005
150,150,"Alex Cejka",84,364.5,1458,4,"EaglesHolesper",2005
150,150,"Joe Durant",81,364.5,1458,4,"EaglesHolesper",2005
152,152,"Duffy Waldorf",86,369,1476,4,"EaglesHolesper",2005
153,153,"Tom Byrum",83,373.5,1494,4,"EaglesHolesper",2005
153,153,"Bob Tway",87,373.5,1494,4,"EaglesHolesper",2005
155,155,"Carl Pettersson",109,378,1890,5,"EaglesHolesper",2005
156,156,"Chris Riley",67,384,1152,3,"EaglesHolesper",2005
157,157,"Stephen Leaney",89,387,1548,4,"EaglesHolesper",2005
157,157,"Scott Verplank",87,387,1548,4,"EaglesHolesper",2005
159,159,"Paul Azinger",66,396,1188,3,"EaglesHolesper",2005
159,159,"Patrick Sheehan",114,396,1980,5,"EaglesHolesper",2005
161,161,"Pat Perez",89,400.5,1602,4,"EaglesHolesper",2005
162,162,"Robert Gamez",91,409.5,1638,4,"EaglesHolesper",2005
163,163,"Chad Campbell",95,414,1656,4,"EaglesHolesper",2005
164,164,"Mark Brooks",72,432,1296,3,"EaglesHolesper",2005
165,165,"Todd Fischer",99,436.5,1746,4,"EaglesHolesper",2005
166,166,"Will Ma Kenzie",75,438,1314,3,"EaglesHolesper",2005
167,167,"Tim Herron",100,445.5,1782,4,"EaglesHolesper",2005
168,168,"Richard Johnson",50,450,900,2,"EaglesHolesper",2005
168,168,"Justin Leonard",78,450,1350,3,"EaglesHolesper",2005
