"Back9ScoringAverage_RANKTHISWEEK_2010","Back9ScoringAverage_RANKLASTWEEK_2010","Back9ScoringAverage_PLAYERNAME_2010","Back9ScoringAverage_ROUNDS_2010","Back9ScoringAverage_AVG_2010","Back9ScoringAverage_TOTALSTROKES_2010","Back9ScoringAverage_TOTALHOLES_2010","stat_name","year"
1,1,"Steve Stricker",73,34.94,2516,72,"Back9ScoringAverage",2010
2,2,"Matt Kuchar",97,34.95,3320,95,"Back9ScoringAverage",2010
3,3,"Paul Stankowski",62,34.97,2168,62,"Back9ScoringAverage",2010
4,4,"Dustin Johnson",83,35,2870,82,"Back9ScoringAverage",2010
5,5,"Charley Hoffman",85,35.02,2977,85,"Back9ScoringAverage",2010
6,6,"Jim Furyk",76,35.05,2594,74,"Back9ScoringAverage",2010
7,7,"Joe Durant",67,35.06,2349,67,"Back9ScoringAverage",2010
7,7,"Justin Rose",78,35.06,2735,78,"Back9ScoringAverage",2010
9,9,"Charles Howell III",103,35.07,3612,103,"Back9ScoringAverage",2010
10,10,"Charlie Wi",95,35.08,3333,95,"Back9ScoringAverage",2010
11,11,"Aron Price",70,35.13,2459,70,"Back9ScoringAverage",2010
12,12,"Bubba Watson",77,35.14,2706,77,"Back9ScoringAverage",2010
13,13,"Matt Every",60,35.15,2109,60,"Back9ScoringAverage",2010
14,14,"Webb Simpson",98,35.19,3449,98,"Back9ScoringAverage",2010
15,15,"Chris Riley",73,35.21,2570,73,"Back9ScoringAverage",2010
16,16,"Luke Donald",71,35.22,2395,68,"Back9ScoringAverage",2010
16,16,"Spencer Levin",110,35.22,3874,110,"Back9ScoringAverage",2010
18,18,"Bo Van Pelt",104,35.23,3664,104,"Back9ScoringAverage",2010
19,19,"Kevin Na",94,35.24,3277,93,"Back9ScoringAverage",2010
20,20,"Brendon de Jonge",114,35.25,4019,114,"Back9ScoringAverage",2010
21,21,"JB Holmes",100,35.26,3526,100,"Back9ScoringAverage",2010
22,22,"Shaun Micheel",70,35.27,2469,70,"Back9ScoringAverage",2010
22,22,"Bryce Molder",84,35.27,2963,84,"Back9ScoringAverage",2010
24,24,"Steve Elkington",74,35.28,2611,74,"Back9ScoringAverage",2010
24,24,"John Rollins",81,35.28,2858,81,"Back9ScoringAverage",2010
