"BallStriking_RANKTHISWEEK_2014","BallStriking_RANKLASTWEEK_2014","BallStriking_PLAYERNAME_2014","BallStriking_ROUNDS_2014","BallStriking_VALUE_2014","BallStriking_TOTALDRVRANK_2014","BallStriking_GIRRANK_2014","stat_name","year"
1,1,"Henrik Stenson",56,10,2,8,"BallStriking",2014
2,2,"Graham DeLaet",80,12,9,3,"BallStriking",2014
3,3,"Billy Horschel",92,15,11,4,"BallStriking",2014
3,3,"Hudson Swafford",75,15,4,11,"BallStriking",2014
5,5,"Jhonattan Vegas",77,19,12,7,"BallStriking",2014
6,6,"Adam Scott",68,20,10,10,"BallStriking",2014
7,7,"Rory McIlroy",66,22,16,6,"BallStriking",2014
8,8,"Justin Hicks",103,29,27,2,"BallStriking",2014
9,9,"JJ Henry",91,32,27,5,"BallStriking",2014
10,10,"Kevin Stadler",90,33,24,9,"BallStriking",2014
11,11,"Kevin Chappell",100,34,6,28,"BallStriking",2014
12,12,"Boo Weekley",73,35,15,20,"BallStriking",2014
13,13,"Lucas Glover",68,38,1,37,"BallStriking",2014
13,13,"Bubba Watson",76,38,14,24,"BallStriking",2014
15,15,"Nick Watney",80,44,12,32,"BallStriking",2014
16,16,"Chad Campbell",57,45,44,1,"BallStriking",2014
16,16,"Sergio Garcia",61,45,31,14,"BallStriking",2014
18,18,"Hunter Mahan",88,49,3,46,"BallStriking",2014
19,19,"Harris English",95,50,33,17,"BallStriking",2014
20,20,"Bill Haas",107,51,36,15,"BallStriking",2014
21,21,"Keegan Bradley",89,54,8,46,"BallStriking",2014
22,22,"John Merrick",87,55,36,19,"BallStriking",2014
23,23,"Russell Knox",92,60,38,22,"BallStriking",2014
24,24,"Ryan Moore",86,61,38,23,"BallStriking",2014
24,24,"Will Wilcox",51,61,19,42,"BallStriking",2014
26,26,"Andrew Svoboda",77,62,44,18,"BallStriking",2014
26,26,"Bo Van Pelt",83,62,46,16,"BallStriking",2014
28,28,"Kyle Stanley",87,64,20,44,"BallStriking",2014
29,29,"Shawn Stefani",60,66,6,60,"BallStriking",2014
30,30,"Louis Oosthuizen",50,72,18,54,"BallStriking",2014
31,31,"Dustin Johnson",58,73,52,21,"BallStriking",2014
32,32,"Jim Furyk",84,74,62,12,"BallStriking",2014
32,32,"John Senden",99,74,49,25,"BallStriking",2014
34,34,"Gary Woodland",93,78,27,51,"BallStriking",2014
35,35,"Jim Herman",62,80,25,55,"BallStriking",2014
35,35,"Nicholas Thompson",85,80,34,46,"BallStriking",2014
37,37,"Zach Johnson",97,82,51,31,"BallStriking",2014
37,37,"Ben Martin",80,82,20,62,"BallStriking",2014
39,39,"Martin Laird",66,83,25,58,"BallStriking",2014
40,40,"David Toms",64,94,81,13,"BallStriking",2014
41,41,"Charley Hoffman",93,96,61,35,"BallStriking",2014
42,42,"Matt Kuchar",91,97,57,40,"BallStriking",2014
42,42,"Will Ma Kenzie",82,97,27,70,"BallStriking",2014
44,44,"Michael Putnam",106,98,62,36,"BallStriking",2014
45,45,"Brendan Steele",89,101,48,53,"BallStriking",2014
46,46,"Ryan Palmer",85,103,57,46,"BallStriking",2014
47,47,"Justin Rose",70,106,65,41,"BallStriking",2014
48,48,"Heath Slocum",71,109,76,33,"BallStriking",2014
49,49,"Robert Streb",75,111,42,69,"BallStriking",2014
50,50,"Charlie Beljan",76,116,34,82,"BallStriking",2014
51,51,"Daniel Summerhays",98,118,76,42,"BallStriking",2014
52,52,"Camilo Villegas",95,120,81,39,"BallStriking",2014
53,53,"Charles Howell III",106,121,95,26,"BallStriking",2014
54,54,"Brendon de Jonge",109,125,22,103,"BallStriking",2014
55,55,"Scott Brown",100,127,38,89,"BallStriking",2014
55,55,"Ken Duke",80,127,93,34,"BallStriking",2014
57,57,"John Peterson",62,131,60,71,"BallStriking",2014
57,57,"Carl Pettersson",91,131,85,46,"BallStriking",2014
59,59,"Derek Ernst",80,133,5,128,"BallStriking",2014
59,59,"Josh Teater",90,133,47,86,"BallStriking",2014
61,61,"Paul Casey",56,136,71,65,"BallStriking",2014
62,62,"Martin Kaymer",65,137,38,99,"BallStriking",2014
