"SandSavePercentage_RANKTHISWEEK_2012","SandSavePercentage_RANKLASTWEEK_2012","SandSavePercentage_PLAYERNAME_2012","SandSavePercentage_ROUNDS_2012","SandSavePercentage_Pct_2012","SandSavePercentage_SAVES_2012","SandSavePercentage_BUNKERS_2012","SandSavePercentage_TOTALOUPAR_2012","stat_name","year"
1,1,"Jonas Blixt",72,65.44,89,136,21,"SandSavePercentage",2012
2,2,"Greg Chalmers",88,65.24,107,164,34,"SandSavePercentage",2012
3,3,"Jim Furyk",85,65.15,86,132,24,"SandSavePercentage",2012
4,4,"Justin Rose",69,62.81,76,121,25,"SandSavePercentage",2012
5,5,"Brian Gay",91,62.32,86,138,43,"SandSavePercentage",2012
6,6,"Bud Cauley",99,60.84,87,143,15,"SandSavePercentage",2012
7,7,"Martin Flores",95,60.15,80,133,39,"SandSavePercentage",2012
8,8,"Matt Kuchar",86,60.14,89,148,31,"SandSavePercentage",2012
9,9,"Chris DiMarco",83,60.13,95,158,47,"SandSavePercentage",2012
10,10,"Padraig Harrington",67,59.41,60,101,25,"SandSavePercentage",2012
11,11,"David Toms",60,59.21,45,76,14,"SandSavePercentage",2012
12,12,"Bill Haas",79,58.62,68,116,22,"SandSavePercentage",2012
13,13,"Aaron Baddeley",73,58.33,77,132,35,"SandSavePercentage",2012
14,14,"Brandt Snedeker",81,57.86,81,140,39,"SandSavePercentage",2012
15,15,"Bill Lunde",83,57.39,66,115,37,"SandSavePercentage",2012
16,16,"Zach Johnson",95,57.24,87,152,49,"SandSavePercentage",2012
17,17,"Carl Pettersson",92,56.71,93,164,45,"SandSavePercentage",2012
18,18,"Rocco Mediate",70,56.7,55,97,22,"SandSavePercentage",2012
19,19,"Jason Dufner",83,56.69,72,127,35,"SandSavePercentage",2012
20,20,"Luke Donald",63,56.48,61,108,30,"SandSavePercentage",2012
21,21,"Sergio Garcia",57,56.36,62,110,17,"SandSavePercentage",2012
22,22,"Rory McIlroy",60,56.16,41,73,17,"SandSavePercentage",2012
23,23,"Ian Poulter",57,56.12,55,98,29,"SandSavePercentage",2012
24,24,"Matt Every",80,56.1,69,123,36,"SandSavePercentage",2012
25,25,"Keegan Bradley",90,55.3,73,132,21,"SandSavePercentage",2012
26,26,"Geoff Ogilvy",73,55.28,68,123,34,"SandSavePercentage",2012
27,27,"Phil Mickelson",79,55.07,76,138,47,"SandSavePercentage",2012
28,28,"Roberto Castro",92,55,77,140,34,"SandSavePercentage",2012
29,29,"Ben Crane",73,54.61,77,141,48,"SandSavePercentage",2012
30,30,"Lee Westwood",60,54.44,49,90,21,"SandSavePercentage",2012
31,31,"Henrik Stenson",51,54.43,43,79,17,"SandSavePercentage",2012
32,32,"Jason Day",57,54.37,56,103,27,"SandSavePercentage",2012
33,33,"Tim Clark",60,54.35,50,92,32,"SandSavePercentage",2012
33,33,"Gavin Coles",72,54.35,50,92,38,"SandSavePercentage",2012
35,35,"Stuart Appleby",75,54.31,63,116,35,"SandSavePercentage",2012
36,36,"Billy Hurley III",70,54.24,64,118,43,"SandSavePercentage",2012
37,37,"Kevin Na",80,54.03,67,124,33,"SandSavePercentage",2012
38,38,"Dustin Johnson",70,53.85,63,117,34,"SandSavePercentage",2012
39,39,"Daniel Chopra",55,53.75,43,80,38,"SandSavePercentage",2012
40,40,"Tom Gillis",75,53.74,79,147,48,"SandSavePercentage",2012
41,41,"Mark Anderson",75,53.62,74,138,38,"SandSavePercentage",2012
42,42,"JJ Killeen",101,53.55,113,211,69,"SandSavePercentage",2012
43,43,"Michael Thompson",80,53.45,62,116,37,"SandSavePercentage",2012
44,44,"Mathew Goggin",65,53.4,55,103,29,"SandSavePercentage",2012
45,45,"Jerry Kelly",84,53.02,79,149,52,"SandSavePercentage",2012
46,46,"Jonathan Byrd",69,52.89,64,121,45,"SandSavePercentage",2012
47,47,"Nick OHern",78,52.8,66,125,46,"SandSavePercentage",2012
48,48,"Ryan Moore",89,52.74,77,146,48,"SandSavePercentage",2012
49,49,"Edward Loar",59,52.7,39,74,26,"SandSavePercentage",2012
50,50,"Jimmy Walker",101,52.66,89,169,56,"SandSavePercentage",2012
51,51,"Ryuji Imada",78,52.63,70,133,53,"SandSavePercentage",2012
51,51,"Mark Wilson",84,52.63,60,114,36,"SandSavePercentage",2012
53,53,"Ryo Ishikawa",54,52.38,44,84,35,"SandSavePercentage",2012
53,53,"Matt Jones",53,52.38,44,84,25,"SandSavePercentage",2012
55,55,"David Hearn",95,52.14,73,140,44,"SandSavePercentage",2012
56,56,"Tim Herron",88,51.92,81,156,52,"SandSavePercentage",2012
57,57,"Charl Schwartzel",56,51.81,43,83,28,"SandSavePercentage",2012
58,58,"Dicky Pride",62,51.72,45,87,28,"SandSavePercentage",2012
59,59,"Brian Davis",91,51.68,77,149,55,"SandSavePercentage",2012
60,60,"Kyle Reifers",86,51.59,65,126,42,"SandSavePercentage",2012
61,61,"Robert Karlsson",54,51.58,49,95,26,"SandSavePercentage",2012
62,62,"Billy Mayfair",90,51.43,72,140,40,"SandSavePercentage",2012
63,63,"Webb Simpson",77,51.24,62,121,33,"SandSavePercentage",2012
64,64,"John Huh",99,51.03,74,145,41,"SandSavePercentage",2012
65,65,"Vijay Singh",99,50.9,85,167,45,"SandSavePercentage",2012
66,66,"Nathan Green",73,50.89,57,112,41,"SandSavePercentage",2012
67,67,"YE Yang",64,50.83,61,120,44,"SandSavePercentage",2012
68,68,"Pat Perez",81,50.76,67,132,43,"SandSavePercentage",2012
69,69,"Russell Knox",72,50.6,42,83,16,"SandSavePercentage",2012
70,70,"Davis Love III",64,50.43,59,117,40,"SandSavePercentage",2012
70,70,"Chris Stroud",86,50.43,59,117,41,"SandSavePercentage",2012
72,72,"Jason Bohn",81,50.33,76,151,67,"SandSavePercentage",2012
73,73,"Cameron Beckman",81,50,53,106,41,"SandSavePercentage",2012
73,73,"Graham DeLaet",79,50,56,112,42,"SandSavePercentage",2012
73,73,"Brian Harman",101,50,92,184,65,"SandSavePercentage",2012
73,73,"Trevor Immelman",76,50,66,132,47,"SandSavePercentage",2012
73,73,"Spencer Levin",81,50,82,164,35,"SandSavePercentage",2012
73,73,"Vaughn Taylor",81,50,54,108,34,"SandSavePercentage",2012
79,79,"Tommy Gainey",98,49.46,92,186,74,"SandSavePercentage",2012
80,80,"JB Holmes",90,49.34,75,152,52,"SandSavePercentage",2012
81,81,"Greg Owen",90,49.3,70,142,53,"SandSavePercentage",2012
82,82,"Rod Pampling",88,49.03,76,155,58,"SandSavePercentage",2012
83,83,"Tiger Woods",69,49,49,100,25,"SandSavePercentage",2012
84,84,"Rory Sabbatini",84,48.99,73,149,56,"SandSavePercentage",2012
85,85,"Scott Piercy",95,48.92,68,139,44,"SandSavePercentage",2012
86,86,"Marc Leishman",84,48.87,65,133,52,"SandSavePercentage",2012
87,87,"John Senden",81,48.82,62,127,28,"SandSavePercentage",2012
88,88,"KJ Choi",71,48.72,57,117,35,"SandSavePercentage",2012
89,89,"Rickie Fowler",84,48.63,71,146,59,"SandSavePercentage",2012
90,90,"Brendon de Jonge",115,48.47,79,163,46,"SandSavePercentage",2012
91,91,"Erik Compton",81,48.41,61,126,40,"SandSavePercentage",2012
92,92,"Bryce Molder",83,48.31,57,118,60,"SandSavePercentage",2012
93,93,"Seung Yul Noh",105,48.25,69,143,64,"SandSavePercentage",2012
94,94,"Bo Van Pelt",84,48.12,64,133,56,"SandSavePercentage",2012
95,95,"Ernie Els",80,48,60,125,43,"SandSavePercentage",2012
96,96,"James Driscoll",83,47.9,80,167,77,"SandSavePercentage",2012
97,97,"Stephen Gangluff",57,47.87,45,94,35,"SandSavePercentage",2012
98,98,"George McNeill",85,47.65,81,170,60,"SandSavePercentage",2012
99,99,"Steve Stricker",73,47.62,50,105,39,"SandSavePercentage",2012
100,100,"Harrison Frazar",56,47.57,49,103,42,"SandSavePercentage",2012
101,101,"Marco Dawson",60,47.5,38,80,33,"SandSavePercentage",2012
102,102,"Colt Knost",79,47.33,62,131,67,"SandSavePercentage",2012
103,103,"Chris Kirk",93,47.26,69,146,51,"SandSavePercentage",2012
104,104,"Nick Watney",97,47.22,68,144,51,"SandSavePercentage",2012
105,105,"Danny Lee",74,47.06,48,102,34,"SandSavePercentage",2012
106,106,"Ryan Palmer",81,47.02,71,151,55,"SandSavePercentage",2012
107,107,"Michael Bradley",63,46.99,39,83,42,"SandSavePercentage",2012
108,108,"Stephen Ames",54,46.91,38,81,43,"SandSavePercentage",2012
109,109,"Chez Reavie",83,46.88,60,128,47,"SandSavePercentage",2012
110,110,"Tom Pernice Jr",62,46.73,50,107,43,"SandSavePercentage",2012
111,111,"Harris English",98,46.54,74,159,56,"SandSavePercentage",2012
111,111,"Charles Howell III",98,46.54,74,159,62,"SandSavePercentage",2012
113,113,"Brendon Todd",78,46.49,53,114,44,"SandSavePercentage",2012
114,114,"Scott Dunlap",57,46.43,39,84,32,"SandSavePercentage",2012
115,115,"Kris Blanks",65,46.4,58,125,52,"SandSavePercentage",2012
116,116,"Angel Cabrera",54,46.38,32,69,30,"SandSavePercentage",2012
117,117,"Blake Adams",107,46.35,89,192,57,"SandSavePercentage",2012
118,118,"Kevin Chappell",91,46.15,84,182,67,"SandSavePercentage",2012
118,118,"Billy Horschel",63,46.15,30,65,16,"SandSavePercentage",2012
120,120,"William McGirt",96,46.1,71,154,52,"SandSavePercentage",2012
121,121,"Andres Romero",68,46.02,52,113,52,"SandSavePercentage",2012
122,122,"Hunter Mahan",88,45.91,73,159,59,"SandSavePercentage",2012
122,122,"Kevin Streelman",89,45.91,73,159,55,"SandSavePercentage",2012
124,124,"Ken Duke",104,45.88,78,170,51,"SandSavePercentage",2012
125,125,"Kyle Stanley",86,45.77,65,142,43,"SandSavePercentage",2012
126,126,"Troy Matteson",100,45.75,70,153,72,"SandSavePercentage",2012
127,127,"Adam Scott",59,45.74,43,94,38,"SandSavePercentage",2012
127,127,"Daniel Summerhays",81,45.74,59,129,52,"SandSavePercentage",2012
129,129,"DA Points",88,45.52,61,134,58,"SandSavePercentage",2012
130,130,"Bob Estes",78,45.45,60,132,60,"SandSavePercentage",2012
130,130,"Bobby Gates",87,45.45,60,132,48,"SandSavePercentage",2012
130,130,"Kevin Kisner",69,45.45,45,99,38,"SandSavePercentage",2012
133,133,"Derek Lamely",64,45.36,44,97,41,"SandSavePercentage",2012
134,134,"Sangmoon Bae",81,45.33,68,150,85,"SandSavePercentage",2012
134,134,"Josh Teater",97,45.33,68,150,50,"SandSavePercentage",2012
136,136,"John Daly",50,45.31,29,64,23,"SandSavePercentage",2012
137,137,"Miguel Angel Carballo",73,45.28,48,106,49,"SandSavePercentage",2012
138,138,"DJ Trahan",73,45.19,47,104,32,"SandSavePercentage",2012
139,139,"Sung Kang",75,45.04,59,131,56,"SandSavePercentage",2012
140,140,"Jeff Overton",101,44.94,71,158,52,"SandSavePercentage",2012
141,141,"Sean OHair",84,44.93,62,138,57,"SandSavePercentage",2012
142,142,"Stewart Cink",71,44.92,53,118,55,"SandSavePercentage",2012
143,143,"Chad Campbell",84,44.76,64,143,43,"SandSavePercentage",2012
144,144,"Brandt Jobe",57,44.74,34,76,42,"SandSavePercentage",2012
145,145,"JJ Henry",93,44.66,46,103,30,"SandSavePercentage",2012
146,146,"Charlie Wi",86,44.65,71,159,66,"SandSavePercentage",2012
147,147,"Justin Leonard",79,44.63,54,121,58,"SandSavePercentage",2012
148,148,"Robert Garrigus",89,44.52,65,146,44,"SandSavePercentage",2012
149,149,"Patrick Sheehan",58,44.44,40,90,43,"SandSavePercentage",2012
150,150,"Louis Oosthuizen",65,44.23,46,104,46,"SandSavePercentage",2012
151,151,"Camilo Villegas",79,44.12,45,102,41,"SandSavePercentage",2012
152,152,"Cameron Tringale",88,44.08,67,152,61,"SandSavePercentage",2012
153,153,"Ricky Barnes",92,43.8,60,137,57,"SandSavePercentage",2012
154,154,"John Mallinger",74,43.64,48,110,53,"SandSavePercentage",2012
155,155,"Jason Kokrak",79,43.55,54,124,51,"SandSavePercentage",2012
156,156,"Heath Slocum",93,43.31,55,127,48,"SandSavePercentage",2012
157,157,"Martin Laird",77,43.24,48,111,47,"SandSavePercentage",2012
158,158,"Richard Lee",71,43.18,38,88,35,"SandSavePercentage",2012
159,159,"Arjun Atwal",79,43.08,56,130,54,"SandSavePercentage",2012
160,160,"Charley Hoffman",88,43.06,62,144,57,"SandSavePercentage",2012
161,161,"Boo Weekley",74,43.01,40,93,37,"SandSavePercentage",2012
162,162,"Robert Allenby",76,42.98,49,114,54,"SandSavePercentage",2012
163,163,"Brendan Steele",77,42.74,50,117,59,"SandSavePercentage",2012
164,164,"Steve Wheatcroft",56,42.68,35,82,31,"SandSavePercentage",2012
165,165,"David Mathis",83,42.57,63,148,70,"SandSavePercentage",2012
166,166,"John Rollins",81,42.45,59,139,57,"SandSavePercentage",2012
167,167,"Hunter Haas",69,42.4,53,125,55,"SandSavePercentage",2012
168,168,"Will Claxton",99,42.31,55,130,60,"SandSavePercentage",2012
169,169,"Kyle Thompson",51,42.11,32,76,35,"SandSavePercentage",2012
170,170,"Ted Potter Jr",77,41.8,51,122,66,"SandSavePercentage",2012
171,171,"Jeff Maggert",83,41.73,58,139,65,"SandSavePercentage",2012
172,172,"Troy Kelly",68,41.35,43,104,53,"SandSavePercentage",2012
173,173,"Kevin Stadler",85,40.87,47,115,46,"SandSavePercentage",2012
174,174,"Scott Brown",65,40.45,36,89,39,"SandSavePercentage",2012
175,175,"Matt Bettencourt",80,40,50,125,61,"SandSavePercentage",2012
175,175,"John Merrick",83,40,40,100,46,"SandSavePercentage",2012
175,175,"Garth Mulroy",59,40,32,80,39,"SandSavePercentage",2012
178,178,"Freddie Jacobson",61,39.42,41,104,55,"SandSavePercentage",2012
179,179,"Johnson Wagner",88,39.39,52,132,63,"SandSavePercentage",2012
180,180,"Charlie Beljan",61,39.34,24,61,33,"SandSavePercentage",2012
181,181,"Bubba Watson",68,39.33,35,89,20,"SandSavePercentage",2012
182,182,"Scott Stallings",78,38.94,44,113,52,"SandSavePercentage",2012
183,183,"Tommy Biershenk",74,38.53,42,109,63,"SandSavePercentage",2012
184,184,"Ben Curtis",62,38.36,28,73,40,"SandSavePercentage",2012
185,185,"Gary Woodland",70,38.24,39,102,53,"SandSavePercentage",2012
186,186,"Gary Christian",91,37.98,49,129,57,"SandSavePercentage",2012
187,187,"Chris Couch",61,37.89,36,95,37,"SandSavePercentage",2012
188,188,"Jhonattan Vegas",77,37.7,46,122,52,"SandSavePercentage",2012
189,189,"Graeme McDowell",55,33.33,25,75,33,"SandSavePercentage",2012
190,190,"Roland Thatcher",55,32.43,24,74,38,"SandSavePercentage",2012
191,191,"Alexandre Rocha",62,29.73,22,74,44,"SandSavePercentage",2012
