"RightRoughTendencyRTPScore_RANKTHISWEEK_2005","RightRoughTendencyRTPScore_RANKLASTWEEK_2005","RightRoughTendencyRTPScore_PLAYERNAME_2005","RightRoughTendencyRTPScore_ROUNDS_2005","RightRoughTendencyRTPScore_RTPSCORE_2005","stat_name","year"
1,1,"Tiger Woods",76,-0.072,"RightRoughTendencyRTPScore",2005
2,2,"Geoff Ogilvy",97,-0.041,"RightRoughTendencyRTPScore",2005
3,3,"Vijay Singh",111,-0.04,"RightRoughTendencyRTPScore",2005
4,4,"Adam Scott",72,-0.029,"RightRoughTendencyRTPScore",2005
5,5,"Phil Mickelson",81,-0.022,"RightRoughTendencyRTPScore",2005
6,6,"Jose Maria Olazabal",55,-0.018,"RightRoughTendencyRTPScore",2005
7,7,"Daniel Chopra",108,0.005,"RightRoughTendencyRTPScore",2005
8,8,"Justin Rose",99,0.006,"RightRoughTendencyRTPScore",2005
9,9,"Joey Snyder III",102,0.011,"RightRoughTendencyRTPScore",2005
10,10,"Sergio Garcia",73,0.017,"RightRoughTendencyRTPScore",2005
11,11,"Charles Howell III",95,0.025,"RightRoughTendencyRTPScore",2005
12,12,"Jeff Brehaut",71,0.027,"RightRoughTendencyRTPScore",2005
13,13,"Ryuji Imada",78,0.036,"RightRoughTendencyRTPScore",2005
14,14,"Tag Ridings",93,0.038,"RightRoughTendencyRTPScore",2005
14,14,"Hidemichi Tanaka",106,0.038,"RightRoughTendencyRTPScore",2005
16,16,"Dudley Hart",84,0.049,"RightRoughTendencyRTPScore",2005
17,17,"Mario Tiziani",67,0.051,"RightRoughTendencyRTPScore",2005
18,18,"Steve Stricker",62,0.053,"RightRoughTendencyRTPScore",2005
19,19,"DJ Trahan",81,0.054,"RightRoughTendencyRTPScore",2005
20,20,"Peter Lonard",85,0.055,"RightRoughTendencyRTPScore",2005
21,21,"Michael Allen",90,0.059,"RightRoughTendencyRTPScore",2005
21,21,"Fred Couples",72,0.059,"RightRoughTendencyRTPScore",2005
21,21,"Jesper Parnevik",84,0.059,"RightRoughTendencyRTPScore",2005
24,24,"Dan Forsman",52,0.06,"RightRoughTendencyRTPScore",2005
24,24,"Steve Lowery",100,0.06,"RightRoughTendencyRTPScore",2005
26,26,"Brett Wetterich",76,0.061,"RightRoughTendencyRTPScore",2005
27,27,"Richard Johnson",50,0.063,"RightRoughTendencyRTPScore",2005
27,27,"Davis Love III",80,0.063,"RightRoughTendencyRTPScore",2005
29,29,"Glen Day",80,0.069,"RightRoughTendencyRTPScore",2005
29,29,"Carlos Franco",78,0.069,"RightRoughTendencyRTPScore",2005
31,31,"Ben Crane",78,0.07,"RightRoughTendencyRTPScore",2005
32,32,"Briny Baird",98,0.073,"RightRoughTendencyRTPScore",2005
33,33,"JL Lewis",98,0.075,"RightRoughTendencyRTPScore",2005
34,34,"Doug Barron",70,0.077,"RightRoughTendencyRTPScore",2005
35,35,"Bob Tway",87,0.078,"RightRoughTendencyRTPScore",2005
36,36,"Paul Azinger",66,0.079,"RightRoughTendencyRTPScore",2005
36,36,"Marco Dawson",82,0.079,"RightRoughTendencyRTPScore",2005
38,38,"Jason Bohn",91,0.08,"RightRoughTendencyRTPScore",2005
39,39,"Joe Durant",81,0.081,"RightRoughTendencyRTPScore",2005
39,39,"Hunter Haas",83,0.081,"RightRoughTendencyRTPScore",2005
39,39,"Joe Ogilvie",103,0.081,"RightRoughTendencyRTPScore",2005
42,42,"Padraig Harrington",50,0.082,"RightRoughTendencyRTPScore",2005
43,43,"Neal Lancaster",95,0.083,"RightRoughTendencyRTPScore",2005
43,43,"Carl Pettersson",109,0.083,"RightRoughTendencyRTPScore",2005
45,45,"Mark Calcavecchia",92,0.084,"RightRoughTendencyRTPScore",2005
46,46,"Matt Gogel",78,0.086,"RightRoughTendencyRTPScore",2005
46,46,"Bo Van Pelt",112,0.086,"RightRoughTendencyRTPScore",2005
48,48,"Brendan Jones",81,0.087,"RightRoughTendencyRTPScore",2005
49,49,"Kevin Sutherland",89,0.088,"RightRoughTendencyRTPScore",2005
50,50,"Dean Wilson",86,0.09,"RightRoughTendencyRTPScore",2005
51,51,"Danny Briggs",70,0.093,"RightRoughTendencyRTPScore",2005
51,51,"Tim Clark",92,0.093,"RightRoughTendencyRTPScore",2005
51,51,"Shigeki Maruyama",99,0.093,"RightRoughTendencyRTPScore",2005
51,51,"Kenny Perry",82,0.093,"RightRoughTendencyRTPScore",2005
