"FirstTeeLateScoringAverage_RANKTHISWEEK_2008","FirstTeeLateScoringAverage_RANKLASTWEEK_2008","FirstTeeLateScoringAverage_PLAYERNAME_2008","FirstTeeLateScoringAverage_ROUNDS_2008","FirstTeeLateScoringAverage_AVG_2008","FirstTeeLateScoringAverage_TOTALSTROKES_2008","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2008","stat_name","year"
1,1,"Vijay Singh",82,69.65,2368,34,"FirstTeeLateScoringAverage",2008
2,2,"Kevin Sutherland",98,69.74,2650,38,"FirstTeeLateScoringAverage",2008
3,3,"Justin Bolli",87,69.75,1395,20,"FirstTeeLateScoringAverage",2008
4,4,"Chad Campbell",94,69.85,2305,33,"FirstTeeLateScoringAverage",2008
5,5,"Brian Gay",102,69.93,2937,42,"FirstTeeLateScoringAverage",2008
5,5,"Richard Johnson",60,69.93,979,14,"FirstTeeLateScoringAverage",2008
7,7,"Martin Laird",98,69.94,1259,18,"FirstTeeLateScoringAverage",2008
8,8,"Corey Pavin",69,70,840,12,"FirstTeeLateScoringAverage",2008
9,9,"Bob Tway",70,70.1,1402,20,"FirstTeeLateScoringAverage",2008
10,10,"JP Hayes",67,70.19,1123,16,"FirstTeeLateScoringAverage",2008
10,10,"George McNeill",97,70.19,1895,27,"FirstTeeLateScoringAverage",2008
12,12,"Lucas Glover",91,70.23,2107,30,"FirstTeeLateScoringAverage",2008
13,13,"Stephen Ames",83,70.28,2530,36,"FirstTeeLateScoringAverage",2008
14,14,"Kent Jones",68,70.3,1406,20,"FirstTeeLateScoringAverage",2008
15,15,"Pat Perez",93,70.32,2391,34,"FirstTeeLateScoringAverage",2008
16,16,"Glen Day",64,70.33,1266,18,"FirstTeeLateScoringAverage",2008
17,17,"Mike Weir",88,70.35,2814,40,"FirstTeeLateScoringAverage",2008
18,18,"Tommy Armour III",77,70.37,2111,30,"FirstTeeLateScoringAverage",2008
18,18,"Anthony Kim",81,70.37,2463,35,"FirstTeeLateScoringAverage",2008
20,20,"Chris DiMarco",87,70.39,1267,18,"FirstTeeLateScoringAverage",2008
20,20,"Tim Herron",97,70.39,1971,28,"FirstTeeLateScoringAverage",2008
22,22,"Phil Mickelson",80,70.43,3099,44,"FirstTeeLateScoringAverage",2008
23,23,"Charlie Wi",97,70.46,1832,26,"FirstTeeLateScoringAverage",2008
24,24,"Justin Leonard",101,70.48,2819,40,"FirstTeeLateScoringAverage",2008
25,25,"Will Ma Kenzie",62,70.5,1128,16,"FirstTeeLateScoringAverage",2008
26,26,"Brad Adamonis",87,70.53,2116,30,"FirstTeeLateScoringAverage",2008
26,26,"Charles Howell III",101,70.53,2257,32,"FirstTeeLateScoringAverage",2008
28,28,"Billy Mayfair",103,70.54,2469,35,"FirstTeeLateScoringAverage",2008
29,29,"John Senden",93,70.56,1270,18,"FirstTeeLateScoringAverage",2008
30,30,"Shane Bertsch",96,70.58,1835,26,"FirstTeeLateScoringAverage",2008
31,31,"Brad Elder",67,70.6,1412,20,"FirstTeeLateScoringAverage",2008
32,32,"Gavin Coles",54,70.63,1130,16,"FirstTeeLateScoringAverage",2008
33,33,"Jon Mills",95,70.65,1413,20,"FirstTeeLateScoringAverage",2008
33,33,"Tim Petrovic",97,70.65,2190,31,"FirstTeeLateScoringAverage",2008
35,35,"Padraig Harrington",52,70.67,1484,21,"FirstTeeLateScoringAverage",2008
35,35,"Steve Marino",119,70.67,2332,33,"FirstTeeLateScoringAverage",2008
35,35,"Rory Sabbatini",77,70.67,2120,30,"FirstTeeLateScoringAverage",2008
38,38,"Steve Allan",58,70.68,1343,19,"FirstTeeLateScoringAverage",2008
39,39,"Daniel Chopra",84,70.69,2050,29,"FirstTeeLateScoringAverage",2008
39,39,"Scott Verplank",82,70.69,2545,36,"FirstTeeLateScoringAverage",2008
41,41,"Mark Wilson",107,70.7,2333,33,"FirstTeeLateScoringAverage",2008
42,42,"Greg Kraft",63,70.72,1273,18,"FirstTeeLateScoringAverage",2008
43,43,"Robert Allenby",108,70.74,3042,43,"FirstTeeLateScoringAverage",2008
43,43,"Ben Crane",86,70.74,1910,27,"FirstTeeLateScoringAverage",2008
43,43,"Hunter Mahan",87,70.74,1910,27,"FirstTeeLateScoringAverage",2008
46,46,"Michael Letzig",88,70.75,1981,28,"FirstTeeLateScoringAverage",2008
46,46,"Scott Sterling",89,70.75,1698,24,"FirstTeeLateScoringAverage",2008
48,48,"Kenny Perry",97,70.76,2972,42,"FirstTeeLateScoringAverage",2008
49,49,"Joe Ogilvie",100,70.77,1840,26,"FirstTeeLateScoringAverage",2008
49,49,"Tom Pernice Jr",104,70.77,2194,31,"FirstTeeLateScoringAverage",2008
49,49,"Marc Turnesa",87,70.77,1557,22,"FirstTeeLateScoringAverage",2008
52,52,"Heath Slocum",104,70.78,2548,36,"FirstTeeLateScoringAverage",2008
53,53,"Ryuji Imada",80,70.79,2053,29,"FirstTeeLateScoringAverage",2008
53,53,"Tim Wilkinson",95,70.79,2053,29,"FirstTeeLateScoringAverage",2008
55,55,"Tim Clark",90,70.82,2762,39,"FirstTeeLateScoringAverage",2008
55,55,"Omar Uresti",74,70.82,1204,17,"FirstTeeLateScoringAverage",2008
57,57,"Craig Kanada",65,70.84,1346,19,"FirstTeeLateScoringAverage",2008
58,58,"Sean OHair",81,70.85,1913,27,"FirstTeeLateScoringAverage",2008
59,59,"Mathew Goggin",91,70.86,2055,29,"FirstTeeLateScoringAverage",2008
60,60,"Ken Duke",116,70.87,2693,38,"FirstTeeLateScoringAverage",2008
60,60,"Brett Rumford",72,70.87,1063,15,"FirstTeeLateScoringAverage",2008
62,62,"Steve Elkington",84,70.89,1985,28,"FirstTeeLateScoringAverage",2008
62,62,"Bob Estes",90,70.89,1914,27,"FirstTeeLateScoringAverage",2008
64,64,"Briny Baird",113,70.9,2907,41,"FirstTeeLateScoringAverage",2008
64,64,"John Huston",56,70.9,1489,21,"FirstTeeLateScoringAverage",2008
66,66,"Jason Day",81,70.92,1773,25,"FirstTeeLateScoringAverage",2008
66,66,"Sergio Garcia",72,70.92,2695,38,"FirstTeeLateScoringAverage",2008
66,66,"Freddie Jacobson",78,70.92,1844,26,"FirstTeeLateScoringAverage",2008
69,69,"Carlos Franco",73,70.94,1135,16,"FirstTeeLateScoringAverage",2008
69,69,"Brenden Pappas",66,70.94,1135,16,"FirstTeeLateScoringAverage",2008
69,69,"Camilo Villegas",79,70.94,2483,35,"FirstTeeLateScoringAverage",2008
72,72,"Rich Beem",90,70.95,1419,20,"FirstTeeLateScoringAverage",2008
72,72,"Dustin Johnson",92,70.95,1490,21,"FirstTeeLateScoringAverage",2008
74,74,"Jason Gore",94,70.97,2200,31,"FirstTeeLateScoringAverage",2008
74,74,"Dudley Hart",74,70.97,2200,31,"FirstTeeLateScoringAverage",2008
76,76,"Bill Haas",99,71,2627,37,"FirstTeeLateScoringAverage",2008
76,76,"John Riegger",73,71,994,14,"FirstTeeLateScoringAverage",2008
78,78,"Ernie Els",51,71.04,1634,23,"FirstTeeLateScoringAverage",2008
78,78,"Kevin Na",97,71.04,1847,26,"FirstTeeLateScoringAverage",2008
80,80,"Alex Cejka",75,71.06,2203,31,"FirstTeeLateScoringAverage",2008
80,80,"Zach Johnson",85,71.06,2203,31,"FirstTeeLateScoringAverage",2008
80,80,"Chris Stroud",81,71.06,1208,17,"FirstTeeLateScoringAverage",2008
83,83,"Matt Kuchar",88,71.07,2132,30,"FirstTeeLateScoringAverage",2008
84,84,"Brandt Jobe",52,71.08,924,13,"FirstTeeLateScoringAverage",2008
85,85,"Chez Reavie",102,71.1,2133,30,"FirstTeeLateScoringAverage",2008
86,86,"Michael Allen",91,71.11,1991,28,"FirstTeeLateScoringAverage",2008
86,86,"Paul Casey",55,71.11,1280,18,"FirstTeeLateScoringAverage",2008
86,86,"Bubba Watson",97,71.11,2702,38,"FirstTeeLateScoringAverage",2008
