"SandSavesfrom30yards_RANKTHISWEEK_2014","SandSavesfrom30yards_RANKLASTWEEK_2014","SandSavesfrom30yards_PLAYERNAME_2014","SandSavesfrom30yards_ROUNDS_2014","SandSavesfrom30yards_Pct_2014","SandSavesfrom30yards_OFSAVES_2014","SandSavesfrom30yards_OFBUNKERS_2014","stat_name","year"
1,1,"Luke Guthrie",85,80,8,10,"SandSavesfrom30yards",2014
2,2,"Sean OHair",77,70,7,10,"SandSavesfrom30yards",2014
3,3,"Spencer Levin",59,66.67,4,6,"SandSavesfrom30yards",2014
4,4,"Robert Allenby",83,62.5,10,16,"SandSavesfrom30yards",2014
4,4,"Ian Poulter",57,62.5,5,8,"SandSavesfrom30yards",2014
4,4,"Vijay Singh",83,62.5,5,8,"SandSavesfrom30yards",2014
4,4,"Mike Weir",69,62.5,5,8,"SandSavesfrom30yards",2014
8,8,"Stuart Appleby",92,61.11,11,18,"SandSavesfrom30yards",2014
8,8,"Morgan Hoffmann",103,61.11,11,18,"SandSavesfrom30yards",2014
10,10,"Ben Crane",81,60,12,20,"SandSavesfrom30yards",2014
10,10,"Brian Gay",81,60,6,10,"SandSavesfrom30yards",2014
12,12,"John Senden",99,58.82,10,17,"SandSavesfrom30yards",2014
13,13,"KJ Choi",80,58.33,7,12,"SandSavesfrom30yards",2014
13,13,"Marc Leishman",81,58.33,7,12,"SandSavesfrom30yards",2014
15,15,"Jimmy Walker",98,57.89,11,19,"SandSavesfrom30yards",2014
16,16,"Briny Baird",50,57.14,4,7,"SandSavesfrom30yards",2014
16,16,"Jason Kokrak",65,57.14,4,7,"SandSavesfrom30yards",2014
16,16,"Tim Wilkinson",86,57.14,8,14,"SandSavesfrom30yards",2014
19,19,"Ryan Moore",86,55.56,5,9,"SandSavesfrom30yards",2014
19,19,"Seung Yul Noh",92,55.56,5,9,"SandSavesfrom30yards",2014
21,21,"Richard Lee",80,54.55,6,11,"SandSavesfrom30yards",2014
21,21,"Hunter Mahan",88,54.55,6,11,"SandSavesfrom30yards",2014
