"HitFairwayPercentage_RANKTHISWEEK_2011","HitFairwayPercentage_RANKLASTWEEK_2011","HitFairwayPercentage_PLAYERNAME_2011","HitFairwayPercentage_ROUNDS_2011","HitFairwayPercentage_Pct_2011","HitFairwayPercentage_FAIRWAYSHIT_2011","HitFairwayPercentage_POSSIBLEFAIRWAYS_2011","HitFairwayPercentage_RELATIVETOPAR_2011","stat_name","year"
1,1,"Joe Durant",71,76.44,675,883,-0.1,"HitFairwayPercentage",2011
2,2,"Heath Slocum",89,74.81,772,1032,-0.12,"HitFairwayPercentage",2011
3,3,"Jerry Kelly",85,73.31,692,944,-0.15,"HitFairwayPercentage",2011
4,4,"Ben Curtis",66,72.95,631,865,-0.11,"HitFairwayPercentage",2011
5,5,"Nick OHern",89,72.89,769,1055,-0.14,"HitFairwayPercentage",2011
6,6,"Zach Johnson",79,72.62,647,891,-0.2,"HitFairwayPercentage",2011
7,7,"Brian Gay",90,72.34,740,1023,-0.15,"HitFairwayPercentage",2011
8,8,"Brian Davis",105,72.15,917,1271,-0.17,"HitFairwayPercentage",2011
9,9,"Billy Mayfair",94,70.96,838,1181,-0.13,"HitFairwayPercentage",2011
10,10,"Chris Riley",76,70.91,668,942,-0.13,"HitFairwayPercentage",2011
11,11,"Aron Price",58,70.8,480,678,-0.14,"HitFairwayPercentage",2011
12,12,"David Toms",78,70.7,579,819,-0.16,"HitFairwayPercentage",2011
13,13,"Jim Furyk",87,70.46,687,975,-0.14,"HitFairwayPercentage",2011
14,14,"Steve Elkington",50,70.15,409,583,-0.13,"HitFairwayPercentage",2011
15,15,"Rocco Mediate",53,70.04,470,671,-0.08,"HitFairwayPercentage",2011
16,16,"Justin Hicks",60,69.66,427,613,-0.04,"HitFairwayPercentage",2011
17,17,"Paul Goydos",81,69.16,711,1028,-0.09,"HitFairwayPercentage",2011
18,18,"Briny Baird",60,68.97,469,680,-0.15,"HitFairwayPercentage",2011
19,19,"Ben Crane",76,68.63,593,864,-0.15,"HitFairwayPercentage",2011
20,20,"Garrett Willis",71,68.62,608,886,-0.14,"HitFairwayPercentage",2011
21,21,"Graeme McDowell",50,68.41,353,516,-0.17,"HitFairwayPercentage",2011
22,22,"Jason Bohn",74,68.06,637,936,-0.18,"HitFairwayPercentage",2011
23,23,"John Merrick",71,67.99,567,834,-0.19,"HitFairwayPercentage",2011
24,24,"Mark Wilson",89,67.98,658,968,-0.15,"HitFairwayPercentage",2011
25,25,"Bryce Molder",82,67.76,662,977,-0.19,"HitFairwayPercentage",2011
26,26,"Shane Bertsch",62,67.73,489,722,-0.17,"HitFairwayPercentage",2011
26,26,"David Mathis",83,67.73,659,973,-0.1,"HitFairwayPercentage",2011
28,28,"Stephen Ames",69,67.63,564,834,-0.11,"HitFairwayPercentage",2011
29,29,"John Senden",94,67.56,756,1119,-0.19,"HitFairwayPercentage",2011
30,30,"John Rollins",85,67.47,668,990,-0.2,"HitFairwayPercentage",2011
31,31,"Johnson Wagner",81,67.42,656,973,-0.12,"HitFairwayPercentage",2011
32,32,"Boo Weekley",66,67.3,533,792,-0.16,"HitFairwayPercentage",2011
33,33,"Woody Austin",59,67.25,464,690,-0.2,"HitFairwayPercentage",2011
34,34,"Rod Pampling",72,67.19,561,835,-0.18,"HitFairwayPercentage",2011
35,35,"Adam Scott",60,67.14,423,630,-0.19,"HitFairwayPercentage",2011
