"BogeyAverage_RANKTHISWEEK_2014","BogeyAverage_RANKLASTWEEK_2014","BogeyAverage_PLAYERNAME_2014","BogeyAverage_EVENTS_2014","BogeyAverage_AVERAGEBOGEYSPERROUND_2014","BogeyAverage_TOTALBOGEYS_2014","BogeyAverage_ROUNDSPLAYED_2014","stat_name","year"
1,1,"Jim Furyk",21,2.09,167,80,"BogeyAverage",2014
2,2,"Bubba Watson",21,2.16,158,73,"BogeyAverage",2014
3,3,"Sergio Garcia",16,2.17,126,58,"BogeyAverage",2014
4,4,"Dustin Johnson",17,2.19,125,57,"BogeyAverage",2014
4,4,"Adam Scott",17,2.19,149,68,"BogeyAverage",2014
6,6,"Rory McIlroy",17,2.2,141,64,"BogeyAverage",2014
7,7,"Kevin Na",27,2.21,208,94,"BogeyAverage",2014
8,8,"Ted Potter Jr",24,2.26,154,68,"BogeyAverage",2014
9,9,"Keegan Bradley",26,2.27,200,88,"BogeyAverage",2014
10,10,"John Senden",27,2.28,226,99,"BogeyAverage",2014
11,11,"Jason Day",15,2.29,110,48,"BogeyAverage",2014
12,12,"Chad Campbell",18,2.3,122,53,"BogeyAverage",2014
12,12,"Zach Johnson",26,2.3,221,96,"BogeyAverage",2014
14,14,"Rickie Fowler",26,2.31,196,85,"BogeyAverage",2014
15,15,"Graham DeLaet",24,2.33,184,79,"BogeyAverage",2014
15,15,"Russell Knox",26,2.33,214,92,"BogeyAverage",2014
17,17,"Charley Hoffman",25,2.34,218,93,"BogeyAverage",2014
17,17,"Jerry Kelly",23,2.34,187,80,"BogeyAverage",2014
17,17,"David Toms",20,2.34,145,62,"BogeyAverage",2014
20,20,"David Hearn",28,2.35,228,97,"BogeyAverage",2014
21,21,"Phil Mickelson",21,2.37,168,71,"BogeyAverage",2014
21,21,"Justin Rose",19,2.37,161,68,"BogeyAverage",2014
23,23,"Matt Kuchar",24,2.39,210,88,"BogeyAverage",2014
24,24,"Jason Kokrak",19,2.4,156,65,"BogeyAverage",2014
24,24,"Chris Stroud",25,2.4,211,88,"BogeyAverage",2014
24,24,"Cameron Tringale",31,2.4,266,111,"BogeyAverage",2014
27,27,"Justin Hicks",30,2.41,239,99,"BogeyAverage",2014
27,27,"Seung Yul Noh",27,2.41,222,92,"BogeyAverage",2014
29,29,"Jimmy Walker",27,2.42,232,96,"BogeyAverage",2014
30,30,"Andrew Svoboda",24,2.44,188,77,"BogeyAverage",2014
31,31,"Pat Perez",25,2.46,207,84,"BogeyAverage",2014
32,32,"Brendon Todd",29,2.47,267,108,"BogeyAverage",2014
32,32,"Gary Woodland",25,2.47,227,92,"BogeyAverage",2014
34,34,"Billy Horschel",27,2.48,223,90,"BogeyAverage",2014
34,34,"Graeme McDowell",17,2.48,154,62,"BogeyAverage",2014
36,36,"Charles Howell III",29,2.49,264,106,"BogeyAverage",2014
