"Approach200225yardsRTP_RANKTHISWEEK_2008","Approach200225yardsRTP_RANKLASTWEEK_2008","Approach200225yardsRTP_PLAYERNAME_2008","Approach200225yardsRTP_ROUNDS_2008","Approach200225yardsRTP_AVGRTP_2008","stat_name","year"
1,1,"Ernie Els",51,-0.161,"Approach200225yardsRTP",2008
2,2,"Martin Laird",98,-0.116,"Approach200225yardsRTP",2008
3,3,"Nick Watney",96,-0.109,"Approach200225yardsRTP",2008
4,4,"Pat Perez",93,-0.102,"Approach200225yardsRTP",2008
5,5,"Richard Johnson",77,-0.101,"Approach200225yardsRTP",2008
5,5,"Hunter Mahan",87,-0.101,"Approach200225yardsRTP",2008
7,7,"Camilo Villegas",79,-0.093,"Approach200225yardsRTP",2008
8,8,"Steve Stricker",75,-0.087,"Approach200225yardsRTP",2008
9,9,"Robert Garrigus",90,-0.08,"Approach200225yardsRTP",2008
10,10,"Jonathan Byrd",88,-0.078,"Approach200225yardsRTP",2008
10,10,"Mathias Gronberg",87,-0.078,"Approach200225yardsRTP",2008
12,12,"Stewart Cink",87,-0.077,"Approach200225yardsRTP",2008
13,13,"Rory Sabbatini",77,-0.075,"Approach200225yardsRTP",2008
14,14,"Bob Tway",70,-0.067,"Approach200225yardsRTP",2008
15,15,"Charley Hoffman",94,-0.065,"Approach200225yardsRTP",2008
15,15,"Adam Scott",51,-0.065,"Approach200225yardsRTP",2008
17,17,"Vijay Singh",82,-0.062,"Approach200225yardsRTP",2008
17,17,"Bubba Watson",97,-0.062,"Approach200225yardsRTP",2008
19,19,"Jason Gore",94,-0.052,"Approach200225yardsRTP",2008
19,19,"Will Ma Kenzie",62,-0.052,"Approach200225yardsRTP",2008
21,21,"Tom Scherrer",56,-0.048,"Approach200225yardsRTP",2008
22,22,"Stephen Ames",83,-0.046,"Approach200225yardsRTP",2008
23,23,"Anthony Kim",81,-0.045,"Approach200225yardsRTP",2008
24,24,"James Driscoll",85,-0.044,"Approach200225yardsRTP",2008
25,25,"KJ Choi",74,-0.04,"Approach200225yardsRTP",2008
26,26,"Mark Wilson",107,-0.039,"Approach200225yardsRTP",2008
27,27,"Jeff Maggert",86,-0.035,"Approach200225yardsRTP",2008
27,27,"Billy Mayfair",103,-0.035,"Approach200225yardsRTP",2008
29,29,"JB Holmes",86,-0.034,"Approach200225yardsRTP",2008
30,30,"Paul Casey",55,-0.032,"Approach200225yardsRTP",2008
31,31,"Cameron Beckman",87,-0.031,"Approach200225yardsRTP",2008
32,32,"Lee Janzen",89,-0.028,"Approach200225yardsRTP",2008
32,32,"Davis Love III",78,-0.028,"Approach200225yardsRTP",2008
34,34,"Kevin Stadler",90,-0.026,"Approach200225yardsRTP",2008
34,34,"Johnson Wagner",83,-0.026,"Approach200225yardsRTP",2008
36,36,"Dustin Johnson",92,-0.025,"Approach200225yardsRTP",2008
36,36,"Jon Mills",95,-0.025,"Approach200225yardsRTP",2008
36,36,"Andres Romero",69,-0.025,"Approach200225yardsRTP",2008
39,39,"Brandt Snedeker",85,-0.023,"Approach200225yardsRTP",2008
40,40,"David Duval",51,-0.017,"Approach200225yardsRTP",2008
41,41,"Sean OHair",81,-0.016,"Approach200225yardsRTP",2008
42,42,"Jeff Quinney",87,-0.015,"Approach200225yardsRTP",2008
43,43,"Gavin Coles",54,-0.014,"Approach200225yardsRTP",2008
44,44,"Phil Mickelson",80,-0.012,"Approach200225yardsRTP",2008
45,45,"Glen Day",64,-0.011,"Approach200225yardsRTP",2008
