"TenthTeeLatePar3ScoringAverage_RANKTHISWEEK_2011","TenthTeeLatePar3ScoringAverage_RANKLASTWEEK_2011","TenthTeeLatePar3ScoringAverage_PLAYERNAME_2011","TenthTeeLatePar3ScoringAverage_ROUNDS_2011","TenthTeeLatePar3ScoringAverage_AVG_2011","TenthTeeLatePar3ScoringAverage_TOTALSTROKES_2011","TenthTeeLatePar3ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"Jason Day",76,2.82,48,17,"TenthTeeLatePar3ScoringAverage",2011
2,2,"Gary Woodland",93,2.85,94,33,"TenthTeeLatePar3ScoringAverage",2011
3,3,"Stewart Cink",72,2.88,92,32,"TenthTeeLatePar3ScoringAverage",2011
4,4,"Steve Elkington",50,2.89,104,36,"TenthTeeLatePar3ScoringAverage",2011
4,4,"Vaughn Taylor",89,2.89,179,62,"TenthTeeLatePar3ScoringAverage",2011
6,6,"Sergio Garcia",61,2.9,58,20,"TenthTeeLatePar3ScoringAverage",2011
7,7,"Jason Bohn",74,2.92,152,52,"TenthTeeLatePar3ScoringAverage",2011
7,7,"David Toms",78,2.92,73,25,"TenthTeeLatePar3ScoringAverage",2011
9,9,"Shane Bertsch",62,2.93,117,40,"TenthTeeLatePar3ScoringAverage",2011
9,9,"Alex Cejka",59,2.93,82,28,"TenthTeeLatePar3ScoringAverage",2011
9,9,"Nick Watney",80,2.93,82,28,"TenthTeeLatePar3ScoringAverage",2011
12,12,"Jim Furyk",87,2.94,156,53,"TenthTeeLatePar3ScoringAverage",2011
12,12,"Andres Gonzales",60,2.94,153,52,"TenthTeeLatePar3ScoringAverage",2011
14,14,"Lucas Glover",74,2.95,130,44,"TenthTeeLatePar3ScoringAverage",2011
14,14,"Mark Wilson",89,2.95,180,61,"TenthTeeLatePar3ScoringAverage",2011
16,16,"Briny Baird",60,2.96,154,52,"TenthTeeLatePar3ScoringAverage",2011
16,16,"Michael Connell",76,2.96,157,53,"TenthTeeLatePar3ScoringAverage",2011
16,16,"Shaun Micheel",77,2.96,166,56,"TenthTeeLatePar3ScoringAverage",2011
19,19,"Jimmy Walker",79,2.97,181,61,"TenthTeeLatePar3ScoringAverage",2011
20,20,"Ricky Barnes",78,2.98,143,48,"TenthTeeLatePar3ScoringAverage",2011
20,20,"Rickie Fowler",84,2.98,119,40,"TenthTeeLatePar3ScoringAverage",2011
20,20,"Colt Knost",80,2.98,149,50,"TenthTeeLatePar3ScoringAverage",2011
20,20,"Justin Rose",79,2.98,122,41,"TenthTeeLatePar3ScoringAverage",2011
24,24,"Brendon de Jonge",105,2.99,206,69,"TenthTeeLatePar3ScoringAverage",2011
24,24,"John Senden",94,2.99,209,70,"TenthTeeLatePar3ScoringAverage",2011
26,26,"Matt Bettencourt",84,3,249,83,"TenthTeeLatePar3ScoringAverage",2011
26,26,"David Hearn",88,3,96,32,"TenthTeeLatePar3ScoringAverage",2011
26,26,"Freddie Jacobson",92,3,183,61,"TenthTeeLatePar3ScoringAverage",2011
26,26,"Brandt Jobe",100,3,243,81,"TenthTeeLatePar3ScoringAverage",2011
26,26,"Chris Kirk",87,3,255,85,"TenthTeeLatePar3ScoringAverage",2011
26,26,"Marc Leishman",87,3,252,84,"TenthTeeLatePar3ScoringAverage",2011
26,26,"Hunter Mahan",92,3,108,36,"TenthTeeLatePar3ScoringAverage",2011
26,26,"John Merrick",71,3,147,49,"TenthTeeLatePar3ScoringAverage",2011
26,26,"Kevin Na",84,3,183,61,"TenthTeeLatePar3ScoringAverage",2011
26,26,"Nate Smith",66,3,240,80,"TenthTeeLatePar3ScoringAverage",2011
26,26,"Charlie Wi",83,3,180,60,"TenthTeeLatePar3ScoringAverage",2011
37,37,"Tommy Gainey",104,3.01,253,84,"TenthTeeLatePar3ScoringAverage",2011
38,38,"Robert Allenby",84,3.02,193,64,"TenthTeeLatePar3ScoringAverage",2011
38,38,"Kris Blanks",92,3.02,193,64,"TenthTeeLatePar3ScoringAverage",2011
38,38,"Jonathan Byrd",83,3.02,124,41,"TenthTeeLatePar3ScoringAverage",2011
38,38,"Brian Gay",90,3.02,266,88,"TenthTeeLatePar3ScoringAverage",2011
38,38,"JB Holmes",57,3.02,136,45,"TenthTeeLatePar3ScoringAverage",2011
38,38,"Bio Kim",71,3.02,257,85,"TenthTeeLatePar3ScoringAverage",2011
38,38,"Martin Laird",77,3.02,172,57,"TenthTeeLatePar3ScoringAverage",2011
38,38,"Michael Putnam",67,3.02,160,53,"TenthTeeLatePar3ScoringAverage",2011
38,38,"Tag Ridings",87,3.02,199,66,"TenthTeeLatePar3ScoringAverage",2011
38,38,"Paul Stankowski",78,3.02,157,52,"TenthTeeLatePar3ScoringAverage",2011
38,38,"Kevin Streelman",90,3.02,157,52,"TenthTeeLatePar3ScoringAverage",2011
38,38,"Michael Thompson",79,3.02,169,56,"TenthTeeLatePar3ScoringAverage",2011
38,38,"Cameron Tringale",110,3.02,269,89,"TenthTeeLatePar3ScoringAverage",2011
38,38,"Dean Wilson",62,3.02,124,41,"TenthTeeLatePar3ScoringAverage",2011
52,52,"Padraig Harrington",60,3.03,88,29,"TenthTeeLatePar3ScoringAverage",2011
52,52,"Charles Howell III",108,3.03,230,76,"TenthTeeLatePar3ScoringAverage",2011
52,52,"Robert Karlsson",61,3.03,109,36,"TenthTeeLatePar3ScoringAverage",2011
52,52,"Bill Lunde",92,3.03,209,69,"TenthTeeLatePar3ScoringAverage",2011
52,52,"Matt McQuillan",59,3.03,221,73,"TenthTeeLatePar3ScoringAverage",2011
52,52,"Bryce Molder",82,3.03,185,61,"TenthTeeLatePar3ScoringAverage",2011
52,52,"Tim Petrovic",88,3.03,209,69,"TenthTeeLatePar3ScoringAverage",2011
52,52,"DA Points",89,3.03,294,97,"TenthTeeLatePar3ScoringAverage",2011
52,52,"Ian Poulter",52,3.03,109,36,"TenthTeeLatePar3ScoringAverage",2011
52,52,"DJ Trahan",91,3.03,294,97,"TenthTeeLatePar3ScoringAverage",2011
52,52,"Camilo Villegas",69,3.03,97,32,"TenthTeeLatePar3ScoringAverage",2011
63,63,"Blake Adams",116,3.04,322,106,"TenthTeeLatePar3ScoringAverage",2011
63,63,"Woody Austin",59,3.04,152,50,"TenthTeeLatePar3ScoringAverage",2011
63,63,"Michael Bradley",74,3.04,249,82,"TenthTeeLatePar3ScoringAverage",2011
63,63,"Fabian Gomez",84,3.04,277,91,"TenthTeeLatePar3ScoringAverage",2011
63,63,"Nathan Green",81,3.04,231,76,"TenthTeeLatePar3ScoringAverage",2011
63,63,"Billy Horschel",75,3.04,137,45,"TenthTeeLatePar3ScoringAverage",2011
63,63,"Richard Johnson",64,3.04,219,72,"TenthTeeLatePar3ScoringAverage",2011
63,63,"Jerry Kelly",85,3.04,234,77,"TenthTeeLatePar3ScoringAverage",2011
63,63,"Matt Kuchar",94,3.04,85,28,"TenthTeeLatePar3ScoringAverage",2011
