"GoingfortheGreenHitGreenPct_RANKTHISWEEK_2009","GoingfortheGreenHitGreenPct_RANKLASTWEEK_2009","GoingfortheGreenHitGreenPct_PLAYERNAME_2009","GoingfortheGreenHitGreenPct_ROUNDS_2009","GoingfortheGreenHitGreenPct_Pct_2009","GoingfortheGreenHitGreenPct_SUCCESSES_2009","GoingfortheGreenHitGreenPct_ATTEMPTS_2009","GoingfortheGreenHitGreenPct_RTPSUCCESSES_2009","GoingfortheGreenHitGreenPct_RTPNOTGOINGFORTHEGRN_2009","stat_name","year"
1,1,"JB Holmes",74,33.77,51,151,-48,NA,"GoingfortheGreenHitGreenPct",2009
2,2,"Tiger Woods",64,33.6,42,125,-45,NA,"GoingfortheGreenHitGreenPct",2009
3,3,"Kevin Stadler",65,32.98,31,94,-34,NA,"GoingfortheGreenHitGreenPct",2009
4,4,"Peter Tomasulo",61,30.77,32,104,-30,NA,"GoingfortheGreenHitGreenPct",2009
5,5,"Retief Goosen",74,30.69,31,101,-39,NA,"GoingfortheGreenHitGreenPct",2009
6,6,"Greg Owen",97,30.68,54,176,-49,NA,"GoingfortheGreenHitGreenPct",2009
6,6,"Nick Watney",86,30.68,54,176,-59,NA,"GoingfortheGreenHitGreenPct",2009
8,8,"Matt Jones",56,30.3,30,99,-29,NA,"GoingfortheGreenHitGreenPct",2009
9,9,"John Senden",100,30.22,55,182,-64,NA,"GoingfortheGreenHitGreenPct",2009
10,10,"Fred Couples",54,29.49,23,78,-25,NA,"GoingfortheGreenHitGreenPct",2009
11,11,"Adam Scott",53,29.35,27,92,-26,NA,"GoingfortheGreenHitGreenPct",2009
12,12,"YE Yang",83,29.25,43,147,-46,NA,"GoingfortheGreenHitGreenPct",2009
13,13,"Davis Love III",89,29.24,50,171,-50,NA,"GoingfortheGreenHitGreenPct",2009
14,14,"Anthony Kim",76,29.01,47,162,-48,NA,"GoingfortheGreenHitGreenPct",2009
15,15,"Sean OHair",80,28.91,37,128,-39,NA,"GoingfortheGreenHitGreenPct",2009
16,16,"DJ Trahan",96,28.71,58,202,-59,NA,"GoingfortheGreenHitGreenPct",2009
17,17,"Tim Clark",81,28.17,20,71,-22,NA,"GoingfortheGreenHitGreenPct",2009
18,18,"Tag Ridings",50,28.04,30,107,-33,NA,"GoingfortheGreenHitGreenPct",2009
19,19,"Kevin Streelman",97,27.78,50,180,-47,NA,"GoingfortheGreenHitGreenPct",2009
20,20,"Charles Warren",63,27.74,38,137,-35,NA,"GoingfortheGreenHitGreenPct",2009
21,21,"Briny Baird",89,27.73,33,119,-33,NA,"GoingfortheGreenHitGreenPct",2009
22,22,"Matt Weibring",65,27.37,26,95,-26,NA,"GoingfortheGreenHitGreenPct",2009
23,23,"Charley Hoffman",97,26.94,59,219,-59,NA,"GoingfortheGreenHitGreenPct",2009
24,24,"Ted Purdy",101,26.84,51,190,-49,NA,"GoingfortheGreenHitGreenPct",2009
25,25,"Joe Durant",62,26.67,20,75,-18,NA,"GoingfortheGreenHitGreenPct",2009
26,26,"Bubba Watson",73,26.58,42,158,-46,NA,"GoingfortheGreenHitGreenPct",2009
27,27,"Chris Stroud",88,26.57,38,143,-41,NA,"GoingfortheGreenHitGreenPct",2009
28,28,"Steve Stricker",81,26.32,25,95,-28,NA,"GoingfortheGreenHitGreenPct",2009
29,29,"Robert Allenby",71,26.21,27,103,-27,NA,"GoingfortheGreenHitGreenPct",2009
29,29,"Boo Weekley",79,26.21,38,145,-38,NA,"GoingfortheGreenHitGreenPct",2009
31,31,"Aaron Baddeley",66,25.86,30,116,-34,NA,"GoingfortheGreenHitGreenPct",2009
32,32,"Phil Mickelson",66,25.81,32,124,-34,NA,"GoingfortheGreenHitGreenPct",2009
32,32,"Gary Woodland",53,25.81,24,93,-23,NA,"GoingfortheGreenHitGreenPct",2009
34,34,"Sergio Garcia",59,25.77,25,97,-32,NA,"GoingfortheGreenHitGreenPct",2009
35,35,"Kris Blanks",60,25.58,22,86,-22,NA,"GoingfortheGreenHitGreenPct",2009
36,36,"John Merrick",91,25.56,34,133,-35,NA,"GoingfortheGreenHitGreenPct",2009
37,37,"Kenny Perry",92,25.53,36,141,-36,NA,"GoingfortheGreenHitGreenPct",2009
38,38,"Vijay Singh",71,25.45,28,110,-27,NA,"GoingfortheGreenHitGreenPct",2009
39,39,"Jerry Kelly",90,25.41,31,122,-30,NA,"GoingfortheGreenHitGreenPct",2009
40,40,"Lucas Glover",93,25.32,40,158,-34,NA,"GoingfortheGreenHitGreenPct",2009
41,41,"Todd Hamilton",83,25.27,23,91,-25,NA,"GoingfortheGreenHitGreenPct",2009
42,42,"Jason Bohn",88,25,29,116,-27,NA,"GoingfortheGreenHitGreenPct",2009
42,42,"Bob Estes",78,25,23,92,-24,NA,"GoingfortheGreenHitGreenPct",2009
42,42,"Dustin Johnson",85,25,42,168,-39,NA,"GoingfortheGreenHitGreenPct",2009
42,42,"Marc Leishman",91,25,42,168,-42,NA,"GoingfortheGreenHitGreenPct",2009
