"AveragePuttingDistanceGIR1Putts_RANKTHISWEEK_2010","AveragePuttingDistanceGIR1Putts_RANKLASTWEEK_2010","AveragePuttingDistanceGIR1Putts_PLAYERNAME_2010","AveragePuttingDistanceGIR1Putts_ROUNDS_2010","AveragePuttingDistanceGIR1Putts_AVG_2010","AveragePuttingDistanceGIR1Putts_DISTANCEFEET_2010","AveragePuttingDistanceGIR1Putts_TOTALPUTTS_2010","stat_name","year"
83,83,"Jonathan Byrd",85,NA,2756.25,258,"AveragePuttingDistanceGIR1Putts",2010
83,83,"Daniel Chopra",74,NA,1979.333,185,"AveragePuttingDistanceGIR1Putts",2010
83,83,"James Driscoll",78,NA,2343.917,219,"AveragePuttingDistanceGIR1Putts",2010
83,83,"JJ Henry",92,NA,2411.917,226,"AveragePuttingDistanceGIR1Putts",2010
83,83,"Lee Janzen",77,NA,2265.583,213,"AveragePuttingDistanceGIR1Putts",2010
83,83,"Matt Jones",89,NA,2751.417,258,"AveragePuttingDistanceGIR1Putts",2010
83,83,"Rory McIlroy",54,NA,1293.167,121,"AveragePuttingDistanceGIR1Putts",2010
83,83,"Michael Sim",64,NA,1830.083,171,"AveragePuttingDistanceGIR1Putts",2010
83,83,"Roger Tambellini",77,NA,1722.167,161,"AveragePuttingDistanceGIR1Putts",2010
83,83,"David Toms",86,NA,2585.75,243,"AveragePuttingDistanceGIR1Putts",2010
83,83,"Vance Veazey",58,NA,1406.583,132,"AveragePuttingDistanceGIR1Putts",2010
96,96,"Matt Bettencourt",91,NA,2267.833,215,"AveragePuttingDistanceGIR1Putts",2010
96,96,"Robert Garrigus",71,NA,2058.417,195,"AveragePuttingDistanceGIR1Putts",2010
96,96,"Davis Love III",79,NA,2067.417,196,"AveragePuttingDistanceGIR1Putts",2010
96,96,"Scott Piercy",88,NA,2885.5,273,"AveragePuttingDistanceGIR1Putts",2010
96,96,"Jeev Milkha Singh",59,NA,1572.25,148,"AveragePuttingDistanceGIR1Putts",2010
101,101,"Alex Cejka",81,NA,2029.167,194,"AveragePuttingDistanceGIR1Putts",2010
101,101,"Jerry Kelly",99,NA,2533.333,242,"AveragePuttingDistanceGIR1Putts",2010
101,101,"Joe Ogilvie",99,NA,2828.083,269,"AveragePuttingDistanceGIR1Putts",2010
101,101,"Webb Simpson",98,NA,3106,296,"AveragePuttingDistanceGIR1Putts",2010
101,101,"Vaughn Taylor",87,NA,2689.667,256,"AveragePuttingDistanceGIR1Putts",2010
101,101,"Steve Wheatcroft",74,NA,1954.417,186,"AveragePuttingDistanceGIR1Putts",2010
107,107,"Tim Clark",88,NA,2292.333,220,"AveragePuttingDistanceGIR1Putts",2010
107,107,"Brian Davis",101,NA,2821.583,271,"AveragePuttingDistanceGIR1Putts",2010
107,107,"David Duval",71,NA,1913.667,183,"AveragePuttingDistanceGIR1Putts",2010
107,107,"Jim Furyk",76,NA,1962.583,188,"AveragePuttingDistanceGIR1Putts",2010
107,107,"Bill Haas",87,NA,2533,244,"AveragePuttingDistanceGIR1Putts",2010
107,107,"Zach Johnson",93,NA,2823.167,272,"AveragePuttingDistanceGIR1Putts",2010
107,107,"Michael Letzig",84,NA,2742.417,264,"AveragePuttingDistanceGIR1Putts",2010
107,107,"Billy Mayfair",78,NA,1862.75,179,"AveragePuttingDistanceGIR1Putts",2010
107,107,"Andrew McLardy",52,NA,1224.833,118,"AveragePuttingDistanceGIR1Putts",2010
107,107,"Tim Petrovic",105,NA,2980.667,287,"AveragePuttingDistanceGIR1Putts",2010
117,117,"Steve Elkington",74,NA,1797.75,174,"AveragePuttingDistanceGIR1Putts",2010
117,117,"Will Ma Kenzie",72,NA,2074.25,201,"AveragePuttingDistanceGIR1Putts",2010
117,117,"Hunter Mahan",85,NA,2153.583,209,"AveragePuttingDistanceGIR1Putts",2010
117,117,"George McNeill",79,NA,2417.25,234,"AveragePuttingDistanceGIR1Putts",2010
117,117,"Camilo Villegas",78,NA,1784.667,173,"AveragePuttingDistanceGIR1Putts",2010
122,122,"Kris Blanks",91,NA,2159,211,"AveragePuttingDistanceGIR1Putts",2010
122,122,"Chad Campbell",95,NA,2492.667,243,"AveragePuttingDistanceGIR1Putts",2010
122,122,"Graham DeLaet",88,NA,2463.5,241,"AveragePuttingDistanceGIR1Putts",2010
122,122,"Jason Dufner",87,NA,1981.583,194,"AveragePuttingDistanceGIR1Putts",2010
122,122,"Lucas Glover",75,NA,1989.167,194,"AveragePuttingDistanceGIR1Putts",2010
122,122,"Mathias Gronberg",61,NA,1573.417,154,"AveragePuttingDistanceGIR1Putts",2010
122,122,"JB Holmes",100,NA,2849.25,279,"AveragePuttingDistanceGIR1Putts",2010
122,122,"Kevin Johnson",62,NA,1285.167,125,"AveragePuttingDistanceGIR1Putts",2010
122,122,"Rocco Mediate",71,NA,1731,169,"AveragePuttingDistanceGIR1Putts",2010
122,122,"Tom Pernice Jr",74,NA,1860.833,182,"AveragePuttingDistanceGIR1Putts",2010
122,122,"Chris Riley",73,NA,1993.5,194,"AveragePuttingDistanceGIR1Putts",2010
122,122,"Kevin Stadler",86,NA,2271.583,222,"AveragePuttingDistanceGIR1Putts",2010
134,134,"Joe Durant",67,NA,1854,183,"AveragePuttingDistanceGIR1Putts",2010
134,134,"Ernie Els",72,NA,1879,185,"AveragePuttingDistanceGIR1Putts",2010
134,134,"Rickie Fowler",98,NA,2727.917,269,"AveragePuttingDistanceGIR1Putts",2010
134,134,"Charles Howell III",103,NA,2842.25,279,"AveragePuttingDistanceGIR1Putts",2010
134,134,"Steve Marino",81,NA,2136.833,211,"AveragePuttingDistanceGIR1Putts",2010
134,134,"Greg Owen",69,NA,1831.917,180,"AveragePuttingDistanceGIR1Putts",2010
134,134,"Vijay Singh",75,NA,1932.083,190,"AveragePuttingDistanceGIR1Putts",2010
