"3PlusPuttsperRound_RANKTHISWEEK_2006","3PlusPuttsperRound_RANKLASTWEEK_2006","3PlusPuttsperRound_PLAYERNAME_2006","3PlusPuttsperRound_ROUNDS_2006","3PlusPuttsperRound_AVG_2006","3PlusPuttsperRound_TOTAL3PUTTS_2006","3PlusPuttsperRound_TOTALROUNDS_2006","stat_name","year"
1,1,"James Driscoll",80,0.06,5,80,"3PlusPuttsperRound",2006
1,1,"Steve Elkington",52,0.06,3,51,"3PlusPuttsperRound",2006
3,3,"Kris Cox",83,0.05,4,81,"3PlusPuttsperRound",2006
3,3,"Matt Hansen",68,0.05,3,66,"3PlusPuttsperRound",2006
3,3,"Mike Sposa",68,0.05,3,65,"3PlusPuttsperRound",2006
6,6,"Mark Calcavecchia",94,0.04,4,93,"3PlusPuttsperRound",2006
6,6,"John Daly",51,0.04,2,49,"3PlusPuttsperRound",2006
6,6,"John Huston",74,0.04,3,72,"3PlusPuttsperRound",2006
6,6,"Thomas Levet",53,0.04,2,51,"3PlusPuttsperRound",2006
6,6,"Joe Ogilvie",95,0.04,4,91,"3PlusPuttsperRound",2006
6,6,"Greg Owen",79,0.04,3,77,"3PlusPuttsperRound",2006
6,6,"Ian Poulter",53,0.04,2,52,"3PlusPuttsperRound",2006
6,6,"Kirk Triplett",58,0.04,2,56,"3PlusPuttsperRound",2006
14,14,"Alex Aragon",63,0.03,2,61,"3PlusPuttsperRound",2006
14,14,"Arjun Atwal",97,0.03,3,95,"3PlusPuttsperRound",2006
14,14,"Craig Barlow",77,0.03,2,73,"3PlusPuttsperRound",2006
14,14,"Ben Crane",85,0.03,2,80,"3PlusPuttsperRound",2006
14,14,"Brian Davis",92,0.03,3,90,"3PlusPuttsperRound",2006
14,14,"Brad Faxon",78,0.03,2,78,"3PlusPuttsperRound",2006
14,14,"Mathew Goggin",72,0.03,2,70,"3PlusPuttsperRound",2006
14,14,"Bill Haas",99,0.03,3,96,"3PlusPuttsperRound",2006
14,14,"DJ Trahan",92,0.03,3,90,"3PlusPuttsperRound",2006
14,14,"Nick Watney",97,0.03,3,95,"3PlusPuttsperRound",2006
14,14,"Mark Wilson",79,0.03,2,76,"3PlusPuttsperRound",2006
25,25,"Henrik Bjornstad",97,0.02,2,95,"3PlusPuttsperRound",2006
25,25,"Jeff Brehaut",100,0.02,2,96,"3PlusPuttsperRound",2006
25,25,"Bart Bryant",87,0.02,2,86,"3PlusPuttsperRound",2006
25,25,"Jonathan Byrd",66,0.02,1,66,"3PlusPuttsperRound",2006
25,25,"Alex Cejka",93,0.02,2,91,"3PlusPuttsperRound",2006
25,25,"Carlos Franco",86,0.02,2,86,"3PlusPuttsperRound",2006
25,25,"Retief Goosen",68,0.02,1,60,"3PlusPuttsperRound",2006
25,25,"JP Hayes",55,0.02,1,55,"3PlusPuttsperRound",2006
