"ConsecutiveCuts_RANKTHISWEEK_2007","ConsecutiveCuts_RANKLASTWEEK_2007","ConsecutiveCuts_PLAYERNAME_2007","ConsecutiveCuts__2007","ConsecutiveCuts_TOTAL_2007","ConsecutiveCuts_STARTTOURNAMENTID_2007","stat_name","year"
1,1,"Tiger Woods",NA,23,2006280,"ConsecutiveCuts",2007
2,2,"Brian Davis",NA,17,2007210,"ConsecutiveCuts",2007
3,3,"Briny Baird",NA,14,2007270,"ConsecutiveCuts",2007
4,4,"Sean OHair",NA,12,2007270,"ConsecutiveCuts",2007
4,4,"Lee Westwood",NA,12,2006310,"ConsecutiveCuts",2007
6,6,"Bart Bryant",NA,11,2007230,"ConsecutiveCuts",2007
6,6,"Ernie Els",NA,11,2007160,"ConsecutiveCuts",2007
6,6,"Boo Weekley",NA,11,2007250,"ConsecutiveCuts",2007
9,9,"Freddie Jacobson",NA,10,2007270,"ConsecutiveCuts",2007
9,9,"Craig Lile",NA,10,2007320,"ConsecutiveCuts",2007
9,9,"Kenny Perry",NA,10,2007230,"ConsecutiveCuts",2007
12,12,"Cameron Beckman",NA,9,2007330,"ConsecutiveCuts",2007
12,12,"Steve Stricker",NA,9,2007250,"ConsecutiveCuts",2007
14,14,"Stephen Ames",NA,8,2007320,"ConsecutiveCuts",2007
14,14,"Woody Austin",NA,8,2007290,"ConsecutiveCuts",2007
16,16,"Ken Duke",NA,7,2007380,"ConsecutiveCuts",2007
16,16,"Sergio Garcia",NA,7,2007310,"ConsecutiveCuts",2007
16,16,"Rod Pampling",NA,7,2007280,"ConsecutiveCuts",2007
16,16,"DA Points",NA,7,2006380,"ConsecutiveCuts",2007
16,16,"Adam Scott",NA,7,2007310,"ConsecutiveCuts",2007
16,16,"Camilo Villegas",NA,7,2007300,"ConsecutiveCuts",2007
22,22,"Richard Green",NA,6,2006350,"ConsecutiveCuts",2007
22,22,"Shingo Katayama",NA,6,2007090,"ConsecutiveCuts",2007
22,22,"Justin Leonard",NA,6,2007380,"ConsecutiveCuts",2007
22,22,"Frank Lickliter II",NA,6,2007420,"ConsecutiveCuts",2007
