"Round1ScoringAverage_RANKTHISWEEK_2010","Round1ScoringAverage_RANKLASTWEEK_2010","Round1ScoringAverage_PLAYERNAME_2010","Round1ScoringAverage__2010","Round1ScoringAverage_AVG_2010","Round1ScoringAverage_TOTALSTROKES_2010","Round1ScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Matt Kuchar",NA,69.28,1732,25,"Round1ScoringAverage",2010
2,2,"Charley Hoffman",NA,69.29,1663,24,"Round1ScoringAverage",2010
3,3,"KJ Choi",NA,69.36,1526,22,"Round1ScoringAverage",2010
4,4,"Joe Durant",NA,69.53,1321,19,"Round1ScoringAverage",2010
5,5,"Ryan Moore",NA,69.61,1601,23,"Round1ScoringAverage",2010
5,5,"Steve Stricker",NA,69.61,1253,18,"Round1ScoringAverage",2010
7,7,"David Toms",NA,69.63,1671,24,"Round1ScoringAverage",2010
8,8,"Jason Day",NA,69.65,1602,23,"Round1ScoringAverage",2010
9,9,"Ricky Barnes",NA,69.71,1952,28,"Round1ScoringAverage",2010
9,9,"Chris DiMarco",NA,69.71,1673,24,"Round1ScoringAverage",2010
9,9,"Garrett Willis",NA,69.71,1673,24,"Round1ScoringAverage",2010
12,12,"Jonathan Byrd",NA,69.77,1814,26,"Round1ScoringAverage",2010
12,12,"Michael Letzig",NA,69.77,1814,26,"Round1ScoringAverage",2010
12,12,"Bubba Watson",NA,69.77,1535,22,"Round1ScoringAverage",2010
15,15,"Paul Casey",NA,69.81,1117,16,"Round1ScoringAverage",2010
16,16,"Matt Every",NA,69.94,1259,18,"Round1ScoringAverage",2010
16,16,"Dean Wilson",NA,69.94,1259,18,"Round1ScoringAverage",2010
18,18,"Matt Jones",NA,69.96,1889,27,"Round1ScoringAverage",2010
18,18,"Bo Van Pelt",NA,69.96,1959,28,"Round1ScoringAverage",2010
20,20,"Luke Donald",NA,70,1330,19,"Round1ScoringAverage",2010
20,20,"Charlie Wi",NA,70,1890,27,"Round1ScoringAverage",2010
22,22,"Chad Collins",NA,70.04,1821,26,"Round1ScoringAverage",2010
23,23,"Tom Pernice Jr",NA,70.05,1541,22,"Round1ScoringAverage",2010
23,23,"Justin Rose",NA,70.05,1541,22,"Round1ScoringAverage",2010
25,25,"Ryuji Imada",NA,70.07,1962,28,"Round1ScoringAverage",2010
26,26,"Dustin Johnson",NA,70.09,1542,22,"Round1ScoringAverage",2010
27,27,"JB Holmes",NA,70.12,1823,26,"Round1ScoringAverage",2010
28,28,"Tim Clark",NA,70.13,1613,23,"Round1ScoringAverage",2010
29,29,"Charles Howell III",NA,70.14,1964,28,"Round1ScoringAverage",2010
30,30,"Phil Mickelson",NA,70.15,1403,20,"Round1ScoringAverage",2010
31,31,"Jeff Quinney",NA,70.17,2035,29,"Round1ScoringAverage",2010
32,32,"Vijay Singh",NA,70.18,1544,22,"Round1ScoringAverage",2010
33,33,"Tom Gillis",NA,70.19,1895,27,"Round1ScoringAverage",2010
34,34,"Rickie Fowler",NA,70.21,1966,28,"Round1ScoringAverage",2010
35,35,"Pat Perez",NA,70.22,1896,27,"Round1ScoringAverage",2010
35,35,"Paul Stankowski",NA,70.22,1264,18,"Round1ScoringAverage",2010
37,37,"Steve Elkington",NA,70.23,1545,22,"Round1ScoringAverage",2010
37,37,"Spencer Levin",NA,70.23,2177,31,"Round1ScoringAverage",2010
39,39,"Zach Johnson",NA,70.25,1686,24,"Round1ScoringAverage",2010
39,39,"Chris Riley",NA,70.25,1686,24,"Round1ScoringAverage",2010
41,41,"Chris Couch",NA,70.26,1616,23,"Round1ScoringAverage",2010
41,41,"Kenny Perry",NA,70.26,1335,19,"Round1ScoringAverage",2010
43,43,"Aron Price",NA,70.27,1546,22,"Round1ScoringAverage",2010
44,44,"Heath Slocum",NA,70.28,1757,25,"Round1ScoringAverage",2010
45,45,"Jay Williamson",NA,70.29,1687,24,"Round1ScoringAverage",2010
46,46,"John Senden",NA,70.3,2109,30,"Round1ScoringAverage",2010
47,47,"Woody Austin",NA,70.31,2039,29,"Round1ScoringAverage",2010
48,48,"Bill Haas",NA,70.32,1758,25,"Round1ScoringAverage",2010
49,49,"Retief Goosen",NA,70.33,1266,18,"Round1ScoringAverage",2010
50,50,"Robert Allenby",NA,70.35,1407,20,"Round1ScoringAverage",2010
51,51,"Briny Baird",NA,70.39,1971,28,"Round1ScoringAverage",2010
51,51,"Nick Watney",NA,70.39,1619,23,"Round1ScoringAverage",2010
53,53,"Ernie Els",NA,70.42,1338,19,"Round1ScoringAverage",2010
53,53,"Jeff Overton",NA,70.42,1831,26,"Round1ScoringAverage",2010
55,55,"Ian Poulter",NA,70.43,986,14,"Round1ScoringAverage",2010
56,56,"Carl Pettersson",NA,70.45,2043,29,"Round1ScoringAverage",2010
57,57,"JP Hayes",NA,70.48,1762,25,"Round1ScoringAverage",2010
57,57,"JJ Henry",NA,70.48,1903,27,"Round1ScoringAverage",2010
57,57,"Scott McCarron",NA,70.48,2044,29,"Round1ScoringAverage",2010
60,60,"Jarrod Lyle",NA,70.5,1269,18,"Round1ScoringAverage",2010
61,61,"Jason Bohn",NA,70.52,1763,25,"Round1ScoringAverage",2010
61,61,"Ben Crane",NA,70.52,1622,23,"Round1ScoringAverage",2010
61,61,"John Merrick",NA,70.52,2186,31,"Round1ScoringAverage",2010
64,64,"Tim Herron",NA,70.54,1693,24,"Round1ScoringAverage",2010
64,64,"Hunter Mahan",NA,70.54,1693,24,"Round1ScoringAverage",2010
64,64,"Sean OHair",NA,70.54,1693,24,"Round1ScoringAverage",2010
64,64,"Vaughn Taylor",NA,70.54,1834,26,"Round1ScoringAverage",2010
68,68,"Brendon de Jonge",NA,70.56,2258,32,"Round1ScoringAverage",2010
68,68,"Jeev Milkha Singh",NA,70.56,1270,18,"Round1ScoringAverage",2010
68,68,"DJ Trahan",NA,70.56,1905,27,"Round1ScoringAverage",2010
71,71,"Brett Quigley",NA,70.59,2047,29,"Round1ScoringAverage",2010
72,72,"Jim Furyk",NA,70.6,1412,20,"Round1ScoringAverage",2010
73,73,"Martin Laird",NA,70.62,1836,26,"Round1ScoringAverage",2010
74,74,"George McNeill",NA,70.63,1907,27,"Round1ScoringAverage",2010
75,75,"John Daly",NA,70.65,1413,20,"Round1ScoringAverage",2010
75,75,"James Driscoll",NA,70.65,1837,26,"Round1ScoringAverage",2010
75,75,"Padraig Harrington",NA,70.65,1201,17,"Round1ScoringAverage",2010
78,78,"Nathan Green",NA,70.67,1908,27,"Round1ScoringAverage",2010
78,78,"Davis Love III",NA,70.67,1696,24,"Round1ScoringAverage",2010
78,78,"Shaun Micheel",NA,70.67,1484,21,"Round1ScoringAverage",2010
78,78,"Geoff Ogilvy",NA,70.67,1272,18,"Round1ScoringAverage",2010
78,78,"Mike Weir",NA,70.67,1272,18,"Round1ScoringAverage",2010
83,83,"Paul Goydos",NA,70.68,1767,25,"Round1ScoringAverage",2010
83,83,"Kevin Sutherland",NA,70.68,1767,25,"Round1ScoringAverage",2010
83,83,"Camilo Villegas",NA,70.68,1343,19,"Round1ScoringAverage",2010
86,86,"Troy Merritt",NA,70.69,2050,29,"Round1ScoringAverage",2010
87,87,"Freddie Jacobson",NA,70.71,1697,24,"Round1ScoringAverage",2010
87,87,"John Mallinger",NA,70.71,1980,28,"Round1ScoringAverage",2010
87,87,"Steve Marino",NA,70.71,1697,24,"Round1ScoringAverage",2010
87,87,"Andres Romero",NA,70.71,1485,21,"Round1ScoringAverage",2010
91,91,"Rory Sabbatini",NA,70.72,1768,25,"Round1ScoringAverage",2010
92,92,"Kevin Stadler",NA,70.74,1910,27,"Round1ScoringAverage",2010
92,92,"Boo Weekley",NA,70.74,1910,27,"Round1ScoringAverage",2010
94,94,"Alex Prugh",NA,70.75,1981,28,"Round1ScoringAverage",2010
95,95,"Jerry Kelly",NA,70.76,2052,29,"Round1ScoringAverage",2010
95,95,"Kevin Na",NA,70.76,1769,25,"Round1ScoringAverage",2010
97,97,"Chris Stroud",NA,70.78,1911,27,"Round1ScoringAverage",2010
98,98,"Kevin Streelman",NA,70.79,1982,28,"Round1ScoringAverage",2010
99,99,"Brandt Snedeker",NA,70.81,1841,26,"Round1ScoringAverage",2010
100,100,"Stephen Ames",NA,70.82,1558,22,"Round1ScoringAverage",2010
101,101,"Brian Gay",NA,70.86,2055,29,"Round1ScoringAverage",2010
102,102,"Aaron Baddeley",NA,70.88,1843,26,"Round1ScoringAverage",2010
102,102,"Lee Janzen",NA,70.88,1843,26,"Round1ScoringAverage",2010
102,102,"John Rollins",NA,70.88,1843,26,"Round1ScoringAverage",2010
102,102,"Roger Tambellini",NA,70.88,1843,26,"Round1ScoringAverage",2010
102,102,"Chris Tidland",NA,70.88,1701,24,"Round1ScoringAverage",2010
107,107,"Angel Cabrera",NA,70.89,1276,18,"Round1ScoringAverage",2010
108,108,"Chad Campbell",NA,70.93,1915,27,"Round1ScoringAverage",2010
109,109,"Webb Simpson",NA,70.94,2199,31,"Round1ScoringAverage",2010
109,109,"Brett Wetterich",NA,70.94,1135,16,"Round1ScoringAverage",2010
111,111,"Mathias Gronberg",NA,70.95,1561,22,"Round1ScoringAverage",2010
111,111,"Charles Warren",NA,70.95,1490,21,"Round1ScoringAverage",2010
113,113,"Bob Estes",NA,70.96,1845,26,"Round1ScoringAverage",2010
113,113,"Will Ma Kenzie",NA,70.96,1632,23,"Round1ScoringAverage",2010
115,115,"Alex Cejka",NA,71,1988,28,"Round1ScoringAverage",2010
115,115,"Greg Chalmers",NA,71,1917,27,"Round1ScoringAverage",2010
117,117,"Justin Leonard",NA,71.04,1847,26,"Round1ScoringAverage",2010
118,118,"Brent Delahoussaye",NA,71.05,1492,21,"Round1ScoringAverage",2010
118,118,"Michael Sim",NA,71.05,1350,19,"Round1ScoringAverage",2010
120,120,"Joe Ogilvie",NA,71.06,2274,32,"Round1ScoringAverage",2010
121,121,"Rory McIlroy",NA,71.07,1066,15,"Round1ScoringAverage",2010
122,122,"Jason Dufner",NA,71.08,1777,25,"Round1ScoringAverage",2010
122,122,"Bryce Molder",NA,71.08,1848,26,"Round1ScoringAverage",2010
124,124,"Graham DeLaet",NA,71.11,1991,28,"Round1ScoringAverage",2010
124,124,"Trevor Immelman",NA,71.11,1351,19,"Round1ScoringAverage",2010
126,126,"Matt Bettencourt",NA,71.13,2205,31,"Round1ScoringAverage",2010
127,127,"Robert Garrigus",NA,71.14,1565,22,"Round1ScoringAverage",2010
128,128,"Richard Johnson",NA,71.15,1921,27,"Round1ScoringAverage",2010
129,129,"Garth Mulroy",NA,71.16,1352,19,"Round1ScoringAverage",2010
129,129,"Josh Teater",NA,71.16,2206,31,"Round1ScoringAverage",2010
131,131,"Skip Kendall",NA,71.17,1281,18,"Round1ScoringAverage",2010
131,131,"James Nitties",NA,71.17,2135,30,"Round1ScoringAverage",2010
131,131,"Nicholas Thompson",NA,71.17,2064,29,"Round1ScoringAverage",2010
134,134,"Lucas Glover",NA,71.18,1566,22,"Round1ScoringAverage",2010
135,135,"Ryan Palmer",NA,71.19,1922,27,"Round1ScoringAverage",2010
135,135,"Steve Wheatcroft",NA,71.19,1922,27,"Round1ScoringAverage",2010
137,137,"Michael Connell",NA,71.2,1780,25,"Round1ScoringAverage",2010
137,137,"Cameron Percy",NA,71.2,1780,25,"Round1ScoringAverage",2010
139,139,"Michael Bradley",NA,71.21,1709,24,"Round1ScoringAverage",2010
139,139,"Ben Curtis",NA,71.21,1709,24,"Round1ScoringAverage",2010
139,139,"David Duval",NA,71.21,1709,24,"Round1ScoringAverage",2010
139,139,"Adam Scott",NA,71.21,1353,19,"Round1ScoringAverage",2010
143,143,"Cameron Tringale",NA,71.23,1567,22,"Round1ScoringAverage",2010
144,144,"Tim Petrovic",NA,71.25,2280,32,"Round1ScoringAverage",2010
145,145,"Cliff Kresge",NA,71.29,1212,17,"Round1ScoringAverage",2010
146,146,"Scott Piercy",NA,71.32,1997,28,"Round1ScoringAverage",2010
147,147,"Kris Blanks",NA,71.33,2140,30,"Round1ScoringAverage",2010
147,147,"Jimmy Walker",NA,71.33,1926,27,"Round1ScoringAverage",2010
149,149,"Marc Leishman",NA,71.35,1855,26,"Round1ScoringAverage",2010
149,149,"YE Yang",NA,71.35,1427,20,"Round1ScoringAverage",2010
151,151,"Blake Adams",NA,71.38,1856,26,"Round1ScoringAverage",2010
152,152,"Rod Pampling",NA,71.42,1857,26,"Round1ScoringAverage",2010
153,153,"Mark Calcavecchia",NA,71.5,1144,16,"Round1ScoringAverage",2010
153,153,"Brian Stuard",NA,71.5,2002,28,"Round1ScoringAverage",2010
155,155,"Cameron Beckman",NA,71.52,1788,25,"Round1ScoringAverage",2010
156,156,"Troy Matteson",NA,71.54,2003,28,"Round1ScoringAverage",2010
156,156,"Mark Wilson",NA,71.54,2003,28,"Round1ScoringAverage",2010
158,158,"Stewart Cink",NA,71.59,1575,22,"Round1ScoringAverage",2010
