"AverageDistancetoHoleAfterTeeShot_RANKTHISWEEK_2007","AverageDistancetoHoleAfterTeeShot_RANKLASTWEEK_2007","AverageDistancetoHoleAfterTeeShot_PLAYERNAME_2007","AverageDistancetoHoleAfterTeeShot_ROUNDS_2007","AverageDistancetoHoleAfterTeeShot_AVG_2007","AverageDistancetoHoleAfterTeeShot_TOTALDISTAFTERTEESHOT_2007","AverageDistancetoHoleAfterTeeShot_TOTALTEESHOTS_2007","stat_name","year"
1,1,"JB Holmes",71,153.4,4827304,874,"AverageDistancetoHoleAfterTeeShot",2007
2,2,"John Daly",59,153.5,3647232,660,"AverageDistancetoHoleAfterTeeShot",2007
3,3,"Bubba Watson",80,157.7,5064216,892,"AverageDistancetoHoleAfterTeeShot",2007
4,4,"Robert Garrigus",95,159.5,6780683,1181,"AverageDistancetoHoleAfterTeeShot",2007
5,5,"Brett Wetterich",88,161.7,5622652,966,"AverageDistancetoHoleAfterTeeShot",2007
6,6,"Jeff Overton",60,162.9,4397672,750,"AverageDistancetoHoleAfterTeeShot",2007
7,7,"Harrison Frazar",88,164.4,5953419,1006,"AverageDistancetoHoleAfterTeeShot",2007
8,8,"Geoff Ogilvy",84,165.3,5319203,894,"AverageDistancetoHoleAfterTeeShot",2007
9,9,"Tag Ridings",52,165.8,3659645,613,"AverageDistancetoHoleAfterTeeShot",2007
10,10,"Chris Couch",76,166,6005279,1005,"AverageDistancetoHoleAfterTeeShot",2007
11,11,"Scott Gutschewski",67,166.1,4764480,797,"AverageDistancetoHoleAfterTeeShot",2007
12,12,"Bubba Dickerson",51,166.2,3524382,589,"AverageDistancetoHoleAfterTeeShot",2007
12,12,"Phil Mickelson",73,166.2,4276984,715,"AverageDistancetoHoleAfterTeeShot",2007
14,14,"Davis Love III",66,166.5,4416412,737,"AverageDistancetoHoleAfterTeeShot",2007
14,14,"Nick Watney",87,166.5,5755316,960,"AverageDistancetoHoleAfterTeeShot",2007
16,16,"Anthony Kim",93,166.6,6616177,1103,"AverageDistancetoHoleAfterTeeShot",2007
16,16,"Boo Weekley",101,166.6,6501720,1084,"AverageDistancetoHoleAfterTeeShot",2007
18,18,"Jason Gore",86,166.8,6465924,1077,"AverageDistancetoHoleAfterTeeShot",2007
18,18,"Adam Scott",69,166.8,4509703,751,"AverageDistancetoHoleAfterTeeShot",2007
18,18,"Henrik Stenson",52,166.8,2972094,495,"AverageDistancetoHoleAfterTeeShot",2007
21,21,"Charles Warren",101,166.9,7691760,1280,"AverageDistancetoHoleAfterTeeShot",2007
22,22,"Vijay Singh",102,167,6854162,1140,"AverageDistancetoHoleAfterTeeShot",2007
23,23,"Ernie Els",59,167.2,3671866,610,"AverageDistancetoHoleAfterTeeShot",2007
24,24,"Bill Haas",93,167.6,6835889,1133,"AverageDistancetoHoleAfterTeeShot",2007
25,25,"Greg Owen",81,167.8,5870458,972,"AverageDistancetoHoleAfterTeeShot",2007
25,25,"DJ Trahan",99,167.8,7502461,1242,"AverageDistancetoHoleAfterTeeShot",2007
27,27,"Mathias Gronberg",95,167.9,7357581,1217,"AverageDistancetoHoleAfterTeeShot",2007
28,28,"Matt Hendrix",63,168.1,4570179,755,"AverageDistancetoHoleAfterTeeShot",2007
29,29,"Andrew Buckle",77,168.2,5605589,926,"AverageDistancetoHoleAfterTeeShot",2007
29,29,"Charley Hoffman",97,168.2,6896400,1139,"AverageDistancetoHoleAfterTeeShot",2007
31,31,"Kenny Perry",83,168.6,6264277,1032,"AverageDistancetoHoleAfterTeeShot",2007
32,32,"Pat Perez",84,168.9,5394348,887,"AverageDistancetoHoleAfterTeeShot",2007
33,33,"Charles Howell III",89,169.1,5490056,902,"AverageDistancetoHoleAfterTeeShot",2007
34,34,"Steve Allan",63,169.2,4609780,757,"AverageDistancetoHoleAfterTeeShot",2007
35,35,"Padraig Harrington",64,169.3,3875941,636,"AverageDistancetoHoleAfterTeeShot",2007
36,36,"Robert Allenby",90,169.4,6358912,1043,"AverageDistancetoHoleAfterTeeShot",2007
36,36,"Rod Pampling",92,169.4,6282439,1030,"AverageDistancetoHoleAfterTeeShot",2007
36,36,"Bo Van Pelt",104,169.4,8163371,1339,"AverageDistancetoHoleAfterTeeShot",2007
39,39,"Mathew Goggin",97,169.5,7334415,1202,"AverageDistancetoHoleAfterTeeShot",2007
40,40,"John Rollins",102,169.7,7140283,1169,"AverageDistancetoHoleAfterTeeShot",2007
41,41,"Troy Matteson",87,169.9,6414581,1049,"AverageDistancetoHoleAfterTeeShot",2007
41,41,"Kevin Stadler",95,169.9,6586463,1077,"AverageDistancetoHoleAfterTeeShot",2007
41,41,"Tiger Woods",63,169.9,3664751,599,"AverageDistancetoHoleAfterTeeShot",2007
44,44,"Steve Marino",106,170,7706834,1259,"AverageDistancetoHoleAfterTeeShot",2007
45,45,"JJ Henry",86,170.1,5787501,945,"AverageDistancetoHoleAfterTeeShot",2007
46,46,"Daniel Chopra",106,170.4,7997350,1304,"AverageDistancetoHoleAfterTeeShot",2007
47,47,"Mark Calcavecchia",93,170.5,6168742,1005,"AverageDistancetoHoleAfterTeeShot",2007
47,47,"Hunter Mahan",91,170.5,6136446,1000,"AverageDistancetoHoleAfterTeeShot",2007
47,47,"Mike Weir",82,170.5,5101341,831,"AverageDistancetoHoleAfterTeeShot",2007
50,50,"Stewart Cink",91,170.7,6066563,987,"AverageDistancetoHoleAfterTeeShot",2007
50,50,"Retief Goosen",50,170.7,2911989,474,"AverageDistancetoHoleAfterTeeShot",2007
50,50,"Camilo Villegas",82,170.7,5855984,953,"AverageDistancetoHoleAfterTeeShot",2007
53,53,"Brendon de Jonge",76,170.8,5590682,909,"AverageDistancetoHoleAfterTeeShot",2007
53,53,"Sean OHair",98,170.8,7091634,1153,"AverageDistancetoHoleAfterTeeShot",2007
55,55,"Tim Herron",98,171,6939719,1127,"AverageDistancetoHoleAfterTeeShot",2007
56,56,"John Merrick",92,171.2,6907050,1121,"AverageDistancetoHoleAfterTeeShot",2007
56,56,"Carl Pettersson",111,171.2,7852288,1274,"AverageDistancetoHoleAfterTeeShot",2007
58,58,"JP Hayes",89,171.3,6796415,1102,"AverageDistancetoHoleAfterTeeShot",2007
59,59,"Jarrod Lyle",77,171.5,5710998,925,"AverageDistancetoHoleAfterTeeShot",2007
60,60,"Aaron Baddeley",83,171.6,5684694,920,"AverageDistancetoHoleAfterTeeShot",2007
60,60,"Lucas Glover",98,171.6,6664732,1079,"AverageDistancetoHoleAfterTeeShot",2007
60,60,"Joe Ogilvie",102,171.6,7345301,1189,"AverageDistancetoHoleAfterTeeShot",2007
63,63,"Peter Lonard",85,171.7,6485728,1049,"AverageDistancetoHoleAfterTeeShot",2007
63,63,"Ted Purdy",102,171.7,7467403,1208,"AverageDistancetoHoleAfterTeeShot",2007
63,63,"Rory Sabbatini",81,171.7,5408576,875,"AverageDistancetoHoleAfterTeeShot",2007
63,63,"Jay Williamson",50,171.7,4152643,672,"AverageDistancetoHoleAfterTeeShot",2007
67,67,"Rich Beem",89,171.9,5948521,961,"AverageDistancetoHoleAfterTeeShot",2007
67,67,"Will Ma Kenzie",100,171.9,7809515,1262,"AverageDistancetoHoleAfterTeeShot",2007
69,69,"Ryan Palmer",91,172,6961332,1124,"AverageDistancetoHoleAfterTeeShot",2007
70,70,"Stuart Appleby",74,172.1,4955166,800,"AverageDistancetoHoleAfterTeeShot",2007
71,71,"Jonathan Byrd",73,172.2,5245802,846,"AverageDistancetoHoleAfterTeeShot",2007
72,72,"Jason Schultz",63,172.3,4497849,725,"AverageDistancetoHoleAfterTeeShot",2007
72,72,"Michael Sim",52,172.3,4304529,694,"AverageDistancetoHoleAfterTeeShot",2007
74,74,"Craig Barlow",52,172.7,3743307,602,"AverageDistancetoHoleAfterTeeShot",2007
74,74,"Brian Bateman",55,172.7,3748215,603,"AverageDistancetoHoleAfterTeeShot",2007
74,74,"Steve Lowery",74,172.7,5948292,957,"AverageDistancetoHoleAfterTeeShot",2007
77,77,"Justin Rose",63,172.8,3371750,542,"AverageDistancetoHoleAfterTeeShot",2007
78,78,"George McNeill",95,172.9,6870401,1104,"AverageDistancetoHoleAfterTeeShot",2007
79,79,"Sergio Garcia",68,173.3,4709022,755,"AverageDistancetoHoleAfterTeeShot",2007
80,80,"Paul Stankowski",52,173.4,3570550,572,"AverageDistancetoHoleAfterTeeShot",2007
80,80,"Chris Tidland",59,173.4,4382585,702,"AverageDistancetoHoleAfterTeeShot",2007
82,82,"Jeff Brehaut",59,173.8,4191221,670,"AverageDistancetoHoleAfterTeeShot",2007
82,82,"Alex Cejka",80,173.8,6425175,1027,"AverageDistancetoHoleAfterTeeShot",2007
