"GIRPercentagefromFairway_RANKTHISWEEK_2010","GIRPercentagefromFairway_RANKLASTWEEK_2010","GIRPercentagefromFairway_PLAYERNAME_2010","GIRPercentagefromFairway_ROUNDS_2010","GIRPercentagefromFairway_Pct_2010","GIRPercentagefromFairway_GREENSHIT_2010","GIRPercentagefromFairway_OFHOLES_2010","stat_name","year"
1,1,"Charles Warren",64,82.77,442,534,"GIRPercentagefromFairway",2010
2,2,"Kevin Sutherland",86,81.58,651,798,"GIRPercentagefromFairway",2010
3,3,"Cameron Tringale",55,81.3,326,401,"GIRPercentagefromFairway",2010
4,4,"Pat Perez",90,81.22,666,820,"GIRPercentagefromFairway",2010
5,5,"Joe Durant",67,81.06,522,644,"GIRPercentagefromFairway",2010
6,6,"Brett Quigley",96,81.03,645,796,"GIRPercentagefromFairway",2010
7,7,"DJ Trahan",92,80.86,638,789,"GIRPercentagefromFairway",2010
8,8,"Dustin Johnson",83,80.83,527,652,"GIRPercentagefromFairway",2010
9,9,"Paul Casey",64,80.75,407,504,"GIRPercentagefromFairway",2010
10,10,"Lucas Glover",75,80.64,529,656,"GIRPercentagefromFairway",2010
11,11,"John Senden",103,80.52,781,970,"GIRPercentagefromFairway",2010
12,12,"Graham DeLaet",88,80.41,595,740,"GIRPercentagefromFairway",2010
13,13,"Adam Scott",70,80.37,483,601,"GIRPercentagefromFairway",2010
14,14,"Greg Owen",69,80.34,474,590,"GIRPercentagefromFairway",2010
15,15,"Briny Baird",87,80.29,607,756,"GIRPercentagefromFairway",2010
16,16,"Mathew Goggin",85,80.26,622,775,"GIRPercentagefromFairway",2010
17,17,"Scott Piercy",88,80.23,552,688,"GIRPercentagefromFairway",2010
18,18,"Chris Stroud",90,80.22,576,718,"GIRPercentagefromFairway",2010
19,19,"Chad Campbell",95,80.18,724,903,"GIRPercentagefromFairway",2010
20,20,"Brenden Pappas",66,80.13,379,473,"GIRPercentagefromFairway",2010
21,21,"John Merrick",109,80.04,754,942,"GIRPercentagefromFairway",2010
22,22,"Charles Howell III",103,80.03,601,751,"GIRPercentagefromFairway",2010
23,23,"Josh Teater",101,79.93,701,877,"GIRPercentagefromFairway",2010
24,24,"Troy Matteson",84,79.89,568,711,"GIRPercentagefromFairway",2010
25,25,"Alex Prugh",88,79.83,558,699,"GIRPercentagefromFairway",2010
26,26,"Bob Estes",79,79.79,537,673,"GIRPercentagefromFairway",2010
27,27,"James Driscoll",78,79.77,493,618,"GIRPercentagefromFairway",2010
28,28,"Aron Price",70,79.7,479,601,"GIRPercentagefromFairway",2010
29,29,"Rocco Mediate",71,79.66,521,654,"GIRPercentagefromFairway",2010
30,30,"Bo Van Pelt",104,79.64,759,953,"GIRPercentagefromFairway",2010
31,31,"Brendon de Jonge",114,79.59,768,965,"GIRPercentagefromFairway",2010
32,32,"Andrew McLardy",52,79.56,327,411,"GIRPercentagefromFairway",2010
33,33,"Jeff Overton",89,79.46,526,662,"GIRPercentagefromFairway",2010
34,34,"Rory McIlroy",54,79.39,366,461,"GIRPercentagefromFairway",2010
35,35,"Matt Kuchar",97,79.38,720,907,"GIRPercentagefromFairway",2010
36,36,"Garth Mulroy",53,79.23,328,414,"GIRPercentagefromFairway",2010
37,37,"Ernie Els",72,79.22,469,592,"GIRPercentagefromFairway",2010
38,38,"Matt Jones",89,79.18,559,706,"GIRPercentagefromFairway",2010
39,39,"Brett Wetterich",54,79.13,345,436,"GIRPercentagefromFairway",2010
40,40,"Jonathan Byrd",85,79.12,576,728,"GIRPercentagefromFairway",2010
41,41,"Spencer Levin",110,79.11,731,924,"GIRPercentagefromFairway",2010
42,42,"Kenny Perry",69,79.08,514,650,"GIRPercentagefromFairway",2010
