"RightRoughProximity_RANKTHISWEEK_2014","RightRoughProximity_RANKLASTWEEK_2014","RightRoughProximity_PLAYERNAME_2014","RightRoughProximity_ROUNDS_2014","RightRoughProximity_AVG_2014","RightRoughProximity_ATTEMPTS_2014","RightRoughProximity_TOTALDISTANCEFEET_2014","RightRoughProximity_RELATIVETOPAR_2014","stat_name","year"
1,1,"Paul Casey",56,NA,78,2714.333,4,"RightRoughProximity",2014
1,1,"Ken Duke",80,NA,107,3728,18,"RightRoughProximity",2014
3,3,"Bubba Watson",76,NA,116,4224.833,15,"RightRoughProximity",2014
4,4,"David Toms",64,NA,78,2958.917,4,"RightRoughProximity",2014
5,5,"Brooks Koepka",56,NA,85,3262.5,6,"RightRoughProximity",2014
6,6,"Kevin Streelman",79,NA,95,3655,20,"RightRoughProximity",2014
7,7,"Billy Hurley III",86,NA,89,3433.667,2,"RightRoughProximity",2014
7,7,"Vijay Singh",83,NA,151,5828.833,10,"RightRoughProximity",2014
9,9,"Jamie Lovemark",64,NA,126,4876.083,7,"RightRoughProximity",2014
10,10,"Jim Furyk",84,NA,88,3406.75,13,"RightRoughProximity",2014
10,10,"Phil Mickelson",71,NA,88,3412.083,2,"RightRoughProximity",2014
12,12,"Louis Oosthuizen",50,NA,50,1940.583,8,"RightRoughProximity",2014
13,13,"Freddie Jacobson",91,NA,156,6115.5,15,"RightRoughProximity",2014
14,14,"Jason Bohn",81,NA,116,4554.833,11,"RightRoughProximity",2014
14,14,"Nick Watney",80,NA,100,3923,7,"RightRoughProximity",2014
16,16,"Retief Goosen",94,NA,173,6823.25,18,"RightRoughProximity",2014
16,16,"Jeff Maggert",54,NA,73,2877.833,6,"RightRoughProximity",2014
18,18,"Marc Leishman",81,NA,151,5965.5,27,"RightRoughProximity",2014
19,19,"Brendan Steele",89,NA,127,5022.583,20,"RightRoughProximity",2014
20,20,"Brian Harman",111,NA,187,7440.583,14,"RightRoughProximity",2014
20,20,"Justin Rose",70,NA,119,4729.75,0,"RightRoughProximity",2014
22,22,"Tyrone Van Aswegen",79,NA,123,4919.833,25,"RightRoughProximity",2014
23,23,"Brian Davis",93,NA,127,5089.333,9,"RightRoughProximity",2014
24,24,"Carl Pettersson",91,NA,169,6812.917,22,"RightRoughProximity",2014
25,25,"Chesson Hadley",84,NA,117,4724.833,24,"RightRoughProximity",2014
26,26,"John Peterson",62,NA,91,3694.667,15,"RightRoughProximity",2014
27,27,"Briny Baird",50,NA,78,3192.417,9,"RightRoughProximity",2014
27,27,"Troy Matteson",62,NA,105,4300.333,27,"RightRoughProximity",2014
29,29,"Martin Flores",85,NA,147,6035.583,20,"RightRoughProximity",2014
30,30,"Boo Weekley",73,NA,95,3907.917,12,"RightRoughProximity",2014
31,31,"Seung Yul Noh",92,NA,171,7059.083,9,"RightRoughProximity",2014
32,32,"Ryan Moore",86,NA,80,3308.75,10,"RightRoughProximity",2014
32,32,"Charl Schwartzel",64,NA,124,5128.083,17,"RightRoughProximity",2014
34,34,"Davis Love III",74,NA,104,4310.167,8,"RightRoughProximity",2014
35,35,"Luke Guthrie",85,NA,147,6097.083,14,"RightRoughProximity",2014
35,35,"Charley Hoffman",93,NA,166,6887.75,10,"RightRoughProximity",2014
37,37,"Brandt Snedeker",89,NA,100,4156.167,9,"RightRoughProximity",2014
38,38,"Graham DeLaet",80,NA,103,4306.167,2,"RightRoughProximity",2014
38,38,"William McGirt",96,NA,144,6021.25,15,"RightRoughProximity",2014
38,38,"Kyle Stanley",87,NA,145,6061.333,22,"RightRoughProximity",2014
38,38,"Jimmy Walker",98,NA,166,6951.083,2,"RightRoughProximity",2014
42,42,"Hunter Mahan",88,NA,134,5612.083,11,"RightRoughProximity",2014
43,43,"Kevin Chappell",100,NA,130,5458.167,19,"RightRoughProximity",2014
43,43,"Ted Potter Jr",68,NA,98,4112.417,2,"RightRoughProximity",2014
45,45,"Charlie Beljan",76,NA,141,5937.833,28,"RightRoughProximity",2014
45,45,"Zach Johnson",97,NA,124,5217.083,20,"RightRoughProximity",2014
45,45,"Sean OHair",77,NA,145,6107.25,21,"RightRoughProximity",2014
48,48,"Dustin Johnson",58,NA,94,3962.5,10,"RightRoughProximity",2014
48,48,"Ryan Palmer",85,NA,129,5434.333,0,"RightRoughProximity",2014
50,50,"Russell Knox",92,NA,133,5631.083,23,"RightRoughProximity",2014
50,50,"Henrik Stenson",56,NA,52,2202.083,4,"RightRoughProximity",2014
50,50,"Josh Teater",90,NA,147,6221.333,15,"RightRoughProximity",2014
53,53,"Jonathan Byrd",76,NA,120,5086.917,13,"RightRoughProximity",2014
53,53,"Greg Chalmers",85,NA,186,7890.583,9,"RightRoughProximity",2014
53,53,"David Lingmerth",80,NA,127,5384.25,12,"RightRoughProximity",2014
53,53,"George McNeill",79,NA,143,6066.917,9,"RightRoughProximity",2014
57,57,"Andrew Loupe",65,NA,132,5605.25,13,"RightRoughProximity",2014
57,57,"Chris Stroud",88,NA,119,5055,28,"RightRoughProximity",2014
59,59,"Scott Stallings",77,NA,140,5961.667,21,"RightRoughProximity",2014
60,60,"Brian Gay",81,NA,106,4521.5,11,"RightRoughProximity",2014
60,60,"JB Holmes",86,NA,148,6312.083,13,"RightRoughProximity",2014
60,60,"Robert Streb",75,NA,104,4434.333,5,"RightRoughProximity",2014
