"3PuttAvoidance1015_RANKTHISWEEK_2013","3PuttAvoidance1015_RANKLASTWEEK_2013","3PuttAvoidance1015_PLAYERNAME_2013","3PuttAvoidance1015_ROUNDS_2013","3PuttAvoidance1015_Pct_2013","3PuttAvoidance1015_TOTAL3PUTTS_2013","3PuttAvoidance1015_ATTEMPTS_2013","3PuttAvoidance1015_2PUTTORBETTERPct_2013","stat_name","year"
1,1,"Scott Brown",65,0,NA,138,100,"3PuttAvoidance1015",2013
1,1,"Greg Chalmers",77,0,NA,193,100,"3PuttAvoidance1015",2013
1,1,"Jason Day",86,0,NA,148,100,"3PuttAvoidance1015",2013
1,1,"Luke Donald",60,0,NA,113,100,"3PuttAvoidance1015",2013
1,1,"Ernie Els",63,0,NA,133,100,"3PuttAvoidance1015",2013
1,1,"Derek Ernst",58,0,NA,146,100,"3PuttAvoidance1015",2013
1,1,"Jim Furyk",80,0,NA,169,100,"3PuttAvoidance1015",2013
1,1,"Sergio Garcia",65,0,NA,122,100,"3PuttAvoidance1015",2013
1,1,"Tom Gillis",69,0,NA,156,100,"3PuttAvoidance1015",2013
1,1,"Lucas Glover",65,0,NA,129,100,"3PuttAvoidance1015",2013
1,1,"Luke Guthrie",82,0,NA,168,100,"3PuttAvoidance1015",2013
1,1,"Bill Haas",85,0,NA,196,100,"3PuttAvoidance1015",2013
1,1,"Brian Harman",89,0,NA,194,100,"3PuttAvoidance1015",2013
1,1,"Padraig Harrington",52,0,NA,98,100,"3PuttAvoidance1015",2013
1,1,"JJ Henry",83,0,NA,200,100,"3PuttAvoidance1015",2013
1,1,"Brandt Jobe",62,0,NA,137,100,"3PuttAvoidance1015",2013
1,1,"Dustin Johnson",71,0,NA,144,100,"3PuttAvoidance1015",2013
1,1,"Colt Knost",69,0,NA,142,100,"3PuttAvoidance1015",2013
1,1,"Ben Kohles",75,0,NA,191,100,"3PuttAvoidance1015",2013
1,1,"Matt Kuchar",93,0,NA,180,100,"3PuttAvoidance1015",2013
1,1,"Justin Leonard",86,0,NA,184,100,"3PuttAvoidance1015",2013
1,1,"Graeme McDowell",53,0,NA,111,100,"3PuttAvoidance1015",2013
1,1,"Phil Mickelson",78,0,NA,158,100,"3PuttAvoidance1015",2013
