"ScoringAverageActual_RANKTHISWEEK_2014","ScoringAverageActual_RANKLASTWEEK_2014","ScoringAverageActual_PLAYERNAME_2014","ScoringAverageActual_ROUNDS_2014","ScoringAverageActual_AVG_2014","ScoringAverageActual_TOTALSTROKES_2014","ScoringAverageActual_TOTALROUNDS_2014","stat_name","year"
1,1,"Rory McIlroy",66,69.27,4433,64,"ScoringAverageActual",2014
2,2,"Sergio Garcia",61,69.38,4024,58,"ScoringAverageActual",2014
3,3,"Adam Scott",68,69.49,4725,68,"ScoringAverageActual",2014
4,4,"Matt Kuchar",91,69.77,6140,88,"ScoringAverageActual",2014
5,5,"Jim Furyk",84,69.79,5583,80,"ScoringAverageActual",2014
6,6,"Dustin Johnson",58,69.88,3983,57,"ScoringAverageActual",2014
7,7,"Bubba Watson",76,69.97,5108,73,"ScoringAverageActual",2014
8,8,"Jimmy Walker",98,69.98,6718,96,"ScoringAverageActual",2014
9,9,"Charles Howell III",106,70.03,7423,106,"ScoringAverageActual",2014
10,10,"Ryan Palmer",85,70.06,5955,85,"ScoringAverageActual",2014
10,10,"Charl Schwartzel",64,70.06,4344,62,"ScoringAverageActual",2014
12,12,"Kevin Na",94,70.1,6589,94,"ScoringAverageActual",2014
13,13,"Harris English",95,70.11,6450,92,"ScoringAverageActual",2014
13,13,"Jerry Kelly",80,70.11,5609,80,"ScoringAverageActual",2014
15,15,"Russell Knox",92,70.15,6454,92,"ScoringAverageActual",2014
16,16,"David Toms",64,70.16,4350,62,"ScoringAverageActual",2014
17,17,"Justin Rose",70,70.18,4772,68,"ScoringAverageActual",2014
18,18,"Jason Day",54,70.19,3369,48,"ScoringAverageActual",2014
18,18,"Graham DeLaet",80,70.19,5545,79,"ScoringAverageActual",2014
20,20,"Graeme McDowell",66,70.21,4353,62,"ScoringAverageActual",2014
21,21,"Zach Johnson",97,70.22,6741,96,"ScoringAverageActual",2014
22,22,"Brooks Koepka",56,70.23,3933,56,"ScoringAverageActual",2014
23,23,"Keegan Bradley",89,70.24,6181,88,"ScoringAverageActual",2014
24,24,"Chris Stroud",88,70.25,6182,88,"ScoringAverageActual",2014
24,24,"Brendon Todd",108,70.25,7587,108,"ScoringAverageActual",2014
26,26,"Chad Campbell",57,70.26,3724,53,"ScoringAverageActual",2014
27,27,"Bill Haas",107,70.29,7380,105,"ScoringAverageActual",2014
28,28,"John Senden",99,70.3,6960,99,"ScoringAverageActual",2014
29,29,"Ryan Moore",86,70.31,5906,84,"ScoringAverageActual",2014
30,30,"Jordan Spieth",102,70.34,6893,98,"ScoringAverageActual",2014
31,31,"Brian Harman",111,70.35,7809,111,"ScoringAverageActual",2014
32,32,"Chris Kirk",105,70.37,7318,104,"ScoringAverageActual",2014
32,32,"Brian Stuard",91,70.37,6122,87,"ScoringAverageActual",2014
34,34,"Jason Kokrak",65,70.38,4575,65,"ScoringAverageActual",2014
34,34,"George McNeill",79,70.38,5560,79,"ScoringAverageActual",2014
36,36,"Webb Simpson",87,70.4,5914,84,"ScoringAverageActual",2014
37,37,"Rickie Fowler",91,70.41,5985,85,"ScoringAverageActual",2014
38,38,"Marc Leishman",81,70.44,5635,80,"ScoringAverageActual",2014
38,38,"Hideki Matsuyama",82,70.44,5635,80,"ScoringAverageActual",2014
40,40,"Ricky Barnes",92,70.45,6200,88,"ScoringAverageActual",2014
40,40,"Kevin Chappell",100,70.45,6763,96,"ScoringAverageActual",2014
40,40,"William McGirt",96,70.45,6763,96,"ScoringAverageActual",2014
40,40,"Jeff Overton",80,70.45,5354,76,"ScoringAverageActual",2014
40,40,"Robert Streb",75,70.45,5002,71,"ScoringAverageActual",2014
40,40,"Daniel Summerhays",98,70.45,6904,98,"ScoringAverageActual",2014
46,46,"Charley Hoffman",93,70.49,6556,93,"ScoringAverageActual",2014
47,47,"Paul Casey",56,70.52,3949,56,"ScoringAverageActual",2014
47,47,"Luke Guthrie",85,70.52,5994,85,"ScoringAverageActual",2014
49,49,"Andrew Svoboda",77,70.53,5431,77,"ScoringAverageActual",2014
49,49,"Will Wilcox",51,70.53,3456,49,"ScoringAverageActual",2014
51,51,"Scott Langley",95,70.54,6560,93,"ScoringAverageActual",2014
51,51,"Gary Woodland",93,70.54,6490,92,"ScoringAverageActual",2014
53,53,"Carl Pettersson",91,70.55,6420,91,"ScoringAverageActual",2014
54,54,"Brad Fritsch",50,70.58,3388,48,"ScoringAverageActual",2014
54,54,"Camilo Villegas",95,70.58,6705,95,"ScoringAverageActual",2014
56,56,"Heath Slocum",71,70.59,4871,69,"ScoringAverageActual",2014
57,57,"Will Ma Kenzie",82,70.63,5792,82,"ScoringAverageActual",2014
58,58,"Kevin Kisner",85,70.65,6005,85,"ScoringAverageActual",2014
58,58,"Henrik Stenson",56,70.65,3815,54,"ScoringAverageActual",2014
60,60,"Stuart Appleby",92,70.66,6359,90,"ScoringAverageActual",2014
61,61,"David Hearn",97,70.68,6856,97,"ScoringAverageActual",2014
61,61,"Freddie Jacobson",91,70.68,6432,91,"ScoringAverageActual",2014
61,61,"Danny Lee",84,70.68,5654,80,"ScoringAverageActual",2014
61,61,"Seung Yul Noh",92,70.68,6503,92,"ScoringAverageActual",2014
65,65,"Scott Brown",100,70.71,7071,100,"ScoringAverageActual",2014
65,65,"Bud Cauley",56,70.71,3960,56,"ScoringAverageActual",2014
65,65,"Tim Clark",75,70.71,5303,75,"ScoringAverageActual",2014
65,65,"Billy Horschel",92,70.71,6364,90,"ScoringAverageActual",2014
65,65,"Ben Martin",80,70.71,5657,80,"ScoringAverageActual",2014
70,70,"Billy Hurley III",86,70.72,6082,86,"ScoringAverageActual",2014
70,70,"Kevin Stadler",90,70.72,6294,89,"ScoringAverageActual",2014
70,70,"Shawn Stefani",60,70.72,4243,60,"ScoringAverageActual",2014
73,73,"Robert Garrigus",80,70.73,5658,80,"ScoringAverageActual",2014
74,74,"Phil Mickelson",71,70.75,5023,71,"ScoringAverageActual",2014
75,75,"Brendan Steele",89,70.76,6015,85,"ScoringAverageActual",2014
76,76,"Justin Hicks",103,70.77,7006,99,"ScoringAverageActual",2014
76,76,"Cameron Tringale",111,70.77,7855,111,"ScoringAverageActual",2014
76,76,"Jhonattan Vegas",77,70.77,5308,75,"ScoringAverageActual",2014
76,76,"Tim Wilkinson",86,70.77,5803,82,"ScoringAverageActual",2014
80,80,"Morgan Hoffmann",103,70.79,7008,99,"ScoringAverageActual",2014
80,80,"Patrick Reed",92,70.79,6371,90,"ScoringAverageActual",2014
82,82,"Troy Merritt",62,70.82,4391,62,"ScoringAverageActual",2014
83,83,"Brice Garnett",92,70.84,6234,88,"ScoringAverageActual",2014
83,83,"Ryo Ishikawa",75,70.84,5313,75,"ScoringAverageActual",2014
85,85,"Ben Crane",81,70.86,5740,81,"ScoringAverageActual",2014
86,86,"Bo Van Pelt",83,70.87,5882,83,"ScoringAverageActual",2014
87,87,"Robert Allenby",83,70.88,5741,81,"ScoringAverageActual",2014
87,87,"Jason Bohn",81,70.88,5741,81,"ScoringAverageActual",2014
87,87,"Retief Goosen",94,70.88,6379,90,"ScoringAverageActual",2014
90,90,"Michael Putnam",106,70.9,7232,102,"ScoringAverageActual",2014
