"TotalDistanceEfficiency_RANKTHISWEEK_2010","TotalDistanceEfficiency_RANKLASTWEEK_2010","TotalDistanceEfficiency_PLAYERNAME_2010","TotalDistanceEfficiency_ROUNDS_2010","TotalDistanceEfficiency_AVG_2010","TotalDistanceEfficiency_AVERAGEDISTANCEYARDS_2010","TotalDistanceEfficiency_AVERAGECLUBHEADSPEED_2010","TotalDistanceEfficiency_TOTALATTEMPTS_2010","TotalDistanceEfficiency_HIGHESTDISTEFFICIENCY_2010","stat_name","year"
1,1,"Mark Wilson",87,2.679,286.129,106.811,71,3.25,"TotalDistanceEfficiency",2010
2,2,"David Toms",86,2.674,286.623,107.182,69,3.073,"TotalDistanceEfficiency",2010
3,3,"Aron Price",70,2.666,286.938,107.644,49,2.941,"TotalDistanceEfficiency",2010
4,4,"Jeff Maggert",76,2.66,283,106.398,60,3.07,"TotalDistanceEfficiency",2010
5,5,"Bo Van Pelt",104,2.652,304.098,114.675,79,3.454,"TotalDistanceEfficiency",2010
6,6,"Cliff Kresge",50,2.649,283.429,107.008,35,3.127,"TotalDistanceEfficiency",2010
6,6,"Heath Slocum",97,2.649,283.135,106.899,79,3.116,"TotalDistanceEfficiency",2010
8,8,"Kenny Perry",69,2.647,294.147,111.135,59,3.289,"TotalDistanceEfficiency",2010
9,9,"John Daly",63,2.638,311.722,118.18,30,2.906,"TotalDistanceEfficiency",2010
10,10,"Jerry Kelly",99,2.637,285.955,108.443,74,3.438,"TotalDistanceEfficiency",2010
10,10,"Rory McIlroy",54,2.637,307.302,116.548,42,2.986,"TotalDistanceEfficiency",2010
10,10,"John Merrick",109,2.637,295.423,112.045,87,3.124,"TotalDistanceEfficiency",2010
13,13,"JP Hayes",79,2.636,285.202,108.208,65,3.013,"TotalDistanceEfficiency",2010
13,13,"Jerod Turner",54,2.636,285.551,108.332,39,3.119,"TotalDistanceEfficiency",2010
15,15,"Zach Johnson",93,2.631,283.938,107.921,79,3.584,"TotalDistanceEfficiency",2010
15,15,"Brian Stuard",81,2.631,289.784,110.145,69,3.007,"TotalDistanceEfficiency",2010
17,17,"John Mallinger",78,2.629,280.977,106.88,50,2.999,"TotalDistanceEfficiency",2010
18,18,"Carl Pettersson",99,2.626,288.186,109.724,90,2.981,"TotalDistanceEfficiency",2010
19,19,"Steve Wheatcroft",74,2.624,288.437,109.908,47,2.977,"TotalDistanceEfficiency",2010
20,20,"Tim Clark",88,2.623,277.69,105.875,68,3.056,"TotalDistanceEfficiency",2010
20,20,"DJ Trahan",92,2.623,304.195,115.986,81,3.086,"TotalDistanceEfficiency",2010
22,22,"Billy Mayfair",78,2.62,286.825,109.479,55,2.957,"TotalDistanceEfficiency",2010
