"Last15EventsPower_RANKTHISWEEK_2009","Last15EventsPower_RANKLASTWEEK_2009","Last15EventsPower_PLAYERNAME_2009","Last15EventsPower_EVENTS_2009","Last15EventsPower_RATING_2009","stat_name","year"
1,1,"Alvaro Quiros",3,10,"Last15EventsPower",2009
2,2,"Graham DeLaet",1,9.9,"Last15EventsPower",2009
2,2,"Dustin Johnson",9,9.9,"Last15EventsPower",2009
2,2,"Luke List",1,9.9,"Last15EventsPower",2009
5,5,"Chris Baryla",1,9.8,"Last15EventsPower",2009
5,5,"Bubba Watson",6,9.8,"Last15EventsPower",2009
7,7,"Robert Garrigus",10,9.6,"Last15EventsPower",2009
8,8,"John Daly",2,9.5,"Last15EventsPower",2009
9,9,"Matt Harmon",1,9.4,"Last15EventsPower",2009
9,9,"JB Holmes",5,9.4,"Last15EventsPower",2009
9,9,"Ryo Ishikawa",1,9.4,"Last15EventsPower",2009
9,9,"Rory McIlroy",5,9.4,"Last15EventsPower",2009
13,13,"Jamie Lovemark",2,9.3,"Last15EventsPower",2009
14,14,"Phil Mickelson",9,9.2,"Last15EventsPower",2009
15,15,"Nick Watney",8,9.1,"Last15EventsPower",2009
16,16,"Robert Floyd",1,9,"Last15EventsPower",2009
16,16,"Anthony Kim",8,9,"Last15EventsPower",2009
16,16,"Garth Mulroy",1,9,"Last15EventsPower",2009
16,16,"Leif Olson",3,9,"Last15EventsPower",2009
16,16,"Louis Oosthuizen",3,9,"Last15EventsPower",2009
16,16,"Tag Ridings",7,9,"Last15EventsPower",2009
22,22,"Angel Cabrera",6,8.9,"Last15EventsPower",2009
22,22,"Harrison Frazar",11,8.9,"Last15EventsPower",2009
22,22,"Tommy Gainey",5,8.9,"Last15EventsPower",2009
22,22,"Martin Laird",9,8.9,"Last15EventsPower",2009
22,22,"Derek Lamely",1,8.9,"Last15EventsPower",2009
27,27,"Andres Romero",4,8.8,"Last15EventsPower",2009
28,28,"Daniel Chopra",10,8.7,"Last15EventsPower",2009
28,28,"Troy Matteson",9,8.7,"Last15EventsPower",2009
28,28,"Adam Scott",4,8.7,"Last15EventsPower",2009
28,28,"Kevin Streelman",12,8.7,"Last15EventsPower",2009
32,32,"Charley Hoffman",9,8.6,"Last15EventsPower",2009
32,32,"Davis Love III",8,8.6,"Last15EventsPower",2009
32,32,"Charles Warren",8,8.6,"Last15EventsPower",2009
32,32,"Gary Woodland",3,8.6,"Last15EventsPower",2009
36,36,"Fred Couples",7,8.5,"Last15EventsPower",2009
36,36,"Kyle Stanley",4,8.5,"Last15EventsPower",2009
