"Par5ScoringAverage_RANKTHISWEEK_2012","Par5ScoringAverage_RANKLASTWEEK_2012","Par5ScoringAverage_PLAYERNAME_2012","Par5ScoringAverage_ROUNDS_2012","Par5ScoringAverage_AVG_2012","Par5ScoringAverage_TOTALSTROKES_2012","Par5ScoringAverage_TOTALHOLES_2012","stat_name","year"
1,1,"Rory McIlroy",60,4.49,736,164,"Par5ScoringAverage",2012
2,2,"Bubba Watson",68,4.51,966,214,"Par5ScoringAverage",2012
3,3,"Sergio Garcia",57,4.54,781,172,"Par5ScoringAverage",2012
4,4,"Charles Howell III",98,4.55,1356,298,"Par5ScoringAverage",2012
4,4,"Kyle Stanley",86,4.55,1143,251,"Par5ScoringAverage",2012
6,6,"Keegan Bradley",90,4.56,1214,266,"Par5ScoringAverage",2012
6,6,"John Daly",50,4.56,566,124,"Par5ScoringAverage",2012
6,6,"Dustin Johnson",70,4.56,931,204,"Par5ScoringAverage",2012
6,6,"Tiger Woods",69,4.56,963,211,"Par5ScoringAverage",2012
10,10,"Robert Garrigus",89,4.57,1307,286,"Par5ScoringAverage",2012
10,10,"Adam Scott",59,4.57,822,180,"Par5ScoringAverage",2012
12,12,"Kevin Chappell",91,4.58,1241,271,"Par5ScoringAverage",2012
12,12,"Russell Knox",72,4.58,962,210,"Par5ScoringAverage",2012
12,12,"Jeff Overton",101,4.58,1433,313,"Par5ScoringAverage",2012
15,15,"Ben Crane",73,4.59,1110,242,"Par5ScoringAverage",2012
15,15,"Luke Donald",63,4.59,937,204,"Par5ScoringAverage",2012
15,15,"Phil Mickelson",79,4.59,1197,261,"Par5ScoringAverage",2012
15,15,"Brandt Snedeker",81,4.59,1130,246,"Par5ScoringAverage",2012
15,15,"Henrik Stenson",51,4.59,771,168,"Par5ScoringAverage",2012
20,20,"Zach Johnson",95,4.6,1329,289,"Par5ScoringAverage",2012
20,20,"Webb Simpson",77,4.6,1112,242,"Par5ScoringAverage",2012
22,22,"Charlie Beljan",61,4.61,797,173,"Par5ScoringAverage",2012
22,22,"Jonas Blixt",72,4.61,1061,230,"Par5ScoringAverage",2012
22,22,"Brendon de Jonge",115,4.61,1706,370,"Par5ScoringAverage",2012
22,22,"Jason Dufner",83,4.61,1170,254,"Par5ScoringAverage",2012
22,22,"Rickie Fowler",84,4.61,1221,265,"Par5ScoringAverage",2012
22,22,"Padraig Harrington",67,4.61,872,189,"Par5ScoringAverage",2012
22,22,"Sean OHair",84,4.61,1184,257,"Par5ScoringAverage",2012
22,22,"Louis Oosthuizen",65,4.61,876,190,"Par5ScoringAverage",2012
22,22,"Pat Perez",81,4.61,1216,264,"Par5ScoringAverage",2012
22,22,"Josh Teater",97,4.61,1369,297,"Par5ScoringAverage",2012
22,22,"Bo Van Pelt",84,4.61,1198,260,"Par5ScoringAverage",2012
33,33,"Will Claxton",99,4.62,1381,299,"Par5ScoringAverage",2012
33,33,"Seung Yul Noh",105,4.62,1454,315,"Par5ScoringAverage",2012
33,33,"Scott Piercy",95,4.62,1391,301,"Par5ScoringAverage",2012
33,33,"John Senden",81,4.62,1154,250,"Par5ScoringAverage",2012
33,33,"Scott Stallings",78,4.62,1142,247,"Par5ScoringAverage",2012
33,33,"Steve Stricker",73,4.62,1016,220,"Par5ScoringAverage",2012
33,33,"Jimmy Walker",101,4.62,1528,331,"Par5ScoringAverage",2012
33,33,"Nick Watney",97,4.62,1401,303,"Par5ScoringAverage",2012
41,41,"Stuart Appleby",75,4.63,1009,218,"Par5ScoringAverage",2012
41,41,"Jonathan Byrd",69,4.63,1001,216,"Par5ScoringAverage",2012
41,41,"Chris Couch",61,4.63,861,186,"Par5ScoringAverage",2012
41,41,"James Driscoll",83,4.63,1227,265,"Par5ScoringAverage",2012
41,41,"Bobby Gates",87,4.63,1228,265,"Par5ScoringAverage",2012
41,41,"Charley Hoffman",88,4.63,1310,283,"Par5ScoringAverage",2012
41,41,"Ryo Ishikawa",54,4.63,723,156,"Par5ScoringAverage",2012
41,41,"Andres Romero",68,4.63,944,204,"Par5ScoringAverage",2012
41,41,"Michael Thompson",80,4.63,1111,240,"Par5ScoringAverage",2012
41,41,"Jhonattan Vegas",77,4.63,1106,239,"Par5ScoringAverage",2012
41,41,"Camilo Villegas",79,4.63,1134,245,"Par5ScoringAverage",2012
52,52,"Roberto Castro",92,4.64,1267,273,"Par5ScoringAverage",2012
52,52,"Robert Karlsson",54,4.64,752,162,"Par5ScoringAverage",2012
52,52,"John Merrick",83,4.64,1109,239,"Par5ScoringAverage",2012
52,52,"Geoff Ogilvy",73,4.64,1137,245,"Par5ScoringAverage",2012
52,52,"Vijay Singh",99,4.64,1401,302,"Par5ScoringAverage",2012
52,52,"Gary Woodland",70,4.64,1031,222,"Par5ScoringAverage",2012
58,58,"Blake Adams",107,4.65,1548,333,"Par5ScoringAverage",2012
58,58,"Aaron Baddeley",73,4.65,1083,233,"Par5ScoringAverage",2012
58,58,"Scott Brown",65,4.65,903,194,"Par5ScoringAverage",2012
58,58,"Bud Cauley",99,4.65,1493,321,"Par5ScoringAverage",2012
