"StrokeDifferentialFieldAverage_RANKTHISWEEK_2016","StrokeDifferentialFieldAverage_RANKLASTWEEK_2016","StrokeDifferentialFieldAverage_PLAYERNAME_2016","StrokeDifferentialFieldAverage_ROUNDS_2016","StrokeDifferentialFieldAverage_STROKEDIFFERENTIAL_2016","StrokeDifferentialFieldAverage_PLAYERSSCORE_2016","StrokeDifferentialFieldAverage_FIELDAVERAGESCORE_2016","stat_name","year"
1,1,"Jordan Spieth",34,1.97,69.97,71.94,"StrokeDifferentialFieldAverage",2016
2,4,"Phil Mickelson",37,1.96,70.03,71.99,"StrokeDifferentialFieldAverage",2016
3,2,"Dustin Johnson",37,1.95,70.09,72.04,"StrokeDifferentialFieldAverage",2016
4,5,"Rickie Fowler",42,1.87,69.67,71.54,"StrokeDifferentialFieldAverage",2016
4,8,"Rory McIlroy",37,1.87,70.17,72.04,"StrokeDifferentialFieldAverage",2016
4,9,"Justin Rose",35,1.87,70.31,72.18,"StrokeDifferentialFieldAverage",2016
7,3,"Jason Day",36,1.86,70.17,72.03,"StrokeDifferentialFieldAverage",2016
8,6,"Hideki Matsuyama",40,1.77,70,71.77,"StrokeDifferentialFieldAverage",2016
9,6,"Adam Scott",39,1.72,69.72,71.44,"StrokeDifferentialFieldAverage",2016
10,11,"Bubba Watson",30,1.51,70.11,71.62,"StrokeDifferentialFieldAverage",2016
11,10,"Henrik Stenson",30,1.4,70.57,71.97,"StrokeDifferentialFieldAverage",2016
12,12,"Branden Grace",31,1.39,70.5,71.89,"StrokeDifferentialFieldAverage",2016
13,13,"Charl Schwartzel",29,1.29,70.58,71.87,"StrokeDifferentialFieldAverage",2016
14,17,"Brandt Snedeker",47,1.2,70.26,71.46,"StrokeDifferentialFieldAverage",2016
15,15,"Paul Casey",39,1.17,70.67,71.84,"StrokeDifferentialFieldAverage",2016
15,16,"Charles Howell III",63,1.17,69.84,71.01,"StrokeDifferentialFieldAverage",2016
15,18,"Patrick Reed",53,1.17,70.59,71.76,"StrokeDifferentialFieldAverage",2016
18,19,"Marc Leishman",41,1.16,69.92,71.08,"StrokeDifferentialFieldAverage",2016
19,20,"Sergio Garcia",28,1.15,70.64,71.79,"StrokeDifferentialFieldAverage",2016
19,14,"JB Holmes",39,1.15,71.06,72.21,"StrokeDifferentialFieldAverage",2016
21,22,"Kevin Na",52,1.1,70.1,71.2,"StrokeDifferentialFieldAverage",2016
22,24,"Patton Kizzire",57,1.08,70.21,71.29,"StrokeDifferentialFieldAverage",2016
22,23,"Jimmy Walker",43,1.08,70.6,71.68,"StrokeDifferentialFieldAverage",2016
24,20,"Bill Haas",42,1.06,70.68,71.74,"StrokeDifferentialFieldAverage",2016
25,25,"Matthew Fitzpatrick",23,1.04,71.2,72.24,"StrokeDifferentialFieldAverage",2016
26,27,"Russell Knox",48,1,70.2,71.2,"StrokeDifferentialFieldAverage",2016
27,30,"William McGirt",54,0.99,70.17,71.16,"StrokeDifferentialFieldAverage",2016
28,28,"Brooks Koepka",39,0.98,70.76,71.74,"StrokeDifferentialFieldAverage",2016
28,25,"Jamie Lovemark",57,0.98,70.16,71.14,"StrokeDifferentialFieldAverage",2016
30,29,"Matt Kuchar",46,0.97,70.36,71.33,"StrokeDifferentialFieldAverage",2016
31,31,"Charley Hoffman",49,0.91,71.04,71.95,"StrokeDifferentialFieldAverage",2016
32,37,"Daniel Berger",52,0.9,70.63,71.53,"StrokeDifferentialFieldAverage",2016
32,40,"Lucas Glover",53,0.9,70.25,71.15,"StrokeDifferentialFieldAverage",2016
34,33,"Billy Horschel",45,0.89,71.12,72.01,"StrokeDifferentialFieldAverage",2016
35,34,"Aaron Baddeley",51,0.88,70.49,71.37,"StrokeDifferentialFieldAverage",2016
36,36,"Smylie Kaufman",57,0.85,70.41,71.26,"StrokeDifferentialFieldAverage",2016
37,44,"Brendan Steele",48,0.82,70.56,71.38,"StrokeDifferentialFieldAverage",2016
38,35,"Kevin Kisner",49,0.81,70.26,71.07,"StrokeDifferentialFieldAverage",2016
39,31,"Jason Bohn",37,0.8,70.24,71.04,"StrokeDifferentialFieldAverage",2016
39,38,"Kevin Chappell",49,0.8,70.43,71.23,"StrokeDifferentialFieldAverage",2016
41,40,"Ryan Palmer",46,0.79,70.46,71.25,"StrokeDifferentialFieldAverage",2016
42,63,"Roberto Castro",55,0.74,70.35,71.09,"StrokeDifferentialFieldAverage",2016
43,47,"Freddie Jacobson",54,0.71,70.57,71.28,"StrokeDifferentialFieldAverage",2016
44,49,"Louis Oosthuizen",25,0.7,71.78,72.48,"StrokeDifferentialFieldAverage",2016
44,55,"Gary Woodland",45,0.7,70.64,71.34,"StrokeDifferentialFieldAverage",2016
46,44,"Alex Cejka",47,0.69,70.09,70.78,"StrokeDifferentialFieldAverage",2016
46,50,"Chez Reavie",56,0.69,70.29,70.98,"StrokeDifferentialFieldAverage",2016
46,44,"Jhonattan Vegas",49,0.69,70.65,71.34,"StrokeDifferentialFieldAverage",2016
49,53,"Bernd Wiesberger",23,0.67,71.6,72.27,"StrokeDifferentialFieldAverage",2016
50,54,"Sean OHair",45,0.65,70.42,71.07,"StrokeDifferentialFieldAverage",2016
51,55,"Jason Dufner",53,0.64,70.36,71,"StrokeDifferentialFieldAverage",2016
52,52,"Luke List",51,0.63,70.75,71.38,"StrokeDifferentialFieldAverage",2016
52,39,"David Toms",38,0.63,71.03,71.66,"StrokeDifferentialFieldAverage",2016
54,42,"Graham DeLaet",50,0.62,70.82,71.44,"StrokeDifferentialFieldAverage",2016
55,61,"Tony Finau",49,0.61,70.69,71.3,"StrokeDifferentialFieldAverage",2016
55,65,"Daniel Summerhays",55,0.61,70.51,71.12,"StrokeDifferentialFieldAverage",2016
57,60,"Russell Henley",42,0.58,70.52,71.1,"StrokeDifferentialFieldAverage",2016
58,50,"Luke Donald",49,0.57,70.69,71.26,"StrokeDifferentialFieldAverage",2016
58,55,"Ryan Moore",40,0.57,70.77,71.34,"StrokeDifferentialFieldAverage",2016
60,43,"Byeong Hun An",23,0.55,71.42,71.97,"StrokeDifferentialFieldAverage",2016
61,58,"Jason Kokrak",52,0.54,70.92,71.46,"StrokeDifferentialFieldAverage",2016
62,76,"Harris English",51,0.53,70.96,71.49,"StrokeDifferentialFieldAverage",2016
62,61,"Kevin Streelman",46,0.53,71.09,71.62,"StrokeDifferentialFieldAverage",2016
64,47,"Jamie Donaldson",28,0.52,71.72,72.24,"StrokeDifferentialFieldAverage",2016
64,65,"Colt Knost",56,0.52,70.82,71.34,"StrokeDifferentialFieldAverage",2016
64,65,"Steve Stricker",25,0.52,70.32,70.84,"StrokeDifferentialFieldAverage",2016
64,59,"Justin Thomas",53,0.52,70.82,71.34,"StrokeDifferentialFieldAverage",2016
64,85,"Tim Wilkinson",40,0.52,70.35,70.87,"StrokeDifferentialFieldAverage",2016
69,68,"KJ Choi",47,0.51,70.74,71.25,"StrokeDifferentialFieldAverage",2016
69,83,"Danny Lee",53,0.51,71.14,71.65,"StrokeDifferentialFieldAverage",2016
71,86,"Retief Goosen",37,0.5,71.24,71.74,"StrokeDifferentialFieldAverage",2016
71,89,"Andrew Loupe",50,0.5,71.02,71.52,"StrokeDifferentialFieldAverage",2016
71,69,"Scott Piercy",45,0.5,70.79,71.29,"StrokeDifferentialFieldAverage",2016
74,73,"Zach Johnson",42,0.49,70.66,71.15,"StrokeDifferentialFieldAverage",2016
75,64,"Si Woo Kim",63,0.48,70.73,71.21,"StrokeDifferentialFieldAverage",2016
76,83,"John Senden",48,0.47,70.85,71.32,"StrokeDifferentialFieldAverage",2016
77,69,"Adam Hadwin",53,0.46,70.81,71.27,"StrokeDifferentialFieldAverage",2016
78,76,"John Huh",51,0.45,70.61,71.06,"StrokeDifferentialFieldAverage",2016
78,88,"Francesco Molinari",36,0.45,70.94,71.39,"StrokeDifferentialFieldAverage",2016
78,69,"Patrick Rodgers",49,0.45,70.69,71.14,"StrokeDifferentialFieldAverage",2016
81,82,"Johnson Wagner",44,0.43,70.73,71.16,"StrokeDifferentialFieldAverage",2016
82,69,"Spencer Levin",62,0.4,70.63,71.03,"StrokeDifferentialFieldAverage",2016
82,79,"Graeme McDowell",33,0.4,70.77,71.17,"StrokeDifferentialFieldAverage",2016
84,80,"Bryce Molder",50,0.39,70.96,71.35,"StrokeDifferentialFieldAverage",2016
85,105,"Fabian Gomez",49,0.38,70.83,71.21,"StrokeDifferentialFieldAverage",2016
85,78,"Martin Laird",46,0.38,71.02,71.4,"StrokeDifferentialFieldAverage",2016
87,89,"Vaughn Taylor",30,0.36,71.63,71.99,"StrokeDifferentialFieldAverage",2016
87,73,"Will Wilcox",47,0.36,70.87,71.23,"StrokeDifferentialFieldAverage",2016
89,92,"Cameron Tringale",47,0.31,70.98,71.29,"StrokeDifferentialFieldAverage",2016
90,92,"Kyle Reifers",63,0.3,70.92,71.22,"StrokeDifferentialFieldAverage",2016
91,102,"Harold Varner III",58,0.29,70.9,71.19,"StrokeDifferentialFieldAverage",2016
92,80,"Chad Campbell",54,0.28,70.76,71.04,"StrokeDifferentialFieldAverage",2016
92,89,"Emiliano Grillo",47,0.28,71.11,71.39,"StrokeDifferentialFieldAverage",2016
92,75,"Brian Stuard",24,0.28,71,71.28,"StrokeDifferentialFieldAverage",2016
95,87,"Jim Herman",55,0.26,71.02,71.28,"StrokeDifferentialFieldAverage",2016
96,99,"Ricky Barnes",57,0.24,70.72,70.96,"StrokeDifferentialFieldAverage",2016
96,103,"Anirban Lahiri",44,0.24,71.32,71.56,"StrokeDifferentialFieldAverage",2016
98,96,"Sung Kang",51,0.23,70.98,71.21,"StrokeDifferentialFieldAverage",2016
99,96,"Nick Taylor",57,0.22,70.84,71.06,"StrokeDifferentialFieldAverage",2016
100,96,"Scott Brown",59,0.21,71.14,71.35,"StrokeDifferentialFieldAverage",2016
101,101,"Bronson Burgoon",53,0.2,71.13,71.33,"StrokeDifferentialFieldAverage",2016
102,107,"Stewart Cink",45,0.19,70.58,70.77,"StrokeDifferentialFieldAverage",2016
102,103,"David Hearn",55,0.19,70.75,70.94,"StrokeDifferentialFieldAverage",2016
102,116,"David Lingmerth",54,0.19,70.88,71.07,"StrokeDifferentialFieldAverage",2016
102,99,"Shane Lowry",35,0.19,72.13,72.32,"StrokeDifferentialFieldAverage",2016
106,110,"Mark Hubbard",73,0.18,70.92,71.1,"StrokeDifferentialFieldAverage",2016
106,105,"Ben Martin",48,0.18,70.75,70.93,"StrokeDifferentialFieldAverage",2016
106,92,"Webb Simpson",34,0.18,71.12,71.3,"StrokeDifferentialFieldAverage",2016
109,92,"Padraig Harrington",38,0.14,70.89,71.03,"StrokeDifferentialFieldAverage",2016
110,113,"Jerry Kelly",44,0.13,70.91,71.04,"StrokeDifferentialFieldAverage",2016
111,115,"Scott Stallings",46,0.12,71.2,71.32,"StrokeDifferentialFieldAverage",2016
111,112,"Kyle Stanley",57,0.12,71.19,71.31,"StrokeDifferentialFieldAverage",2016
113,108,"Jonas Blixt",46,0.11,71.24,71.35,"StrokeDifferentialFieldAverage",2016
114,121,"Camilo Villegas",50,0.1,71.14,71.24,"StrokeDifferentialFieldAverage",2016
115,109,"Ben Crane",48,0.09,71.23,71.32,"StrokeDifferentialFieldAverage",2016
116,114,"Peter Malnati",53,0.06,70.89,70.95,"StrokeDifferentialFieldAverage",2016
117,122,"Jason Gore",51,0.04,71.12,71.16,"StrokeDifferentialFieldAverage",2016
117,117,"Chris Kirk",51,0.04,71.17,71.21,"StrokeDifferentialFieldAverage",2016
117,117,"Seung Yul Noh",54,0.04,70.96,71,"StrokeDifferentialFieldAverage",2016
120,128,"Chris Stroud",52,0.03,71.25,71.28,"StrokeDifferentialFieldAverage",2016
120,120,"Hudson Swafford",52,0.03,71,71.03,"StrokeDifferentialFieldAverage",2016
122,125,"Brian Harman",60,0.02,71.13,71.15,"StrokeDifferentialFieldAverage",2016
123,122,"Stuart Appleby",39,-0.02,71.18,71.16,"StrokeDifferentialFieldAverage",2016
124,125,"Keegan Bradley",40,-0.03,71.4,71.37,"StrokeDifferentialFieldAverage",2016
125,110,"Derek Fathauer",58,-0.04,71.33,71.29,"StrokeDifferentialFieldAverage",2016
125,161,"James Hahn",45,-0.04,71.38,71.34,"StrokeDifferentialFieldAverage",2016
125,117,"Henrik Norlander",41,-0.04,71.27,71.23,"StrokeDifferentialFieldAverage",2016
128,132,"Tom Hoge",47,-0.05,71.15,71.1,"StrokeDifferentialFieldAverage",2016
128,122,"Brett Stegmaier",57,-0.05,71.12,71.07,"StrokeDifferentialFieldAverage",2016
128,138,"Dawie van der Walt",48,-0.05,71.15,71.1,"StrokeDifferentialFieldAverage",2016
131,140,"Robert Streb",51,-0.06,71.56,71.5,"StrokeDifferentialFieldAverage",2016
132,130,"Brice Garnett",29,-0.08,71.03,70.95,"StrokeDifferentialFieldAverage",2016
132,130,"Justin Leonard",28,-0.08,71.36,71.28,"StrokeDifferentialFieldAverage",2016
134,132,"Thomas Aiken",42,-0.1,71.1,71,"StrokeDifferentialFieldAverage",2016
134,132,"Ian Poulter",37,-0.1,72.22,72.12,"StrokeDifferentialFieldAverage",2016
136,129,"Matt Jones",45,-0.12,71.62,71.5,"StrokeDifferentialFieldAverage",2016
136,135,"Jeff Overton",51,-0.12,70.96,70.84,"StrokeDifferentialFieldAverage",2016
138,146,"Boo Weekley",53,-0.13,71.3,71.17,"StrokeDifferentialFieldAverage",2016
139,137,"Michael Kim",62,-0.15,71.42,71.27,"StrokeDifferentialFieldAverage",2016
140,140,"Jon Curran",55,-0.16,71.11,70.95,"StrokeDifferentialFieldAverage",2016
140,140,"Cameron Percy",22,-0.16,71.32,71.16,"StrokeDifferentialFieldAverage",2016
140,140,"Tyrone Van Aswegen",67,-0.16,71.37,71.21,"StrokeDifferentialFieldAverage",2016
143,144,"Shane Bertsch",30,-0.17,70.9,70.73,"StrokeDifferentialFieldAverage",2016
143,148,"Hunter Mahan",43,-0.17,72.26,72.09,"StrokeDifferentialFieldAverage",2016
145,165,"Chesson Hadley",51,-0.21,71.71,71.5,"StrokeDifferentialFieldAverage",2016
145,125,"Michael Thompson",46,-0.21,71.24,71.03,"StrokeDifferentialFieldAverage",2016
147,135,"Tyler Aldridge",53,-0.22,71.34,71.12,"StrokeDifferentialFieldAverage",2016
147,138,"Kelly Kraft",35,-0.22,71.57,71.35,"StrokeDifferentialFieldAverage",2016
149,163,"Scott Langley",41,-0.23,71.44,71.21,"StrokeDifferentialFieldAverage",2016
150,146,"Zac Blair",56,-0.24,71.23,70.99,"StrokeDifferentialFieldAverage",2016
151,145,"Rob Oppenheim",37,-0.25,71.65,71.4,"StrokeDifferentialFieldAverage",2016
151,150,"Andres Romero",22,-0.25,71.45,71.2,"StrokeDifferentialFieldAverage",2016
153,153,"Andy Sullivan",25,-0.26,72.05,71.79,"StrokeDifferentialFieldAverage",2016
154,150,"Blayne Barber",44,-0.29,71.43,71.14,"StrokeDifferentialFieldAverage",2016
154,154,"Scott Pinckney",53,-0.29,71.34,71.05,"StrokeDifferentialFieldAverage",2016
156,150,"Vijay Singh",42,-0.32,71.71,71.39,"StrokeDifferentialFieldAverage",2016
157,168,"Martin Piller",37,-0.33,71.7,71.37,"StrokeDifferentialFieldAverage",2016
157,156,"DJ Trahan",23,-0.33,71.39,71.06,"StrokeDifferentialFieldAverage",2016
159,157,"Greg Owen",56,-0.34,71.45,71.11,"StrokeDifferentialFieldAverage",2016
159,154,"Cameron Smith",45,-0.34,71.78,71.44,"StrokeDifferentialFieldAverage",2016
161,157,"Will Ma Kenzie",54,-0.35,71.63,71.28,"StrokeDifferentialFieldAverage",2016
161,160,"Troy Merritt",41,-0.35,71.46,71.11,"StrokeDifferentialFieldAverage",2016
163,149,"Morgan Hoffmann",43,-0.36,71.4,71.04,"StrokeDifferentialFieldAverage",2016
