"TenthTeeEarlyPar4ScoringAverage_RANKTHISWEEK_2006","TenthTeeEarlyPar4ScoringAverage_RANKLASTWEEK_2006","TenthTeeEarlyPar4ScoringAverage_PLAYERNAME_2006","TenthTeeEarlyPar4ScoringAverage_ROUNDS_2006","TenthTeeEarlyPar4ScoringAverage_AVG_2006","TenthTeeEarlyPar4ScoringAverage_TOTALSTROKES_2006","TenthTeeEarlyPar4ScoringAverage_TOTALHOLES_2006","stat_name","year"
1,1,"Jim Furyk",89,3.85,531,138,"TenthTeeEarlyPar4ScoringAverage",2006
2,2,"Tiger Woods",55,3.89,455,117,"TenthTeeEarlyPar4ScoringAverage",2006
3,3,"Robert Allenby",79,3.9,448,115,"TenthTeeEarlyPar4ScoringAverage",2006
3,3,"Lucas Glover",105,3.9,530,136,"TenthTeeEarlyPar4ScoringAverage",2006
5,5,"John Senden",96,3.91,700,179,"TenthTeeEarlyPar4ScoringAverage",2006
6,6,"Brian Gay",107,3.92,949,242,"TenthTeeEarlyPar4ScoringAverage",2006
6,6,"Adam Scott",70,3.92,459,117,"TenthTeeEarlyPar4ScoringAverage",2006
6,6,"Steve Stricker",64,3.92,658,168,"TenthTeeEarlyPar4ScoringAverage",2006
6,6,"Mike Weir",88,3.92,443,113,"TenthTeeEarlyPar4ScoringAverage",2006
10,10,"Vance Veazey",59,3.93,523,133,"TenthTeeEarlyPar4ScoringAverage",2006
11,11,"Daniel Chopra",110,3.94,867,220,"TenthTeeEarlyPar4ScoringAverage",2006
11,11,"Ryuji Imada",105,3.94,816,207,"TenthTeeEarlyPar4ScoringAverage",2006
11,11,"Vijay Singh",103,3.94,917,233,"TenthTeeEarlyPar4ScoringAverage",2006
14,14,"Billy Andrade",78,3.95,423,107,"TenthTeeEarlyPar4ScoringAverage",2006
14,14,"David Branshaw",98,3.95,735,186,"TenthTeeEarlyPar4ScoringAverage",2006
14,14,"Dudley Hart",83,3.95,667,169,"TenthTeeEarlyPar4ScoringAverage",2006
14,14,"Will Ma Kenzie",91,3.95,829,210,"TenthTeeEarlyPar4ScoringAverage",2006
14,14,"Phil Mickelson",74,3.95,498,126,"TenthTeeEarlyPar4ScoringAverage",2006
14,14,"Justin Rose",98,3.95,763,193,"TenthTeeEarlyPar4ScoringAverage",2006
20,20,"Jason Bohn",104,3.96,598,151,"TenthTeeEarlyPar4ScoringAverage",2006
20,20,"Steve Elkington",52,3.96,542,137,"TenthTeeEarlyPar4ScoringAverage",2006
22,22,"Briny Baird",81,3.97,635,160,"TenthTeeEarlyPar4ScoringAverage",2006
22,22,"Stewart Cink",93,3.97,575,145,"TenthTeeEarlyPar4ScoringAverage",2006
22,22,"Steve Flesch",119,3.97,1095,276,"TenthTeeEarlyPar4ScoringAverage",2006
22,22,"JB Holmes",81,3.97,620,156,"TenthTeeEarlyPar4ScoringAverage",2006
22,22,"Kent Jones",103,3.97,671,169,"TenthTeeEarlyPar4ScoringAverage",2006
22,22,"Kevin Sutherland",100,3.97,751,189,"TenthTeeEarlyPar4ScoringAverage",2006
22,22,"Nick Watney",97,3.97,814,205,"TenthTeeEarlyPar4ScoringAverage",2006
22,22,"Mark Wilson",79,3.97,711,179,"TenthTeeEarlyPar4ScoringAverage",2006
30,30,"KJ Choi",93,3.98,330,83,"TenthTeeEarlyPar4ScoringAverage",2006
30,30,"David McKenzie",82,3.98,661,166,"TenthTeeEarlyPar4ScoringAverage",2006
30,30,"Shaun Micheel",96,3.98,815,205,"TenthTeeEarlyPar4ScoringAverage",2006
30,30,"Mark OMeara",52,3.98,354,89,"TenthTeeEarlyPar4ScoringAverage",2006
30,30,"Jesper Parnevik",84,3.98,664,167,"TenthTeeEarlyPar4ScoringAverage",2006
30,30,"Brett Quigley",109,3.98,760,191,"TenthTeeEarlyPar4ScoringAverage",2006
30,30,"Vaughn Taylor",88,3.98,505,127,"TenthTeeEarlyPar4ScoringAverage",2006
37,37,"Jonathan Byrd",66,3.99,566,142,"TenthTeeEarlyPar4ScoringAverage",2006
37,37,"Ben Crane",85,3.99,451,113,"TenthTeeEarlyPar4ScoringAverage",2006
37,37,"Luke Donald",66,3.99,579,145,"TenthTeeEarlyPar4ScoringAverage",2006
37,37,"Ernie Els",69,3.99,495,124,"TenthTeeEarlyPar4ScoringAverage",2006
37,37,"Todd Fischer",101,3.99,735,184,"TenthTeeEarlyPar4ScoringAverage",2006
37,37,"Harrison Frazar",95,3.99,787,197,"TenthTeeEarlyPar4ScoringAverage",2006
37,37,"Sergio Garcia",59,3.99,331,83,"TenthTeeEarlyPar4ScoringAverage",2006
37,37,"Robert Garrigus",85,3.99,723,181,"TenthTeeEarlyPar4ScoringAverage",2006
37,37,"David Howell",52,3.99,303,76,"TenthTeeEarlyPar4ScoringAverage",2006
