"FirstTeeLateRound1ScoringAverage_RANKTHISWEEK_2010","FirstTeeLateRound1ScoringAverage_RANKLASTWEEK_2010","FirstTeeLateRound1ScoringAverage_PLAYERNAME_2010","FirstTeeLateRound1ScoringAverage__2010","FirstTeeLateRound1ScoringAverage_AVG_2010","FirstTeeLateRound1ScoringAverage_TOTALSTROKES_2010","FirstTeeLateRound1ScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Bill Haas",NA,67,67,1,"FirstTeeLateRound1ScoringAverage",2010
2,2,"Michael Letzig",NA,67.5,135,2,"FirstTeeLateRound1ScoringAverage",2010
3,3,"Matt Bettencourt",NA,68.67,206,3,"FirstTeeLateRound1ScoringAverage",2010
4,4,"Kris Blanks",NA,68.71,481,7,"FirstTeeLateRound1ScoringAverage",2010
5,5,"Ricky Barnes",NA,68.75,275,4,"FirstTeeLateRound1ScoringAverage",2010
5,5,"Chad Collins",NA,68.75,275,4,"FirstTeeLateRound1ScoringAverage",2010
5,5,"Tom Gillis",NA,68.75,275,4,"FirstTeeLateRound1ScoringAverage",2010
5,5,"Boo Weekley",NA,68.75,275,4,"FirstTeeLateRound1ScoringAverage",2010
9,9,"Luke Donald",NA,68.8,344,5,"FirstTeeLateRound1ScoringAverage",2010
10,10,"Chris DiMarco",NA,69,276,4,"FirstTeeLateRound1ScoringAverage",2010
10,10,"Freddie Jacobson",NA,69,483,7,"FirstTeeLateRound1ScoringAverage",2010
10,10,"Steve Lowery",NA,69,345,5,"FirstTeeLateRound1ScoringAverage",2010
13,13,"Aron Price",NA,69.13,553,8,"FirstTeeLateRound1ScoringAverage",2010
13,13,"David Toms",NA,69.13,553,8,"FirstTeeLateRound1ScoringAverage",2010
15,15,"Steve Elkington",NA,69.17,415,6,"FirstTeeLateRound1ScoringAverage",2010
15,15,"Geoff Ogilvy",NA,69.17,415,6,"FirstTeeLateRound1ScoringAverage",2010
17,17,"Charlie Wi",NA,69.22,623,9,"FirstTeeLateRound1ScoringAverage",2010
18,18,"Davis Love III",NA,69.25,554,8,"FirstTeeLateRound1ScoringAverage",2010
19,19,"Matt Every",NA,69.33,208,3,"FirstTeeLateRound1ScoringAverage",2010
19,19,"Carl Pettersson",NA,69.33,416,6,"FirstTeeLateRound1ScoringAverage",2010
19,19,"Scott Verplank",NA,69.33,208,3,"FirstTeeLateRound1ScoringAverage",2010
22,22,"Tim Herron",NA,69.4,347,5,"FirstTeeLateRound1ScoringAverage",2010
22,22,"Lee Janzen",NA,69.4,347,5,"FirstTeeLateRound1ScoringAverage",2010
24,24,"Ryan Moore",NA,69.43,486,7,"FirstTeeLateRound1ScoringAverage",2010
25,25,"Kevin Na",NA,69.5,556,8,"FirstTeeLateRound1ScoringAverage",2010
26,26,"KJ Choi",NA,69.67,418,6,"FirstTeeLateRound1ScoringAverage",2010
26,26,"Pat Perez",NA,69.67,418,6,"FirstTeeLateRound1ScoringAverage",2010
26,26,"Brandt Snedeker",NA,69.67,418,6,"FirstTeeLateRound1ScoringAverage",2010
29,29,"John Mallinger",NA,69.71,488,7,"FirstTeeLateRound1ScoringAverage",2010
30,30,"Dean Wilson",NA,69.75,279,4,"FirstTeeLateRound1ScoringAverage",2010
31,31,"Aaron Baddeley",NA,69.78,628,9,"FirstTeeLateRound1ScoringAverage",2010
32,32,"Jonathan Byrd",NA,69.8,349,5,"FirstTeeLateRound1ScoringAverage",2010
33,33,"Nick Watney",NA,69.83,419,6,"FirstTeeLateRound1ScoringAverage",2010
34,34,"Scott McCarron",NA,69.88,559,8,"FirstTeeLateRound1ScoringAverage",2010
35,35,"Spencer Levin",NA,69.89,629,9,"FirstTeeLateRound1ScoringAverage",2010
36,36,"Stephen Ames",NA,70,280,4,"FirstTeeLateRound1ScoringAverage",2010
36,36,"Angel Cabrera",NA,70,420,6,"FirstTeeLateRound1ScoringAverage",2010
36,36,"Paul Casey",NA,70,420,6,"FirstTeeLateRound1ScoringAverage",2010
36,36,"John Daly",NA,70,560,8,"FirstTeeLateRound1ScoringAverage",2010
36,36,"Dustin Johnson",NA,70,700,10,"FirstTeeLateRound1ScoringAverage",2010
36,36,"Matt Kuchar",NA,70,280,4,"FirstTeeLateRound1ScoringAverage",2010
36,36,"Hunter Mahan",NA,70,490,7,"FirstTeeLateRound1ScoringAverage",2010
36,36,"Bryce Molder",NA,70,490,7,"FirstTeeLateRound1ScoringAverage",2010
36,36,"Tom Pernice Jr",NA,70,140,2,"FirstTeeLateRound1ScoringAverage",2010
36,36,"Chris Riley",NA,70,350,5,"FirstTeeLateRound1ScoringAverage",2010
