"LateRound1ScoringAverage_RANKTHISWEEK_2005","LateRound1ScoringAverage_RANKLASTWEEK_2005","LateRound1ScoringAverage_PLAYERNAME_2005","LateRound1ScoringAverage__2005","LateRound1ScoringAverage_AVG_2005","LateRound1ScoringAverage_TOTALSTROKES_2005","LateRound1ScoringAverage_TOTALROUNDS_2005","stat_name","year"
1,1,"Arjun Atwal",NA,68.43,479,7,"LateRound1ScoringAverage",2005
2,2,"Retief Goosen",NA,68.63,549,8,"LateRound1ScoringAverage",2005
3,3,"Luke Donald",NA,68.71,481,7,"LateRound1ScoringAverage",2005
4,4,"Sean OHair",NA,69.23,900,13,"LateRound1ScoringAverage",2005
5,5,"Jeff Brehaut",NA,69.31,901,13,"LateRound1ScoringAverage",2005
6,6,"Tiger Woods",NA,69.33,416,6,"LateRound1ScoringAverage",2005
7,7,"Vijay Singh",NA,69.37,1318,19,"LateRound1ScoringAverage",2005
8,8,"Lucas Glover",NA,69.42,833,12,"LateRound1ScoringAverage",2005
9,9,"Bob Tway",NA,69.45,764,11,"LateRound1ScoringAverage",2005
10,10,"Sergio Garcia",NA,69.46,903,13,"LateRound1ScoringAverage",2005
11,11,"Jeff Maggert",NA,69.58,835,12,"LateRound1ScoringAverage",2005
12,12,"Richard Johnson",NA,69.63,557,8,"LateRound1ScoringAverage",2005
13,13,"Jesper Parnevik",NA,69.67,627,9,"LateRound1ScoringAverage",2005
14,14,"Brandt Jobe",NA,69.71,976,14,"LateRound1ScoringAverage",2005
15,15,"Brent Geiberger",NA,69.78,628,9,"LateRound1ScoringAverage",2005
16,16,"Marco Dawson",NA,69.82,768,11,"LateRound1ScoringAverage",2005
16,16,"Dudley Hart",NA,69.82,768,11,"LateRound1ScoringAverage",2005
18,18,"Dean Wilson",NA,69.83,838,12,"LateRound1ScoringAverage",2005
19,19,"Rod Pampling",NA,69.89,629,9,"LateRound1ScoringAverage",2005
20,20,"Jim Furyk",NA,69.93,979,14,"LateRound1ScoringAverage",2005
21,21,"Tom Pernice Jr",NA,70.12,1192,17,"LateRound1ScoringAverage",2005
22,22,"Omar Uresti",NA,70.13,1052,15,"LateRound1ScoringAverage",2005
23,23,"Kirk Triplett",NA,70.14,491,7,"LateRound1ScoringAverage",2005
24,24,"James Driscoll",NA,70.18,772,11,"LateRound1ScoringAverage",2005
25,25,"Todd Hamilton",NA,70.21,983,14,"LateRound1ScoringAverage",2005
