"DrivingDistanceAllDrives_RANKTHISWEEK_2009","DrivingDistanceAllDrives_RANKLASTWEEK_2009","DrivingDistanceAllDrives_PLAYERNAME_2009","DrivingDistanceAllDrives_ROUNDS_2009","DrivingDistanceAllDrives_ALLDRIVES_2009","DrivingDistanceAllDrives_TOTALDISTANCE_2009","DrivingDistanceAllDrives_OFDRIVES_2009","stat_name","year"
1,1,"Dustin Johnson",85,301.7,270931,898,"DrivingDistanceAllDrives",2009
2,2,"JB Holmes",74,298.6,255641,856,"DrivingDistanceAllDrives",2009
3,3,"Andres Romero",58,297.7,180397,606,"DrivingDistanceAllDrives",2009
4,4,"Anthony Kim",76,297.2,250833,844,"DrivingDistanceAllDrives",2009
5,5,"Phil Mickelson",66,296.8,199474,672,"DrivingDistanceAllDrives",2009
6,6,"Bubba Watson",73,295.7,234793,794,"DrivingDistanceAllDrives",2009
7,7,"Nick Watney",86,295.4,279455,946,"DrivingDistanceAllDrives",2009
8,8,"Tag Ridings",50,294.5,167867,570,"DrivingDistanceAllDrives",2009
9,9,"Robert Garrigus",83,294.2,295051,1003,"DrivingDistanceAllDrives",2009
10,10,"Gary Woodland",53,293.9,151370,515,"DrivingDistanceAllDrives",2009
11,11,"Angel Cabrera",55,293.8,156299,532,"DrivingDistanceAllDrives",2009
12,12,"Charley Hoffman",97,291.3,353095,1212,"DrivingDistanceAllDrives",2009
13,13,"Martin Laird",72,290.8,251820,866,"DrivingDistanceAllDrives",2009
13,13,"Sean OHair",80,290.8,236679,814,"DrivingDistanceAllDrives",2009
15,15,"Vijay Singh",71,290.1,208307,718,"DrivingDistanceAllDrives",2009
16,16,"Daniel Chopra",89,290,337876,1165,"DrivingDistanceAllDrives",2009
17,17,"Harrison Frazar",93,289.9,338874,1169,"DrivingDistanceAllDrives",2009
18,18,"Troy Matteson",95,289.8,354743,1224,"DrivingDistanceAllDrives",2009
18,18,"Charles Warren",63,289.8,214437,740,"DrivingDistanceAllDrives",2009
20,20,"Hunter Mahan",94,289.7,304181,1050,"DrivingDistanceAllDrives",2009
21,21,"Fred Couples",54,288.8,169212,586,"DrivingDistanceAllDrives",2009
21,21,"Davis Love III",89,288.8,312518,1082,"DrivingDistanceAllDrives",2009
21,21,"Geoff Ogilvy",78,288.8,235622,816,"DrivingDistanceAllDrives",2009
24,24,"Jason Day",61,288.5,201405,698,"DrivingDistanceAllDrives",2009
25,25,"Marc Leishman",91,288.4,337978,1172,"DrivingDistanceAllDrives",2009
26,26,"Scott Piercy",85,288.2,304874,1058,"DrivingDistanceAllDrives",2009
27,27,"Camilo Villegas",76,288,226951,788,"DrivingDistanceAllDrives",2009
28,28,"John Rollins",92,287.7,316809,1101,"DrivingDistanceAllDrives",2009
29,29,"Sergio Garcia",59,287.5,177087,616,"DrivingDistanceAllDrives",2009
29,29,"Rory Sabbatini",81,287.5,268513,934,"DrivingDistanceAllDrives",2009
31,31,"Steve Marino",98,287.3,336731,1172,"DrivingDistanceAllDrives",2009
31,31,"Kevin Streelman",97,287.3,348170,1212,"DrivingDistanceAllDrives",2009
33,33,"Jeff Overton",92,286.9,304090,1060,"DrivingDistanceAllDrives",2009
34,34,"Lucas Glover",93,286.8,316020,1102,"DrivingDistanceAllDrives",2009
34,34,"Kenny Perry",92,286.8,293123,1022,"DrivingDistanceAllDrives",2009
34,34,"Tiger Woods",64,286.8,192760,672,"DrivingDistanceAllDrives",2009
37,37,"Ryan Palmer",78,286.7,280966,980,"DrivingDistanceAllDrives",2009
37,37,"Nicholas Thompson",96,286.7,346959,1210,"DrivingDistanceAllDrives",2009
39,39,"Jonathan Byrd",89,286.6,315583,1101,"DrivingDistanceAllDrives",2009
39,39,"Stewart Cink",79,286.6,237900,830,"DrivingDistanceAllDrives",2009
41,41,"Ted Purdy",101,286.4,356279,1244,"DrivingDistanceAllDrives",2009
42,42,"Matt Bettencourt",98,286.3,346651,1211,"DrivingDistanceAllDrives",2009
43,43,"Retief Goosen",74,286.2,223251,780,"DrivingDistanceAllDrives",2009
44,44,"Matt Jones",56,286.1,179085,626,"DrivingDistanceAllDrives",2009
44,44,"Leif Olson",51,286.1,171397,599,"DrivingDistanceAllDrives",2009
46,46,"Charles Howell III",99,285.9,331124,1158,"DrivingDistanceAllDrives",2009
47,47,"Bill Haas",91,285.7,325688,1140,"DrivingDistanceAllDrives",2009
48,48,"Adam Scott",53,285.5,168417,590,"DrivingDistanceAllDrives",2009
