"FirstTeeEarlyPar5ScoringAverage_RANKTHISWEEK_2008","FirstTeeEarlyPar5ScoringAverage_RANKLASTWEEK_2008","FirstTeeEarlyPar5ScoringAverage_PLAYERNAME_2008","FirstTeeEarlyPar5ScoringAverage_ROUNDS_2008","FirstTeeEarlyPar5ScoringAverage_AVG_2008","FirstTeeEarlyPar5ScoringAverage_TOTALSTROKES_2008","FirstTeeEarlyPar5ScoringAverage_TOTALHOLES_2008","stat_name","year"
1,1,"Jason Gore",94,4.45,294,66,"FirstTeeEarlyPar5ScoringAverage",2008
2,2,"Mathew Goggin",91,4.47,420,94,"FirstTeeEarlyPar5ScoringAverage",2008
2,2,"Ryuji Imada",80,4.47,326,73,"FirstTeeEarlyPar5ScoringAverage",2008
4,4,"John Merrick",98,4.51,352,78,"FirstTeeEarlyPar5ScoringAverage",2008
5,5,"James Driscoll",85,4.52,420,93,"FirstTeeEarlyPar5ScoringAverage",2008
5,5,"Scott McCarron",63,4.52,149,33,"FirstTeeEarlyPar5ScoringAverage",2008
5,5,"Adam Scott",51,4.52,199,44,"FirstTeeEarlyPar5ScoringAverage",2008
8,8,"Robert Garrigus",90,4.53,385,85,"FirstTeeEarlyPar5ScoringAverage",2008
8,8,"Tom Lehman",51,4.53,172,38,"FirstTeeEarlyPar5ScoringAverage",2008
10,10,"Aaron Baddeley",76,4.54,327,72,"FirstTeeEarlyPar5ScoringAverage",2008
11,11,"Todd Demsey",80,4.55,350,77,"FirstTeeEarlyPar5ScoringAverage",2008
11,11,"Jim Furyk",95,4.55,264,58,"FirstTeeEarlyPar5ScoringAverage",2008
11,11,"JB Holmes",86,4.55,241,53,"FirstTeeEarlyPar5ScoringAverage",2008
11,11,"Steve Stricker",75,4.55,241,53,"FirstTeeEarlyPar5ScoringAverage",2008
15,15,"Justin Leonard",101,4.56,397,87,"FirstTeeEarlyPar5ScoringAverage",2008
16,16,"Fred Couples",60,4.57,329,72,"FirstTeeEarlyPar5ScoringAverage",2008
16,16,"Martin Laird",98,4.57,548,120,"FirstTeeEarlyPar5ScoringAverage",2008
16,16,"Parker McLachlin",88,4.57,315,69,"FirstTeeEarlyPar5ScoringAverage",2008
16,16,"Kevin Na",97,4.57,535,117,"FirstTeeEarlyPar5ScoringAverage",2008
16,16,"Boo Weekley",86,4.57,452,99,"FirstTeeEarlyPar5ScoringAverage",2008
21,21,"Stewart Cink",87,4.58,339,74,"FirstTeeEarlyPar5ScoringAverage",2008
21,21,"Anthony Kim",81,4.58,284,62,"FirstTeeEarlyPar5ScoringAverage",2008
21,21,"Bubba Watson",97,4.58,330,72,"FirstTeeEarlyPar5ScoringAverage",2008
21,21,"Mike Weir",88,4.58,275,60,"FirstTeeEarlyPar5ScoringAverage",2008
25,25,"Brian Davis",108,4.59,349,76,"FirstTeeEarlyPar5ScoringAverage",2008
25,25,"Sergio Garcia",72,4.59,188,41,"FirstTeeEarlyPar5ScoringAverage",2008
25,25,"Bill Haas",99,4.59,321,70,"FirstTeeEarlyPar5ScoringAverage",2008
25,25,"Sean OHair",81,4.59,312,68,"FirstTeeEarlyPar5ScoringAverage",2008
25,25,"Joe Ogilvie",100,4.59,551,120,"FirstTeeEarlyPar5ScoringAverage",2008
30,30,"Chad Campbell",94,4.6,442,96,"FirstTeeEarlyPar5ScoringAverage",2008
30,30,"Tom Scherrer",56,4.6,216,47,"FirstTeeEarlyPar5ScoringAverage",2008
30,30,"Kevin Sutherland",98,4.6,386,84,"FirstTeeEarlyPar5ScoringAverage",2008
33,33,"Eric Axley",113,4.61,429,93,"FirstTeeEarlyPar5ScoringAverage",2008
33,33,"Carlos Franco",73,4.61,401,87,"FirstTeeEarlyPar5ScoringAverage",2008
33,33,"Brenden Pappas",66,4.61,327,71,"FirstTeeEarlyPar5ScoringAverage",2008
33,33,"Ian Poulter",51,4.61,212,46,"FirstTeeEarlyPar5ScoringAverage",2008
37,37,"Charley Hoffman",94,4.62,536,116,"FirstTeeEarlyPar5ScoringAverage",2008
