"3PuttsperRound_RANKTHISWEEK_2010","3PuttsperRound_RANKLASTWEEK_2010","3PuttsperRound_PLAYERNAME_2010","3PuttsperRound_ROUNDS_2010","3PuttsperRound_AVG_2010","3PuttsperRound_TOTAL3PUTTS_2010","3PuttsperRound_TOTALROUNDS_2010","stat_name","year"
1,1,"Mathias Gronberg",61,0.85,52,61,"3PuttsperRound",2010
2,2,"Mark Calcavecchia",50,0.82,41,50,"3PuttsperRound",2010
2,2,"Graham DeLaet",88,0.82,72,88,"3PuttsperRound",2010
4,4,"Charles Warren",64,0.8,51,64,"3PuttsperRound",2010
5,5,"Kenny Perry",69,0.78,53,68,"3PuttsperRound",2010
6,6,"Davis Love III",79,0.77,61,79,"3PuttsperRound",2010
6,6,"Rocco Mediate",71,0.77,55,71,"3PuttsperRound",2010
6,6,"Vijay Singh",75,0.77,57,74,"3PuttsperRound",2010
9,9,"Kris Blanks",91,0.76,69,91,"3PuttsperRound",2010
9,9,"Rory Sabbatini",79,0.76,59,78,"3PuttsperRound",2010
9,9,"Adam Scott",70,0.76,52,68,"3PuttsperRound",2010
9,9,"Nicholas Thompson",88,0.76,67,88,"3PuttsperRound",2010
9,9,"Cameron Tringale",55,0.76,42,55,"3PuttsperRound",2010
14,14,"Jeff Gove",57,0.74,42,57,"3PuttsperRound",2010
14,14,"Billy Mayfair",78,0.74,58,78,"3PuttsperRound",2010
14,14,"Garth Mulroy",53,0.74,39,53,"3PuttsperRound",2010
14,14,"Chris Wilson",65,0.74,48,65,"3PuttsperRound",2010
18,18,"Sergio Garcia",58,0.73,38,52,"3PuttsperRound",2010
19,19,"John Rollins",81,0.72,58,81,"3PuttsperRound",2010
19,19,"Roland Thatcher",72,0.72,52,72,"3PuttsperRound",2010
21,21,"Jason Dufner",87,0.71,62,87,"3PuttsperRound",2010
22,22,"Martin Laird",91,0.69,63,91,"3PuttsperRound",2010
23,23,"John Daly",63,0.68,43,63,"3PuttsperRound",2010
23,23,"Marc Leishman",87,0.68,59,87,"3PuttsperRound",2010
25,25,"Justin Bolli",55,0.67,37,55,"3PuttsperRound",2010
25,25,"Will Ma Kenzie",72,0.67,48,72,"3PuttsperRound",2010
25,25,"George McNeill",79,0.67,53,79,"3PuttsperRound",2010
25,25,"Sean OHair",84,0.67,55,82,"3PuttsperRound",2010
25,25,"Cameron Percy",73,0.67,49,73,"3PuttsperRound",2010
25,25,"DJ Trahan",92,0.67,62,92,"3PuttsperRound",2010
25,25,"Camilo Villegas",78,0.67,48,72,"3PuttsperRound",2010
32,32,"Robert Garrigus",71,0.66,47,71,"3PuttsperRound",2010
33,33,"Jonathan Byrd",85,0.65,55,85,"3PuttsperRound",2010
33,33,"Lucas Glover",75,0.65,48,74,"3PuttsperRound",2010
33,33,"Mathew Goggin",85,0.65,55,85,"3PuttsperRound",2010
33,33,"Greg Kraft",52,0.65,34,52,"3PuttsperRound",2010
33,33,"Hunter Mahan",85,0.65,55,84,"3PuttsperRound",2010
38,38,"Paul Goydos",78,0.64,50,78,"3PuttsperRound",2010
38,38,"Lee Janzen",77,0.64,49,77,"3PuttsperRound",2010
38,38,"Michael Letzig",84,0.64,54,84,"3PuttsperRound",2010
38,38,"DA Points",90,0.64,58,90,"3PuttsperRound",2010
38,38,"Roger Tambellini",77,0.64,49,77,"3PuttsperRound",2010
43,43,"Woody Austin",93,0.63,59,93,"3PuttsperRound",2010
43,43,"Ben Crane",85,0.63,52,82,"3PuttsperRound",2010
43,43,"Jason Day",82,0.63,52,82,"3PuttsperRound",2010
43,43,"Steve Marino",81,0.63,51,81,"3PuttsperRound",2010
47,47,"Robert Allenby",76,0.62,46,74,"3PuttsperRound",2010
47,47,"Cameron Beckman",68,0.62,42,68,"3PuttsperRound",2010
47,47,"Angel Cabrera",64,0.62,39,63,"3PuttsperRound",2010
47,47,"Tom Gillis",97,0.62,60,97,"3PuttsperRound",2010
47,47,"Trevor Immelman",55,0.62,34,55,"3PuttsperRound",2010
47,47,"Dustin Johnson",83,0.62,51,82,"3PuttsperRound",2010
47,47,"Bill Lunde",79,0.62,49,79,"3PuttsperRound",2010
47,47,"Greg Owen",69,0.62,43,69,"3PuttsperRound",2010
47,47,"Andres Romero",73,0.62,45,73,"3PuttsperRound",2010
47,47,"Chris Stroud",90,0.62,56,90,"3PuttsperRound",2010
57,57,"Steve Lowery",67,0.61,41,67,"3PuttsperRound",2010
57,57,"Jeff Maggert",76,0.61,46,76,"3PuttsperRound",2010
57,57,"Heath Slocum",97,0.61,59,97,"3PuttsperRound",2010
60,60,"Martin Flores",75,0.6,45,75,"3PuttsperRound",2010
60,60,"John Mallinger",78,0.6,47,78,"3PuttsperRound",2010
60,60,"Vance Veazey",58,0.6,35,58,"3PuttsperRound",2010
63,63,"Craig Bowden",56,0.59,33,56,"3PuttsperRound",2010
63,63,"David Lutterus",69,0.59,41,69,"3PuttsperRound",2010
63,63,"Aron Price",70,0.59,41,70,"3PuttsperRound",2010
63,63,"Johnson Wagner",85,0.59,50,85,"3PuttsperRound",2010
67,67,"Henrik Bjornstad",72,0.58,42,72,"3PuttsperRound",2010
67,67,"Brian Davis",101,0.58,59,101,"3PuttsperRound",2010
67,67,"JB Holmes",100,0.58,58,100,"3PuttsperRound",2010
67,67,"Jerry Kelly",99,0.58,57,99,"3PuttsperRound",2010
67,67,"Rory McIlroy",54,0.58,30,52,"3PuttsperRound",2010
67,67,"Troy Merritt",86,0.58,50,86,"3PuttsperRound",2010
67,67,"Geoff Ogilvy",62,0.58,35,60,"3PuttsperRound",2010
67,67,"Bo Van Pelt",104,0.58,60,104,"3PuttsperRound",2010
75,75,"Michael Bradley",77,0.57,44,77,"3PuttsperRound",2010
75,75,"Alex Cejka",81,0.57,46,81,"3PuttsperRound",2010
75,75,"KJ Choi",82,0.57,47,82,"3PuttsperRound",2010
75,75,"Matt Every",60,0.57,34,60,"3PuttsperRound",2010
75,75,"Troy Matteson",84,0.57,48,84,"3PuttsperRound",2010
75,75,"Pat Perez",90,0.57,51,90,"3PuttsperRound",2010
75,75,"Brett Quigley",96,0.57,55,96,"3PuttsperRound",2010
