"BallSpeed_RANKTHISWEEK_2015","BallSpeed_RANKLASTWEEK_2015","BallSpeed_PLAYERNAME_2015","BallSpeed_ROUNDS_2015","BallSpeed_AVG_2015","BallSpeed_TOTALBALLSPEED_2015","BallSpeed_TOTALATTEMPTS_2015","BallSpeed_FASTESTSPEED_2015","BallSpeed_SLOWESTSPEED_2015","stat_name","year"
1,1,"Bubba Watson",71,184.54,9780.58,53,188.64,180.96,"BallSpeed",2015
2,2,"Tony Finau",106,182.68,17536.83,96,188.8,170.35,"BallSpeed",2015
3,3,"Charlie Beljan",76,182.14,11474.82,63,188.21,172.11,"BallSpeed",2015
4,4,"Dustin Johnson",75,181.43,8890.2,49,186.99,167.24,"BallSpeed",2015
5,5,"Adam Scott",51,179.72,6649.46,37,184.32,161.41,"BallSpeed",2015
6,6,"Brooks Koepka",84,179.63,15448.45,86,184.33,169.83,"BallSpeed",2015
7,7,"JB Holmes",89,179.59,12750.79,71,184.19,172.65,"BallSpeed",2015
8,8,"Jason Kokrak",88,179.15,15228.09,85,183.24,173.83,"BallSpeed",2015
9,9,"Jhonattan Vegas",90,178.52,14103.3,79,183.36,169.52,"BallSpeed",2015
10,10,"Patrick Rodgers",57,178.29,8379.4,47,182.54,173.45,"BallSpeed",2015
11,11,"Jason Day",75,178.23,10871.99,61,182.17,170.43,"BallSpeed",2015
12,12,"Henrik Stenson",63,177.73,5154.17,29,182.64,173.45,"BallSpeed",2015
13,13,"Charles Howell III",105,177.66,19365.13,109,182.35,169.21,"BallSpeed",2015
14,14,"Hudson Swafford",97,177.12,15409.24,87,183.76,168.6,"BallSpeed",2015
15,15,"Harris English",105,176.55,17478.03,99,180.26,170.78,"BallSpeed",2015
16,16,"Daniel Berger",97,176.39,12699.8,72,180.82,169.94,"BallSpeed",2015
17,17,"Robert Garrigus",70,176.18,9337.67,53,182.31,169.03,"BallSpeed",2015
18,18,"Gary Woodland",81,175.93,10731.86,61,181.34,164.97,"BallSpeed",2015
19,19,"Sergio Garcia",59,175.53,7196.84,41,178.02,172.49,"BallSpeed",2015
20,20,"Aaron Baddeley",76,175.43,7192.8,41,180.37,168.7,"BallSpeed",2015
21,21,"Brendan Steele",88,175.33,16130.71,92,180.43,169.6,"BallSpeed",2015
22,22,"Angel Cabrera",53,175.1,8929.95,51,179.86,169.02,"BallSpeed",2015
23,23,"Derek Ernst",75,174.9,12242.91,70,180.52,167.85,"BallSpeed",2015
24,24,"Steven Bowditch",103,174.56,17281.21,99,180.79,164.03,"BallSpeed",2015
24,24,"Charl Schwartzel",67,174.56,7331.41,42,178.51,169.75,"BallSpeed",2015
26,26,"Keegan Bradley",87,174.55,14312.8,82,179.7,168.96,"BallSpeed",2015
27,27,"Nick Watney",91,174.39,15694.82,90,182.77,169.64,"BallSpeed",2015
28,28,"Rickie Fowler",76,174.37,11508.48,66,181.06,170.34,"BallSpeed",2015
29,29,"Jimmy Walker",89,174.29,12722.9,73,180.33,165.71,"BallSpeed",2015
30,30,"Martin Flores",95,174.05,15838.43,91,177.72,165.7,"BallSpeed",2015
31,31,"Martin Laird",77,173.75,12162.69,70,178.46,168.96,"BallSpeed",2015
32,32,"Robert Streb",110,173.48,19256.35,111,179.1,166.88,"BallSpeed",2015
33,33,"Stewart Cink",77,173.46,11621.85,67,178.77,167.6,"BallSpeed",2015
33,33,"Justin Thomas",106,173.46,17692.96,102,178.7,166.96,"BallSpeed",2015
35,35,"Graham DeLaet",65,173.36,9361.41,54,184.53,166.66,"BallSpeed",2015
