"LaunchAngle_RANKTHISWEEK_2007","LaunchAngle_RANKLASTWEEK_2007","LaunchAngle_PLAYERNAME_2007","LaunchAngle_ROUNDS_2007","LaunchAngle_AVG_2007","LaunchAngle_TOTALVERTLAUNCHANGLE_2007","LaunchAngle_TOTALATTEMPTS_2007","LaunchAngle_LOWESTLAUNCHANGLE_2007","LaunchAngle_STEEPESTLAUNCHANGLE_2007","stat_name","year"
1,1,"Darron Stiles",65,15.76,551.66,35,11.28,18.64,"LaunchAngle",2007
2,2,"Mark Brooks",53,14.92,432.74,29,12.6,17.23,"LaunchAngle",2007
3,3,"Craig Bowden",78,14.21,738.75,52,10.94,18.31,"LaunchAngle",2007
4,4,"Kirk Triplett",77,14.11,846.46,60,9.65,17.52,"LaunchAngle",2007
5,5,"Vaughn Taylor",91,13.98,811.08,58,9.25,17.45,"LaunchAngle",2007
6,6,"Mark Wilson",87,13.87,887.88,64,10.85,16.19,"LaunchAngle",2007
7,7,"JP Hayes",89,13.32,759.14,57,7.33,18.1,"LaunchAngle",2007
8,8,"Andrew Buckle",77,13.31,705.45,53,5.45,16.55,"LaunchAngle",2007
9,9,"Joe Ogilvie",102,12.95,893.75,69,8.71,16.49,"LaunchAngle",2007
10,10,"Alex Cejka",80,12.76,612.42,48,9.67,15.52,"LaunchAngle",2007
11,11,"Jeff Gove",103,12.73,903.91,71,6.46,16.58,"LaunchAngle",2007
12,12,"Kent Jones",97,12.61,832.26,66,7.65,17.35,"LaunchAngle",2007
13,13,"Tim Clark",66,12.59,641.95,51,10.49,19.5,"LaunchAngle",2007
14,14,"Brandt Snedeker",105,12.58,792.85,63,9.16,15.84,"LaunchAngle",2007
15,15,"Tommy Armour III",81,12.57,704.11,56,9.77,16.96,"LaunchAngle",2007
16,16,"Jeff Maggert",79,12.54,714.84,57,9.21,14.78,"LaunchAngle",2007
17,17,"Billy Mayfair",98,12.53,814.47,65,8.17,16.21,"LaunchAngle",2007
18,18,"Kenny Perry",83,12.52,688.74,55,8.44,17.46,"LaunchAngle",2007
19,19,"Joey Sindelar",75,12.5,650.21,52,8.84,15.87,"LaunchAngle",2007
20,20,"Geoff Ogilvy",84,12.45,647.19,52,9.74,15.79,"LaunchAngle",2007
21,21,"Robert Gamez",88,12.4,682.19,55,8.33,17.25,"LaunchAngle",2007
