"CareerEarnings_RANKTHISWEEK_2007","CareerEarnings_RANKLASTWEEK_2007","CareerEarnings_PLAYERNAME_2007","CareerEarnings__2007","CareerEarnings_MONEY_2007","stat_name","year"
1,1,"Tiger Woods",NA,76579376,"CareerEarnings",2007
2,2,"Vijay Singh",NA,54108218,"CareerEarnings",2007
3,3,"Phil Mickelson",NA,45334026,"CareerEarnings",2007
4,4,"Davis Love III",NA,35630313,"CareerEarnings",2007
5,5,"Jim Furyk",NA,35354112,"CareerEarnings",2007
6,6,"Ernie Els",NA,31126111,"CareerEarnings",2007
7,7,"David Toms",NA,27911952,"CareerEarnings",2007
8,8,"Justin Leonard",NA,23165917,"CareerEarnings",2007
9,9,"Mark Calcavecchia",NA,22296419,"CareerEarnings",2007
10,10,"Kenny Perry",NA,21532649,"CareerEarnings",2007
11,11,"Stewart Cink",NA,21076693,"CareerEarnings",2007
12,12,"Scott Verplank",NA,21070672,"CareerEarnings",2007
13,13,"Mike Weir",NA,20839988,"CareerEarnings",2007
14,14,"Stuart Appleby",NA,20709855,"CareerEarnings",2007
15,15,"Fred Funk",NA,20668565,"CareerEarnings",2007
16,16,"Nick Price",NA,20551208,"CareerEarnings",2007
17,17,"Tom Lehman",NA,19701862,"CareerEarnings",2007
18,18,"Chris DiMarco",NA,19660264,"CareerEarnings",2007
19,19,"Sergio Garcia",NA,19540777,"CareerEarnings",2007
20,20,"Fred Couples",NA,19172199,"CareerEarnings",2007
21,21,"Scott Hoch",NA,18487114,"CareerEarnings",2007
22,22,"Retief Goosen",NA,18275403,"CareerEarnings",2007
23,23,"Jeff Sluman",NA,18114866,"CareerEarnings",2007
24,24,"Brad Faxon",NA,17656554,"CareerEarnings",2007
25,25,"David Duval",NA,16754201,"CareerEarnings",2007
26,26,"Bob Estes",NA,16396106,"CareerEarnings",2007
27,27,"Jerry Kelly",NA,16395719,"CareerEarnings",2007
28,28,"Adam Scott",NA,16390401,"CareerEarnings",2007
29,29,"KJ Choi",NA,16118197,"CareerEarnings",2007
30,30,"Rory Sabbatini",NA,16056986,"CareerEarnings",2007
31,31,"Billy Mayfair",NA,15902714,"CareerEarnings",2007
32,32,"Robert Allenby",NA,15674684,"CareerEarnings",2007
33,33,"Jeff Maggert",NA,15300809,"CareerEarnings",2007
34,34,"Hal Sutton",NA,15267685,"CareerEarnings",2007
35,35,"Charles Howell III",NA,15218876,"CareerEarnings",2007
36,36,"Loren Roberts",NA,15103510,"CareerEarnings",2007
37,37,"Steve Flesch",NA,15062243,"CareerEarnings",2007
38,38,"Bob Tway",NA,14945816,"CareerEarnings",2007
39,39,"Steve Stricker",NA,14705580,"CareerEarnings",2007
40,40,"Tim Herron",NA,14520382,"CareerEarnings",2007
41,41,"Jesper Parnevik",NA,14513366,"CareerEarnings",2007
42,42,"Jay Haas",NA,14440317,"CareerEarnings",2007
43,43,"Paul Azinger",NA,14404620,"CareerEarnings",2007
44,44,"John Huston",NA,14265545,"CareerEarnings",2007
45,45,"Chad Campbell",NA,14180833,"CareerEarnings",2007
46,46,"Mark OMeara",NA,14125097,"CareerEarnings",2007
47,47,"Greg Norman",NA,13963611,"CareerEarnings",2007
48,48,"Corey Pavin",NA,13681873,"CareerEarnings",2007
49,49,"Kirk Triplett",NA,13531288,"CareerEarnings",2007
50,50,"Lee Janzen",NA,13457592,"CareerEarnings",2007
51,51,"Geoff Ogilvy",NA,13426526,"CareerEarnings",2007
52,52,"Rocco Mediate",NA,13370264,"CareerEarnings",2007
53,53,"Stephen Ames",NA,13305370,"CareerEarnings",2007
54,54,"Shigeki Maruyama",NA,13192850,"CareerEarnings",2007
55,55,"Steve Lowery",NA,13119228,"CareerEarnings",2007
56,56,"Steve Elkington",NA,12839591,"CareerEarnings",2007
57,57,"John Cook",NA,12433599,"CareerEarnings",2007
58,58,"Billy Andrade",NA,12117661,"CareerEarnings",2007
59,59,"Jose Maria Olazabal",NA,11942394,"CareerEarnings",2007
60,60,"Payne Stewart",NA,11737008,"CareerEarnings",2007
61,61,"Duffy Waldorf",NA,11630925,"CareerEarnings",2007
62,62,"Tom Pernice Jr",NA,11530102,"CareerEarnings",2007
63,63,"Luke Donald",NA,11368364,"CareerEarnings",2007
64,64,"Woody Austin",NA,11203106,"CareerEarnings",2007
65,65,"Joey Sindelar",NA,11162112,"CareerEarnings",2007
66,66,"Joe Durant",NA,11151625,"CareerEarnings",2007
67,67,"Tom Kite",NA,11041042,"CareerEarnings",2007
68,68,"Padraig Harrington",NA,10973322,"CareerEarnings",2007
69,69,"Frank Lickliter II",NA,10730702,"CareerEarnings",2007
70,70,"Zach Johnson",NA,10645713,"CareerEarnings",2007
71,71,"Kevin Sutherland",NA,10503897,"CareerEarnings",2007
72,72,"Dudley Hart",NA,10189280,"CareerEarnings",2007
73,73,"Jonathan Kaye",NA,10166329,"CareerEarnings",2007
74,74,"Craig Stadler",NA,10021897,"CareerEarnings",2007
75,75,"Tom Watson",NA,10004299,"CareerEarnings",2007
76,76,"Bernhard Langer",NA,9964671,"CareerEarnings",2007
77,77,"Tim Clark",NA,9916360,"CareerEarnings",2007
78,78,"Scott McCarron",NA,9600092,"CareerEarnings",2007
79,79,"Rod Pampling",NA,9351537,"CareerEarnings",2007
80,80,"John Rollins",NA,9316271,"CareerEarnings",2007
81,81,"David Frost",NA,9155221,"CareerEarnings",2007
82,82,"John Daly",NA,9053251,"CareerEarnings",2007
83,83,"Carl Pettersson",NA,9049536,"CareerEarnings",2007
84,84,"Mark Brooks",NA,9031722,"CareerEarnings",2007
85,85,"Chris Riley",NA,8897829,"CareerEarnings",2007
86,86,"Carlos Franco",NA,8869106,"CareerEarnings",2007
87,87,"Dan Forsman",NA,8518877,"CareerEarnings",2007
88,88,"Andrew Magee",NA,8500515,"CareerEarnings",2007
89,89,"Craig Parry",NA,8395145,"CareerEarnings",2007
90,90,"Olin Browne",NA,8331546,"CareerEarnings",2007
91,91,"Robert Gamez",NA,8274037,"CareerEarnings",2007
92,92,"Brett Quigley",NA,8171458,"CareerEarnings",2007
93,93,"Jonathan Byrd",NA,8038293,"CareerEarnings",2007
94,94,"Steve Pate",NA,8018208,"CareerEarnings",2007
95,95,"Harrison Frazar",NA,7935168,"CareerEarnings",2007
96,96,"Glen Day",NA,7902165,"CareerEarnings",2007
97,97,"Peter Jacobsen",NA,7799810,"CareerEarnings",2007
98,98,"Heath Slocum",NA,7764178,"CareerEarnings",2007
99,99,"Rich Beem",NA,7731941,"CareerEarnings",2007
100,100,"Justin Rose",NA,7662564,"CareerEarnings",2007
101,101,"Larry Mize",NA,7634413,"CareerEarnings",2007
102,102,"Bart Bryant",NA,7625906,"CareerEarnings",2007
103,103,"Skip Kendall",NA,7624662,"CareerEarnings",2007
104,104,"Aaron Baddeley",NA,7621496,"CareerEarnings",2007
105,105,"Ben Crane",NA,7601778,"CareerEarnings",2007
106,106,"Curtis Strange",NA,7599951,"CareerEarnings",2007
107,107,"Briny Baird",NA,7558099,"CareerEarnings",2007
108,108,"Peter Lonard",NA,7546778,"CareerEarnings",2007
109,109,"JJ Henry",NA,7492244,"CareerEarnings",2007
110,110,"Tommy Armour III",NA,7442556,"CareerEarnings",2007
111,111,"JL Lewis",NA,7420435,"CareerEarnings",2007
112,112,"Shaun Micheel",NA,7341021,"CareerEarnings",2007
113,113,"Brent Geiberger",NA,7208782,"CareerEarnings",2007
114,114,"Arron Oberholser",NA,7162324,"CareerEarnings",2007
115,115,"Ben Crenshaw",NA,7139756,"CareerEarnings",2007
116,116,"Tim Petrovic",NA,7111612,"CareerEarnings",2007
117,117,"Paul Goydos",NA,6914205,"CareerEarnings",2007
118,118,"Bill Glasson",NA,6912619,"CareerEarnings",2007
119,119,"Lucas Glover",NA,6882200,"CareerEarnings",2007
