"LeftTendency_RANKTHISWEEK_2013","LeftTendency_RANKLASTWEEK_2013","LeftTendency_PLAYERNAME_2013","LeftTendency_EVENTS_2013","LeftTendency_Pct_2013","LeftTendency_NUMBEROFTIMES_2013","LeftTendency_ATTEMPTS_2013","LeftTendency_AVGRTPSCORE_2013","stat_name","year"
1,1,"Bryce Molder",24,34.7,116,334,1.72,"LeftTendency",2013
2,2,"DH Lee",22,35.9,93,259,2.04,"LeftTendency",2013
3,3,"Ken Duke",28,36.9,113,306,1.68,"LeftTendency",2013
4,4,"Rod Pampling",16,38,68,179,3.82,"LeftTendency",2013
4,4,"Mark Wilson",19,38,73,192,0.14,"LeftTendency",2013
6,6,"Charles Howell III",26,38.9,190,489,0.42,"LeftTendency",2013
7,7,"David Mathis",24,39,121,310,2.48,"LeftTendency",2013
8,8,"Darron Stiles",20,39.1,70,179,2.57,"LeftTendency",2013
9,9,"Scott Langley",27,39.4,130,330,2.08,"LeftTendency",2013
9,9,"Steve LeBrun",21,39.4,113,287,1.86,"LeftTendency",2013
9,9,"Scott Piercy",24,39.4,141,358,1.7,"LeftTendency",2013
12,12,"Josh Teater",24,39.5,121,306,1.98,"LeftTendency",2013
12,12,"Aaron Watkins",19,39.5,70,177,2.14,"LeftTendency",2013
14,14,"George McNeill",21,39.6,118,298,1.53,"LeftTendency",2013
14,14,"Charlie Wi",23,39.6,133,336,1.73,"LeftTendency",2013
16,16,"Mike Weir",22,40.8,120,294,2.33,"LeftTendency",2013
17,17,"Hunter Mahan",25,41,125,305,1.68,"LeftTendency",2013
18,18,"John Rollins",24,41.1,152,370,1.12,"LeftTendency",2013
19,19,"Tiger Woods",16,41.2,87,211,1.26,"LeftTendency",2013
20,20,"Derek Ernst",21,41.4,110,266,2.27,"LeftTendency",2013
21,21,"Scott Gardiner",23,41.8,122,292,3.69,"LeftTendency",2013
22,22,"Scott Brown",21,41.9,119,284,2.18,"LeftTendency",2013
22,22,"David Hearn",26,41.9,160,382,2.25,"LeftTendency",2013
24,24,"Marc Leishman",23,42,146,348,1.51,"LeftTendency",2013
25,25,"Greg Chalmers",25,42.1,144,342,1.74,"LeftTendency",2013
