"TotalHoleOuts_RANKTHISWEEK_2008","TotalHoleOuts_RANKLASTWEEK_2008","TotalHoleOuts_PLAYERNAME_2008","TotalHoleOuts_ROUNDS_2008","TotalHoleOuts_HOLEOUTS_2008","stat_name","year"
1,1,"Nathan Green",95,20,"TotalHoleOuts",2008
1,1,"Kevin Streelman",114,20,"TotalHoleOuts",2008
3,3,"Tim Herron",97,18,"TotalHoleOuts",2008
3,3,"Steve Marino",119,18,"TotalHoleOuts",2008
3,3,"Andres Romero",69,18,"TotalHoleOuts",2008
6,6,"Brian Davis",108,17,"TotalHoleOuts",2008
6,6,"Joe Ogilvie",100,17,"TotalHoleOuts",2008
6,6,"Brett Quigley",80,17,"TotalHoleOuts",2008
9,9,"Michael Allen",91,16,"TotalHoleOuts",2008
9,9,"Ryan Armour",87,16,"TotalHoleOuts",2008
9,9,"Mathew Goggin",91,16,"TotalHoleOuts",2008
9,9,"John Mallinger",95,16,"TotalHoleOuts",2008
9,9,"Jesper Parnevik",88,16,"TotalHoleOuts",2008
9,9,"Carl Pettersson",110,16,"TotalHoleOuts",2008
9,9,"John Senden",93,16,"TotalHoleOuts",2008
9,9,"Nicholas Thompson",113,16,"TotalHoleOuts",2008
17,17,"Brad Adamonis",87,15,"TotalHoleOuts",2008
17,17,"Tom Pernice Jr",104,15,"TotalHoleOuts",2008
17,17,"Kenny Perry",97,15,"TotalHoleOuts",2008
17,17,"Tim Petrovic",97,15,"TotalHoleOuts",2008
17,17,"Kevin Stadler",90,15,"TotalHoleOuts",2008
17,17,"Jay Williamson",96,15,"TotalHoleOuts",2008
23,23,"Briny Baird",113,14,"TotalHoleOuts",2008
23,23,"Shane Bertsch",96,14,"TotalHoleOuts",2008
23,23,"Mark Calcavecchia",67,14,"TotalHoleOuts",2008
23,23,"Jason Day",81,14,"TotalHoleOuts",2008
23,23,"Steve Flesch",95,14,"TotalHoleOuts",2008
23,23,"Carlos Franco",73,14,"TotalHoleOuts",2008
23,23,"Robert Garrigus",90,14,"TotalHoleOuts",2008
23,23,"John Rollins",94,14,"TotalHoleOuts",2008
23,23,"Steve Stricker",75,14,"TotalHoleOuts",2008
23,23,"Johnson Wagner",83,14,"TotalHoleOuts",2008
33,33,"Billy Andrade",71,13,"TotalHoleOuts",2008
33,33,"Tim Clark",90,13,"TotalHoleOuts",2008
