"AverageDistanceafterGoingforitShot_RANKTHISWEEK_2006","AverageDistanceafterGoingforitShot_RANKLASTWEEK_2006","AverageDistanceafterGoingforitShot_PLAYERNAME_2006","AverageDistanceafterGoingforitShot_ROUNDS_2006","AverageDistanceafterGoingforitShot_AVG_2006","AverageDistanceafterGoingforitShot_TOTALDISTAFTERGFGSHOT_2006","AverageDistanceafterGoingforitShot_TOTALGFGSHOTS_2006","stat_name","year"
1,1,"Vance Veazey",59,19.6,52292,74,"AverageDistanceafterGoingforitShot",2006
2,2,"Tiger Woods",55,20,71325,99,"AverageDistanceafterGoingforitShot",2006
3,3,"JJ Henry",96,21.1,106872,141,"AverageDistanceafterGoingforitShot",2006
4,4,"David Duval",71,21.3,75864,99,"AverageDistanceafterGoingforitShot",2006
5,5,"Adam Scott",70,21.5,78231,101,"AverageDistanceafterGoingforitShot",2006
6,6,"Will Ma Kenzie",91,21.8,127005,162,"AverageDistanceafterGoingforitShot",2006
7,7,"Stewart Cink",93,21.9,92963,118,"AverageDistanceafterGoingforitShot",2006
7,7,"Kris Cox",83,21.9,116454,148,"AverageDistanceafterGoingforitShot",2006
7,7,"Bo Van Pelt",102,21.9,151662,192,"AverageDistanceafterGoingforitShot",2006
10,10,"KJ Choi",93,22,111435,141,"AverageDistanceafterGoingforitShot",2006
10,10,"Daniel Chopra",110,22,158669,200,"AverageDistanceafterGoingforitShot",2006
10,10,"Robert Gamez",94,22,85479,108,"AverageDistanceafterGoingforitShot",2006
10,10,"Ian Poulter",53,22,70545,89,"AverageDistanceafterGoingforitShot",2006
14,14,"Brett Wetterich",82,22.1,143265,180,"AverageDistanceafterGoingforitShot",2006
15,15,"Stephen Ames",63,22.2,63051,79,"AverageDistanceafterGoingforitShot",2006
16,16,"Trevor Immelman",86,22.3,122569,153,"AverageDistanceafterGoingforitShot",2006
16,16,"Nick Watney",97,22.3,188771,235,"AverageDistanceafterGoingforitShot",2006
18,18,"Craig Barlow",77,22.4,116251,144,"AverageDistanceafterGoingforitShot",2006
19,19,"Chad Campbell",91,22.5,91673,113,"AverageDistanceafterGoingforitShot",2006
19,19,"Brandt Jobe",91,22.5,112495,139,"AverageDistanceafterGoingforitShot",2006
21,21,"Shaun Micheel",96,22.6,108985,134,"AverageDistanceafterGoingforitShot",2006
21,21,"Camilo Villegas",95,22.6,162088,199,"AverageDistanceafterGoingforitShot",2006
23,23,"Jonathan Byrd",66,22.7,108041,132,"AverageDistanceafterGoingforitShot",2006
23,23,"Ernie Els",69,22.7,91653,112,"AverageDistanceafterGoingforitShot",2006
25,25,"Tim Clark",80,22.8,68968,84,"AverageDistanceafterGoingforitShot",2006
25,25,"Fred Couples",52,22.8,59986,73,"AverageDistanceafterGoingforitShot",2006
27,27,"Bill Haas",99,22.9,166436,202,"AverageDistanceafterGoingforitShot",2006
28,28,"Tom Lehman",70,23,67902,82,"AverageDistanceafterGoingforitShot",2006
29,29,"Michael Allen",84,23.1,100585,121,"AverageDistanceafterGoingforitShot",2006
29,29,"Lucas Glover",105,23.1,176884,213,"AverageDistanceafterGoingforitShot",2006
29,29,"Steve Lowery",99,23.1,152054,183,"AverageDistanceafterGoingforitShot",2006
32,32,"Mathias Gronberg",92,23.2,177047,212,"AverageDistanceafterGoingforitShot",2006
