"SandSavesfrom_RANKTHISWEEK_2008","SandSavesfrom_RANKLASTWEEK_2008","SandSavesfrom_PLAYERNAME_2008","SandSavesfrom_ROUNDS_2008","SandSavesfrom_Pct_2008","SandSavesfrom_OFSAVES_2008","SandSavesfrom_OFBUNKERS_2008","stat_name","year"
1,1,"Jason Allred",63,100,4,4,"SandSavesfrom",2008
1,1,"Rich Beem",90,100,6,6,"SandSavesfrom",2008
1,1,"Olin Browne",77,100,2,2,"SandSavesfrom",2008
1,1,"Alejandro Canizares",52,100,4,4,"SandSavesfrom",2008
1,1,"Stewart Cink",87,100,1,1,"SandSavesfrom",2008
1,1,"Jeff Gove",50,100,5,5,"SandSavesfrom",2008
1,1,"Dudley Hart",74,100,6,6,"SandSavesfrom",2008
1,1,"Tom Scherrer",56,100,2,2,"SandSavesfrom",2008
1,1,"Boo Weekley",86,100,2,2,"SandSavesfrom",2008
1,1,"Mike Weir",88,100,10,10,"SandSavesfrom",2008
11,11,"Briny Baird",113,92.31,12,13,"SandSavesfrom",2008
12,12,"Robert Allenby",108,88.89,8,9,"SandSavesfrom",2008
12,12,"Paul Goydos",78,88.89,8,9,"SandSavesfrom",2008
12,12,"Rod Pampling",83,88.89,8,9,"SandSavesfrom",2008
12,12,"Jesper Parnevik",88,88.89,8,9,"SandSavesfrom",2008
16,16,"Shane Bertsch",96,87.5,7,8,"SandSavesfrom",2008
16,16,"Craig Kanada",65,87.5,7,8,"SandSavesfrom",2008
16,16,"Phil Mickelson",80,87.5,7,8,"SandSavesfrom",2008
16,16,"Jeff Quinney",87,87.5,7,8,"SandSavesfrom",2008
20,20,"Stuart Appleby",87,85.71,6,7,"SandSavesfrom",2008
20,20,"Aaron Baddeley",76,85.71,6,7,"SandSavesfrom",2008
20,20,"Daniel Chopra",84,85.71,12,14,"SandSavesfrom",2008
20,20,"Chad Collins",72,85.71,6,7,"SandSavesfrom",2008
20,20,"John Mallinger",95,85.71,6,7,"SandSavesfrom",2008
20,20,"Geoff Ogilvy",65,85.71,6,7,"SandSavesfrom",2008
20,20,"Corey Pavin",69,85.71,6,7,"SandSavesfrom",2008
27,27,"Ken Duke",116,84.62,11,13,"SandSavesfrom",2008
28,28,"Gavin Coles",54,83.33,5,6,"SandSavesfrom",2008
28,28,"Brad Elder",67,83.33,5,6,"SandSavesfrom",2008
28,28,"Pat Perez",93,83.33,5,6,"SandSavesfrom",2008
28,28,"Kevin Sutherland",98,83.33,5,6,"SandSavesfrom",2008
32,32,"Ben Curtis",80,81.82,9,11,"SandSavesfrom",2008
33,33,"Todd Demsey",80,80,4,5,"SandSavesfrom",2008
33,33,"Richard Johnson",60,80,4,5,"SandSavesfrom",2008
33,33,"Anthony Kim",81,80,4,5,"SandSavesfrom",2008
33,33,"Ted Purdy",68,80,8,10,"SandSavesfrom",2008
33,33,"John Riegger",73,80,4,5,"SandSavesfrom",2008
33,33,"Kevin Stadler",90,80,4,5,"SandSavesfrom",2008
33,33,"Chris Stroud",81,80,4,5,"SandSavesfrom",2008
33,33,"Nicholas Thompson",113,80,8,10,"SandSavesfrom",2008
33,33,"Camilo Villegas",79,80,8,10,"SandSavesfrom",2008
42,42,"Brian Davis",108,78.57,11,14,"SandSavesfrom",2008
43,43,"JB Holmes",86,77.78,7,9,"SandSavesfrom",2008
43,43,"John Huston",56,77.78,7,9,"SandSavesfrom",2008
43,43,"Justin Leonard",101,77.78,7,9,"SandSavesfrom",2008
43,43,"John Senden",93,77.78,7,9,"SandSavesfrom",2008
47,47,"Tag Ridings",88,76.19,16,21,"SandSavesfrom",2008
48,48,"Michael Allen",91,75,3,4,"SandSavesfrom",2008
48,48,"Ben Crane",86,75,12,16,"SandSavesfrom",2008
48,48,"Jim Furyk",95,75,6,8,"SandSavesfrom",2008
48,48,"Sergio Garcia",72,75,3,4,"SandSavesfrom",2008
48,48,"Freddie Jacobson",78,75,6,8,"SandSavesfrom",2008
48,48,"Stephen Leaney",53,75,3,4,"SandSavesfrom",2008
48,48,"Brett Rumford",72,75,3,4,"SandSavesfrom",2008
48,48,"Bubba Watson",97,75,6,8,"SandSavesfrom",2008
57,57,"Bart Bryant",81,71.43,5,7,"SandSavesfrom",2008
57,57,"Angel Cabrera",55,71.43,5,7,"SandSavesfrom",2008
57,57,"Retief Goosen",59,71.43,5,7,"SandSavesfrom",2008
57,57,"Ryuji Imada",80,71.43,5,7,"SandSavesfrom",2008
