"ScoringAverage_RANKTHISWEEK_2005","ScoringAverage_RANKLASTWEEK_2005","ScoringAverage_PLAYERNAME_2005","ScoringAverage_ROUNDS_2005","ScoringAverage_AVG_2005","ScoringAverage_TOTALSTROKES_2005","ScoringAverage_TOTALADJUSTMENT_2005","ScoringAverage_TOTALROUNDS_2005","stat_name","year"
1,1,"Tiger Woods",76,68.655,5114,NA,74,"ScoringAverage",2005
2,2,"Vijay Singh",111,69.04,7585,NA,109,"ScoringAverage",2005
3,3,"Jim Furyk",94,69.274,6480,NA,93,"ScoringAverage",2005
4,4,"Luke Donald",67,69.329,4216,NA,60,"ScoringAverage",2005
5,5,"Phil Mickelson",81,69.386,5170,NA,74,"ScoringAverage",2005
6,6,"Kenny Perry",82,69.477,5603,NA,80,"ScoringAverage",2005
7,7,"Sergio Garcia",73,69.639,4776,NA,68,"ScoringAverage",2005
8,8,"David Toms",87,69.66,5394,NA,77,"ScoringAverage",2005
9,9,"Ben Crane",78,69.7,5172,NA,74,"ScoringAverage",2005
10,10,"Davis Love III",80,69.839,5284,NA,75,"ScoringAverage",2005
11,11,"Scott Verplank",87,69.985,6040,NA,86,"ScoringAverage",2005
12,12,"Retief Goosen",71,70.055,4303,NA,61,"ScoringAverage",2005
13,13,"Tim Clark",92,70.067,6133,NA,87,"ScoringAverage",2005
14,14,"Loren Roberts",54,70.076,3739,NA,53,"ScoringAverage",2005
15,15,"Tim Herron",100,70.106,6966,NA,99,"ScoringAverage",2005
16,16,"Bob Estes",92,70.11,6478,NA,92,"ScoringAverage",2005
17,17,"Jose Maria Olazabal",55,70.111,3745,NA,53,"ScoringAverage",2005
18,18,"Justin Leonard",78,70.168,5290,NA,75,"ScoringAverage",2005
19,19,"Shigeki Maruyama",99,70.176,6914,NA,98,"ScoringAverage",2005
20,20,"Bart Bryant",91,70.187,6392,NA,91,"ScoringAverage",2005
21,21,"Adam Scott",72,70.198,4819,NA,68,"ScoringAverage",2005
