"AveragePuttingDistanceGIR3PlusPutts_RANKTHISWEEK_2013","AveragePuttingDistanceGIR3PlusPutts_RANKLASTWEEK_2013","AveragePuttingDistanceGIR3PlusPutts_PLAYERNAME_2013","AveragePuttingDistanceGIR3PlusPutts_ROUNDS_2013","AveragePuttingDistanceGIR3PlusPutts_AVG_2013","AveragePuttingDistanceGIR3PlusPutts_DISTANCEFEET_2013","AveragePuttingDistanceGIR3PlusPutts_TOTALPUTTS_2013","stat_name","year"
1,1,"Aaron Watkins",46,NA,89.583,1,"AveragePuttingDistanceGIR3PlusPutts",2013
2,2,"Doug LaBelle II",72,NA,81.417,1,"AveragePuttingDistanceGIR3PlusPutts",2013
3,3,"Chad Campbell",78,NA,79.583,1,"AveragePuttingDistanceGIR3PlusPutts",2013
4,4,"DA Points",87,NA,155.667,2,"AveragePuttingDistanceGIR3PlusPutts",2013
5,5,"Jason Kokrak",78,NA,148.25,2,"AveragePuttingDistanceGIR3PlusPutts",2013
6,6,"Roberto Castro",97,NA,137.583,2,"AveragePuttingDistanceGIR3PlusPutts",2013
7,7,"Steve LeBrun",66,NA,68.25,1,"AveragePuttingDistanceGIR3PlusPutts",2013
8,8,"Bryce Molder",82,NA,66.083,1,"AveragePuttingDistanceGIR3PlusPutts",2013
9,9,"Bubba Watson",76,NA,64.833,1,"AveragePuttingDistanceGIR3PlusPutts",2013
10,10,"Tag Ridings",69,NA,63.667,1,"AveragePuttingDistanceGIR3PlusPutts",2013
11,11,"Robert Allenby",58,NA,63.167,1,"AveragePuttingDistanceGIR3PlusPutts",2013
12,12,"Rory McIlroy",56,NA,58.333,1,"AveragePuttingDistanceGIR3PlusPutts",2013
13,13,"Kevin Streelman",86,NA,55.333,1,"AveragePuttingDistanceGIR3PlusPutts",2013
14,14,"David Lingmerth",68,NA,107.667,2,"AveragePuttingDistanceGIR3PlusPutts",2013
15,15,"Vijay Singh",61,NA,52.5,1,"AveragePuttingDistanceGIR3PlusPutts",2013
16,16,"Keegan Bradley",88,NA,52.333,1,"AveragePuttingDistanceGIR3PlusPutts",2013
17,17,"Charlie Beljan",62,NA,52.25,1,"AveragePuttingDistanceGIR3PlusPutts",2013
18,18,"Justin Hicks",79,NA,156.333,3,"AveragePuttingDistanceGIR3PlusPutts",2013
19,19,"Troy Matteson",68,NA,51.917,1,"AveragePuttingDistanceGIR3PlusPutts",2013
20,20,"Rory Sabbatini",86,NA,51.833,1,"AveragePuttingDistanceGIR3PlusPutts",2013
21,21,"Geoff Ogilvy",57,NA,51.333,1,"AveragePuttingDistanceGIR3PlusPutts",2013
22,22,"Russell Henley",80,NA,99.667,2,"AveragePuttingDistanceGIR3PlusPutts",2013
23,23,"John Huh",88,NA,97.917,2,"AveragePuttingDistanceGIR3PlusPutts",2013
24,24,"Patrick Reed",83,NA,48.167,1,"AveragePuttingDistanceGIR3PlusPutts",2013
25,25,"Ben Crane",62,NA,141.75,3,"AveragePuttingDistanceGIR3PlusPutts",2013
26,26,"Brad Fritsch",81,NA,92.75,2,"AveragePuttingDistanceGIR3PlusPutts",2013
27,27,"Andrew Svoboda",46,NA,45.333,1,"AveragePuttingDistanceGIR3PlusPutts",2013
28,28,"Kevin Chappell",80,NA,44.917,1,"AveragePuttingDistanceGIR3PlusPutts",2013
29,29,"Chris Kirk",89,NA,88.167,2,"AveragePuttingDistanceGIR3PlusPutts",2013
30,30,"Henrik Norlander",70,NA,43.25,1,"AveragePuttingDistanceGIR3PlusPutts",2013
