"ConsecutiveHolesBelowPar_RANKTHISWEEK_2010","ConsecutiveHolesBelowPar_RANKLASTWEEK_2010","ConsecutiveHolesBelowPar_PLAYERNAME_2010","ConsecutiveHolesBelowPar_EVENTS_2010","ConsecutiveHolesBelowPar_NUMBEROFHOLES_2010","stat_name","year"
1,1,"Cameron Beckman",25,8,"ConsecutiveHolesBelowPar",2010
2,2,"Luke Donald",20,6,"ConsecutiveHolesBelowPar",2010
2,2,"Matt Every",18,6,"ConsecutiveHolesBelowPar",2010
2,2,"Spencer Levin",31,6,"ConsecutiveHolesBelowPar",2010
2,2,"Phil Mickelson",20,6,"ConsecutiveHolesBelowPar",2010
2,2,"Ryan Palmer",27,6,"ConsecutiveHolesBelowPar",2010
2,2,"Scott Piercy",28,6,"ConsecutiveHolesBelowPar",2010
2,2,"Kevin Streelman",28,6,"ConsecutiveHolesBelowPar",2010
2,2,"Brett Wetterich",16,6,"ConsecutiveHolesBelowPar",2010
2,2,"Charlie Wi",27,6,"ConsecutiveHolesBelowPar",2010
11,11,"Michael Allen",17,5,"ConsecutiveHolesBelowPar",2010
11,11,"Briny Baird",28,5,"ConsecutiveHolesBelowPar",2010
11,11,"Rich Barcelo",25,5,"ConsecutiveHolesBelowPar",2010
11,11,"Ricky Barnes",28,5,"ConsecutiveHolesBelowPar",2010
11,11,"Kris Blanks",30,5,"ConsecutiveHolesBelowPar",2010
11,11,"Jason Bohn",25,5,"ConsecutiveHolesBelowPar",2010
11,11,"Michael Bradley",24,5,"ConsecutiveHolesBelowPar",2010
11,11,"KJ Choi",22,5,"ConsecutiveHolesBelowPar",2010
11,11,"Michael Connell",25,5,"ConsecutiveHolesBelowPar",2010
11,11,"Graham DeLaet",28,5,"ConsecutiveHolesBelowPar",2010
11,11,"James Driscoll",26,5,"ConsecutiveHolesBelowPar",2010
11,11,"Jason Dufner",25,5,"ConsecutiveHolesBelowPar",2010
11,11,"Bob Estes",26,5,"ConsecutiveHolesBelowPar",2010
11,11,"Rickie Fowler",28,5,"ConsecutiveHolesBelowPar",2010
11,11,"Lucas Glover",23,5,"ConsecutiveHolesBelowPar",2010
11,11,"Paul Goydos",25,5,"ConsecutiveHolesBelowPar",2010
11,11,"Ryuji Imada",28,5,"ConsecutiveHolesBelowPar",2010
11,11,"Freddie Jacobson",24,5,"ConsecutiveHolesBelowPar",2010
11,11,"Zach Johnson",25,5,"ConsecutiveHolesBelowPar",2010
11,11,"Dustin Johnson",23,5,"ConsecutiveHolesBelowPar",2010
11,11,"Skip Kendall",18,5,"ConsecutiveHolesBelowPar",2010
11,11,"Martin Laird",26,5,"ConsecutiveHolesBelowPar",2010
11,11,"Derek Lamely",28,5,"ConsecutiveHolesBelowPar",2010
11,11,"Michael Letzig",27,5,"ConsecutiveHolesBelowPar",2010
11,11,"Davis Love III",24,5,"ConsecutiveHolesBelowPar",2010
11,11,"Bill Lunde",28,5,"ConsecutiveHolesBelowPar",2010
