"ApproachesRightRoughRTPScore_RANKTHISWEEK_2012","ApproachesRightRoughRTPScore_RANKLASTWEEK_2012","ApproachesRightRoughRTPScore_PLAYERNAME_2012","ApproachesRightRoughRTPScore_ROUNDS_2012","ApproachesRightRoughRTPScore_AVGRTP_2012","stat_name","year"
1,1,"Webb Simpson",77,-0.155,"ApproachesRightRoughRTPScore",2012
2,2,"Ben Crane",73,-0.125,"ApproachesRightRoughRTPScore",2012
3,3,"Steve Stricker",73,-0.062,"ApproachesRightRoughRTPScore",2012
4,4,"Bubba Watson",68,-0.052,"ApproachesRightRoughRTPScore",2012
5,5,"Dustin Johnson",70,-0.028,"ApproachesRightRoughRTPScore",2012
6,6,"Garth Mulroy",59,-0.027,"ApproachesRightRoughRTPScore",2012
7,7,"Ben Curtis",62,0,"ApproachesRightRoughRTPScore",2012
8,8,"Seung Yul Noh",105,0.006,"ApproachesRightRoughRTPScore",2012
9,9,"Jason Day",57,0.009,"ApproachesRightRoughRTPScore",2012
10,10,"Jonathan Byrd",69,0.01,"ApproachesRightRoughRTPScore",2012
11,11,"DA Points",88,0.014,"ApproachesRightRoughRTPScore",2012
12,12,"Jonas Blixt",72,0.016,"ApproachesRightRoughRTPScore",2012
13,13,"Ian Poulter",57,0.017,"ApproachesRightRoughRTPScore",2012
14,14,"Louis Oosthuizen",65,0.023,"ApproachesRightRoughRTPScore",2012
15,15,"Matt Every",80,0.025,"ApproachesRightRoughRTPScore",2012
16,16,"Kyle Stanley",86,0.032,"ApproachesRightRoughRTPScore",2012
17,17,"Justin Rose",69,0.037,"ApproachesRightRoughRTPScore",2012
18,18,"Kevin Na",80,0.038,"ApproachesRightRoughRTPScore",2012
19,19,"Chris Couch",61,0.04,"ApproachesRightRoughRTPScore",2012
19,19,"William McGirt",96,0.04,"ApproachesRightRoughRTPScore",2012
21,21,"Charlie Beljan",61,0.041,"ApproachesRightRoughRTPScore",2012
22,22,"Bo Van Pelt",84,0.043,"ApproachesRightRoughRTPScore",2012
23,23,"David Toms",60,0.046,"ApproachesRightRoughRTPScore",2012
24,24,"Rickie Fowler",84,0.047,"ApproachesRightRoughRTPScore",2012
25,25,"Gavin Coles",72,0.051,"ApproachesRightRoughRTPScore",2012
26,26,"Luke Donald",63,0.055,"ApproachesRightRoughRTPScore",2012
27,27,"Henrik Stenson",51,0.056,"ApproachesRightRoughRTPScore",2012
28,28,"Erik Compton",81,0.058,"ApproachesRightRoughRTPScore",2012
29,29,"Robert Garrigus",89,0.059,"ApproachesRightRoughRTPScore",2012
30,30,"Keegan Bradley",90,0.061,"ApproachesRightRoughRTPScore",2012
30,30,"Chris Stroud",86,0.061,"ApproachesRightRoughRTPScore",2012
32,32,"Scott Dunlap",57,0.063,"ApproachesRightRoughRTPScore",2012
33,33,"Sergio Garcia",57,0.066,"ApproachesRightRoughRTPScore",2012
34,34,"Graham DeLaet",79,0.068,"ApproachesRightRoughRTPScore",2012
34,34,"Zach Johnson",95,0.068,"ApproachesRightRoughRTPScore",2012
34,34,"Rory McIlroy",60,0.068,"ApproachesRightRoughRTPScore",2012
37,37,"Bud Cauley",99,0.072,"ApproachesRightRoughRTPScore",2012
37,37,"Scott Piercy",95,0.072,"ApproachesRightRoughRTPScore",2012
39,39,"Tommy Gainey",98,0.076,"ApproachesRightRoughRTPScore",2012
39,39,"Martin Laird",77,0.076,"ApproachesRightRoughRTPScore",2012
39,39,"Brendan Steele",77,0.076,"ApproachesRightRoughRTPScore",2012
42,42,"Boo Weekley",74,0.077,"ApproachesRightRoughRTPScore",2012
43,43,"Charl Schwartzel",56,0.081,"ApproachesRightRoughRTPScore",2012
44,44,"Tiger Woods",69,0.082,"ApproachesRightRoughRTPScore",2012
45,45,"Charles Howell III",98,0.083,"ApproachesRightRoughRTPScore",2012
46,46,"Davis Love III",64,0.085,"ApproachesRightRoughRTPScore",2012
46,46,"Adam Scott",59,0.085,"ApproachesRightRoughRTPScore",2012
48,48,"Brandt Jobe",57,0.086,"ApproachesRightRoughRTPScore",2012
49,49,"Jhonattan Vegas",77,0.087,"ApproachesRightRoughRTPScore",2012
50,50,"KJ Choi",71,0.089,"ApproachesRightRoughRTPScore",2012
50,50,"Phil Mickelson",79,0.089,"ApproachesRightRoughRTPScore",2012
52,52,"Tim Herron",88,0.09,"ApproachesRightRoughRTPScore",2012
52,52,"Danny Lee",74,0.09,"ApproachesRightRoughRTPScore",2012
54,54,"Greg Chalmers",88,0.092,"ApproachesRightRoughRTPScore",2012
54,54,"Will Claxton",99,0.092,"ApproachesRightRoughRTPScore",2012
54,54,"Marco Dawson",60,0.092,"ApproachesRightRoughRTPScore",2012
57,57,"Padraig Harrington",67,0.093,"ApproachesRightRoughRTPScore",2012
57,57,"Jason Kokrak",79,0.093,"ApproachesRightRoughRTPScore",2012
59,59,"Scott Stallings",78,0.094,"ApproachesRightRoughRTPScore",2012
60,60,"Ernie Els",80,0.096,"ApproachesRightRoughRTPScore",2012
61,61,"Roberto Castro",92,0.097,"ApproachesRightRoughRTPScore",2012
62,62,"JB Holmes",90,0.098,"ApproachesRightRoughRTPScore",2012
63,63,"Ted Potter Jr",77,0.099,"ApproachesRightRoughRTPScore",2012
64,64,"Lee Westwood",60,0.101,"ApproachesRightRoughRTPScore",2012
65,65,"Troy Kelly",68,0.103,"ApproachesRightRoughRTPScore",2012
65,65,"Chris Kirk",93,0.103,"ApproachesRightRoughRTPScore",2012
67,67,"Cameron Beckman",81,0.105,"ApproachesRightRoughRTPScore",2012
68,68,"Stewart Cink",71,0.106,"ApproachesRightRoughRTPScore",2012
69,69,"Michael Thompson",80,0.107,"ApproachesRightRoughRTPScore",2012
70,70,"Patrick Sheehan",58,0.109,"ApproachesRightRoughRTPScore",2012
71,71,"Bill Haas",79,0.111,"ApproachesRightRoughRTPScore",2012
72,72,"Bryce Molder",83,0.113,"ApproachesRightRoughRTPScore",2012
73,73,"JJ Killeen",101,0.117,"ApproachesRightRoughRTPScore",2012
74,74,"Blake Adams",107,0.119,"ApproachesRightRoughRTPScore",2012
74,74,"Billy Mayfair",90,0.119,"ApproachesRightRoughRTPScore",2012
76,76,"Heath Slocum",93,0.12,"ApproachesRightRoughRTPScore",2012
76,76,"Nick Watney",97,0.12,"ApproachesRightRoughRTPScore",2012
78,78,"Jason Dufner",83,0.121,"ApproachesRightRoughRTPScore",2012
79,79,"Angel Cabrera",54,0.123,"ApproachesRightRoughRTPScore",2012
79,79,"David Hearn",95,0.123,"ApproachesRightRoughRTPScore",2012
79,79,"Andres Romero",68,0.123,"ApproachesRightRoughRTPScore",2012
