"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2013","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2013","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2013","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2013","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2013","stat_name","year"
1,1,"Hideki Matsuyama",7,336,"NonWGCFedExCupSeasonPointsforNonMembers",2013
2,2,"Gonzalo Fdez Castano",12,276,"NonWGCFedExCupSeasonPointsforNonMembers",2013
3,3,"Thorbjorn Olesen",11,223,"NonWGCFedExCupSeasonPointsforNonMembers",2013
4,4,"Peter Tomasulo",10,186,"NonWGCFedExCupSeasonPointsforNonMembers",2013
5,5,"Marcel Siem",9,168,"NonWGCFedExCupSeasonPointsforNonMembers",2013
6,6,"Francesco Molinari",9,155,"NonWGCFedExCupSeasonPointsforNonMembers",2013
7,7,"John Peterson",6,128,"NonWGCFedExCupSeasonPointsforNonMembers",2013
8,8,"Jeff Klauk",8,115,"NonWGCFedExCupSeasonPointsforNonMembers",2013
9,9,"Paul Lawrie",7,107,"NonWGCFedExCupSeasonPointsforNonMembers",2013
10,10,"Miguel Angel Jimenez",3,107,"NonWGCFedExCupSeasonPointsforNonMembers",2013
11,11,"Shane Lowry",9,99,"NonWGCFedExCupSeasonPointsforNonMembers",2013
12,12,"George Coetzee",11,97,"NonWGCFedExCupSeasonPointsforNonMembers",2013
13,13,"Patrick Cantlay",7,96,"NonWGCFedExCupSeasonPointsforNonMembers",2013
14,14,"Richard Sterne",7,90,"NonWGCFedExCupSeasonPointsforNonMembers",2013
15,15,"Rafa Cabrera Bello",5,89,"NonWGCFedExCupSeasonPointsforNonMembers",2013
16,16,"Danny Willett",2,84,"NonWGCFedExCupSeasonPointsforNonMembers",2013
17,17,"Jamie Donaldson",10,80,"NonWGCFedExCupSeasonPointsforNonMembers",2013
18,18,"Branden Grace",12,79,"NonWGCFedExCupSeasonPointsforNonMembers",2013
19,19,"Kyle Reifers",4,76,"NonWGCFedExCupSeasonPointsforNonMembers",2013
20,20,"Ken Looper",2,65,"NonWGCFedExCupSeasonPointsforNonMembers",2013
21,21,"Marc Warren",2,62,"NonWGCFedExCupSeasonPointsforNonMembers",2013
22,22,"Shane Bertsch",1,59,"NonWGCFedExCupSeasonPointsforNonMembers",2013
22,22,"Danny Lee",1,59,"NonWGCFedExCupSeasonPointsforNonMembers",2013
24,24,"Peter Uihlein",4,58,"NonWGCFedExCupSeasonPointsforNonMembers",2013
25,25,"Eduardo De La Riva",1,56,"NonWGCFedExCupSeasonPointsforNonMembers",2013
25,25,"Stephen Gallacher",5,56,"NonWGCFedExCupSeasonPointsforNonMembers",2013
27,27,"Franklin Corpening",1,56,"NonWGCFedExCupSeasonPointsforNonMembers",2013
28,28,"Thongchai Jaidee",4,54,"NonWGCFedExCupSeasonPointsforNonMembers",2013
29,29,"Blayne Barber",3,52,"NonWGCFedExCupSeasonPointsforNonMembers",2013
30,30,"Darren Clarke",3,49,"NonWGCFedExCupSeasonPointsforNonMembers",2013
31,31,"Mathew Goggin",1,47,"NonWGCFedExCupSeasonPointsforNonMembers",2013
31,31,"Kelly Kraft",2,47,"NonWGCFedExCupSeasonPointsforNonMembers",2013
31,31,"Steve Wheatcroft",1,47,"NonWGCFedExCupSeasonPointsforNonMembers",2013
34,34,"Kiradech Aphibarnrat",3,45,"NonWGCFedExCupSeasonPointsforNonMembers",2013
35,35,"Chris Williams",5,44,"NonWGCFedExCupSeasonPointsforNonMembers",2013
36,36,"Steven Tiley",1,43,"NonWGCFedExCupSeasonPointsforNonMembers",2013
37,37,"Morten Orum Madsen",1,42,"NonWGCFedExCupSeasonPointsforNonMembers",2013
37,37,"John Parry",1,42,"NonWGCFedExCupSeasonPointsforNonMembers",2013
39,39,"Matteo Manassero",9,41,"NonWGCFedExCupSeasonPointsforNonMembers",2013
40,40,"Scott Jamieson",3,41,"NonWGCFedExCupSeasonPointsforNonMembers",2013
41,41,"Todd Baek",1,38,"NonWGCFedExCupSeasonPointsforNonMembers",2013
42,42,"Marcus Fraser",6,36,"NonWGCFedExCupSeasonPointsforNonMembers",2013
43,43,"Edward Loar",2,35,"NonWGCFedExCupSeasonPointsforNonMembers",2013
44,44,"Oliver Fisher",1,34,"NonWGCFedExCupSeasonPointsforNonMembers",2013
45,45,"Jonathan Randolph",1,31,"NonWGCFedExCupSeasonPointsforNonMembers",2013
46,46,"Hunter Haas",5,28,"NonWGCFedExCupSeasonPointsforNonMembers",2013
47,47,"Jeremiah Wooding",1,28,"NonWGCFedExCupSeasonPointsforNonMembers",2013
48,48,"Thomas Bjorn",4,25,"NonWGCFedExCupSeasonPointsforNonMembers",2013
49,49,"Jon Curran",3,25,"NonWGCFedExCupSeasonPointsforNonMembers",2013
