"Roundsinthe60s_RANKTHISWEEK_2016","Roundsinthe60s_RANKLASTWEEK_2016","Roundsinthe60s_PLAYERNAME_2016","Roundsinthe60s_EVENTS_2016","Roundsinthe60s_TOTALRNDS_2016","stat_name","year"
1,1,"Charles Howell III",17,33,"Roundsinthe60s",2016
2,2,"Jamie Lovemark",17,26,"Roundsinthe60s",2016
3,3,"William McGirt",15,25,"Roundsinthe60s",2016
4,4,"Patton Kizzire",16,24,"Roundsinthe60s",2016
5,6,"Kevin Chappell",14,23,"Roundsinthe60s",2016
5,4,"Smylie Kaufman",16,23,"Roundsinthe60s",2016
7,6,"Spencer Levin",19,22,"Roundsinthe60s",2016
7,6,"Kevin Na",14,22,"Roundsinthe60s",2016
7,9,"Harold Varner III",18,22,"Roundsinthe60s",2016
10,9,"Lucas Glover",16,21,"Roundsinthe60s",2016
10,9,"Jim Herman",17,21,"Roundsinthe60s",2016
10,9,"Freddie Jacobson",16,21,"Roundsinthe60s",2016
10,9,"Peter Malnati",19,21,"Roundsinthe60s",2016
10,9,"Patrick Reed",14,21,"Roundsinthe60s",2016
15,15,"Scott Brown",17,20,"Roundsinthe60s",2016
15,15,"Chad Campbell",18,20,"Roundsinthe60s",2016
15,15,"Jason Dufner",15,20,"Roundsinthe60s",2016
15,15,"Adam Hadwin",16,20,"Roundsinthe60s",2016
15,15,"Si Woo Kim",19,20,"Roundsinthe60s",2016
15,15,"Jason Kokrak",17,20,"Roundsinthe60s",2016
15,23,"Daniel Summerhays",15,20,"Roundsinthe60s",2016
15,15,"Nick Taylor",17,20,"Roundsinthe60s",2016
15,15,"Justin Thomas",15,20,"Roundsinthe60s",2016
24,23,"Ricky Barnes",18,19,"Roundsinthe60s",2016
24,34,"Roberto Castro",16,19,"Roundsinthe60s",2016
24,23,"Graham DeLaet",14,19,"Roundsinthe60s",2016
24,52,"Rickie Fowler",12,19,"Roundsinthe60s",2016
24,52,"Fabian Gomez",15,19,"Roundsinthe60s",2016
24,34,"Brian Harman",18,19,"Roundsinthe60s",2016
24,34,"Mark Hubbard",20,19,"Roundsinthe60s",2016
24,23,"John Huh",16,19,"Roundsinthe60s",2016
24,23,"Michael Kim",18,19,"Roundsinthe60s",2016
24,34,"Colt Knost",15,19,"Roundsinthe60s",2016
24,23,"Marc Leishman",12,19,"Roundsinthe60s",2016
24,23,"Chez Reavie",16,19,"Roundsinthe60s",2016
24,23,"Adam Scott",10,19,"Roundsinthe60s",2016
24,23,"Brendan Steele",14,19,"Roundsinthe60s",2016
24,23,"Hudson Swafford",17,19,"Roundsinthe60s",2016
24,23,"Tyrone Van Aswegen",20,19,"Roundsinthe60s",2016
40,34,"Aaron Baddeley",15,18,"Roundsinthe60s",2016
40,34,"Zac Blair",18,18,"Roundsinthe60s",2016
40,34,"Bronson Burgoon",17,18,"Roundsinthe60s",2016
40,34,"Stewart Cink",14,18,"Roundsinthe60s",2016
40,34,"Brendon de Jonge",19,18,"Roundsinthe60s",2016
40,52,"Luke Donald",13,18,"Roundsinthe60s",2016
40,52,"Tony Finau",15,18,"Roundsinthe60s",2016
40,34,"Russell Knox",14,18,"Roundsinthe60s",2016
40,34,"Ryan Moore",11,18,"Roundsinthe60s",2016
40,34,"Seung Yul Noh",17,18,"Roundsinthe60s",2016
40,34,"Sean OHair",14,18,"Roundsinthe60s",2016
40,34,"Ryan Palmer",12,18,"Roundsinthe60s",2016
40,34,"Patrick Rodgers",16,18,"Roundsinthe60s",2016
40,34,"Brett Stegmaier",19,18,"Roundsinthe60s",2016
40,34,"Kevin Streelman",15,18,"Roundsinthe60s",2016
40,64,"Dawie van der Walt",16,18,"Roundsinthe60s",2016
40,34,"Jhonattan Vegas",14,18,"Roundsinthe60s",2016
57,64,"Daniel Berger",15,17,"Roundsinthe60s",2016
57,52,"Paul Casey",11,17,"Roundsinthe60s",2016
57,52,"KJ Choi",14,17,"Roundsinthe60s",2016
57,52,"Russell Henley",14,17,"Roundsinthe60s",2016
57,52,"Matt Kuchar",12,17,"Roundsinthe60s",2016
57,64,"Martin Laird",13,17,"Roundsinthe60s",2016
57,64,"Andrew Loupe",16,17,"Roundsinthe60s",2016
57,64,"Hideki Matsuyama",12,17,"Roundsinthe60s",2016
57,52,"Scott Piercy",12,17,"Roundsinthe60s",2016
57,52,"Kyle Reifers",19,17,"Roundsinthe60s",2016
57,52,"Michael Thompson",14,17,"Roundsinthe60s",2016
57,64,"Tim Wilkinson",11,17,"Roundsinthe60s",2016
57,52,"Gary Woodland",12,17,"Roundsinthe60s",2016
70,64,"Jonas Blixt",16,16,"Roundsinthe60s",2016
70,64,"Alex Cejka",15,16,"Roundsinthe60s",2016
70,64,"Ben Crane",17,16,"Roundsinthe60s",2016
70,64,"Jon Curran",18,16,"Roundsinthe60s",2016
70,64,"Jerry Kelly",12,16,"Roundsinthe60s",2016
70,64,"Kevin Kisner",14,16,"Roundsinthe60s",2016
70,64,"Luke List",17,16,"Roundsinthe60s",2016
70,88,"Phil Mickelson",11,16,"Roundsinthe60s",2016
70,64,"Greg Owen",18,16,"Roundsinthe60s",2016
70,64,"Brandt Snedeker",14,16,"Roundsinthe60s",2016
70,64,"Johnson Wagner",14,16,"Roundsinthe60s",2016
70,64,"Jimmy Walker",12,16,"Roundsinthe60s",2016
70,64,"Bubba Watson",8,16,"Roundsinthe60s",2016
70,83,"Steve Wheatcroft",16,16,"Roundsinthe60s",2016
70,64,"Will Wilcox",16,16,"Roundsinthe60s",2016
85,83,"Jason Bohn",11,15,"Roundsinthe60s",2016
85,83,"David Hearn",18,15,"Roundsinthe60s",2016
85,83,"Sung Kang",16,15,"Roundsinthe60s",2016
85,88,"David Lingmerth",15,15,"Roundsinthe60s",2016
85,83,"Kyle Stanley",17,15,"Roundsinthe60s",2016
85,88,"Boo Weekley",17,15,"Roundsinthe60s",2016
91,88,"Tyler Aldridge",18,14,"Roundsinthe60s",2016
91,88,"Derek Fathauer",18,14,"Roundsinthe60s",2016
91,100,"Jason Gore",15,14,"Roundsinthe60s",2016
91,88,"Emiliano Grillo",13,14,"Roundsinthe60s",2016
91,88,"Bill Haas",12,14,"Roundsinthe60s",2016
91,88,"Whee Kim",18,14,"Roundsinthe60s",2016
91,100,"Scott Langley",13,14,"Roundsinthe60s",2016
91,114,"Rory McIlroy",9,14,"Roundsinthe60s",2016
91,88,"Jeff Overton",17,14,"Roundsinthe60s",2016
91,88,"Scott Pinckney",18,14,"Roundsinthe60s",2016
91,100,"Justin Rose",10,14,"Roundsinthe60s",2016
91,100,"John Senden",15,14,"Roundsinthe60s",2016
91,88,"Jordan Spieth",9,14,"Roundsinthe60s",2016
91,88,"Cameron Tringale",14,14,"Roundsinthe60s",2016
105,100,"Harris English",15,13,"Roundsinthe60s",2016
105,114,"James Hahn",15,13,"Roundsinthe60s",2016
105,100,"Charley Hoffman",14,13,"Roundsinthe60s",2016
105,100,"Tom Hoge",15,13,"Roundsinthe60s",2016
105,100,"Hiroshi Iwata",18,13,"Roundsinthe60s",2016
