"LatePar4ScoringAverage_RANKTHISWEEK_2016","LatePar4ScoringAverage_RANKLASTWEEK_2016","LatePar4ScoringAverage_PLAYERNAME_2016","LatePar4ScoringAverage_ROUNDS_2016","LatePar4ScoringAverage_AVG_2016","LatePar4ScoringAverage_TOTALSTROKES_2016","LatePar4ScoringAverage_TOTALHOLES_2016","stat_name","year"
1,1,"Jason Bohn",37,3.88,738,190,"LatePar4ScoringAverage",2016
2,3,"Rickie Fowler",42,3.92,1078,275,"LatePar4ScoringAverage",2016
3,2,"Kevin Kisner",49,3.94,984,250,"LatePar4ScoringAverage",2016
3,4,"Hunter Mahan",43,3.94,635,161,"LatePar4ScoringAverage",2016
5,4,"Shane Bertsch",30,3.95,545,138,"LatePar4ScoringAverage",2016
5,4,"Russell Henley",42,3.95,941,238,"LatePar4ScoringAverage",2016
5,4,"Kevin Na",52,3.95,1014,257,"LatePar4ScoringAverage",2016
8,11,"Lucas Glover",53,3.96,1081,273,"LatePar4ScoringAverage",2016
8,10,"Brandt Snedeker",47,3.96,973,246,"LatePar4ScoringAverage",2016
10,11,"Aaron Baddeley",51,3.97,938,236,"LatePar4ScoringAverage",2016
10,19,"Roberto Castro",55,3.97,1230,310,"LatePar4ScoringAverage",2016
10,11,"Jason Dufner",53,3.97,1004,253,"LatePar4ScoringAverage",2016
10,11,"Branden Grace",31,3.97,528,133,"LatePar4ScoringAverage",2016
10,11,"Brooks Koepka",39,3.97,877,221,"LatePar4ScoringAverage",2016
10,4,"Patrick Reed",53,3.97,1004,253,"LatePar4ScoringAverage",2016
16,19,"Daniel Berger",52,3.98,928,233,"LatePar4ScoringAverage",2016
16,4,"Kevin Chappell",49,3.98,1118,281,"LatePar4ScoringAverage",2016
16,19,"Matt Kuchar",46,3.98,808,203,"LatePar4ScoringAverage",2016
16,11,"Adam Scott",39,3.98,920,231,"LatePar4ScoringAverage",2016
16,19,"David Toms",38,3.98,769,193,"LatePar4ScoringAverage",2016
21,11,"Bill Haas",42,3.99,865,217,"LatePar4ScoringAverage",2016
21,28,"Hideki Matsuyama",40,3.99,901,226,"LatePar4ScoringAverage",2016
21,19,"William McGirt",54,3.99,937,235,"LatePar4ScoringAverage",2016
21,11,"Ryan Moore",40,3.99,731,183,"LatePar4ScoringAverage",2016
21,19,"Sean OHair",45,3.99,978,245,"LatePar4ScoringAverage",2016
21,19,"Webb Simpson",34,3.99,590,148,"LatePar4ScoringAverage",2016
21,28,"Steve Stricker",25,3.99,447,112,"LatePar4ScoringAverage",2016
21,19,"Nick Taylor",57,3.99,1192,299,"LatePar4ScoringAverage",2016
29,19,"Luke Donald",49,4,915,229,"LatePar4ScoringAverage",2016
29,33,"Tony Finau",49,4,1043,261,"LatePar4ScoringAverage",2016
29,33,"Russell Knox",48,4,972,243,"LatePar4ScoringAverage",2016
29,28,"Ben Martin",48,4,796,199,"LatePar4ScoringAverage",2016
29,28,"Henrik Norlander",41,4,692,173,"LatePar4ScoringAverage",2016
29,33,"Charl Schwartzel",29,4,596,149,"LatePar4ScoringAverage",2016
29,44,"Vaughn Taylor",30,4,492,123,"LatePar4ScoringAverage",2016
29,33,"Jhonattan Vegas",49,4,907,227,"LatePar4ScoringAverage",2016
29,28,"Will Wilcox",47,4,964,241,"LatePar4ScoringAverage",2016
38,33,"Graham DeLaet",50,4.01,1206,301,"LatePar4ScoringAverage",2016
38,33,"Derek Fathauer",58,4.01,1369,341,"LatePar4ScoringAverage",2016
38,44,"Freddie Jacobson",54,4.01,1202,300,"LatePar4ScoringAverage",2016
38,44,"Dustin Johnson",37,4.01,947,236,"LatePar4ScoringAverage",2016
38,33,"Si Woo Kim",63,4.01,1396,348,"LatePar4ScoringAverage",2016
38,33,"Davis Love III",40,4.01,609,152,"LatePar4ScoringAverage",2016
38,33,"Rob Oppenheim",37,4.01,693,173,"LatePar4ScoringAverage",2016
38,44,"Jordan Spieth",34,4.01,773,193,"LatePar4ScoringAverage",2016
38,44,"Brett Stegmaier",57,4.01,1130,282,"LatePar4ScoringAverage",2016
38,44,"Bubba Watson",30,4.01,589,147,"LatePar4ScoringAverage",2016
48,70,"Thomas Aiken",42,4.02,708,176,"LatePar4ScoringAverage",2016
48,56,"Scott Brown",59,4.02,1387,345,"LatePar4ScoringAverage",2016
48,44,"Alex Cejka",47,4.02,953,237,"LatePar4ScoringAverage",2016
48,56,"Sergio Garcia",28,4.02,591,147,"LatePar4ScoringAverage",2016
48,56,"Brice Garnett",29,4.02,708,176,"LatePar4ScoringAverage",2016
48,56,"Smylie Kaufman",57,4.02,1155,287,"LatePar4ScoringAverage",2016
48,56,"Jamie Lovemark",57,4.02,1296,322,"LatePar4ScoringAverage",2016
48,33,"Martin Piller",37,4.02,780,194,"LatePar4ScoringAverage",2016
48,44,"Brendan Steele",48,4.02,1166,290,"LatePar4ScoringAverage",2016
48,56,"Andy Sullivan",25,4.02,551,137,"LatePar4ScoringAverage",2016
48,56,"Hudson Swafford",52,4.02,1062,264,"LatePar4ScoringAverage",2016
48,44,"Dawie van der Walt",48,4.02,1065,265,"LatePar4ScoringAverage",2016
48,44,"Camilo Villegas",50,4.02,1074,267,"LatePar4ScoringAverage",2016
48,56,"Bernd Wiesberger",23,4.02,495,123,"LatePar4ScoringAverage",2016
62,70,"Harris English",51,4.03,1007,250,"LatePar4ScoringAverage",2016
62,70,"Sung Kang",51,4.03,1173,291,"LatePar4ScoringAverage",2016
62,70,"Chris Kirk",51,4.03,883,219,"LatePar4ScoringAverage",2016
62,70,"Patton Kizzire",57,4.03,1242,308,"LatePar4ScoringAverage",2016
62,33,"Colt Knost",56,4.03,1044,259,"LatePar4ScoringAverage",2016
62,70,"Marc Leishman",41,4.03,721,179,"LatePar4ScoringAverage",2016
62,44,"David Lingmerth",54,4.03,942,234,"LatePar4ScoringAverage",2016
62,70,"Bryce Molder",50,4.03,996,247,"LatePar4ScoringAverage",2016
62,70,"Ryan Palmer",46,4.03,934,232,"LatePar4ScoringAverage",2016
62,44,"DA Points",32,4.03,621,154,"LatePar4ScoringAverage",2016
62,56,"Scott Stallings",46,4.03,966,240,"LatePar4ScoringAverage",2016
62,56,"Henrik Stenson",30,4.03,632,157,"LatePar4ScoringAverage",2016
62,56,"Justin Thomas",53,4.03,1065,264,"LatePar4ScoringAverage",2016
62,56,"Tim Wilkinson",40,4.03,705,175,"LatePar4ScoringAverage",2016
76,70,"Zac Blair",56,4.04,1115,276,"LatePar4ScoringAverage",2016
76,86,"Jon Curran",55,4.04,970,240,"LatePar4ScoringAverage",2016
76,86,"Fabian Gomez",49,4.04,824,204,"LatePar4ScoringAverage",2016
76,86,"Luke Guthrie",31,4.04,647,160,"LatePar4ScoringAverage",2016
76,86,"Charley Hoffman",49,4.04,1199,297,"LatePar4ScoringAverage",2016
76,70,"JB Holmes",39,4.04,666,165,"LatePar4ScoringAverage",2016
76,56,"Charles Howell III",63,4.04,1360,337,"LatePar4ScoringAverage",2016
76,96,"Martin Laird",46,4.04,751,186,"LatePar4ScoringAverage",2016
76,56,"Scott Langley",41,4.04,772,191,"LatePar4ScoringAverage",2016
76,86,"Danny Lee",53,4.04,1257,311,"LatePar4ScoringAverage",2016
76,86,"Francesco Molinari",36,4.04,683,169,"LatePar4ScoringAverage",2016
76,70,"Patrick Rodgers",49,4.04,1132,280,"LatePar4ScoringAverage",2016
76,70,"Vijay Singh",42,4.04,791,196,"LatePar4ScoringAverage",2016
76,70,"Chris Stroud",52,4.04,1013,251,"LatePar4ScoringAverage",2016
76,70,"Cameron Tringale",47,4.04,994,246,"LatePar4ScoringAverage",2016
91,96,"KJ Choi",47,4.05,1174,290,"LatePar4ScoringAverage",2016
