"ScramblingfromtheFringe_RANKTHISWEEK_2007","ScramblingfromtheFringe_RANKLASTWEEK_2007","ScramblingfromtheFringe_PLAYERNAME_2007","ScramblingfromtheFringe_ROUNDS_2007","ScramblingfromtheFringe_Pct_2007","ScramblingfromtheFringe_SUCCESSES_2007","ScramblingfromtheFringe_ATTEMPTS_2007","stat_name","year"
1,1,"Stewart Cink",91,98.33,59,60,"ScramblingfromtheFringe",2007
2,2,"Arron Oberholser",69,96.97,32,33,"ScramblingfromtheFringe",2007
3,3,"Chris Tidland",59,96.3,52,54,"ScramblingfromtheFringe",2007
4,4,"Jason Bohn",57,95.65,44,46,"ScramblingfromtheFringe",2007
5,5,"Aaron Baddeley",83,95.56,43,45,"ScramblingfromtheFringe",2007
6,6,"Charles Howell III",89,95.08,58,61,"ScramblingfromtheFringe",2007
6,6,"Matt Kuchar",85,95.08,58,61,"ScramblingfromtheFringe",2007
8,8,"Corey Pavin",81,94.9,93,98,"ScramblingfromtheFringe",2007
9,9,"Craig Barlow",52,94.74,36,38,"ScramblingfromtheFringe",2007
9,9,"Zach Johnson",76,94.74,54,57,"ScramblingfromtheFringe",2007
11,11,"Carl Pettersson",111,94.67,71,75,"ScramblingfromtheFringe",2007
12,12,"Chris Riley",59,94.34,50,53,"ScramblingfromtheFringe",2007
13,13,"Retief Goosen",50,94.29,33,35,"ScramblingfromtheFringe",2007
14,14,"Michael Sim",52,94.23,49,52,"ScramblingfromtheFringe",2007
15,15,"Dicky Pride",71,94.2,65,69,"ScramblingfromtheFringe",2007
16,16,"Tag Ridings",52,94,47,50,"ScramblingfromtheFringe",2007
17,17,"Bob Estes",88,93.98,78,83,"ScramblingfromtheFringe",2007
18,18,"Brian Bateman",55,93.88,46,49,"ScramblingfromtheFringe",2007
19,19,"Steve Lowery",74,93.85,61,65,"ScramblingfromtheFringe",2007
20,20,"Jason Schultz",63,93.75,60,64,"ScramblingfromtheFringe",2007
21,21,"Tim Clark",66,93.65,59,63,"ScramblingfromtheFringe",2007
22,22,"Tom Johnson",74,93.44,57,61,"ScramblingfromtheFringe",2007
23,23,"Ryan Moore",92,93.22,55,59,"ScramblingfromtheFringe",2007
24,24,"Henrik Stenson",52,93.1,27,29,"ScramblingfromtheFringe",2007
25,25,"Sergio Garcia",68,92.86,39,42,"ScramblingfromtheFringe",2007
25,25,"Scott Gutschewski",67,92.86,65,70,"ScramblingfromtheFringe",2007
27,27,"Brandt Snedeker",105,92.75,64,69,"ScramblingfromtheFringe",2007
28,28,"John Rollins",102,92.65,63,68,"ScramblingfromtheFringe",2007
29,29,"Vijay Singh",102,92.31,60,65,"ScramblingfromtheFringe",2007
30,30,"Adam Scott",69,92.11,35,38,"ScramblingfromtheFringe",2007
31,31,"Jerry Kelly",101,91.95,80,87,"ScramblingfromtheFringe",2007
31,31,"Ted Purdy",102,91.95,80,87,"ScramblingfromtheFringe",2007
33,33,"Camilo Villegas",82,91.94,57,62,"ScramblingfromtheFringe",2007
34,34,"Mike Weir",82,91.67,66,72,"ScramblingfromtheFringe",2007
35,35,"Charlie Wi",90,91.55,65,71,"ScramblingfromtheFringe",2007
36,36,"KJ Choi",87,91.53,54,59,"ScramblingfromtheFringe",2007
37,37,"Rich Barcelo",80,91.43,64,70,"ScramblingfromtheFringe",2007
38,38,"Geoff Ogilvy",84,91.3,42,46,"ScramblingfromtheFringe",2007
39,39,"Troy Matteson",87,91.25,73,80,"ScramblingfromtheFringe",2007
40,40,"Sean OHair",98,91.14,72,79,"ScramblingfromtheFringe",2007
41,41,"Bob Heintz",85,91.04,61,67,"ScramblingfromtheFringe",2007
41,41,"Bubba Watson",80,91.04,61,67,"ScramblingfromtheFringe",2007
43,43,"Ryuji Imada",104,91.03,71,78,"ScramblingfromtheFringe",2007
44,44,"Joe Ogilvie",102,90.91,90,99,"ScramblingfromtheFringe",2007
45,45,"Michael Allen",74,90.74,49,54,"ScramblingfromtheFringe",2007
46,46,"Daniel Chopra",106,90.72,88,97,"ScramblingfromtheFringe",2007
47,47,"Ryan Armour",107,90.48,95,105,"ScramblingfromtheFringe",2007
47,47,"Nathan Green",103,90.48,76,84,"ScramblingfromtheFringe",2007
47,47,"Brett Quigley",79,90.48,57,63,"ScramblingfromtheFringe",2007
50,50,"Steve Flesch",100,90.32,84,93,"ScramblingfromtheFringe",2007
50,50,"Jim Furyk",84,90.32,56,62,"ScramblingfromtheFringe",2007
50,50,"Jeff Sluman",60,90.32,28,31,"ScramblingfromtheFringe",2007
53,53,"Doug LaBelle II",104,90.27,102,113,"ScramblingfromtheFringe",2007
54,54,"Tom Byrum",50,90.24,37,41,"ScramblingfromtheFringe",2007
54,54,"Ernie Els",59,90.24,37,41,"ScramblingfromtheFringe",2007
56,56,"Matt Hendrix",63,90.2,46,51,"ScramblingfromtheFringe",2007
57,57,"Tommy Armour III",81,90.16,55,61,"ScramblingfromtheFringe",2007
58,58,"Eric Axley",107,90.11,82,91,"ScramblingfromtheFringe",2007
59,59,"Paul Gow",70,90,45,50,"ScramblingfromtheFringe",2007
60,60,"Robert Gamez",88,89.89,80,89,"ScramblingfromtheFringe",2007
61,61,"DJ Brigman",67,89.8,44,49,"ScramblingfromtheFringe",2007
61,61,"Bubba Dickerson",51,89.8,44,49,"ScramblingfromtheFringe",2007
61,61,"Chris Stroud",66,89.8,44,49,"ScramblingfromtheFringe",2007
61,61,"Bo Van Pelt",104,89.8,88,98,"ScramblingfromtheFringe",2007
65,65,"Luke Donald",69,89.74,35,39,"ScramblingfromtheFringe",2007
65,65,"Mathew Goggin",97,89.74,70,78,"ScramblingfromtheFringe",2007
67,67,"Stephen Leaney",82,89.71,61,68,"ScramblingfromtheFringe",2007
68,68,"Tom Pernice Jr",104,89.69,87,97,"ScramblingfromtheFringe",2007
69,69,"Nick OHern",72,89.66,52,58,"ScramblingfromtheFringe",2007
70,70,"Greg Owen",81,89.61,69,77,"ScramblingfromtheFringe",2007
71,71,"Kevin Sutherland",85,89.55,60,67,"ScramblingfromtheFringe",2007
72,72,"Trevor Immelman",74,89.47,34,38,"ScramblingfromtheFringe",2007
72,72,"Anthony Kim",93,89.47,68,76,"ScramblingfromtheFringe",2007
72,72,"DJ Trahan",99,89.47,85,95,"ScramblingfromtheFringe",2007
75,75,"Brian Gay",107,89.42,93,104,"ScramblingfromtheFringe",2007
76,76,"Will Ma Kenzie",100,89.41,76,85,"ScramblingfromtheFringe",2007
77,77,"Craig Bowden",78,89.39,59,66,"ScramblingfromtheFringe",2007
77,77,"Rod Pampling",92,89.39,59,66,"ScramblingfromtheFringe",2007
79,79,"Ian Poulter",63,89.29,25,28,"ScramblingfromtheFringe",2007
80,80,"Duffy Waldorf",69,89.23,58,65,"ScramblingfromtheFringe",2007
81,81,"Cliff Kresge",107,89.22,91,102,"ScramblingfromtheFringe",2007
82,82,"Andrew Buckle",77,89.19,66,74,"ScramblingfromtheFringe",2007
83,83,"Tom Lehman",62,89.13,41,46,"ScramblingfromtheFringe",2007
84,84,"Jesper Parnevik",88,89.04,65,73,"ScramblingfromtheFringe",2007
85,85,"Richard Johnson",93,89.02,73,82,"ScramblingfromtheFringe",2007
85,85,"Justin Leonard",95,89.02,73,82,"ScramblingfromtheFringe",2007
87,87,"Mathias Gronberg",95,89.01,81,91,"ScramblingfromtheFringe",2007
88,88,"Mark Hensby",81,88.89,56,63,"ScramblingfromtheFringe",2007
