"NonmemberEarnings_RANKTHISWEEK_2013","NonmemberEarnings_RANKLASTWEEK_2013","NonmemberEarnings_PLAYERNAME_2013","NonmemberEarnings_EVENTS_2013","NonmemberEarnings_MONEY_2013","NonmemberEarnings_TOTAL_2013","stat_name","year"
1,1,"Hideki Matsuyama",7,690473,771639,"NonmemberEarnings",2013
2,2,"Gonzalo Fdez Castano",12,589653,858653,"NonmemberEarnings",2013
3,3,"Thorbjorn Olesen",11,513700,713300,"NonmemberEarnings",2013
4,4,"Marcel Siem",9,291606,402106,"NonmemberEarnings",2013
5,5,"John Peterson",6,259679,259679,"NonmemberEarnings",2013
6,6,"Francesco Molinari",9,245463,423963,"NonmemberEarnings",2013
7,7,"Peter Tomasulo",10,218240,218240,"NonmemberEarnings",2013
8,8,"Patrick Cantlay",7,195411,195411,"NonmemberEarnings",2013
9,9,"George Coetzee",11,171161,267761,"NonmemberEarnings",2013
10,10,"Branden Grace",12,170459,313759,"NonmemberEarnings",2013
11,11,"Miguel Angel Jimenez",3,169881,491547,"NonmemberEarnings",2013
12,12,"Jeff Klauk",8,149830,149830,"NonmemberEarnings",2013
13,13,"Shane Lowry",9,148551,345551,"NonmemberEarnings",2013
14,14,"Paul Lawrie",7,136119,304369,"NonmemberEarnings",2013
15,15,"Marc Warren",2,132786,132786,"NonmemberEarnings",2013
16,16,"Kyle Reifers",4,128400,128400,"NonmemberEarnings",2013
17,17,"Richard Sterne",7,128258,483758,"NonmemberEarnings",2013
18,18,"Danny Willett",2,123043,123043,"NonmemberEarnings",2013
19,19,"Peter Uihlein",4,121625,121625,"NonmemberEarnings",2013
20,20,"Rafa Cabrera Bello",5,120718,262968,"NonmemberEarnings",2013
21,21,"Shane Bertsch",1,112000,112000,"NonmemberEarnings",2013
21,21,"Franklin Corpening",1,112000,112000,"NonmemberEarnings",2013
21,21,"Danny Lee",1,112000,112000,"NonmemberEarnings",2013
24,24,"Jamie Donaldson",10,99697,284947,"NonmemberEarnings",2013
25,25,"Eduardo De La Riva",1,95043,95043,"NonmemberEarnings",2013
26,26,"Stephen Gallacher",5,87918,242018,"NonmemberEarnings",2013
27,27,"Darren Clarke",3,86718,86718,"NonmemberEarnings",2013
28,28,"Mathew Goggin",1,86579,86579,"NonmemberEarnings",2013
29,29,"Ken Looper",2,73530,73530,"NonmemberEarnings",2013
30,30,"Matteo Manassero",9,64809,242684,"NonmemberEarnings",2013
31,31,"Morten Orum Madsen",1,60183,60183,"NonmemberEarnings",2013
31,31,"John Parry",1,60183,60183,"NonmemberEarnings",2013
33,33,"Steve Wheatcroft",1,59520,59520,"NonmemberEarnings",2013
34,34,"Kiradech Aphibarnrat",3,58750,120250,"NonmemberEarnings",2013
